GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,OJFE001,OJFE002,OJFE003,OJFE004,OJFE005,OJFE006,OJFE007,OJFE008,OJFE009,OJFE010,NAME_M,OJFM001,OJFM002,OJFM003,OJFM004,OJFM005,OJFM006,OJFM007,OJFM008,OJFM009,OJFM010
"G0600530","2012","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",426762,313397,12120,2304,27707,1967,53409,15858,4400,11458,"Monterey County, California",0,6927,927,1000,1769,270,6624,2330,1681,1631
"G0600550","2012","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",139045,105822,2988,776,10625,170,14631,4033,1451,2582,"Napa County, California",0,3693,358,508,527,134,3411,1251,902,794
"G0600570","2012","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",98292,91658,279,1056,1316,50,565,3368,589,2779,"Nevada County, California",0,940,314,344,616,76,420,1068,612,776
"G0600590","2012","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",3090132,1974285,46639,10899,575713,9490,357608,115498,29587,85911,"Orange County, California",0,17597,2957,2209,4490,966,17671,7234,4043,6247
"G0600610","2012","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",361682,304087,3967,1887,23918,199,12037,15587,1847,13740,"Placer County, California",0,2997,938,671,1244,249,2936,1846,786,1816
"G0600650","2012","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",2268783,1489846,140875,22967,133076,7005,381561,93453,24733,68720,"Riverside County, California",0,20542,4420,3426,4899,1364,19622,9009,3889,7984
"G0600670","2012","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",1450121,862619,145843,12869,217477,15183,103502,92628,13008,79620,"Sacramento County, California",0,9306,4678,2917,4399,1365,8414,7924,2936,7054
"G0600710","2012","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",2081313,1302587,185086,22260,136597,7259,342936,84588,23717,60871,"San Bernardino County, California",0,17334,5316,3912,2916,578,16593,7004,3583,5918
"G0600730","2012","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",3177063,2237694,163368,26541,364545,15737,224477,144701,28772,115929,"San Diego County, California",0,16144,3877,4238,6362,1146,14245,10598,4222,9201
"G0600750","2012","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",825863,409803,46406,2640,274340,3381,50114,39179,5262,33917,"San Francisco County, California",0,5406,2304,1181,3274,459,5558,3722,1548,3627
"G0600770","2012","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",702612,395346,50103,5158,100563,4031,91540,55871,8923,46948,"San Joaquin County, California",0,9336,2038,1404,3953,753,8452,6872,2214,6588
"G0600790","2012","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",274804,229174,4894,2495,11025,76,16406,10734,1226,9508,"San Luis Obispo County, California",0,4566,1258,1573,928,88,4125,2324,636,2010
"G0600810","2012","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",739311,422116,19849,2542,192094,10044,61989,30677,5766,24911,"San Mateo County, California",0,7594,1402,1224,2796,867,7516,3052,1576,2728
"G0600830","2012","CA",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County, California",431249,320505,9676,4612,22024,1055,56710,16667,5297,11370,"Santa Barbara County, California",0,8756,1542,1165,1971,703,8791,2997,2153,1724
"G0600850","2012","CA",,,"California","06","Santa Clara County","085",,,,,,,,,,,,,,,,,,"05000US06085","Santa Clara County, California",1837504,922367,49013,9597,608358,7015,162851,78303,17415,60888,"Santa Clara County, California",0,13475,2401,1722,4356,794,12712,6247,2968,5460
"G0600870","2012","CA",,,"California","06","Santa Cruz County","087",,,,,,,,,,,,,,,,,,"05000US06087","Santa Cruz County, California",266776,221730,3020,1952,10991,521,16308,12254,2534,9720,"Santa Cruz County, California",0,4724,532,1000,1218,180,4214,2025,883,1885
"G0600890","2012","CA",,,"California","06","Shasta County","089",,,,,,,,,,,,,,,,,,"05000US06089","Shasta County, California",178586,155477,2059,6495,4891,0,3397,6267,418,5849,"Shasta County, California",0,2024,800,1858,767,197,1273,1668,399,1766
"G0600950","2012","CA",,,"California","06","Solano County","095",,,,,,,,,,,,,,,,,,"05000US06095","Solano County, California",420757,227816,55648,2055,64570,3944,36095,30629,4741,25888,"Solano County, California",0,4300,2915,719,2022,520,4492,4159,1770,3780
"G0600970","2012","CA",,,"California","06","Sonoma County","097",,,,,,,,,,,,,,,,,,"05000US06097","Sonoma County, California",491829,376599,8402,5481,19808,1763,60431,19345,3424,15921,"Sonoma County, California",0,6183,1251,2287,1954,995,5993,3009,1214,2700
"G0600990","2012","CA",,,"California","06","Stanislaus County","099",,,,,,,,,,,,,,,,,,"05000US06099","Stanislaus County, California",521726,395749,14118,3515,27678,3884,54101,22681,5333,17348,"Stanislaus County, California",0,7549,2029,1000,1878,437,6964,3484,1552,3108
"G0601010","2012","CA",,,"California","06","Sutter County","101",,,,,,,,,,,,,,,,,,"05000US06101","Sutter County, California",95022,66209,1412,1600,13962,51,6248,5540,919,4621,"Sutter County, California",0,2325,438,807,1049,56,2389,1416,432,1367
"G0601070","2012","CA",,,"California","06","Tulare County","107",,,,,,,,,,,,,,,,,,"05000US06107","Tulare County, California",451977,364336,7047,5098,15248,513,41034,18701,4975,13726,"Tulare County, California",0,6736,866,1262,1509,432,5759,3887,1606,3420
"G0601110","2012","CA",,,"California","06","Ventura County","111",,,,,,,,,,,,,,,,,,"05000US06111","Ventura County, California",835981,651545,16535,4214,56835,1430,68418,37004,11126,25878,"Ventura County, California",0,7682,1840,1625,2374,745,7991,4170,2575,3238
"G0601130","2012","CA",,,"California","06","Yolo County","113",,,,,,,,,,,,,,,,,,"05000US06113","Yolo County, California",204118,136360,5129,1806,28186,640,20778,11219,2640,8579,"Yolo County, California",0,4138,930,800,1406,782,3998,2173,1124,1779
"G0601150","2012","CA",,,"California","06","Yuba County","115",,,,,,,,,,,,,,,,,,"05000US06115","Yuba County, California",72926,51871,2402,744,5582,273,6379,5675,2317,3358,"Yuba County, California",0,2025,387,548,456,222,1757,1097,898,711
"G0800010","2012","CO",,,"Colorado","08","Adams County","001",,,,,,,,,,,,,,,,,,"05000US08001","Adams County, Colorado",459598,380017,14776,3540,16944,406,27086,16829,3148,13681,"Adams County, Colorado",0,6171,1580,1694,1098,299,5685,3253,1173,3090
"G0800050","2012","CO",,,"Colorado","08","Arapahoe County","005",,,,,,,,,,,,,,,,,,"05000US08005","Arapahoe County, Colorado",595546,445459,61781,4689,31856,1177,23048,27536,10160,17376,"Arapahoe County, Colorado",0,5621,2153,1516,1199,258,4775,4414,3254,2684
"G0800130","2012","CO",,,"Colorado","08","Boulder County","013",,,,,,,,,,,,,,,,,,"05000US08013","Boulder County, Colorado",305318,270200,3354,1174,14208,19,9585,6778,434,6344,"Boulder County, Colorado",0,3059,853,615,989,34,3010,1427,397,1405
"G0800310","2012","CO",,,"Colorado","08","Denver County","031",,,,,,,,,,,,,,,,,,"05000US08031","Denver County, Colorado",634265,479745,64566,5941,21689,464,39761,22099,6071,16028,"Denver County, Colorado",0,6561,1834,1536,2099,422,6236,3404,2257,2606
"G0800350","2012","CO",,,"Colorado","08","Douglas County","035",,,,,,,,,,,,,,,,,,"05000US08035","Douglas County, Colorado",298215,271346,3688,858,12212,153,3277,6681,1268,5413,"Douglas County, Colorado",0,1601,547,449,993,184,1391,1514,949,1433
"G0800410","2012","CO",,,"Colorado","08","El Paso County","041",,,,,,,,,,,,,,,,,,"05000US08041","El Paso County, Colorado",644964,527453,41251,3980,16719,1362,22170,32029,2920,29109,"El Paso County, Colorado",0,4503,3831,1161,1284,666,4080,4486,1373,4116
"G0800590","2012","CO",,,"Colorado","08","Jefferson County","059",,,,,,,,,,,,,,,,,,"05000US08059","Jefferson County, Colorado",545358,495398,6650,5189,13596,69,9343,15113,2741,12372,"Jefferson County, Colorado",0,3342,870,1132,1307,94,2759,2091,1004,1839
"G0800690","2012","CO",,,"Colorado","08","Larimer County","069",,,,,,,,,,,,,,,,,,"05000US08069","Larimer County, Colorado",310487,281231,2963,1278,5803,373,7906,10933,2040,8893,"Larimer County, Colorado",0,3020,672,573,733,489,2676,2012,816,1680
"G0800770","2012","CO",,,"Colorado","08","Mesa County","077",,,,,,,,,,,,,,,,,,"05000US08077","Mesa County, Colorado",147848,136439,920,1598,766,196,3447,4482,735,3747,"Mesa County, Colorado",0,1926,264,860,352,218,1700,1133,902,644
"G0801010","2012","CO",,,"Colorado","08","Pueblo County","101",,,,,,,,,,,,,,,,,,"05000US08101","Pueblo County, Colorado",160852,128522,3280,2869,744,95,17550,7792,4037,3755,"Pueblo County, Colorado",0,4049,387,742,441,144,3510,1870,1617,944
"G0801230","2012","CO",,,"Colorado","08","Weld County","123",,,,,,,,,,,,,,,,,,"05000US08123","Weld County, Colorado",263691,222649,2771,2589,3897,35,25031,6719,2257,4462,"Weld County, Colorado",0,4260,629,647,592,69,4249,1490,743,1328
"G0900010","2012","CT",,,"Connecticut","09","Fairfield County","001",,,,,,,,,,,,,,,,,,"05000US09001","Fairfield County, Connecticut",933835,693587,105247,2372,47022,315,61074,24218,7014,17204,"Fairfield County, Connecticut",0,5790,3803,873,1149,415,5961,3478,2277,3093
"G0900030","2012","CT",,,"Connecticut","09","Hartford County","003",,,,,,,,,,,,,,,,,,"05000US09003","Hartford County, Connecticut",897259,664870,117870,2918,40195,1759,40985,28662,6206,22456,"Hartford County, Connecticut",0,5625,3667,1625,1426,1645,5194,4181,1833,3591
"G0900050","2012","CT",,,"Connecticut","09","Litchfield County","005",,,,,,,,,,,,,,,,,,"05000US09005","Litchfield County, Connecticut",187530,176068,1976,453,3687,0,2019,3327,455,2872,"Litchfield County, Connecticut",0,1286,671,344,298,193,981,1185,470,1085
"G0900070","2012","CT",,,"Connecticut","09","Middlesex County","007",,,,,,,,,,,,,,,,,,"05000US09007","Middlesex County, Connecticut",165602,147849,9375,289,4796,34,904,2355,319,2036,"Middlesex County, Connecticut",0,1277,1417,453,359,58,647,966,323,836
