GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AIUXE001,AIUXE002,AIUXE003,AIUXE004,AIUXE005,AIUXE006,AIUXE007,AIUXE008,AIUXE009,AIUXE010,NAME_M,AIUXM001,AIUXM002,AIUXM003,AIUXM004,AIUXM005,AIUXM006,AIUXM007,AIUXM008,AIUXM009,AIUXM010
"G0501190","2018","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",392680,216820,145102,2096,9042,387,8638,10595,754,9841,"Pulaski County, Arkansas",0,2490,2106,1192,1250,439,2686,2744,700,2623
"G0501250","2018","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",121421,106756,9542,321,1495,481,676,2150,298,1852,"Saline County, Arkansas",0,604,844,397,344,807,503,688,311,630
"G0501310","2018","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",127753,91102,8867,1289,6340,57,13542,6556,1098,5458,"Sebastian County, Arkansas",0,1478,967,644,262,122,2150,1437,742,1077
"G0501430","2018","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",236961,181620,8323,3461,6287,5877,24341,7052,1336,5716,"Washington County, Arkansas",0,4197,1104,1014,1374,271,3968,2094,812,1797
"G0501450","2018","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",78727,71855,3569,513,749,0,230,1811,416,1395,"White County, Arkansas",0,946,380,644,125,201,271,1064,570,766
"G0600010","2018","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",1666753,643907,172152,10645,513491,14224,202397,109937,22863,87074,"Alameda County, California",0,9044,3404,1836,5600,951,10399,8010,3234,7676
"G0600070","2018","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",231256,186452,4019,2274,10017,360,12617,15517,1522,13995,"Butte County, California",0,2871,1027,853,1744,427,2628,2468,911,2385
"G0600130","2018","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",1150215,622301,101253,7347,195848,5718,134475,83273,18780,64493,"Contra Costa County, California",0,9651,3383,2383,3948,674,10148,7988,4927,5620
"G0600170","2018","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",190678,169150,1221,924,8834,525,2255,7769,630,7139,"El Dorado County, California",0,1290,609,650,1126,689,949,1297,547,1223
"G0600190","2018","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",994400,643787,45504,15894,103204,1252,139153,45606,9904,35702,"Fresno County, California",0,10805,3080,4646,2511,439,11013,4879,2274,4158
"G0600230","2018","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",136373,106163,1553,6438,4610,33,7462,10114,1002,9112,"Humboldt County, California",0,1721,475,1134,922,44,1848,2212,996,2053
"G0600250","2018","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",181827,117180,4201,1035,2801,204,47971,8435,4949,3486,"Imperial County, California",0,6009,859,376,322,235,5030,2864,2356,1491
