GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,LJCE001,LJCE002,LJCE003,LJCE004,LJCE005,LJCE006,LJCE007,LJCE008,LJCE009,LJCE010,NAME_M,LJCM001,LJCM002,LJCM003,LJCM004,LJCM005,LJCM006,LJCM007,LJCM008,LJCM009,LJCM010
"G1701150","2011","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",110730,87767,18798,0,1491,100,870,1704,40,1664,"Macon County, Illinois",0,442,753,189,82,141,431,720,68,724
"G1701190","2011","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",268459,237852,21684,256,2564,27,1535,4541,330,4211,"Madison County, Illinois",0,1011,802,200,573,53,783,1100,375,1041
"G1701430","2011","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",186834,140902,34531,610,6485,53,1354,2899,38,2861,"Peoria County, Illinois",0,919,843,284,297,88,733,1078,62,1077
"G1701610","2011","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",147556,120915,13625,940,2547,0,5837,3692,673,3019,"Rock Island County, Illinois",0,1752,901,840,323,189,1635,1170,534,1011
"G1701630","2011","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",270259,177133,80060,495,4000,0,2055,6516,243,6273,"St. Clair County, Illinois",0,1007,2425,377,584,189,1131,2330,206,2319
"G1701670","2011","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",198844,165790,24091,653,3345,0,1091,3874,286,3588,"Sangamon County, Illinois",0,684,1191,284,582,189,589,1286,260,1245
"G1701790","2011","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",135661,130392,1947,63,955,0,456,1848,281,1567,"Tazewell County, Illinois",0,519,394,68,249,189,375,481,219,426
"G1701830","2011","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",81509,67591,11061,338,668,0,782,1069,49,1020,"Vermilion County, Illinois",0,635,551,339,170,189,541,661,85,654
"G1701970","2011","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",681545,524014,73613,1567,30237,48,33357,18709,4686,14023,"Will County, Illinois",0,7314,2769,1170,2175,85,7147,4381,2173,3863
"G1701990","2011","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",66622,61006,3678,179,672,0,273,814,103,711,"Williamson County, Illinois",0,314,890,143,169,189,358,753,195,761
"G1702010","2011","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",293993,236209,37835,369,7077,145,7114,5244,488,4756,"Winnebago County, Illinois",0,2446,914,320,541,174,2450,1267,481,1184
"G1800030","2011","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",358327,288223,42592,1404,9668,69,6737,9634,867,8767,"Allen County, Indiana",0,2253,1501,592,861,118,2175,1892,542,1703
"G1800050","2011","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",77870,69143,1547,0,2811,0,2850,1519,315,1204,"Bartholomew County, Indiana",0,1214,380,190,521,190,1321,709,390,625
"G1800190","2011","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",111570,98407,7905,50,823,0,2073,2312,0,2312,"Clark County, Indiana",0,1478,889,87,539,190,1478,1056,190,1056
"G1800350","2011","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",117660,104210,5922,17,1356,0,779,5376,498,4878,"Delaware County, Indiana",0,627,956,32,324,190,456,1047,353,982
"G1800390","2011","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",198941,167082,12154,373,2164,0,13433,3735,763,2972,"Elkhart County, Indiana",0,3563,907,375,564,190,3770,1519,708,1271
"G1800430","2011","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",,,,,,,,,,,"Floyd County, Indiana",,,,,,,,,,
"G1800530","2011","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",69793,61710,4063,0,468,0,955,2597,232,2365,"Grant County, Indiana",0,577,798,190,199,190,578,883,238,827
"G1800570","2011","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",282810,248978,10333,500,13406,0,2059,7534,2236,5298,"Hamilton County, Indiana",0,2069,1284,265,1375,190,1124,2946,1576,2115
"G1800590","2011","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",,,,,,,,,,,"Hancock County, Indiana",,,,,,,,,,
"G1800630","2011","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",147979,133072,7630,2,3444,207,1700,1924,510,1414,"Hendricks County, Indiana",0,1652,1160,6,598,349,1479,1160,708,944
"G1800670","2011","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",82800,73602,6216,0,944,35,529,1474,190,1284,"Howard County, Indiana",0,444,495,190,163,60,397,544,213,508
"G1800810","2011","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",141656,131758,3508,144,1838,0,1419,2989,1916,1073,"Johnson County, Indiana",0,1285,1240,168,1573,190,1518,1682,1776,699
"G1800850","2011","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",77336,70896,574,251,893,0,3873,849,215,634,"Kosciusko County, Indiana",0,712,252,167,66,190,749,430,279,333
"G1800890","2011","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",495558,305508,125800,2014,5988,177,42091,13980,5852,8128,"Lake County, Indiana",0,3975,1895,1051,925,216,4681,2920,2315,2198
"G1800910","2011","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",111374,95409,11819,124,475,0,1152,2395,152,2243,"LaPorte County, Indiana",0,935,735,126,169,190,943,925,246,869
"G1800950","2011","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",131235,116243,8315,202,326,0,1450,4699,313,4386,"Madison County, Indiana",0,826,974,240,280,190,916,962,206,968
"G1800970","2011","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",911296,586192,240037,1358,16280,126,41490,25813,1763,24050,"Marion County, Indiana",0,4835,3739,844,2798,186,5926,3744,1046,3612
"G1801050","2011","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",139799,121772,3493,171,8063,0,2016,4284,452,3832,"Monroe County, Indiana",0,1171,719,279,600,190,1146,1084,481,1029
"G1801090","2011","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",,,,,,,,,,,"Morgan County, Indiana",,,,,,,,,,
"G1801270","2011","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",165537,154427,6379,492,996,0,1168,2075,141,1934,"Porter County, Indiana",0,816,1399,446,688,190,726,933,194,927
"G1801410","2011","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",266700,211686,34179,696,4519,0,6666,8954,1372,7582,"St. Joseph County, Indiana",0,1842,1419,352,595,190,1796,1725,739,1643
"G1801570","2011","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",174724,149818,7042,238,11142,0,2009,4475,695,3780,"Tippecanoe County, Indiana",0,1077,1161,184,885,190,978,1531,591,1382
"G1801630","2011","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",180305,155444,16027,116,1623,0,2088,5007,270,4737,"Vanderburgh County, Indiana",0,811,1290,170,519,190,941,1476,432,1440
"G1801670","2011","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",108182,94942,7984,190,1732,0,970,2364,147,2217,"Vigo County, Indiana",0,633,507,221,386,190,627,703,156,668
"G1801770","2011","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",,,,,,,,,,,"Wayne County, Indiana",,,,,,,,,,
"G1900130","2011","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",131549,112860,12886,224,2039,0,960,2580,781,1799,"Black Hawk County, Iowa",0,1113,1005,164,496,155,623,995,697,698
"G1900490","2011","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",,,,,,,,,,,"Dallas County, Iowa",,,,,,,,,,
"G1900610","2011","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",94648,89431,1197,113,1224,136,10,2537,95,2442,"Dubuque County, Iowa",0,188,993,157,124,124,19,1010,108,1020
"G1901030","2011","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",133038,112709,5458,403,7412,0,3162,3894,118,3776,"Johnson County, Iowa",0,1081,850,249,569,155,1336,1145,121,1126
"G1901130","2011","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",213875,193420,8222,599,3673,0,1859,6102,652,5450,"Linn County, Iowa",0,986,1637,302,672,155,980,1754,637,1712
"G1901530","2011","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",437399,373643,26460,1127,17007,121,9107,9934,380,9554,"Polk County, Iowa",0,2997,1362,670,576,132,2987,2481,457,2483
"G1901550","2011","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",93518,89291,844,658,711,0,441,1573,6,1567,"Pottawattamie County, Iowa",0,516,469,290,237,155,375,601,11,601
"G1901630","2011","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",167095,145645,12776,438,3727,0,1158,3351,640,2711,"Scott County, Iowa",0,1014,626,353,379,155,594,1251,460,1079
"G1901690","2011","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",89663,79790,2750,65,5928,0,198,932,139,793,"Story County, Iowa",0,442,549,107,357,155,147,532,182,490
"G1901930","2011","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",102509,83782,2509,2003,1972,0,7694,4549,1029,3520,"Woodbury County, Iowa",0,1498,702,468,502,155,1856,1695,1030,1487
"G2000150","2011","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",65817,61225,699,512,293,64,516,2508,453,2055,"Butler County, Kansas",0,560,325,363,278,87,397,617,354,460
"G2000450","2011","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",112211,96070,4802,2112,4360,0,304,4563,130,4433,"Douglas County, Kansas",0,773,1077,828,831,168,359,1530,176,1528
"G2000910","2011","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",552991,483279,23787,1890,22220,0,6112,15703,721,14982,"Johnson County, Kansas",0,2339,1774,528,1967,168,2046,2665,547,2612
"G2001030","2011","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",75527,64932,5131,570,1375,188,1339,1992,68,1924,"Leavenworth County, Kansas",2843,3048,1105,279,265,337,855,840,92,841
"G2001610","2011","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",72997,61806,5040,194,2940,162,854,2001,129,1872,"Riley County, Kansas",0,785,803,232,590,178,771,843,156,843
"G2001730","2011","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",501076,393436,42545,4392,18976,237,16717,24773,2929,21844,"Sedgwick County, Kansas",0,3875,2667,1204,1415,273,3433,3604,1593,3179
"G2001770","2011","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",178941,146986,16503,1634,2352,0,3571,7895,1559,6336,"Shawnee County, Kansas",0,2559,1839,642,819,168,1827,2015,1033,1660
"G2002090","2011","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",158224,94349,39287,1490,4414,32,14470,4182,703,3479,"Wyandotte County, Kansas",0,2440,766,737,164,54,2507,996,517,944
"G2100150","2011","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",121737,110680,4338,618,2823,0,2226,1052,465,587,"Boone County, Kentucky",0,1962,10,441,315,189,2001,644,501,450
"G2100290","2011","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",,,,,,,,,,,"Bullitt County, Kentucky",,,,,,,,,,
"G2100370","2011","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",90940,85518,2534,0,871,0,702,1315,30,1285,"Campbell County, Kentucky",0,571,606,189,129,189,588,617,45,617
"G2100470","2011","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",73591,54401,15003,238,1012,13,810,2114,0,2114,"Christian County, Kentucky",0,632,865,201,201,26,659,899,189,899
"G2100590","2011","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",97234,89032,4682,209,849,0,742,1720,260,1460,"Daviess County, Kentucky",0,1053,743,94,664,189,833,842,470,709
"G2100670","2011","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",301569,229703,44513,620,10662,44,8690,7337,1250,6087,"Fayette County, Kentucky",0,2672,1577,463,773,72,2849,1717,998,1581
"G2100930","2011","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",107456,86406,13663,414,2558,262,422,3731,184,3547,"Hardin County, Kentucky",0,1005,1544,367,367,277,390,1158,199,1119
"G2101110","2011","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",746906,546372,153102,1658,16771,88,9329,19586,806,18780,"Jefferson County, Kentucky",0,2870,4013,510,1137,204,2649,4038,469,4119
"G2101170","2011","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",160406,145281,8476,987,1654,0,2123,1885,388,1497,"Kenton County, Kentucky",0,967,620,545,334,189,983,894,408,755
"G2101450","2011","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",65864,56204,6171,112,731,0,447,2199,0,2199,"McCracken County, Kentucky",0,345,788,100,189,189,511,679,189,679
"G2101510","2011","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",,,,,,,,,,,"Madison County, Kentucky",,,,,,,,,,
"G2101950","2011","KY",,,"Kentucky","21","Pike County","195",,,,,,,,,,,,,,,,,,"05000US21195","Pike County, Kentucky",,,,,,,,,,,"Pike County, Kentucky",,,,,,,,,,
"G2102270","2011","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",115517,94946,10915,848,2624,85,3297,2802,365,2437,"Warren County, Kentucky",0,608,872,885,1238,115,1079,1465,391,1419
"G2200050","2011","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",109985,82509,24094,550,311,0,1317,1204,0,1204,"Ascension Parish, Louisiana",0,376,1787,249,365,198,1728,817,198,817
"G2200150","2011","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",119732,84574,25498,945,1237,51,4887,2540,370,2170,"Bossier Parish, Louisiana",0,1341,518,295,646,84,1461,1075,277,1064
"G2200170","2011","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",257051,124914,120637,1417,2307,0,3201,4575,712,3863,"Caddo Parish, Louisiana",0,1372,1587,380,611,198,1225,1639,680,1595
"G2200190","2011","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",194092,137180,49039,1136,2427,0,922,3388,457,2931,"Calcasieu Parish, Louisiana",0,818,1221,363,209,198,487,1420,600,1443
"G2200330","2011","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",441438,220712,197772,177,13648,750,1064,7315,1070,6245,"East Baton Rouge Parish, Louisiana",0,1099,2003,216,343,1236,699,1798,644,1653
"G2200450","2011","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",73400,46144,23596,1066,1528,0,0,1066,74,992,"Iberia Parish, Louisiana",0,950,694,982,213,198,198,606,146,590
"G2200510","2011","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",432640,273719,114726,1945,17802,206,15461,8781,1870,6911,"Jefferson Parish, Louisiana",0,4038,2630,580,616,326,3449,2212,973,2145
"G2200550","2011","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",224390,157135,58601,289,3309,0,1316,3740,148,3592,"Lafayette Parish, Louisiana",0,1397,1048,258,416,198,1120,1369,249,1405
"G2200570","2011","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",96666,77155,13584,2795,532,0,1627,973,69,904,"Lafourche Parish, Louisiana",0,820,343,421,297,198,756,582,111,574
"G2200630","2011","LA",,,"Louisiana","22","Livingston Parish","063",,,,,,,,,,,,,,,,,,"05000US22063","Livingston Parish, Louisiana",,,,,,,,,,,"Livingston Parish, Louisiana",,,,,,,,,,
"G2200710","2011","LA",,,"Louisiana","22","Orleans Parish","071",,,,,,,,,,,,,,,,,,"05000US22071","Orleans Parish, Louisiana",360740,123436,216539,761,10649,147,5071,4137,798,3339,"Orleans Parish, Louisiana",0,1546,1028,316,579,195,1557,978,448,876
"G2200730","2011","LA",,,"Louisiana","22","Ouachita Parish","073",,,,,,,,,,,,,,,,,,"05000US22073","Ouachita Parish, Louisiana",154919,93402,56623,310,1141,0,679,2764,0,2764,"Ouachita Parish, Louisiana",0,639,1439,341,635,198,570,1790,198,1790
"G2200790","2011","LA",,,"Louisiana","22","Rapides Parish","079",,,,,,,,,,,,,,,,,,"05000US22079","Rapides Parish, Louisiana",132374,84895,42761,752,1735,0,482,1749,121,1628,"Rapides Parish, Louisiana",0,668,561,713,188,198,621,877,164,855
"G2200970","2011","LA",,,"Louisiana","22","St. Landry Parish","097",,,,,,,,,,,,,,,,,,"05000US22097","St. Landry Parish, Louisiana",,,,,,,,,,,"St. Landry Parish, Louisiana",,,,,,,,,,
"G2201030","2011","LA",,,"Louisiana","22","St. Tammany Parish","103",,,,,,,,,,,,,,,,,,"05000US22103","St. Tammany Parish, Louisiana",236785,198197,27650,812,3549,48,2296,4233,153,4080,"St. Tammany Parish, Louisiana",0,1496,1325,548,500,86,1509,1705,186,1701
"G2201050","2011","LA",,,"Louisiana","22","Tangipahoa Parish","105",,,,,,,,,,,,,,,,,,"05000US22105","Tangipahoa Parish, Louisiana",122571,81963,37881,214,151,0,857,1505,310,1195,"Tangipahoa Parish, Louisiana",0,782,493,215,151,198,712,456,321,313
"G2201090","2011","LA",,,"Louisiana","22","Terrebonne Parish","109",,,,,,,,,,,,,,,,,,"05000US22109","Terrebonne Parish, Louisiana",111917,79129,20293,6275,1235,945,1288,2752,490,2262,"Terrebonne Parish, Louisiana",0,1011,1740,985,312,1480,738,1395,444,1308
"G2300010","2011","ME",,,"Maine","23","Androscoggin County","001",,,,,,,,,,,,,,,,,,"05000US23001","Androscoggin County, Maine",107398,99790,1360,81,820,0,411,4936,211,4725,"Androscoggin County, Maine",0,364,709,89,333,157,342,790,305,703
"G2300030","2011","ME",,,"Maine","23","Aroostook County","003",,,,,,,,,,,,,,,,,,"05000US23003","Aroostook County, Maine",71482,68434,540,848,371,0,13,1276,92,1184,"Aroostook County, Maine",0,108,111,256,163,157,36,358,109,322
"G2300050","2011","ME",,,"Maine","23","Cumberland County","005",,,,,,,,,,,,,,,,,,"05000US23005","Cumberland County, Maine",282401,262612,7536,500,5178,103,688,5784,57,5727,"Cumberland County, Maine",0,906,1105,612,912,103,625,1332,77,1336
"G2300110","2011","ME",,,"Maine","23","Kennebec County","011",,,,,,,,,,,,,,,,,,"05000US23011","Kennebec County, Maine",121935,117213,590,1249,421,0,630,1832,65,1767,"Kennebec County, Maine",0,356,349,881,391,157,373,888,119,883
"G2300190","2011","ME",,,"Maine","23","Penobscot County","019",,,,,,,,,,,,,,,,,,"05000US23019","Penobscot County, Maine",153786,146599,1292,1888,1159,0,466,2382,71,2311,"Penobscot County, Maine",0,422,211,344,409,157,372,646,151,632
"G2300310","2011","ME",,,"Maine","23","York County","031",,,,,,,,,,,,,,,,,,"05000US23031","York County, Maine",198199,190389,924,704,2681,31,334,3136,264,2872,"York County, Maine",0,590,403,319,691,51,305,933,348,952
"G2400010","2011","MD",,,"Maryland","24","Allegany County","001",,,,,,,,,,,,,,,,,,"05000US24001","Allegany County, Maryland",74692,66295,5790,292,783,0,210,1322,107,1215,"Allegany County, Maryland",0,184,524,253,60,204,177,423,97,403
"G2400030","2011","MD",,,"Maryland","24","Anne Arundel County","003",,,,,,,,,,,,,,,,,,"05000US24003","Anne Arundel County, Maryland",544403,413188,87887,565,17780,88,8462,16433,1463,14970,"Anne Arundel County, Maryland",0,3238,2396,356,1626,127,2734,2780,989,2508
"G2400050","2011","MD",,,"Maryland","24","Baltimore County","005",,,,,,,,,,,,,,,,,,"05000US24005","Baltimore County, Maryland",809941,521070,216513,1697,42413,469,11304,16475,1385,15090,"Baltimore County, Maryland",0,3647,3057,498,1489,129,3501,3145,772,2853
"G2400090","2011","MD",,,"Maryland","24","Calvert County","009",,,,,,,,,,,,,,,,,,"05000US24009","Calvert County, Maryland",89256,72602,12197,159,992,0,831,2475,0,2475,"Calvert County, Maryland",0,885,626,331,504,204,885,788,204,788
"G2400130","2011","MD",,,"Maryland","24","Carroll County","013",,,,,,,,,,,,,,,,,,"05000US24013","Carroll County, Maryland",167288,155112,5256,213,2962,0,665,3080,125,2955,"Carroll County, Maryland",0,977,535,141,309,204,745,656,155,630
"G2400150","2011","MD",,,"Maryland","24","Cecil County","015",,,,,,,,,,,,,,,,,,"05000US24015","Cecil County, Maryland",101694,89984,6931,169,1442,0,1957,1211,0,1211,"Cecil County, Maryland",0,1307,485,176,180,204,1307,524,204,524
"G2400170","2011","MD",,,"Maryland","24","Charles County","017",,,,,,,,,,,,,,,,,,"05000US24017","Charles County, Maryland",149130,74123,61035,1241,5161,90,1946,5534,441,5093,"Charles County, Maryland",0,1160,1520,152,583,151,1136,1762,334,1763
"G2400210","2011","MD",,,"Maryland","24","Frederick County","021",,,,,,,,,,,,,,,,,,"05000US24021","Frederick County, Maryland",236745,193930,22516,1062,9376,118,4312,5431,1306,4125,"Frederick County, Maryland",0,2492,956,430,1085,156,2243,1684,993,1443
"G2400250","2011","MD",,,"Maryland","24","Harford County","025",,,,,,,,,,,,,,,,,,"05000US24025","Harford County, Maryland",246489,200248,30588,510,5906,47,2293,6897,97,6800,"Harford County, Maryland",0,1497,1575,346,964,93,1390,1707,99,1694
"G2400270","2011","MD",,,"Maryland","24","Howard County","027",,,,,,,,,,,,,,,,,,"05000US24027","Howard County, Maryland",293142,178850,50452,843,42654,137,8601,11605,1391,10214,"Howard County, Maryland",0,2951,2615,407,2031,179,3826,3038,898,2920
"G2400310","2011","MD",,,"Maryland","24","Montgomery County","031",,,,,,,,,,,,,,,,,,"05000US24031","Montgomery County, Maryland",989794,569882,173915,2012,139546,141,69544,34754,6804,27950,"Montgomery County, Maryland",0,8067,4115,535,2608,178,7750,4285,2019,3664
"G2400330","2011","MD",,,"Maryland","24","Prince George's County","033",,,,,,,,,,,,,,,,,,"05000US24033","Prince George's County, Maryland",871233,189580,560701,2830,35727,43,63971,18381,4213,14168,"Prince George's County, Maryland",0,7559,3776,641,1967,71,7184,3339,2115,2602
"G2400370","2011","MD",,,"Maryland","24","St. Mary's County","037",,,,,,,,,,,,,,,,,,"05000US24037","St. Mary's County, Maryland",107484,84347,16275,146,3171,0,709,2836,371,2465,"St. Mary's County, Maryland",0,915,1114,177,400,204,699,988,317,1008
"G2400430","2011","MD",,,"Maryland","24","Washington County","043",,,,,,,,,,,,,,,,,,"05000US24043","Washington County, Maryland",148203,125383,15949,576,2654,0,437,3204,27,3177,"Washington County, Maryland",0,1024,1316,206,293,204,484,904,52,898
"G2400450","2011","MD",,,"Maryland","24","Wicomico County","045",,,,,,,,,,,,,,,,,,"05000US24045","Wicomico County, Maryland",99190,69636,23779,0,1893,0,545,3337,0,3337,"Wicomico County, Maryland",0,654,1176,204,901,204,552,1475,204,1475
"G2405100","2011","MD",,,"Maryland","24","Baltimore city","510",,,,,,,,,,,,,,,,,,"05000US24510","Baltimore city, Maryland",619493,186050,390096,1760,14561,733,11209,15084,1353,13731,"Baltimore city, Maryland",0,2321,2864,554,636,1096,3078,2809,656,2681
"G2500010","2011","MA",,,"Massachusetts","25","Barnstable County","001",,,,,,,,,,,,,,,,,,"05000US25001","Barnstable County, Massachusetts",215769,201882,5120,1447,2714,0,1804,2802,594,2208,"Barnstable County, Massachusetts",0,1036,958,612,417,204,930,1161,428,1087
"G2500030","2011","MA",,,"Massachusetts","25","Berkshire County","003",,,,,,,,,,,,,,,,,,"05000US25003","Berkshire County, Massachusetts",130458,121367,4020,373,2009,0,484,2205,259,1946,"Berkshire County, Massachusetts",0,593,659,237,289,204,433,984,268,982
