GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AKSME001,AKSME002,AKSME003,AKSME004,AKSME005,AKSME006,AKSME007,AKSME008,AKSME009,AKSME010,NAME_M,AKSMM001,AKSMM002,AKSMM003,AKSMM004,AKSMM005,AKSMM006,AKSMM007,AKSMM008,AKSMM009,AKSMM010
"G1701110","2019","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",307774,284113,4523,387,8788,0,2795,7168,875,6293,"McHenry County, Illinois",0,1618,779,404,942,195,1133,1799,791,1554
"G1701130","2019","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",171517,143711,14048,141,8574,92,602,4349,417,3932,"McLean County, Illinois",0,799,961,122,740,179,538,1314,415,1197
"G1701150","2019","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",104009,80607,18749,65,1209,73,264,3042,42,3000,"Macon County, Illinois",0,338,1044,67,337,111,195,1142,72,1137
"G1701190","2019","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",262966,229354,21887,709,3490,69,1667,5790,200,5590,"Madison County, Illinois",0,904,2043,330,363,131,872,2084,233,2070
"G1701430","2019","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",179179,129106,32993,81,7740,13,3254,5992,577,5415,"Peoria County, Illinois",0,1648,1977,132,435,24,1614,2358,591,2169
"G1701610","2019","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",141879,110742,15044,860,3082,0,6195,5956,864,5092,"Rock Island County, Illinois",0,1548,1676,574,754,195,1808,1511,535,1480
"G1701630","2019","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",259686,167199,76052,790,3278,204,1569,10594,630,9964,"St. Clair County, Illinois",0,1062,2154,335,695,299,871,2184,525,2115
"G1701670","2019","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",194672,159527,25391,122,3902,187,677,4866,105,4761,"Sangamon County, Illinois",0,738,1176,142,772,298,511,1447,138,1448
"G1701790","2019","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",131803,126273,1433,45,1375,0,392,2285,159,2126,"Tazewell County, Illinois",0,397,852,81,299,195,399,961,200,906
"G1701830","2019","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",75758,61830,10939,201,611,0,509,1668,284,1384,"Vermilion County, Illinois",0,792,721,343,294,195,480,861,361,859
"G1701970","2019","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",690743,508306,79657,1872,40123,0,38044,22741,3104,19637,"Will County, Illinois",0,6306,2619,1381,1617,195,6497,3849,1356,3433
"G1701990","2019","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",66597,59900,3004,162,1189,0,259,2083,307,1776,"Williamson County, Illinois",0,401,1243,211,865,195,275,935,269,935
"G1702010","2019","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",282572,221622,39076,522,7714,0,5178,8460,841,7619,"Winnebago County, Illinois",0,2126,1819,451,1010,195,1615,2013,478,1991
"G1800030","2019","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",379299,294918,42717,1316,17143,90,9586,13529,512,13017,"Allen County, Indiana",0,2861,2612,797,1122,108,2524,2805,367,2769
"G1800050","2019","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",83779,70685,794,0,7136,0,2390,2774,181,2593,"Bartholomew County, Indiana",0,2285,531,201,696,201,2174,972,285,954
"G1800110","2019","IN",,,"Indiana","18","Boone County","011",,,,,,,,,,,,,,,,,,"05000US18011","Boone County, Indiana",,,,,,,,,,,"Boone County, Indiana",,,,,,,,,,
"G1800190","2019","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",118302,103343,8933,330,1577,0,590,3529,0,3529,"Clark County, Indiana",0,757,1487,534,286,201,489,1499,201,1499
"G1800350","2019","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",114135,101399,7186,114,1504,0,171,3761,240,3521,"Delaware County, Indiana",0,401,832,176,405,201,177,958,345,857
"G1800390","2019","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",206341,171592,12665,261,2540,42,13961,5280,1166,4114,"Elkhart County, Indiana",0,4301,1983,262,625,59,4019,2322,1292,1781
"G1800430","2019","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",78522,70985,3711,192,412,150,62,3010,268,2742,"Floyd County, Indiana",0,371,792,253,336,256,117,792,303,790
"G1800530","2019","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",65769,57438,4315,73,736,0,692,2515,67,2448,"Grant County, Indiana",0,637,1072,129,100,201,532,1150,71,1153
"G1800570","2019","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",338011,290443,14768,529,22574,0,2416,7281,627,6654,"Hamilton County, Indiana",0,1553,1220,621,1585,201,1483,2341,626,2182
"G1800590","2019","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",,,,,,,,,,,"Hancock County, Indiana",,,,,,,,,,
"G1800630","2019","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",170311,145389,12133,254,5902,61,2592,3980,551,3429,"Hendricks County, Indiana",0,2187,1913,199,372,115,2044,2043,580,1948
"G1800670","2019","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",,,,,,,,,,,"Howard County, Indiana",,,,,,,,,,
"G1800810","2019","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",158167,141559,3655,0,6277,81,3312,3283,251,3032,"Johnson County, Indiana",0,2326,1108,201,1080,144,2367,1497,263,1610
"G1800850","2019","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",79456,72911,1174,905,1178,0,1367,1921,935,986,"Kosciusko County, Indiana",0,1308,72,1154,892,201,810,1113,696,898
"G1800890","2019","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",485493,308076,114497,2022,7771,252,39895,12980,4930,8050,"Lake County, Indiana",0,5429,1586,591,730,216,5832,2589,1586,1981
"G1800910","2019","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",109888,91110,12032,318,737,44,1618,4029,548,3481,"LaPorte County, Indiana",0,1284,1250,247,372,68,888,1555,555,1561
"G1800950","2019","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",129569,114100,10864,328,678,0,1234,2365,87,2278,"Madison County, Indiana",0,564,1094,242,282,201,777,1053,156,1045
"G1800970","2019","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",964582,588751,276376,3224,36356,96,27387,32392,3737,28655,"Marion County, Indiana",0,6526,4064,1528,1977,162,5739,4365,1547,4015
"G1801050","2019","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",148431,127639,4950,234,10784,0,575,4249,0,4249,"Monroe County, Indiana",0,697,964,246,1065,201,596,1329,201,1329
"G1801090","2019","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",,,,,,,,,,,"Morgan County, Indiana",,,,,,,,,,
"G1801270","2019","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",170389,154491,7268,357,2494,99,1765,3915,808,3107,"Porter County, Indiana",0,1641,1018,389,513,128,1036,1474,736,1217
"G1801410","2019","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",271826,209652,34920,1275,7243,73,7783,10880,945,9935,"St. Joseph County, Indiana",0,2473,3221,624,757,95,2174,3187,710,3125
"G1801570","2019","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",195732,157216,11376,602,15892,37,5503,5106,783,4323,"Tippecanoe County, Indiana",0,2121,1138,569,1149,73,2174,1609,666,1603
"G1801630","2019","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",181451,152831,17588,55,2824,1178,2398,4577,377,4200,"Vanderburgh County, Indiana",0,795,2181,115,410,1784,877,1552,463,1559
"G1801670","2019","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",107038,92535,7669,175,1808,97,958,3796,388,3408,"Vigo County, Indiana",0,684,915,162,482,175,401,1046,356,987
"G1801770","2019","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",65884,58138,2978,1329,1004,0,454,1981,0,1981,"Wayne County, Indiana",0,1117,753,1013,81,201,581,753,201,753
"G1900130","2019","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",131228,109363,12952,108,2636,0,1138,5031,313,4718,"Black Hawk County, Iowa",0,748,1057,139,701,165,622,1400,293,1371
"G1900490","2019","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",93453,84101,2699,0,4686,378,249,1340,379,961,"Dallas County, Iowa",0,786,286,165,682,677,255,863,466,740
"G1900610","2019","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",97311,89282,3823,174,992,597,894,1549,131,1418,"Dubuque County, Iowa",0,731,628,194,329,165,784,758,168,743
"G1901030","2019","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",151140,122583,10895,427,9073,82,3125,4955,137,4818,"Johnson County, Iowa",0,1433,1385,544,905,155,1387,1586,168,1573
"G1901130","2019","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",226706,197713,12869,952,5685,0,2229,7258,376,6882,"Linn County, Iowa",0,2315,2376,454,761,165,2182,2528,393,2489
"G1901530","2019","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",490161,411634,38150,1852,23959,139,5161,9266,577,8689,"Polk County, Iowa",0,2255,1497,627,1417,232,1939,1966,338,1978
"G1901550","2019","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",93206,87339,1961,477,1199,0,666,1564,232,1332,"Pottawattamie County, Iowa",0,656,362,280,31,165,467,557,290,462
"G1901630","2019","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",172943,147627,13359,796,5315,0,1087,4759,177,4582,"Scott County, Iowa",0,949,1477,315,247,165,679,1437,276,1456
"G1901690","2019","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",97117,81815,3084,409,6628,0,1684,3497,1100,2397,"Story County, Iowa",0,473,301,278,1327,165,519,1469,645,1266
"G1901930","2019","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",103107,88218,3993,2002,2760,0,1569,4565,285,4280,"Woodbury County, Iowa",0,1249,971,413,468,165,947,1474,353,1395
"G2000150","2019","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",66911,61543,2395,298,1265,0,98,1312,125,1187,"Butler County, Kansas",0,991,905,273,96,181,129,457,247,365
"G2000450","2019","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",122259,100869,4299,2274,6936,0,826,7055,165,6890,"Douglas County, Kansas",0,863,977,897,777,181,555,1479,198,1494
"G2000910","2019","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",602401,510809,28957,1003,31389,407,10454,19382,1175,18207,"Johnson County, Kansas",0,3399,1692,565,1550,267,3024,2410,806,2409
"G2001030","2019","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",81758,68073,7093,867,1102,24,1826,2773,408,2365,"Leavenworth County, Kansas",0,984,1112,338,509,45,1145,1058,418,1001
"G2001610","2019","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",74232,61679,2535,1466,3501,991,608,3452,0,3452,"Riley County, Kansas",0,927,1128,1515,652,1234,497,1345,181,1345
"G2001730","2019","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",516042,401414,44165,4395,22311,122,17645,25990,1695,24295,"Sedgwick County, Kansas",0,4652,2697,1936,1467,166,4014,3174,981,3150
"G2001770","2019","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",176875,143014,16522,1434,2180,0,7906,5819,961,4858,"Shawnee County, Kansas",0,2294,764,607,568,181,2327,1247,603,1157
"G2002090","2019","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",165429,94177,36575,901,8747,100,17626,7303,1903,5400,"Wyandotte County, Kansas",0,2584,1583,387,383,168,2587,1544,889,1519
"G2100150","2019","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",133581,121911,2618,0,3807,0,2255,2990,0,2990,"Boone County, Kentucky",0,890,1819,201,230,201,2174,998,201,998
"G2100290","2019","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",,,,,,,,,,,"Bullitt County, Kentucky",,,,,,,,,,
"G2100370","2019","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",93584,87404,2384,71,819,162,697,2047,220,1827,"Campbell County, Kentucky",0,685,815,132,173,240,754,898,328,810
"G2100470","2019","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",70461,49144,15715,351,1231,991,1056,1973,135,1838,"Christian County, Kentucky",0,911,1125,576,503,933,991,1083,260,1100
"G2100590","2019","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",101511,90670,2509,296,4736,48,1403,1849,250,1599,"Daviess County, Kentucky",0,1177,1001,320,1496,85,1188,861,278,815
"G2100670","2019","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",323152,237490,47878,708,13446,51,9032,14547,3482,11065,"Fayette County, Kentucky",0,2529,2189,578,770,60,2539,3432,2316,2769
"G2100930","2019","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",110958,87590,13506,4,3063,356,1125,5314,827,4487,"Hardin County, Kentucky",0,901,1549,8,826,351,650,1683,764,1447
"G2101110","2019","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",766757,546872,171781,1302,22829,502,5032,18439,642,17797,"Jefferson County, Kentucky",0,2349,3133,482,1186,87,1646,3205,507,3117
"G2101170","2019","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",166998,150351,6710,205,2219,0,2182,5331,283,5048,"Kenton County, Kentucky",0,1530,1190,238,274,201,1462,1445,321,1366
"G2101450","2019","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",65418,55310,5307,724,727,0,343,3007,345,2662,"McCracken County, Kentucky",0,497,895,707,76,201,349,965,445,889
"G2101510","2019","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",92987,84907,3616,470,527,1189,398,1880,0,1880,"Madison County, Kentucky",0,667,1112,411,497,1421,503,957,201,957
"G2101850","2019","KY",,,"Kentucky","21","Oldham County","185",,,,,,,,,,,,,,,,,,"05000US21185","Oldham County, Kentucky",66799,61450,3474,0,1133,30,21,691,39,652,"Oldham County, Kentucky",0,180,339,201,209,53,27,437,91,404
"G2102270","2019","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",132896,107619,11640,509,5895,292,2370,4571,506,4065,"Warren County, Kentucky",0,1486,1968,766,573,381,1255,2071,595,1920
"G2200050","2019","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",,,,,,,,,,,"Ascension Parish, Louisiana",,,,,,,,,,
"G2200150","2019","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",127039,90720,29422,831,2756,0,1096,2214,479,1735,"Bossier Parish, Louisiana",0,1137,808,300,243,224,897,1180,581,1042
"G2200170","2019","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",240204,110929,119896,879,2944,400,797,4359,1329,3030,"Caddo Parish, Louisiana",0,1221,1060,420,719,454,650,1667,1045,1158
"G2200190","2019","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",203436,141761,51058,133,3176,33,2121,5154,208,4946,"Calcasieu Parish, Louisiana",0,1184,1772,161,115,64,1267,1674,232,1618
"G2200330","2019","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",440059,202115,207515,664,14095,0,8907,6763,1083,5680,"East Baton Rouge Parish, Louisiana",0,2476,1430,427,1953,224,2329,2732,946,2450
"G2200450","2019","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",69830,41591,22861,74,1745,0,1875,1684,321,1363,"Iberia Parish, Louisiana",0,941,825,129,445,224,1255,990,429,905
"G2200510","2019","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",432493,272355,117383,2290,19571,46,11414,9434,1769,7665,"Jefferson Parish, Louisiana",0,4393,2150,591,554,80,3762,2358,1180,1908
"G2200550","2019","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",244390,168574,65388,908,4521,0,1894,3105,255,2850,"Lafayette Parish, Louisiana",0,1117,1433,412,614,224,1141,1009,233,923
"G2200570","2019","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",97614,78421,13911,1937,550,0,0,2795,430,2365,"Lafourche Parish, Louisiana",0,915,676,500,493,224,224,1309,754,994
"G2200630","2019","LA",,,"Louisiana","22","Livingston Parish","063",,,,,,,,,,,,,,,,,,"05000US22063","Livingston Parish, Louisiana",,,,,,,,,,,"Livingston Parish, Louisiana",,,,,,,,,,
"G2200710","2019","LA",,,"Louisiana","22","Orleans Parish","071",,,,,,,,,,,,,,,,,,"05000US22071","Orleans Parish, Louisiana",390144,132595,229418,1349,11049,29,7684,8020,617,7403,"Orleans Parish, Louisiana",0,2662,1598,517,393,48,3127,1612,350,1582
"G2200730","2019","LA",,,"Louisiana","22","Ouachita Parish","073",,,,,,,,,,,,,,,,,,"05000US22073","Ouachita Parish, Louisiana",153279,87618,57876,273,1127,0,4287,2098,79,2019,"Ouachita Parish, Louisiana",0,2376,718,167,365,224,2388,881,135,849
"G2200790","2019","LA",,,"Louisiana","22","Rapides Parish","079",,,,,,,,,,,,,,,,,,"05000US22079","Rapides Parish, Louisiana",129648,82021,41183,283,1663,0,943,3555,81,3474,"Rapides Parish, Louisiana",0,628,1482,209,308,224,525,1476,157,1474
"G2200970","2019","LA",,,"Louisiana","22","St. Landry Parish","097",,,,,,,,,,,,,,,,,,"05000US22097","St. Landry Parish, Louisiana",,,,,,,,,,,"St. Landry Parish, Louisiana",,,,,,,,,,
"G2201030","2019","LA",,,"Louisiana","22","St. Tammany Parish","103",,,,,,,,,,,,,,,,,,"05000US22103","St. Tammany Parish, Louisiana",260419,214124,34215,2282,3616,0,1793,4389,564,3825,"St. Tammany Parish, Louisiana",0,2639,1933,843,973,224,1732,1682,443,1568
"G2201050","2019","LA",,,"Louisiana","22","Tangipahoa Parish","105",,,,,,,,,,,,,,,,,,"05000US22105","Tangipahoa Parish, Louisiana",,,,,,,,,,,"Tangipahoa Parish, Louisiana",,,,,,,,,,
"G2201090","2019","LA",,,"Louisiana","22","Terrebonne Parish","109",,,,,,,,,,,,,,,,,,"05000US22109","Terrebonne Parish, Louisiana",110461,77626,21372,5533,1218,0,1499,3213,0,3213,"Terrebonne Parish, Louisiana",0,1242,909,1091,305,224,1242,1454,224,1454
"G2300010","2019","ME",,,"Maine","23","Androscoggin County","001",,,,,,,,,,,,,,,,,,"05000US23001","Androscoggin County, Maine",108277,98890,3755,8,1039,0,409,4176,184,3992,"Androscoggin County, Maine",0,622,1333,12,321,172,355,1487,311,1446
"G2300030","2019","ME",,,"Maine","23","Aroostook County","003",,,,,,,,,,,,,,,,,,"05000US23003","Aroostook County, Maine",67055,63388,651,1452,333,0,143,1088,7,1081,"Aroostook County, Maine",0,186,404,243,143,172,193,519,12,519
"G2300050","2019","ME",,,"Maine","23","Cumberland County","005",,,,,,,,,,,,,,,,,,"05000US23005","Cumberland County, Maine",295003,269684,10161,1027,6590,30,1126,6385,356,6029,"Cumberland County, Maine",0,1139,1343,560,807,63,778,1616,396,1553
"G2300110","2019","ME",,,"Maine","23","Kennebec County","011",,,,,,,,,,,,,,,,,,"05000US23011","Kennebec County, Maine",122302,116835,1802,132,574,0,422,2537,91,2446,"Kennebec County, Maine",0,324,1369,223,374,172,303,1276,140,1261
"G2300190","2019","ME",,,"Maine","23","Penobscot County","019",,,,,,,,,,,,,,,,,,"05000US23019","Penobscot County, Maine",152148,142957,1313,2101,1708,65,1040,2964,117,2847,"Penobscot County, Maine",0,925,357,561,561,113,802,939,173,943
"G2300310","2019","ME",,,"Maine","23","York County","031",,,,,,,,,,,,,,,,,,"05000US23031","York County, Maine",207641,197350,2374,1376,2314,56,839,3332,579,2753,"York County, Maine",0,789,443,613,719,96,640,1037,441,920
"G2400010","2019","MD",,,"Maryland","24","Allegany County","001",,,,,,,,,,,,,,,,,,"05000US24001","Allegany County, Maryland",70416,61563,5642,124,815,15,53,2204,95,2109,"Allegany County, Maryland",0,317,811,106,173,60,95,829,86,807
"G2400030","2019","MD",,,"Maryland","24","Anne Arundel County","003",,,,,,,,,,,,,,,,,,"05000US24003","Anne Arundel County, Maryland",579234,417915,101926,1312,21617,103,10105,26256,1739,24517,"Anne Arundel County, Maryland",0,3543,3217,950,1828,112,3467,3799,1246,3278
"G2400050","2019","MD",,,"Maryland","24","Baltimore County","005",,,,,,,,,,,,,,,,,,"05000US24005","Baltimore County, Maryland",827370,483230,248401,2305,50514,429,20267,22224,2224,20000,"Baltimore County, Maryland",0,4914,3665,650,1949,62,5322,3809,1285,3605
"G2400090","2019","MD",,,"Maryland","24","Calvert County","009",,,,,,,,,,,,,,,,,,"05000US24009","Calvert County, Maryland",92525,75277,11807,208,1448,54,205,3526,0,3526,"Calvert County, Maryland",0,413,1207,283,762,112,330,1435,210,1435
"G2400130","2019","MD",,,"Maryland","24","Carroll County","013",,,,,,,,,,,,,,,,,,"05000US24013","Carroll County, Maryland",168447,153803,6294,456,3332,0,706,3856,0,3856,"Carroll County, Maryland",0,821,893,424,473,210,407,1059,210,1059
"G2400150","2019","MD",,,"Maryland","24","Cecil County","015",,,,,,,,,,,,,,,,,,"05000US24015","Cecil County, Maryland",102855,90092,7715,0,1859,0,369,2820,441,2379,"Cecil County, Maryland",0,1165,1247,210,170,210,382,1055,569,1005
"G2400170","2019","MD",,,"Maryland","24","Charles County","017",,,,,,,,,,,,,,,,,,"05000US24017","Charles County, Maryland",163257,66778,82621,182,5467,50,2036,6123,354,5769,"Charles County, Maryland",0,1721,1694,200,575,80,1366,1522,415,1500
"G2400210","2019","MD",,,"Maryland","24","Frederick County","021",,,,,,,,,,,,,,,,,,"05000US24021","Frederick County, Maryland",259547,206661,27065,963,12349,77,3076,9356,782,8574,"Frederick County, Maryland",0,2342,3034,692,890,129,1227,2650,722,2298
"G2400250","2019","MD",,,"Maryland","24","Harford County","025",,,,,,,,,,,,,,,,,,"05000US24025","Harford County, Maryland",255441,199416,36306,165,7299,92,3310,8853,422,8431,"Harford County, Maryland",0,1565,2200,304,966,173,1316,2298,329,2260
"G2400270","2019","MD",,,"Maryland","24","Howard County","027",,,,,,,,,,,,,,,,,,"05000US24027","Howard County, Maryland",325690,179563,64061,1609,60235,230,3873,16119,1471,14648,"Howard County, Maryland",0,2349,2056,956,1699,252,1703,2759,1116,2530
"G2400310","2019","MD",,,"Maryland","24","Montgomery County","031",,,,,,,,,,,,,,,,,,"05000US24031","Montgomery County, Maryland",1050688,536605,200076,4413,157335,252,106894,45113,7886,37227,"Montgomery County, Maryland",0,10545,3325,1444,2917,319,10680,4896,2645,3942
"G2400330","2019","MD",,,"Maryland","24","Prince George's County","033",,,,,,,,,,,,,,,,,,"05000US24033","Prince George's County, Maryland",909327,145611,561709,3262,37198,741,134238,26568,2306,24262,"Prince George's County, Maryland",0,6254,4564,557,1585,782,6346,4024,846,4039
"G2400370","2019","MD",,,"Maryland","24","St. Mary's County","037",,,,,,,,,,,,,,,,,,"05000US24037","St. Mary's County, Maryland",113510,87179,17644,102,2390,0,1769,4426,362,4064,"St. Mary's County, Maryland",0,1533,1172,198,1082,210,1379,1680,520,1530
"G2400430","2019","MD",,,"Maryland","24","Washington County","043",,,,,,,,,,,,,,,,,,"05000US24043","Washington County, Maryland",151049,121625,18086,109,3125,111,2104,5889,185,5704,"Washington County, Maryland",0,1446,1802,149,300,141,1388,1965,170,1962
