GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AAA6E001,AAA6E002,AAA6E003,AAA6E004,AAA6E005,AAA6E006,AAA6E007,AAA6E008,AAA6E009,AAA6E010,NAME_M,AAA6M001,AAA6M002,AAA6M003,AAA6M004,AAA6M005,AAA6M006,AAA6M007,AAA6M008,AAA6M009,AAA6M010
"G1700310","2014","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",5246456,2963512,1251913,13816,367760,1677,529965,117813,37416,80397,"Cook County, Illinois",0,16798,5067,2544,3543,579,16635,7542,4397,5973
"G1700370","2014","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",105462,88996,7843,0,3138,0,3450,2035,241,1794,"DeKalb County, Illinois",0,1482,777,182,226,182,1458,835,315,800
"G1700430","2014","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",932708,740100,43241,1129,105137,231,20062,22808,3688,19120,"DuPage County, Illinois",0,4262,3343,770,1714,276,3784,3679,1245,3752
"G1700890","2014","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",527306,379869,29574,2082,19114,36,84823,11808,1781,10027,"Kane County, Illinois",0,8561,2103,1089,1551,62,8859,2281,989,2123
"G1700910","2014","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",111375,89049,16554,66,1302,0,1992,2412,26,2386,"Kankakee County, Illinois",0,1232,829,86,145,182,1178,926,44,926
"G1700930","2014","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",121350,102421,7146,48,4106,0,4391,3238,781,2457,"Kendall County, Illinois",0,2810,1365,99,698,182,2636,1499,568,1359
"G1700970","2014","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",705186,577264,47042,890,48971,866,12168,17985,2757,15228,"Lake County, Illinois",0,3352,2407,478,1703,1006,2579,3496,1336,3168
"G1700990","2014","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",111241,105611,2060,1007,820,74,638,1031,0,1031,"LaSalle County, Illinois",0,570,742,888,158,132,540,432,182,432
"G1701110","2014","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",307283,284257,4457,166,7681,56,5425,5241,910,4331,"McHenry County, Illinois",0,2543,615,148,1183,97,2316,1441,796,1293
"G1701130","2014","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",174061,144811,15159,73,8358,0,2659,3001,364,2637,"McLean County, Illinois",0,1531,1034,79,748,182,1363,851,418,864
"G1701150","2014","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",108350,85205,14785,434,1488,0,98,6340,277,6063,"Macon County, Illinois",0,473,1623,480,173,182,82,1574,314,1601
"G1701190","2014","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",266560,234913,22617,393,2457,296,1043,4841,372,4469,"Madison County, Illinois",0,765,875,275,404,343,572,1098,224,1063
"G1701430","2014","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",187319,136912,32448,524,6501,36,4162,6736,876,5860,"Peoria County, Illinois",0,1675,1585,265,908,61,1719,2145,737,1783
"G1701610","2014","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",146063,119994,13149,86,2939,238,3466,6191,1754,4437,"Rock Island County, Illinois",0,1563,1272,93,518,348,1162,1598,1111,1236
"G1701630","2014","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",265729,173062,79273,99,3324,129,2797,7045,265,6780,"St. Clair County, Illinois",0,1296,1596,128,638,216,1201,1692,323,1731
"G1701670","2014","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",198997,163140,25121,293,3206,300,2840,4097,286,3811,"Sangamon County, Illinois",0,1309,997,214,625,395,1314,1074,336,1031
"G1701790","2014","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",135707,130311,1801,277,1136,0,90,2092,9,2083,"Tazewell County, Illinois",0,425,573,198,299,182,128,779,17,777
"G1701830","2014","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",79728,65964,11950,484,164,0,891,275,0,275,"Vermilion County, Illinois",0,821,723,668,134,182,820,253,182,253
"G1701970","2014","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",685419,498894,75445,2326,36164,82,53262,19246,5688,13558,"Will County, Illinois",0,5992,2644,975,1279,140,6209,3242,1801,2770
"G1701990","2014","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",,,,,,,,,,,"Williamson County, Illinois",,,,,,,,,,
"G1702010","2014","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",288542,228385,36427,783,6918,502,7734,7793,1193,6600,"Winnebago County, Illinois",0,2226,1289,889,715,587,2271,1636,630,1441
"G1800030","2014","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",365918,288487,41000,825,13220,23,8010,14353,1070,13283,"Allen County, Indiana",0,2164,2639,395,536,38,2055,2546,767,2526
"G1800050","2014","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",80217,68914,1802,50,4226,0,3955,1270,130,1140,"Bartholomew County, Indiana",0,947,435,106,554,187,985,753,154,740
"G1800190","2014","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",114262,99609,8239,0,582,131,2012,3689,183,3506,"Clark County, Indiana",0,1567,837,187,371,197,1596,1125,259,1099
"G1800350","2014","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",117074,103940,8773,0,1863,16,761,1721,125,1596,"Delaware County, Indiana",0,583,702,187,187,34,670,709,133,699
"G1800390","2014","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",201971,173189,10223,159,2280,130,8117,7873,1623,6250,"Elkhart County, Indiana",0,3116,1434,121,417,145,2851,2348,1109,1989
"G1800430","2014","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",76179,68588,4247,103,634,0,848,1759,57,1702,"Floyd County, Indiana",0,436,772,113,196,187,474,755,99,756
"G1800530","2014","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",68569,60615,5603,53,547,0,430,1321,72,1249,"Grant County, Indiana",0,602,572,98,187,187,451,575,131,550
"G1800570","2014","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",302623,265010,10429,144,17259,0,2052,7729,590,7139,"Hamilton County, Indiana",0,1363,1207,272,916,187,1073,1751,356,1753
"G1800590","2014","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",,,,,,,,,,,"Hancock County, Indiana",,,,,,,,,,
"G1800630","2014","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",156056,138665,7854,245,3834,0,2715,2743,167,2576,"Hendricks County, Indiana",0,1082,1472,314,904,187,2393,1435,279,1395
"G1800670","2014","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",82982,72882,6222,246,362,0,874,2396,0,2396,"Howard County, Indiana",0,521,1104,242,308,187,566,933,187,933
"G1800810","2014","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",147538,138258,2982,0,4771,0,706,821,0,821,"Johnson County, Indiana",0,717,590,187,342,187,702,654,187,654
"G1800850","2014","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",78564,72352,598,226,1063,0,3135,1190,261,929,"Kosciusko County, Indiana",0,1582,417,172,605,187,1542,707,414,557
"G1800890","2014","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",490228,303934,121294,1505,6515,89,43521,13370,4036,9334,"Lake County, Indiana",0,4378,1727,800,989,144,4500,2533,1164,2673
"G1800910","2014","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",111444,92100,12798,161,487,17,3080,2801,666,2135,"LaPorte County, Indiana",0,1014,524,137,199,29,948,831,648,637
"G1800950","2014","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",130069,114564,10809,214,681,0,1233,2568,177,2391,"Madison County, Indiana",0,982,704,136,408,187,956,839,183,834
"G1800970","2014","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",934243,596930,253448,1850,24125,1259,31971,24660,2255,22405,"Marion County, Indiana",0,6119,3698,1220,1278,1043,6546,2977,1047,2732
"G1801050","2014","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",143339,124295,4508,508,9171,0,845,4012,572,3440,"Monroe County, Indiana",0,681,667,310,717,187,557,1134,645,929
"G1801090","2014","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",,,,,,,,,,,"Morgan County, Indiana",,,,,,,,,,
"G1801270","2014","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",167076,153238,6347,263,2436,95,2158,2539,548,1991,"Porter County, Indiana",0,1841,825,261,410,164,1700,1042,365,905
"G1801410","2014","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",267618,215588,33871,1076,5009,309,2705,9060,987,8073,"St. Joseph County, Indiana",0,1411,1721,733,876,305,907,1675,666,1772
"G1801570","2014","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",183074,155501,8261,120,13615,38,1683,3856,194,3662,"Tippecanoe County, Indiana",0,944,1118,109,536,74,930,1164,212,1200
"G1801630","2014","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",182006,156045,16716,258,2525,193,1944,4325,650,3675,"Vanderburgh County, Indiana",0,1180,1098,254,442,292,1127,1278,563,1053
"G1801670","2014","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",108175,93905,6990,392,1961,0,1624,3303,305,2998,"Vigo County, Indiana",0,666,840,273,379,187,709,954,249,898
"G1801770","2014","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",67671,61216,4513,0,148,0,424,1370,141,1229,"Wayne County, Indiana",0,467,607,187,102,187,356,697,261,574
"G1900130","2014","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",132897,112700,11623,293,2785,84,2243,3169,472,2697,"Black Hawk County, Iowa",0,952,917,228,370,149,970,1090,417,947
"G1900490","2014","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",,,,,,,,,,,"Dallas County, Iowa",,,,,,,,,,
"G1900610","2014","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",96370,90383,2531,109,1351,756,159,1081,52,1029,"Dubuque County, Iowa",0,220,1011,134,224,1004,106,562,94,544
"G1901030","2014","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",142287,119188,7835,376,8499,0,2593,3796,298,3498,"Johnson County, Iowa",0,1414,1195,256,696,155,1499,1373,290,1403
"G1901130","2014","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",217751,194816,10630,180,5303,0,2169,4653,197,4456,"Linn County, Iowa",0,1201,1169,220,465,155,1392,1160,178,1096
"G1901530","2014","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",459862,396765,29324,651,19024,433,2191,11474,1034,10440,"Polk County, Iowa",0,1208,1798,490,1211,626,773,2200,693,1973
"G1901550","2014","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",93128,87302,1249,181,433,0,1148,2815,173,2642,"Pottawattamie County, Iowa",0,849,549,201,302,155,889,818,205,781
"G1901630","2014","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",171387,147985,12879,820,3921,0,1519,4263,290,3973,"Scott County, Iowa",0,909,1120,302,621,155,765,1393,236,1376
"G1901690","2014","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",94073,82686,1764,133,5547,104,108,3731,515,3216,"Story County, Iowa",0,585,492,190,1099,179,183,1171,578,1189
"G1901930","2014","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",102271,89362,2879,2305,2852,0,2901,1972,146,1826,"Woodbury County, Iowa",0,1241,652,448,217,155,1258,796,166,774
"G2000150","2014","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",66227,61835,1812,499,767,0,174,1140,0,1140,"Butler County, Kansas",0,548,542,383,138,168,203,504,168,504
"G2000450","2014","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",116585,97333,5172,2843,6127,0,666,4444,511,3933,"Douglas County, Kansas",0,1067,1207,568,377,168,648,1432,550,1262
"G2000910","2014","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",574272,497053,26362,874,25811,322,4511,19339,1210,18129,"Johnson County, Kansas",0,2709,1926,326,1182,336,1333,2833,680,2745
"G2001030","2014","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",78797,66236,6982,273,1075,15,455,3761,88,3673,"Leavenworth County, Kansas",0,842,859,179,336,27,248,1409,104,1408
"G2001610","2014","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",75194,62376,4238,609,3152,676,890,3253,355,2898,"Riley County, Kansas",0,1023,740,273,687,514,688,1206,367,1169
"G2001730","2014","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",508803,402990,47282,4945,22108,75,12357,19046,1625,17421,"Sedgwick County, Kansas",0,3521,2771,1583,929,121,2990,2624,673,2644
"G2001770","2014","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",178406,147877,14446,1211,1685,0,1882,11305,1381,9924,"Shawnee County, Kansas",0,1522,1722,461,575,168,976,1896,849,1791
"G2002090","2014","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",161636,101486,37864,1231,5739,1048,9410,4858,1022,3836,"Wyandotte County, Kansas",0,2324,1831,427,276,1526,2071,1353,702,1077
"G2100150","2014","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",126413,114549,3780,153,2751,0,1925,3255,0,3255,"Boone County, Kentucky",0,1989,995,239,685,185,2073,1180,185,1180
"G2100290","2014","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",,,,,,,,,,,"Bullitt County, Kentucky",,,,,,,,,,
"G2100370","2014","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",91833,86412,1962,110,657,95,294,2303,0,2303,"Campbell County, Kentucky",0,1148,740,191,336,169,396,1004,185,1004
"G2100470","2014","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",74250,52743,14252,321,1179,229,1427,4099,169,3930,"Christian County, Kentucky",0,834,1650,270,259,335,887,1374,223,1374
"G2100590","2014","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",98275,90158,3803,110,732,0,183,3289,167,3122,"Daviess County, Kentucky",0,420,902,135,323,185,172,1017,241,973
"G2100670","2014","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",310797,235076,44857,1816,11115,364,8428,9141,856,8285,"Fayette County, Kentucky",0,2571,1585,1482,819,459,2384,2065,843,1783
"G2100930","2014","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",108266,86417,12659,300,2353,223,1566,4748,224,4524,"Hardin County, Kentucky",0,992,1141,338,440,370,1050,1234,269,1248
"G2101110","2014","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",760026,553710,160126,1589,19349,491,3582,21179,1728,19451,"Jefferson County, Kentucky",0,2223,3219,639,1108,475,1345,3230,800,3223
"G2101170","2014","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",163929,148208,7220,98,1715,0,2522,4166,0,4166,"Kenton County, Kentucky",0,1108,1006,120,536,185,1209,1038,185,1038
"G2101450","2014","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",,,,,,,,,,,"McCracken County, Kentucky",,,,,,,,,,
"G2101510","2014","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",87340,79784,4955,203,662,0,700,1036,204,832,"Madison County, Kentucky",0,402,778,212,512,185,381,748,189,691
"G2101950","2014","KY",,,"Kentucky","21","Pike County","195",,,,,,,,,,,,,,,,,,"05000US21195","Pike County, Kentucky",,,,,,,,,,,"Pike County, Kentucky",,,,,,,,,,
"G2102270","2014","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",120460,99060,10550,219,3891,900,3279,2561,465,2096,"Warren County, Kentucky",0,1452,1651,275,301,1102,1544,1314,593,1134
"G2200050","2014","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",117029,86655,25987,0,1477,0,369,2541,0,2541,"Ascension Parish, Louisiana",0,523,1370,201,307,201,390,1439,201,1439
"G2200150","2014","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",125064,91550,26234,211,1758,1414,873,3024,280,2744,"Bossier Parish, Louisiana",0,881,1541,277,659,1371,800,1056,273,1050
"G2200170","2014","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",252603,119316,121916,1313,2734,126,3334,3864,987,2877,"Caddo Parish, Louisiana",0,1126,1117,317,717,168,1405,1460,712,1135
"G2200190","2014","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",197204,139673,49158,666,2848,0,499,4360,278,4082,"Calcasieu Parish, Louisiana",0,970,2147,400,222,201,460,2002,318,1980
"G2200330","2014","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",446042,216944,204613,1344,14583,157,2318,6083,117,5966,"East Baton Rouge Parish, Louisiana",0,1292,1761,566,995,161,1262,1721,137,1747
"G2200450","2014","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",73913,45728,22880,87,1511,0,1006,2701,0,2701,"Iberia Parish, Louisiana",0,908,1265,145,589,201,1053,1456,201,1456
"G2200510","2014","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",435716,281406,115411,2363,18730,0,10903,6903,872,6031,"Jefferson Parish, Louisiana",0,3301,2150,685,636,201,2777,1900,543,1717
"G2200550","2014","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",235644,166104,61683,244,4203,0,248,3162,124,3038,"Lafayette Parish, Louisiana",0,614,957,284,321,201,424,1217,150,1182
"G2200570","2014","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",98020,77340,12889,2065,997,0,1977,2752,356,2396,"Lafourche Parish, Louisiana",0,1428,1322,855,201,201,1236,1759,627,1579
"G2200630","2014","LA",,,"Louisiana","22","Livingston Parish","063",,,,,,,,,,,,,,,,,,"05000US22063","Livingston Parish, Louisiana",,,,,,,,,,,"Livingston Parish, Louisiana",,,,,,,,,,
"G2200710","2014","LA",,,"Louisiana","22","Orleans Parish","071",,,,,,,,,,,,,,,,,,"05000US22071","Orleans Parish, Louisiana",384320,133630,227369,442,11598,393,5219,5669,499,5170,"Orleans Parish, Louisiana",0,1480,1646,339,622,490,1622,1073,307,1032
"G2200730","2014","LA",,,"Louisiana","22","Ouachita Parish","073",,,,,,,,,,,,,,,,,,"05000US22073","Ouachita Parish, Louisiana",156325,93808,58885,267,1534,0,433,1398,358,1040,"Ouachita Parish, Louisiana",0,769,575,302,394,201,374,749,426,573
"G2200790","2014","LA",,,"Louisiana","22","Rapides Parish","079",,,,,,,,,,,,,,,,,,"05000US22079","Rapides Parish, Louisiana",132488,84769,41969,617,2027,46,293,2767,764,2003,"Rapides Parish, Louisiana",0,478,1013,519,388,83,388,1150,888,816
"G2200970","2014","LA",,,"Louisiana","22","St. Landry Parish","097",,,,,,,,,,,,,,,,,,"05000US22097","St. Landry Parish, Louisiana",,,,,,,,,,,"St. Landry Parish, Louisiana",,,,,,,,,,
"G2201030","2014","LA",,,"Louisiana","22","St. Tammany Parish","103",,,,,,,,,,,,,,,,,,"05000US22103","St. Tammany Parish, Louisiana",245829,204052,28706,1183,3772,175,2254,5687,1255,4432,"St. Tammany Parish, Louisiana",0,1890,1608,532,464,181,1276,2289,1335,1851
"G2201050","2014","LA",,,"Louisiana","22","Tangipahoa Parish","105",,,,,,,,,,,,,,,,,,"05000US22105","Tangipahoa Parish, Louisiana",127049,85670,36943,196,894,47,273,3026,306,2720,"Tangipahoa Parish, Louisiana",0,420,1205,228,333,99,375,1209,490,1093
"G2201090","2014","LA",,,"Louisiana","22","Terrebonne Parish","109",,,,,,,,,,,,,,,,,,"05000US22109","Terrebonne Parish, Louisiana",113328,81533,22680,6809,1082,0,500,724,0,724,"Terrebonne Parish, Louisiana",0,502,201,370,349,201,476,521,201,521
"G2300010","2014","ME",,,"Maine","23","Androscoggin County","001",,,,,,,,,,,,,,,,,,"05000US23001","Androscoggin County, Maine",107440,98930,1931,255,940,16,72,5296,128,5168,"Androscoggin County, Maine",0,348,783,252,344,30,126,969,156,964
"G2300030","2014","ME",,,"Maine","23","Aroostook County","003",,,,,,,,,,,,,,,,,,"05000US23003","Aroostook County, Maine",69447,65929,512,1254,344,7,222,1179,152,1027,"Aroostook County, Maine",0,221,242,230,139,12,136,345,108,338
"G2300050","2014","ME",,,"Maine","23","Cumberland County","005",,,,,,,,,,,,,,,,,,"05000US23005","Cumberland County, Maine",287797,265376,8481,767,5673,0,1370,6130,189,5941,"Cumberland County, Maine",0,1151,807,510,889,159,1112,1382,205,1346
"G2300110","2014","ME",,,"Maine","23","Kennebec County","011",,,,,,,,,,,,,,,,,,"05000US23011","Kennebec County, Maine",121112,116742,980,721,1183,0,45,1441,19,1422,"Kennebec County, Maine",0,68,329,379,257,159,60,563,32,556
"G2300190","2014","ME",,,"Maine","23","Penobscot County","019",,,,,,,,,,,,,,,,,,"05000US23019","Penobscot County, Maine",153414,145290,1604,1554,2090,13,410,2453,92,2361,"Penobscot County, Maine",0,527,229,528,65,20,484,595,101,616
"G2300310","2014","ME",,,"Maine","23","York County","031",,,,,,,,,,,,,,,,,,"05000US23031","York County, Maine",200710,193090,1698,987,2009,0,238,2688,120,2568,"York County, Maine",0,299,428,439,664,159,218,945,144,932
"G2400010","2014","MD",,,"Maryland","24","Allegany County","001",,,,,,,,,,,,,,,,,,"05000US24001","Allegany County, Maryland",72952,64412,5716,141,509,0,215,1959,70,1889,"Allegany County, Maryland",0,349,705,120,238,193,178,742,131,716
"G2400030","2014","MD",,,"Maryland","24","Anne Arundel County","003",,,,,,,,,,,,,,,,,,"05000US24003","Anne Arundel County, Maryland",560133,419564,93289,861,21238,0,8775,16406,1181,15225,"Anne Arundel County, Maryland",0,3853,2359,504,1722,193,3536,2468,721,2320
"G2400050","2014","MD",,,"Maryland","24","Baltimore County","005",,,,,,,,,,,,,,,,,,"05000US24005","Baltimore County, Maryland",826925,516823,230073,1564,48422,349,9652,20042,2320,17722,"Baltimore County, Maryland",0,3570,2571,588,1409,120,2764,2709,1170,2273
"G2400090","2014","MD",,,"Maryland","24","Calvert County","009",,,,,,,,,,,,,,,,,,"05000US24009","Calvert County, Maryland",90613,74083,10472,332,1505,0,591,3630,110,3520,"Calvert County, Maryland",0,461,947,430,512,193,389,1023,195,989
"G2400130","2014","MD",,,"Maryland","24","Carroll County","013",,,,,,,,,,,,,,,,,,"05000US24013","Carroll County, Maryland",167830,155605,5366,236,2896,182,940,2605,0,2605,"Carroll County, Maryland",0,464,740,283,568,203,565,893,193,893
"G2400150","2014","MD",,,"Maryland","24","Cecil County","015",,,,,,,,,,,,,,,,,,"05000US24015","Cecil County, Maryland",102383,91411,6950,409,1630,154,240,1589,31,1558,"Cecil County, Maryland",0,558,920,280,139,281,297,991,55,988
"G2400170","2014","MD",,,"Maryland","24","Charles County","017",,,,,,,,,,,,,,,,,,"05000US24017","Charles County, Maryland",154747,73503,65353,642,4407,141,1995,8706,816,7890,"Charles County, Maryland",0,1485,2624,196,997,140,1438,2527,789,2329
