GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AGXGE001,AGXGE002,AGXGE003,AGXGE004,AGXGE005,AGXGE006,AGXGE007,AGXGE008,AGXGE009,AGXGE010,NAME_M,AGXGM001,AGXGM002,AGXGM003,AGXGM004,AGXGM005,AGXGM006,AGXGM007,AGXGM008,AGXGM009,AGXGM010
"G1600010","2017","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",456849,411580,5853,1774,11031,924,7176,18511,1464,17047,"Ada County, Idaho",0,3649,1957,819,2222,721,2289,4616,1258,4609
"G1600050","2017","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",85269,76541,442,3042,1530,165,1416,2133,213,1920,"Bannock County, Idaho",0,902,347,910,342,275,755,975,237,1001
"G1600190","2017","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",114595,101071,772,362,1310,324,7829,2927,434,2493,"Bonneville County, Idaho",0,1610,212,308,671,515,1734,1520,419,1441
"G1600270","2017","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",216699,180050,1292,1438,1139,439,23210,9131,2345,6786,"Canyon County, Idaho",0,5239,640,758,556,556,4844,2394,1235,1803
"G1600550","2017","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",157637,148176,155,2570,1281,137,911,4407,321,4086,"Kootenai County, Idaho",0,971,162,875,761,129,925,1253,366,1252
"G1600830","2017","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",85124,78783,790,322,2028,29,2104,1068,56,1012,"Twin Falls County, Idaho",0,1514,1055,380,1419,53,1472,786,68,788
"G1700010","2017","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",66234,61665,2595,170,436,8,29,1331,36,1295,"Adams County, Illinois",0,179,697,215,259,16,49,663,49,668
"G1700190","2017","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",209399,151479,28725,315,21864,159,1102,5755,258,5497,"Champaign County, Illinois",0,1065,831,259,1243,168,881,1405,235,1382
"G1700310","2017","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",5211263,2938732,1219756,11809,378679,1386,520266,140635,38753,101882,"Cook County, Illinois",0,20324,6477,2685,5184,692,20298,9648,5214,8491
"G1700370","2017","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",104733,87726,8835,93,1708,0,3246,3125,215,2910,"DeKalb County, Illinois",0,1822,570,133,833,190,1814,1072,205,1033
"G1700430","2017","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",930128,717741,44772,1372,107918,155,33204,24966,3254,21712,"DuPage County, Illinois",0,5552,1819,674,2337,245,5909,3420,1080,3285
"G1700890","2017","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",534667,384654,28381,4682,22835,1013,76422,16680,5272,11408,"Kane County, Illinois",0,7364,2079,3064,920,1553,7410,4113,2034,3186
"G1700910","2017","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",109605,87855,17177,92,650,31,1704,2096,300,1796,"Kankakee County, Illinois",0,1083,643,88,276,56,915,783,413,677
"G1700930","2017","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",126218,98562,9668,100,4499,0,10023,3366,1493,1873,"Kendall County, Illinois",0,3666,1785,189,462,190,4256,2476,1866,1369
"G1700970","2017","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",703520,521507,48157,2491,53963,412,57606,19384,6286,13098,"Lake County, Illinois",0,5909,2813,1319,1993,311,6161,3384,2329,2641
"G1700990","2017","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",110067,100131,3146,89,1063,0,3967,1671,359,1312,"LaSalle County, Illinois",0,1374,824,101,194,190,1373,842,329,811
"G1701110","2017","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",309122,286035,4260,298,7413,30,3416,7670,896,6774,"McHenry County, Illinois",0,1808,890,403,1322,51,1396,1761,653,1610
"G1701130","2017","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",172290,145215,14081,481,9441,0,481,2591,22,2569,"McLean County, Illinois",0,490,995,345,444,190,456,1006,32,1002
"G1701150","2017","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",105801,82656,15612,365,1044,19,321,5784,0,5784,"Macon County, Illinois",0,270,1690,255,423,42,217,1794,190,1794
"G1701190","2017","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",265428,231215,23071,487,2478,66,2096,6015,182,5833,"Madison County, Illinois",0,1094,1639,326,678,86,1172,1616,134,1620
"G1701430","2017","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",183011,134454,32492,395,7286,0,1784,6600,281,6319,"Peoria County, Illinois",0,1413,1867,252,641,190,1369,2303,275,2251
"G1701610","2017","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",144808,117420,16288,684,3753,219,2191,4253,614,3639,"Rock Island County, Illinois",0,1598,1715,537,445,329,1184,1447,452,1353
"G1701630","2017","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",262479,165878,77270,395,2961,58,5181,10736,569,10167,"St. Clair County, Illinois",0,2016,2076,441,790,81,2049,2140,481,2232
"G1701670","2017","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",196452,160906,25653,210,4465,161,469,4588,239,4349,"Sangamon County, Illinois",0,625,1034,207,410,189,295,1105,235,1080
"G1701790","2017","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",133526,127851,1885,68,1533,49,695,1445,0,1445,"Tazewell County, Illinois",0,466,696,128,369,88,500,750,190,750
"G1701830","2017","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",77909,64521,10770,84,756,0,220,1558,411,1147,"Vermilion County, Illinois",0,478,710,128,169,190,284,768,488,618
"G1701970","2017","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",692661,498887,78542,814,39460,322,54137,20499,4933,15566,"Will County, Illinois",0,6103,2213,586,1655,352,6491,3434,1853,2798
"G1701990","2017","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",67328,60864,2056,141,711,0,1054,2502,135,2367,"Williamson County, Illinois",0,423,635,197,289,190,590,753,185,720
"G1702010","2017","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",284778,225519,36651,904,7398,44,5139,9123,716,8407,"Winnebago County, Illinois",0,1943,2017,433,854,51,1798,1912,368,1879
"G1800030","2017","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",372877,294929,42254,869,14879,0,5495,14451,643,13808,"Allen County, Indiana",0,2129,2224,444,1203,197,1820,2888,388,2853
"G1800050","2017","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",82040,69886,3697,163,5991,0,793,1510,258,1252,"Bartholomew County, Indiana",0,1730,2317,225,443,197,629,659,287,622
"G1800110","2017","IN",,,"Indiana","18","Boone County","011",,,,,,,,,,,,,,,,,,"05000US18011","Boone County, Indiana",,,,,,,,,,,"Boone County, Indiana",,,,,,,,,,
"G1800190","2017","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",116973,103121,7795,43,1364,0,422,4228,79,4149,"Clark County, Indiana",0,416,1087,82,213,197,355,1154,97,1159
"G1800350","2017","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",115184,101751,8285,0,859,0,386,3903,624,3279,"Delaware County, Indiana",0,561,1423,197,631,197,358,1417,513,1283
"G1800390","2017","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",205032,179524,11525,104,1666,42,4493,7678,1225,6453,"Elkhart County, Indiana",0,2398,1547,102,486,73,1786,1998,1020,1777
"G1800430","2017","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",77071,69317,4417,39,922,0,428,1948,96,1852,"Floyd County, Indiana",0,787,757,79,96,197,521,965,154,951
"G1800530","2017","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",66491,58077,5612,29,165,0,423,2185,51,2134,"Grant County, Indiana",0,725,1169,52,150,197,431,747,95,745
"G1800570","2017","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",323747,280893,13635,887,19694,85,1604,6949,1083,5866,"Hamilton County, Indiana",0,1615,1210,309,1470,134,1330,1965,1049,1691
"G1800590","2017","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",,,,,,,,,,,"Hancock County, Indiana",,,,,,,,,,
"G1800630","2017","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",163685,142905,10915,0,4405,0,1670,3790,127,3663,"Hendricks County, Indiana",0,1280,1115,197,1025,197,1187,1465,140,1456
"G1800670","2017","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",,,,,,,,,,,"Howard County, Indiana",,,,,,,,,,
"G1800810","2017","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",153897,141456,4189,209,4720,0,1198,2125,114,2011,"Johnson County, Indiana",0,1173,286,290,567,197,1188,898,201,849
"G1800850","2017","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",79206,74913,355,73,1141,60,1104,1560,258,1302,"Kosciusko County, Indiana",0,1158,285,134,421,105,1038,455,213,359
"G1800890","2017","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",485640,298255,114738,1365,6545,130,46003,18604,8985,9619,"Lake County, Indiana",0,3917,1638,455,1042,215,4319,3508,2426,2187
"G1800910","2017","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",110029,91394,12207,283,804,0,2354,2987,596,2391,"LaPorte County, Indiana",0,958,941,483,202,197,967,1038,484,880
"G1800950","2017","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",129498,113687,10406,418,832,0,1167,2988,214,2774,"Madison County, Indiana",0,864,1217,311,266,197,786,1280,171,1260
"G1800970","2017","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",950082,600178,261425,1538,29676,295,21473,35497,2220,33277,"Marion County, Indiana",0,4987,4539,806,2008,309,4935,5051,1029,5004
"G1801050","2017","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",146986,126697,4111,189,9374,47,674,5894,71,5823,"Monroe County, Indiana",0,744,1183,215,675,91,478,1275,138,1255
"G1801090","2017","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",,,,,,,,,,,"Morgan County, Indiana",,,,,,,,,,
"G1801270","2017","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",168404,154464,6688,173,2424,0,1319,3336,232,3104,"Porter County, Indiana",0,1235,1285,237,543,197,971,1208,236,1179
"G1801410","2017","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",270434,212760,34904,726,5847,395,5600,10202,975,9227,"St. Joseph County, Indiana",0,2612,1834,302,751,396,2511,1770,584,1705
"G1801570","2017","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",190587,156394,9953,503,15867,94,2867,4909,36,4873,"Tippecanoe County, Indiana",0,1614,1348,432,798,156,1469,1439,70,1437
"G1801630","2017","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",181616,154153,16746,372,2963,0,2766,4616,73,4543,"Vanderburgh County, Indiana",0,904,1641,336,273,197,918,1643,155,1640
"G1801670","2017","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",107516,93639,6300,269,2363,98,558,4289,588,3701,"Vigo County, Indiana",0,764,948,222,170,177,378,1067,539,946
"G1801770","2017","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",66185,59956,3846,116,633,0,124,1510,0,1510,"Wayne County, Indiana",0,255,816,103,474,197,203,693,197,693
"G1900130","2017","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",132648,112389,11965,175,3250,212,1152,3505,97,3408,"Black Hawk County, Iowa",0,1300,950,174,278,244,1184,988,157,991
"G1900490","2017","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",87235,78893,1643,0,4065,0,1000,1634,8,1626,"Dallas County, Iowa",0,630,708,163,890,163,632,1290,16,1290
"G1900610","2017","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",97041,89849,2621,311,1132,1726,471,931,56,875,"Dubuque County, Iowa",0,407,1125,393,297,1384,484,478,89,461
"G1901030","2017","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",149210,123409,8850,243,9499,0,1363,5846,514,5332,"Johnson County, Iowa",0,900,1283,173,916,163,745,1718,488,1691
"G1901130","2017","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",224115,196706,12967,299,5593,456,3289,4805,0,4805,"Linn County, Iowa",0,2111,1648,361,674,656,2107,1838,163,1838
"G1901530","2017","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",481830,402080,30578,1340,23854,931,8123,14924,1524,13400,"Polk County, Iowa",0,2515,2604,551,1334,1085,2472,2841,997,2678
"G1901550","2017","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",93386,85248,1094,447,320,0,3624,2653,267,2386,"Pottawattamie County, Iowa",0,1304,595,367,340,163,1289,881,270,779
"G1901630","2017","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",172509,148733,12864,355,4986,0,322,5249,179,5070,"Scott County, Iowa",0,567,1266,378,333,163,273,1426,213,1403
"G1901690","2017","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",97502,83815,2724,175,8477,0,695,1616,259,1357,"Story County, Iowa",0,736,480,215,683,163,711,861,258,827
"G1901930","2017","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",102429,87589,3258,2679,2845,584,2168,3306,92,3214,"Woodbury County, Iowa",0,1995,1302,1382,353,682,1407,1150,110,1142
"G2000150","2017","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",66878,62001,1241,721,1078,0,200,1637,179,1458,"Butler County, Kansas",0,567,424,418,267,177,190,788,202,725
"G2000450","2017","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",120793,100331,4777,3332,6496,0,492,5365,364,5001,"Douglas County, Kansas",0,818,818,466,865,177,319,1655,404,1640
"G2000910","2017","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",591178,508872,29563,2641,31044,280,6561,12217,824,11393,"Johnson County, Kansas",0,1917,1894,855,1444,379,1835,2427,375,2414
"G2001030","2017","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",81095,67374,7659,749,600,0,334,4379,133,4246,"Leavenworth County, Kansas",0,865,1290,652,542,177,180,1168,171,1194
"G2001610","2017","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",74172,61392,3633,735,3816,290,862,3444,0,3444,"Riley County, Kansas",0,967,890,588,365,476,898,834,177,834
"G2001730","2017","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",513687,390457,45944,2549,22820,659,27588,23670,1683,21987,"Sedgwick County, Kansas",0,4981,2813,817,1281,854,5085,2878,702,2872
"G2001770","2017","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",178187,148331,15564,1031,3096,0,4029,6136,694,5442,"Shawnee County, Kansas",0,1939,1172,573,397,177,1985,1414,460,1252
"G2002090","2017","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",165288,97951,36616,720,6809,0,14171,9021,1612,7409,"Wyandotte County, Kansas",0,3418,1329,507,1048,177,3432,2091,987,1751
"G2100150","2017","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",130728,117665,5119,126,2285,0,2480,3053,0,3053,"Boone County, Kentucky",0,1173,905,216,904,195,1273,1317,195,1317
"G2100290","2017","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",80246,77234,732,131,692,36,164,1257,76,1181,"Bullitt County, Kentucky",0,287,571,136,195,80,269,559,144,532
"G2100370","2017","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",92488,86573,3082,0,1198,0,523,1112,41,1071,"Campbell County, Kentucky",0,391,499,195,151,195,359,506,74,505
"G2100470","2017","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",70416,50241,15474,268,1442,137,669,2185,229,1956,"Christian County, Kentucky",0,693,871,322,270,238,489,890,271,853
"G2100590","2017","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",100374,91296,4340,150,1358,0,342,2888,40,2848,"Daviess County, Kentucky",0,452,1007,127,517,195,349,1133,78,1128
"G2100670","2017","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",321959,243170,46595,814,11729,145,7537,11969,1352,10617,"Fayette County, Kentucky",0,3150,2295,581,1182,234,3072,2771,1104,2555
"G2100930","2017","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",108071,86538,12801,169,2392,195,558,5418,443,4975,"Hardin County, Kentucky",0,918,1606,185,490,325,492,1696,474,1701
"G2101110","2017","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",771158,550925,168651,1145,23486,338,9286,17327,845,16482,"Jefferson County, Kentucky",0,3239,2893,638,1174,160,3581,2596,591,2654
"G2101170","2017","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",165399,149162,7039,204,1962,57,2276,4699,62,4637,"Kenton County, Kentucky",0,1154,885,238,376,109,1157,1049,76,1030
"G2101450","2017","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",,,,,,,,,,,"McCracken County, Kentucky",,,,,,,,,,
"G2101510","2017","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",91226,83478,3409,78,588,0,473,3200,180,3020,"Madison County, Kentucky",0,462,729,187,408,195,433,865,306,840
"G2101850","2017","KY",,,"Kentucky","21","Oldham County","185",,,,,,,,,,,,,,,,,,"05000US21185","Oldham County, Kentucky",66415,60655,1565,131,1271,0,85,2708,38,2670,"Oldham County, Kentucky",0,547,722,116,143,195,123,870,80,876
"G2102270","2017","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",128845,104739,11496,0,4229,1786,2213,4382,777,3605,"Warren County, Kentucky",0,1347,1176,195,992,1185,1163,1435,614,1409
"G2200050","2017","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",122948,88363,27301,0,1558,0,2709,3017,144,2873,"Ascension Parish, Louisiana",0,1574,1656,214,374,214,1615,1771,173,1754
"G2200150","2017","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",127634,91453,29346,844,1644,114,1067,3166,438,2728,"Bossier Parish, Louisiana",0,1129,687,198,568,179,864,960,387,883
"G2200170","2017","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",246581,114502,118227,1146,3507,0,1685,7514,343,7171,"Caddo Parish, Louisiana",0,1158,3300,376,294,214,999,3316,229,3323
"G2200190","2017","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",202445,141888,51096,234,3164,0,1723,4340,0,4340,"Calcasieu Parish, Louisiana",0,1431,2030,257,290,214,1367,1991,214,1991
"G2200330","2017","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",446268,208844,205147,1111,16138,267,7603,7158,145,7013,"East Baton Rouge Parish, Louisiana",0,2021,1689,973,696,451,2365,1687,181,1674
"G2200450","2017","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",72176,43580,24091,66,1658,0,1409,1372,95,1277,"Iberia Parish, Louisiana",0,1084,471,116,655,214,1279,690,187,664
"G2200510","2017","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",439036,267718,120320,1297,19292,0,23350,7059,1792,5267,"Jefferson Parish, Louisiana",0,4230,1914,768,697,214,4415,1573,1098,1224
"G2200550","2017","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",242485,166602,63343,430,5158,0,3081,3871,424,3447,"Lafayette Parish, Louisiana",0,1855,1829,432,157,214,1721,1864,492,1752
"G2200570","2017","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",98426,77264,13503,2888,826,0,2408,1537,18,1519,"Lafourche Parish, Louisiana",0,1089,699,502,254,214,1043,863,29,863
"G2200630","2017","LA",,,"Louisiana","22","Livingston Parish","063",,,,,,,,,,,,,,,,,,"05000US22063","Livingston Parish, Louisiana",,,,,,,,,,,"Livingston Parish, Louisiana",,,,,,,,,,
"G2200710","2017","LA",,,"Louisiana","22","Orleans Parish","071",,,,,,,,,,,,,,,,,,"05000US22071","Orleans Parish, Louisiana",393292,133124,234026,597,11587,28,5578,8352,592,7760,"Orleans Parish, Louisiana",0,1574,1891,356,620,48,1418,1720,350,1695
"G2200730","2017","LA",,,"Louisiana","22","Ouachita Parish","073",,,,,,,,,,,,,,,,,,"05000US22073","Ouachita Parish, Louisiana",155874,92843,58924,56,1760,290,594,1407,0,1407,"Ouachita Parish, Louisiana",0,719,1168,99,193,381,485,1057,214,1057
"G2200790","2017","LA",,,"Louisiana","22","Rapides Parish","079",,,,,,,,,,,,,,,,,,"05000US22079","Rapides Parish, Louisiana",131648,83099,41836,1214,2268,0,1404,1827,145,1682,"Rapides Parish, Louisiana",0,946,553,477,246,214,928,729,141,721
"G2200970","2017","LA",,,"Louisiana","22","St. Landry Parish","097",,,,,,,,,,,,,,,,,,"05000US22097","St. Landry Parish, Louisiana",,,,,,,,,,,"St. Landry Parish, Louisiana",,,,,,,,,,
"G2201030","2017","LA",,,"Louisiana","22","St. Tammany Parish","103",,,,,,,,,,,,,,,,,,"05000US22103","St. Tammany Parish, Louisiana",256327,209928,31453,1522,4623,0,4823,3978,597,3381,"St. Tammany Parish, Louisiana",0,2155,1212,589,354,214,1999,1411,750,1208
"G2201050","2017","LA",,,"Louisiana","22","Tangipahoa Parish","105",,,,,,,,,,,,,,,,,,"05000US22105","Tangipahoa Parish, Louisiana",132497,89189,40033,246,991,0,320,1718,0,1718,"Tangipahoa Parish, Louisiana",0,329,809,262,287,214,329,873,214,873
"G2201090","2017","LA",,,"Louisiana","22","Terrebonne Parish","109",,,,,,,,,,,,,,,,,,"05000US22109","Terrebonne Parish, Louisiana",112086,77711,21573,5297,769,36,2821,3879,0,3879,"Terrebonne Parish, Louisiana",0,1584,1446,1084,598,65,1584,1576,214,1576
"G2300010","2017","ME",,,"Maine","23","Androscoggin County","001",,,,,,,,,,,,,,,,,,"05000US23001","Androscoggin County, Maine",107651,98190,1523,444,764,0,181,6549,202,6347,"Androscoggin County, Maine",0,470,582,304,304,175,215,814,194,831
"G2300030","2017","ME",,,"Maine","23","Aroostook County","003",,,,,,,,,,,,,,,,,,"05000US23003","Aroostook County, Maine",67653,64260,550,1288,426,0,61,1068,120,948,"Aroostook County, Maine",0,243,255,322,220,175,87,362,173,353
"G2300050","2017","ME",,,"Maine","23","Cumberland County","005",,,,,,,,,,,,,,,,,,"05000US23005","Cumberland County, Maine",292500,269022,9429,312,6805,0,1185,5747,187,5560,"Cumberland County, Maine",0,795,740,274,805,175,642,1173,181,1149
