GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFR5E001,AFR5E002,AFR5E003,NAME_M,AFR5M001,AFR5M002,AFR5M003
"G1201170","2016","FL",,,"Florida","12","Seminole County","117",,,,,,,,,,,,,,,,,,"05000US12117","Seminole County, Florida",187736,167549,20187,"Seminole County, Florida",309,2524,2470
"G1201190","2016","FL",,,"Florida","12","Sumter County","119",,,,,,,,,,,,,,,,,,"05000US12119","Sumter County, Florida",68201,51781,16420,"Sumter County, Florida",616,2926,2842
"G1201270","2016","FL",,,"Florida","12","Volusia County","127",,,,,,,,,,,,,,,,,,"05000US12127","Volusia County, Florida",257939,214039,43900,"Volusia County, Florida",512,4010,3961
"G1201310","2016","FL",,,"Florida","12","Walton County","131",,,,,,,,,,,,,,,,,,"05000US12131","Walton County, Florida",49956,27207,22749,"Walton County, Florida",248,2120,2124
"G1300130","2016","GA",,,"Georgia","13","Barrow County","013",,,,,,,,,,,,,,,,,,"05000US13013","Barrow County, Georgia",27598,24865,2733,"Barrow County, Georgia",100,971,964
"G1300150","2016","GA",,,"Georgia","13","Bartow County","015",,,,,,,,,,,,,,,,,,"05000US13015","Bartow County, Georgia",40209,36430,3779,"Bartow County, Georgia",401,1317,1258
"G1300210","2016","GA",,,"Georgia","13","Bibb County","021",,,,,,,,,,,,,,,,,,"05000US13021","Bibb County, Georgia",70270,57692,12578,"Bibb County, Georgia",489,1763,1748
"G1300310","2016","GA",,,"Georgia","13","Bulloch County","031",,,,,,,,,,,,,,,,,,"05000US13031","Bulloch County, Georgia",30402,26411,3991,"Bulloch County, Georgia",954,1512,1104
"G1300450","2016","GA",,,"Georgia","13","Carroll County","045",,,,,,,,,,,,,,,,,,"05000US13045","Carroll County, Georgia",44785,40516,4269,"Carroll County, Georgia",396,1473,1416
"G1300470","2016","GA",,,"Georgia","13","Catoosa County","047",,,,,,,,,,,,,,,,,,"05000US13047","Catoosa County, Georgia",27065,24743,2322,"Catoosa County, Georgia",193,1128,1129
"G1300510","2016","GA",,,"Georgia","13","Chatham County","051",,,,,,,,,,,,,,,,,,"05000US13051","Chatham County, Georgia",124407,110185,14222,"Chatham County, Georgia",758,1840,1773
"G1300570","2016","GA",,,"Georgia","13","Cherokee County","057",,,,,,,,,,,,,,,,,,"05000US13057","Cherokee County, Georgia",89343,84088,5255,"Cherokee County, Georgia",445,1934,1861
"G1300590","2016","GA",,,"Georgia","13","Clarke County","059",,,,,,,,,,,,,,,,,,"05000US13059","Clarke County, Georgia",52765,47563,5202,"Clarke County, Georgia",627,1363,1297
"G1300630","2016","GA",,,"Georgia","13","Clayton County","063",,,,,,,,,,,,,,,,,,"05000US13063","Clayton County, Georgia",105005,94346,10659,"Clayton County, Georgia",667,2051,1885
"G1300670","2016","GA",,,"Georgia","13","Cobb County","067",,,,,,,,,,,,,,,,,,"05000US13067","Cobb County, Georgia",297397,277949,19448,"Cobb County, Georgia",577,2711,2691
"G1300730","2016","GA",,,"Georgia","13","Columbia County","073",,,,,,,,,,,,,,,,,,"05000US13073","Columbia County, Georgia",55897,47513,8384,"Columbia County, Georgia",110,1934,1901
"G1300770","2016","GA",,,"Georgia","13","Coweta County","077",,,,,,,,,,,,,,,,,,"05000US13077","Coweta County, Georgia",53556,50503,3053,"Coweta County, Georgia",244,1202,1173
"G1300890","2016","GA",,,"Georgia","13","DeKalb County","089",,,,,,,,,,,,,,,,,,"05000US13089","DeKalb County, Georgia",310209,281356,28853,"DeKalb County, Georgia",728,3760,3631
"G1300950","2016","GA",,,"Georgia","13","Dougherty County","095",,,,,,,,,,,,,,,,,,"05000US13095","Dougherty County, Georgia",40715,34264,6451,"Dougherty County, Georgia",692,1537,1449
"G1300970","2016","GA",,,"Georgia","13","Douglas County","097",,,,,,,,,,,,,,,,,,"05000US13097","Douglas County, Georgia",52194,48901,3293,"Douglas County, Georgia",250,1209,1215
"G1301130","2016","GA",,,"Georgia","13","Fayette County","113",,,,,,,,,,,,,,,,,,"05000US13113","Fayette County, Georgia",42115,40046,2069,"Fayette County, Georgia",100,922,916
"G1301150","2016","GA",,,"Georgia","13","Floyd County","115",,,,,,,,,,,,,,,,,,"05000US13115","Floyd County, Georgia",40416,35411,5005,"Floyd County, Georgia",563,1199,1075
"G1301170","2016","GA",,,"Georgia","13","Forsyth County","117",,,,,,,,,,,,,,,,,,"05000US13117","Forsyth County, Georgia",77451,72208,5243,"Forsyth County, Georgia",173,1311,1334
"G1301210","2016","GA",,,"Georgia","13","Fulton County","121",,,,,,,,,,,,,,,,,,"05000US13121","Fulton County, Georgia",464517,396184,68333,"Fulton County, Georgia",1153,4547,4162
"G1301270","2016","GA",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,"05000US13127","Glynn County, Georgia",42429,31757,10672,"Glynn County, Georgia",433,2289,2202
"G1301350","2016","GA",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,"05000US13135","Gwinnett County, Georgia",305452,290405,15047,"Gwinnett County, Georgia",352,2752,2746
"G1301390","2016","GA",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,"05000US13139","Hall County, Georgia",70956,62038,8918,"Hall County, Georgia",124,1709,1690
"G1301510","2016","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"05000US13151","Henry County, Georgia",79628,74473,5155,"Henry County, Georgia",178,1560,1561
"G1301530","2016","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"05000US13153","Houston County, Georgia",61896,55901,5995,"Houston County, Georgia",291,1389,1373
"G1301790","2016","GA",,,"Georgia","13","Liberty County","179",,,,,,,,,,,,,,,,,,"05000US13179","Liberty County, Georgia",27578,22952,4626,"Liberty County, Georgia",169,1001,979
"G1301850","2016","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"05000US13185","Lowndes County, Georgia",46389,40835,5554,"Lowndes County, Georgia",277,1341,1283
"G1302150","2016","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",84741,73051,11690,"Muscogee County, Georgia",584,2017,1995
"G1302170","2016","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",38668,35825,2843,"Newton County, Georgia",325,1090,1095
"G1302230","2016","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",54837,53249,1588,"Paulding County, Georgia",233,1006,992
"G1302450","2016","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",88171,75909,12262,"Richmond County, Georgia",574,2070,2126
"G1302470","2016","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",33467,30381,3086,"Rockdale County, Georgia",289,1165,1178
"G1302850","2016","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",28358,24493,3865,"Troup County, Georgia",311,1292,1235
"G1302950","2016","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",30126,25110,5016,"Walker County, Georgia",340,1422,1333
"G1302970","2016","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",33083,30715,2368,"Walton County, Georgia",269,1037,988
"G1303130","2016","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",39622,35858,3764,"Whitfield County, Georgia",384,1376,1331
"G1500010","2016","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",86780,69818,16962,"Hawaii County, Hawaii",448,1668,1702
"G1500030","2016","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",347458,309169,38289,"Honolulu County, Hawaii",585,3715,3577
"G1500070","2016","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",30679,23214,7465,"Kauai County, Hawaii",118,1021,1010
"G1500090","2016","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",72139,53612,18527,"Maui County, Hawaii",436,1945,1968
"G1600010","2016","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",174805,167026,7779,"Ada County, Idaho",437,2212,2163
"G1600050","2016","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",33566,30106,3460,"Bannock County, Idaho",459,1132,999
"G1600190","2016","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",41652,38464,3188,"Bonneville County, Idaho",215,1040,1033
"G1600270","2016","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",73260,69859,3401,"Canyon County, Idaho",318,1249,1209
"G1600550","2016","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",68307,58875,9432,"Kootenai County, Idaho",294,1834,1780
"G1600830","2016","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",32383,30119,2264,"Twin Falls County, Idaho",277,865,829
"G1700010","2016","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",30017,27414,2603,"Adams County, Illinois",289,734,687
"G1700190","2016","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",91541,81856,9685,"Champaign County, Illinois",1132,2468,2057
"G1700310","2016","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",2181636,1963973,217663,"Cook County, Illinois",1428,8769,8587
"G1700370","2016","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",41019,36690,4329,"DeKalb County, Illinois",572,1355,1186
"G1700430","2016","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",359149,341320,17829,"DuPage County, Illinois",688,2393,2489
"G1700890","2016","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",185938,175360,10578,"Kane County, Illinois",484,2537,2568
"G1700910","2016","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",45172,39314,5858,"Kankakee County, Illinois",480,1235,1153
"G1700930","2016","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",41516,40752,764,"Kendall County, Illinois",126,620,604
"G1700970","2016","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",262603,244390,18213,"Lake County, Illinois",601,2370,2378
"G1700990","2016","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",49868,44753,5115,"LaSalle County, Illinois",323,1080,1016
"G1701110","2016","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",117968,110717,7251,"McHenry County, Illinois",304,1470,1467
"G1701130","2016","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",71757,65644,6113,"McLean County, Illinois",438,1378,1350
"G1701150","2016","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",50238,44002,6236,"Macon County, Illinois",490,1353,1263
"G1701190","2016","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",118637,105465,13172,"Madison County, Illinois",624,2808,2728
"G1701430","2016","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",83501,73209,10292,"Peoria County, Illinois",557,1808,1784
"G1701610","2016","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",65887,60206,5681,"Rock Island County, Illinois",589,1162,1122
"G1701630","2016","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",119209,104782,14427,"St. Clair County, Illinois",428,2295,2257
"G1701670","2016","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",90975,82959,8016,"Sangamon County, Illinois",444,1528,1442
"G1701790","2016","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",58755,56051,2704,"Tazewell County, Illinois",382,919,788
"G1701830","2016","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",35893,31928,3965,"Vermilion County, Illinois",365,1221,1096
"G1701970","2016","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",241817,228068,13749,"Will County, Illinois",454,2414,2275
"G1701990","2016","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",30919,26761,4158,"Williamson County, Illinois",243,1084,1042
"G1702010","2016","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",125357,114996,10361,"Winnebago County, Illinois",390,1992,1983
"G1800030","2016","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",156232,142762,13470,"Allen County, Indiana",359,2009,2008
"G1800050","2016","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",33880,31626,2254,"Bartholomew County, Indiana",215,953,933
"G1800190","2016","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",49765,42498,7267,"Clark County, Indiana",397,1548,1440
"G1800350","2016","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",52426,46720,5706,"Delaware County, Indiana",538,1458,1389
"G1800390","2016","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",78179,72487,5692,"Elkhart County, Indiana",400,1467,1500
"G1800430","2016","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",32539,29199,3340,"Floyd County, Indiana",232,967,954
"G1800530","2016","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",30287,26528,3759,"Grant County, Indiana",408,1025,912
"G1800570","2016","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",123948,118521,5427,"Hamilton County, Indiana",288,1707,1672
"G1800590","2016","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",29547,27968,1579,"Hancock County, Indiana",147,810,817
"G1800630","2016","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",60275,58677,1598,"Hendricks County, Indiana",898,1238,695
"G1800670","2016","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",39100,34195,4905,"Howard County, Indiana",263,1167,1153
"G1800810","2016","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",59835,54542,5293,"Johnson County, Indiana",272,1630,1579
"G1800850","2016","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",37908,30494,7414,"Kosciusko County, Indiana",426,1012,1208
"G1800890","2016","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",211477,185575,25902,"Lake County, Indiana",456,2341,2314
"G1800910","2016","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",48829,42074,6755,"LaPorte County, Indiana",547,1553,1407
"G1800950","2016","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",58715,50964,7751,"Madison County, Indiana",413,1484,1373
"G1800970","2016","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",420900,368349,52551,"Marion County, Indiana",636,3531,3519
"G1801050","2016","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",60803,54513,6290,"Monroe County, Indiana",850,1571,1514
"G1801090","2016","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",28081,25881,2200,"Morgan County, Indiana",276,941,948
"G1801270","2016","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",67861,62986,4875,"Porter County, Indiana",441,1607,1455
"G1801410","2016","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",115986,97071,18915,"St. Joseph County, Indiana",518,2206,2235
"G1801570","2016","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",75119,68405,6714,"Tippecanoe County, Indiana",1169,1780,1416
"G1801630","2016","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",83708,74968,8740,"Vanderburgh County, Indiana",376,1879,1828
"G1801670","2016","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",46750,40328,6422,"Vigo County, Indiana",584,1505,1330
"G1801770","2016","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",31172,26538,4634,"Wayne County, Indiana",297,1149,1139
"G1900130","2016","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",57308,52479,4829,"Black Hawk County, Iowa",585,1390,1178
"G1900490","2016","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",34532,33180,1352,"Dallas County, Iowa",93,729,712
"G1900610","2016","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",40876,37710,3166,"Dubuque County, Iowa",370,1062,962
"G1901030","2016","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",61796,57217,4579,"Johnson County, Iowa",1081,1936,1314
"G1901130","2016","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",96287,89173,7114,"Linn County, Iowa",411,2138,2066
"G1901530","2016","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",196679,182537,14142,"Polk County, Iowa",495,2636,2585
"G1901550","2016","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",39631,36094,3537,"Pottawattamie County, Iowa",413,1075,991
"G1901630","2016","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",73656,66527,7129,"Scott County, Iowa",403,1677,1573
"G1901690","2016","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",39130,37350,1780,"Story County, Iowa",578,985,737
"G1901930","2016","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",41982,38637,3345,"Woodbury County, Iowa",382,1218,1132
"G2000150","2016","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",26564,24266,2298,"Butler County, Kansas",364,904,807
"G2000450","2016","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",49287,45572,3715,"Douglas County, Kansas",453,1406,1375
"G2000910","2016","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",238224,225606,12618,"Johnson County, Kansas",410,2066,2050
"G2001030","2016","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",29418,27174,2244,"Leavenworth County, Kansas",462,1049,925
"G2001610","2016","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",30372,25523,4849,"Riley County, Kansas",552,1501,1398
"G2001730","2016","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",216535,195815,20720,"Sedgwick County, Kansas",505,2528,2519
"G2001770","2016","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",79629,70101,9528,"Shawnee County, Kansas",622,1899,1694
"G2002090","2016","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",67699,58524,9175,"Wyandotte County, Kansas",270,1266,1292
"G2100150","2016","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",48770,46849,1921,"Boone County, Kentucky",373,1034,946
"G2100290","2016","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",30959,29037,1922,"Bullitt County, Kentucky",165,876,865
"G2100370","2016","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",40171,36461,3710,"Campbell County, Kentucky",538,1248,1132
"G2100470","2016","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",29794,25121,4673,"Christian County, Kentucky",431,1117,1144
"G2100590","2016","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",42963,39629,3334,"Daviess County, Kentucky",506,1153,1026
"G2100670","2016","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",140976,127137,13839,"Fayette County, Kentucky",910,2102,1772
"G2100930","2016","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",46152,39684,6468,"Hardin County, Kentucky",463,1908,1940
"G2101110","2016","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",344655,314161,30494,"Jefferson County, Kentucky",675,2817,2820
"G2101170","2016","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",69821,63609,6212,"Kenton County, Kentucky",267,1297,1267
"G2101450","2016","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",31969,28416,3553,"McCracken County, Kentucky",357,1100,933
"G2101510","2016","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",36279,33633,2646,"Madison County, Kentucky",559,1128,1044
"G2101850","2016","KY",,,"Kentucky","21","Oldham County","185",,,,,,,,,,,,,,,,,,"05000US21185","Oldham County, Kentucky",21688,21180,508,"Oldham County, Kentucky",281,443,373
"G2102270","2016","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",51350,47444,3906,"Warren County, Kentucky",480,1236,1131
"G2200050","2016","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",45883,40950,4933,"Ascension Parish, Louisiana",336,1545,1489
"G2200150","2016","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",55902,47458,8444,"Bossier Parish, Louisiana",301,1800,1767
"G2200170","2016","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",113175,96532,16643,"Caddo Parish, Louisiana",357,2351,2367
"G2200190","2016","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",87877,77029,10848,"Calcasieu Parish, Louisiana",434,2177,2139
"G2200330","2016","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",193701,163764,29937,"East Baton Rouge Parish, Louisiana",444,3551,3447
"G2200450","2016","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",30236,26240,3996,"Iberia Parish, Louisiana",258,1181,1179
"G2200510","2016","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",189326,170710,18616,"Jefferson Parish, Louisiana",407,2318,2187
"G2200550","2016","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",101107,89130,11977,"Lafayette Parish, Louisiana",744,2127,2093
"G2200570","2016","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",40430,37199,3231,"Lafourche Parish, Louisiana",359,999,975
"G2200630","2016","LA",,,"Louisiana","22","Livingston Parish","063",,,,,,,,,,,,,,,,,,"05000US22063","Livingston Parish, Louisiana",55213,47479,7734,"Livingston Parish, Louisiana",395,1665,1721
"G2200710","2016","LA",,,"Louisiana","22","Orleans Parish","071",,,,,,,,,,,,,,,,,,"05000US22071","Orleans Parish, Louisiana",193120,154355,38765,"Orleans Parish, Louisiana",1054,2906,2710
"G2200730","2016","LA",,,"Louisiana","22","Ouachita Parish","073",,,,,,,,,,,,,,,,,,"05000US22073","Ouachita Parish, Louisiana",67510,54349,13161,"Ouachita Parish, Louisiana",638,1840,1770
"G2200790","2016","LA",,,"Louisiana","22","Rapides Parish","079",,,,,,,,,,,,,,,,,,"05000US22079","Rapides Parish, Louisiana",57526,47745,9781,"Rapides Parish, Louisiana",351,1868,1860
"G2200970","2016","LA",,,"Louisiana","22","St. Landry Parish","097",,,,,,,,,,,,,,,,,,"05000US22097","St. Landry Parish, Louisiana",36396,30302,6094,"St. Landry Parish, Louisiana",163,1333,1329
"G2201030","2016","LA",,,"Louisiana","22","St. Tammany Parish","103",,,,,,,,,,,,,,,,,,"05000US22103","St. Tammany Parish, Louisiana",101268,92205,9063,"St. Tammany Parish, Louisiana",266,1838,1857
