GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJKWE001,AJKWE002,AJKWE003,NAME_M,AJKWM001,AJKWM002,AJKWM003
"G0600190","2018","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",333809,309519,24290,"Fresno County, California",1116,2529,2293
"G0600230","2018","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",63308,55773,7535,"Humboldt County, California",487,1388,1324
"G0600250","2018","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",57893,41764,16129,"Imperial County, California",259,2195,2167
"G0600290","2018","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",300423,273167,27256,"Kern County, California",1805,3833,3273
"G0600310","2018","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",46649,43727,2922,"Kings County, California",383,1039,995
"G0600330","2018","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",34751,26774,7977,"Lake County, California",288,1463,1474
"G0600370","2018","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",3561342,3313908,247434,"Los Angeles County, California",2697,10529,10266
"G0600390","2018","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",50971,44484,6487,"Madera County, California",335,1786,1725
"G0600410","2018","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",113175,104954,8221,"Marin County, California",673,1838,1695
"G0600450","2018","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",40934,33794,7140,"Mendocino County, California",359,1416,1353
"G0600470","2018","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",85766,79487,6279,"Merced County, California",429,1497,1413
