GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AMUEE001,AMUEE002,AMUEE003,NAME_M,AMUEM001,AMUEM002,AMUEM003
"G0101330","2016-2020","AL",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01133",,,"Winston County, Alabama",13700,9612,4088,"Winston County, Alabama",66,329,316
"G0200130","2016-2020","AK",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02013",,,"Aleutians East Borough, Alaska",1199,988,211,"Aleutians East Borough, Alaska",138,143,19
"G0200160","2016-2020","AK",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02016",,,"Aleutians West Census Area, Alaska",2013,1306,707,"Aleutians West Census Area, Alaska",208,199,52
"G0200200","2016-2020","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02020",,,"Anchorage Municipality, Alaska",118293,106970,11323,"Anchorage Municipality, Alaska",212,777,781
"G0200500","2016-2020","AK",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02050",,,"Bethel Census Area, Alaska",6029,4499,1530,"Bethel Census Area, Alaska",126,160,100
"G0200600","2016-2020","AK",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02060",,,"Bristol Bay Borough, Alaska",871,284,587,"Bristol Bay Borough, Alaska",61,51,31
"G0200630","2016-2020","AK",,,"Alaska","02","Chugach Census Area","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02063",,,"Chugach Census Area, Alaska",3287,2310,977,"Chugach Census Area, Alaska",118,162,137
"G0200660","2016-2020","AK",,,"Alaska","02","Copper River Census Area","066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02066",,,"Copper River Census Area, Alaska",2902,1063,1839,"Copper River Census Area, Alaska",112,125,78
"G0200680","2016-2020","AK",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02068",,,"Denali Borough, Alaska",1664,726,938,"Denali Borough, Alaska",341,336,63
"G0200700","2016-2020","AK",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02070",,,"Dillingham Census Area, Alaska",2462,1430,1032,"Dillingham Census Area, Alaska",76,89,48
