GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,RP8E001,RP8E002,RP8E003,NAME_M,RP8M001,RP8M002,RP8M003
"G0200130","2005-2009","AK",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02013","Aleutians East Borough, Alaska",581,355,226,"Aleutians East Borough, Alaska",205,205,31
"G0200160","2005-2009","AK",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02016","Aleutians West Census Area, Alaska",1706,563,1143,"Aleutians West Census Area, Alaska",404,402,42
"G0200200","2005-2009","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",110982,103602,7380,"Anchorage Municipality, Alaska",361,712,662
"G0200500","2005-2009","AK",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02050","Bethel Census Area, Alaska",5548,4178,1370,"Bethel Census Area, Alaska",40,127,121
"G0200600","2005-2009","AK",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02060","Bristol Bay Borough, Alaska",828,274,554,"Bristol Bay Borough, Alaska",160,161,50
"G0200680","2005-2009","AK",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02068","Denali Borough, Alaska",1249,521,728,"Denali Borough, Alaska",267,247,91
"G0200700","2005-2009","AK",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02070","Dillingham Census Area, Alaska",2411,1443,968,"Dillingham Census Area, Alaska",35,77,66
"G0200900","2005-2009","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",37720,32211,5509,"Fairbanks North Star Borough, Alaska",472,689,412
"G0201000","2005-2009","AK",,,"Alaska","02","Haines Borough","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02100","Haines Borough, Alaska",1608,1187,421,"Haines Borough, Alaska",166,147,112
"G0201050","2005-2009","AK",,,"Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02105","Hoonah-Angoon Census Area, Alaska",1785,976,809,"Hoonah-Angoon Census Area, Alaska",100,105,69
"G0201100","2005-2009","AK",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02110","Juneau City and Borough, Alaska",12842,11848,994,"Juneau City and Borough, Alaska",161,335,243
"G0201220","2005-2009","AK",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02122","Kenai Peninsula Borough, Alaska",25499,19603,5896,"Kenai Peninsula Borough, Alaska",118,331,319
"G0201300","2005-2009","AK",,,"Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02130","Ketchikan Gateway Borough, Alaska",6623,5962,661,"Ketchikan Gateway Borough, Alaska",45,170,175
"G0201500","2005-2009","AK",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02150","Kodiak Island Borough, Alaska",5593,4605,988,"Kodiak Island Borough, Alaska",378,432,231
"G0201640","2005-2009","AK",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02164","Lake and Peninsula Borough, Alaska",1495,465,1030,"Lake and Peninsula Borough, Alaska",188,183,56
"G0201700","2005-2009","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",28532,21956,6576,"Matanuska-Susitna Borough, Alaska",123,300,254
"G0201800","2005-2009","AK",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02180","Nome Census Area, Alaska",3686,2580,1106,"Nome Census Area, Alaska",215,244,119
"G0201850","2005-2009","AK",,,"Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02185","North Slope Borough, Alaska",2708,2049,659,"North Slope Borough, Alaska",22,99,98
"G0201880","2005-2009","AK",,,"Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02188","Northwest Arctic Borough, Alaska",2575,1738,837,"Northwest Arctic Borough, Alaska",50,76,65
"G0201950","2005-2009","AK",,,"Alaska","02","Petersburg Census Area","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02195","Petersburg Census Area, Alaska",2167,1650,517,"Petersburg Census Area, Alaska",113,128,109
"G0201980","2005-2009","AK",,,"Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02198","Prince of Wales-Hyder Census Area, Alaska",3138,2319,819,"Prince of Wales-Hyder Census Area, Alaska",32,91,91
"G0202200","2005-2009","AK",,,"Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02220","Sitka City and Borough, Alaska",3934,3516,418,"Sitka City and Borough, Alaska",35,161,165
"G0202300","2005-2009","AK",,,"Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02230","Skagway Municipality, Alaska",535,379,156,"Skagway Municipality, Alaska",114,113,34
"G0202400","2005-2009","AK",,,"Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02240","Southeast Fairbanks Census Area, Alaska",3321,2228,1093,"Southeast Fairbanks Census Area, Alaska",117,150,118
"G0202610","2005-2009","AK",,,"Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02261","Valdez-Cordova Census Area, Alaska",5287,3666,1621,"Valdez-Cordova Census Area, Alaska",20,153,156
"G0202700","2005-2009","AK",,,"Alaska","02","Wade Hampton Census Area","270",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02270","Wade Hampton Census Area, Alaska",2081,1659,422,"Wade Hampton Census Area, Alaska",19,60,58
"G0202750","2005-2009","AK",,,"Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02275","Wrangell City and Borough, Alaska",1343,961,382,"Wrangell City and Borough, Alaska",109,93,89
"G0202820","2005-2009","AK",,,"Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02282","Yakutat City and Borough, Alaska",383,166,217,"Yakutat City and Borough, Alaska",89,84,32
"G0202900","2005-2009","AK",,,"Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02290","Yukon-Koyukuk Census Area, Alaska",4026,2119,1907,"Yukon-Koyukuk Census Area, Alaska",31,101,92
"G0400010","2005-2009","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",32552,18847,13705,"Apache County, Arizona",348,661,570
"G0400030","2005-2009","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",57068,48412,8656,"Cochise County, Arizona",601,854,610
"G0400050","2005-2009","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",59957,44315,15642,"Coconino County, Arizona",458,743,661
"G0400070","2005-2009","AZ",,,"Arizona","04","Gila County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04007","Gila County, Arizona",30573,19079,11494,"Gila County, Arizona",230,751,719
"G0400090","2005-2009","AZ",,,"Arizona","04","Graham County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04009","Graham County, Arizona",12463,11044,1419,"Graham County, Arizona",124,307,256
"G0400110","2005-2009","AZ",,,"Arizona","04","Greenlee County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04011","Greenlee County, Arizona",3812,2910,902,"Greenlee County, Arizona",14,147,148
"G0400120","2005-2009","AZ",,,"Arizona","04","La Paz County","012",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04012","La Paz County, Arizona",15846,9530,6316,"La Paz County, Arizona",125,474,462
"G0400130","2005-2009","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",1530720,1338468,192252,"Maricopa County, Arizona",1149,4402,4426
"G0400150","2005-2009","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",100428,75262,25166,"Mohave County, Arizona",224,921,902
"G0400170","2005-2009","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",53655,34623,19032,"Navajo County, Arizona",100,766,775
