GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALIME001,ALIME002,ALIME003,NAME_M,ALIMM001,ALIMM002,ALIMM003
"G3901090","2019","OH",,,"Ohio","39","Miami County","109",,,,,,,,,,,,,,,,,,"05000US39109","Miami County, Ohio",44406,41273,3133,"Miami County, Ohio",183,1168,1155
"G3901130","2019","OH",,,"Ohio","39","Montgomery County","113",,,,,,,,,,,,,,,,,,"05000US39113","Montgomery County, Ohio",255088,224831,30257,"Montgomery County, Ohio",1195,2542,2506
"G3901190","2019","OH",,,"Ohio","39","Muskingum County","119",,,,,,,,,,,,,,,,,,"05000US39119","Muskingum County, Ohio",37960,33342,4618,"Muskingum County, Ohio",291,1373,1431
"G3901330","2019","OH",,,"Ohio","39","Portage County","133",,,,,,,,,,,,,,,,,,"05000US39133","Portage County, Ohio",69753,61018,8735,"Portage County, Ohio",432,1936,1836
"G3901390","2019","OH",,,"Ohio","39","Richland County","139",,,,,,,,,,,,,,,,,,"05000US39139","Richland County, Ohio",54101,49812,4289,"Richland County, Ohio",396,1271,1230
"G3901410","2019","OH",,,"Ohio","39","Ross County","141",,,,,,,,,,,,,,,,,,"05000US39141","Ross County, Ohio",32019,28365,3654,"Ross County, Ohio",468,1372,1275
"G3901450","2019","OH",,,"Ohio","39","Scioto County","145",,,,,,,,,,,,,,,,,,"05000US39145","Scioto County, Ohio",34576,29319,5257,"Scioto County, Ohio",434,1454,1493
"G3901510","2019","OH",,,"Ohio","39","Stark County","151",,,,,,,,,,,,,,,,,,"05000US39151","Stark County, Ohio",167206,154280,12926,"Stark County, Ohio",453,2092,2072
"G3901530","2019","OH",,,"Ohio","39","Summit County","153",,,,,,,,,,,,,,,,,,"05000US39153","Summit County, Ohio",246464,224629,21835,"Summit County, Ohio",779,3214,3277
"G3901550","2019","OH",,,"Ohio","39","Trumbull County","155",,,,,,,,,,,,,,,,,,"05000US39155","Trumbull County, Ohio",95624,84159,11465,"Trumbull County, Ohio",371,2060,2050
"G3901570","2019","OH",,,"Ohio","39","Tuscarawas County","157",,,,,,,,,,,,,,,,,,"05000US39157","Tuscarawas County, Ohio",40247,36788,3459,"Tuscarawas County, Ohio",188,1156,1141
"G3901650","2019","OH",,,"Ohio","39","Warren County","165",,,,,,,,,,,,,,,,,,"05000US39165","Warren County, Ohio",89771,84460,5311,"Warren County, Ohio",929,1882,1629
"G3901690","2019","OH",,,"Ohio","39","Wayne County","169",,,,,,,,,,,,,,,,,,"05000US39169","Wayne County, Ohio",46951,44589,2362,"Wayne County, Ohio",459,806,760
"G3901730","2019","OH",,,"Ohio","39","Wood County","173",,,,,,,,,,,,,,,,,,"05000US39173","Wood County, Ohio",54134,51353,2781,"Wood County, Ohio",628,1178,1035
"G4000170","2019","OK",,,"Oklahoma","40","Canadian County","017",,,,,,,,,,,,,,,,,,"05000US40017","Canadian County, Oklahoma",49464,46005,3459,"Canadian County, Oklahoma",316,1005,945
"G4000270","2019","OK",,,"Oklahoma","40","Cleveland County","027",,,,,,,,,,,,,,,,,,"05000US40027","Cleveland County, Oklahoma",117077,108673,8404,"Cleveland County, Oklahoma",585,1881,1766
"G4000310","2019","OK",,,"Oklahoma","40","Comanche County","031",,,,,,,,,,,,,,,,,,"05000US40031","Comanche County, Oklahoma",51654,41843,9811,"Comanche County, Oklahoma",694,1796,1674
