GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PDHE001,PDHE002,PDHE003,NAME_M,PDHM001,PDHM002,PDHM003
"G0600810","2012","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",270714,258888,11826,"San Mateo County, California",484,2061,2004
"G0600830","2012","CA",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County, California",152699,141639,11060,"Santa Barbara County, California",726,1840,1702
"G0600850","2012","CA",,,"California","06","Santa Clara County","085",,,,,,,,,,,,,,,,,,"05000US06085","Santa Clara County, California",636293,613810,22483,"Santa Clara County, California",1139,2881,2627
"G0600870","2012","CA",,,"California","06","Santa Cruz County","087",,,,,,,,,,,,,,,,,,"05000US06087","Santa Cruz County, California",104286,93253,11033,"Santa Cruz County, California",642,1926,1796
"G0600890","2012","CA",,,"California","06","Shasta County","089",,,,,,,,,,,,,,,,,,"05000US06089","Shasta County, California",77308,68165,9143,"Shasta County, California",313,1837,1754
"G0600950","2012","CA",,,"California","06","Solano County","095",,,,,,,,,,,,,,,,,,"05000US06095","Solano County, California",153035,141139,11896,"Solano County, California",612,1964,1803
"G0600970","2012","CA",,,"California","06","Sonoma County","097",,,,,,,,,,,,,,,,,,"05000US06097","Sonoma County, California",204760,184348,20412,"Sonoma County, California",1016,2755,2622
"G0600990","2012","CA",,,"California","06","Stanislaus County","099",,,,,,,,,,,,,,,,,,"05000US06099","Stanislaus County, California",179199,167497,11702,"Stanislaus County, California",461,1822,1708
"G0601010","2012","CA",,,"California","06","Sutter County","101",,,,,,,,,,,,,,,,,,"05000US06101","Sutter County, California",33881,31259,2622,"Sutter County, California",111,652,629
"G0601070","2012","CA",,,"California","06","Tulare County","107",,,,,,,,,,,,,,,,,,"05000US06107","Tulare County, California",143458,132614,10844,"Tulare County, California",361,1493,1493
"G0601110","2012","CA",,,"California","06","Ventura County","111",,,,,,,,,,,,,,,,,,"05000US06111","Ventura County, California",281700,267877,13823,"Ventura County, California",558,1850,1876
"G0601130","2012","CA",,,"California","06","Yolo County","113",,,,,,,,,,,,,,,,,,"05000US06113","Yolo County, California",75265,71568,3697,"Yolo County, California",495,1351,1228
"G0601150","2012","CA",,,"California","06","Yuba County","115",,,,,,,,,,,,,,,,,,"05000US06115","Yuba County, California",27608,24842,2766,"Yuba County, California",278,901,890
"G0800010","2012","CO",,,"Colorado","08","Adams County","001",,,,,,,,,,,,,,,,,,"05000US08001","Adams County, Colorado",163986,153605,10381,"Adams County, Colorado",655,2043,1899
"G0800050","2012","CO",,,"Colorado","08","Arapahoe County","005",,,,,,,,,,,,,,,,,,"05000US08005","Arapahoe County, Colorado",239685,226527,13158,"Arapahoe County, Colorado",381,1919,1863
"G0800130","2012","CO",,,"Colorado","08","Boulder County","013",,,,,,,,,,,,,,,,,,"05000US08013","Boulder County, Colorado",128106,121743,6363,"Boulder County, Colorado",817,1566,1393
"G0800310","2012","CO",,,"Colorado","08","Denver County","031",,,,,,,,,,,,,,,,,,"05000US08031","Denver County, Colorado",288191,270439,17752,"Denver County, Colorado",1357,2772,2342
"G0800350","2012","CO",,,"Colorado","08","Douglas County","035",,,,,,,,,,,,,,,,,,"05000US08035","Douglas County, Colorado",109115,105044,4071,"Douglas County, Colorado",207,1285,1271
"G0800410","2012","CO",,,"Colorado","08","El Paso County","041",,,,,,,,,,,,,,,,,,"05000US08041","El Paso County, Colorado",256058,238094,17964,"El Paso County, Colorado",701,2514,2432
"G0800590","2012","CO",,,"Colorado","08","Jefferson County","059",,,,,,,,,,,,,,,,,,"05000US08059","Jefferson County, Colorado",230850,221457,9393,"Jefferson County, Colorado",864,2040,1865
"G0800690","2012","CO",,,"Colorado","08","Larimer County","069",,,,,,,,,,,,,,,,,,"05000US08069","Larimer County, Colorado",134704,124031,10673,"Larimer County, Colorado",756,1979,2017
"G0800770","2012","CO",,,"Colorado","08","Mesa County","077",,,,,,,,,,,,,,,,,,"05000US08077","Mesa County, Colorado",63161,58779,4382,"Mesa County, Colorado",548,1370,1217
"G0801010","2012","CO",,,"Colorado","08","Pueblo County","101",,,,,,,,,,,,,,,,,,"05000US08101","Pueblo County, Colorado",69591,62388,7203,"Pueblo County, Colorado",440,1454,1385
"G0801230","2012","CO",,,"Colorado","08","Weld County","123",,,,,,,,,,,,,,,,,,"05000US08123","Weld County, Colorado",97525,92447,5078,"Weld County, Colorado",829,1409,1085
"G0900010","2012","CT",,,"Connecticut","09","Fairfield County","001",,,,,,,,,,,,,,,,,,"05000US09001","Fairfield County, Connecticut",361427,334255,27172,"Fairfield County, Connecticut",650,2816,2765
"G0900030","2012","CT",,,"Connecticut","09","Hartford County","003",,,,,,,,,,,,,,,,,,"05000US09003","Hartford County, Connecticut",373876,346726,27150,"Hartford County, Connecticut",970,2728,2583
"G0900050","2012","CT",,,"Connecticut","09","Litchfield County","005",,,,,,,,,,,,,,,,,,"05000US09005","Litchfield County, Connecticut",87408,75593,11815,"Litchfield County, Connecticut",346,1618,1552
"G0900070","2012","CT",,,"Connecticut","09","Middlesex County","007",,,,,,,,,,,,,,,,,,"05000US09007","Middlesex County, Connecticut",75006,67386,7620,"Middlesex County, Connecticut",411,1582,1432
"G0900090","2012","CT",,,"Connecticut","09","New Haven County","009",,,,,,,,,,,,,,,,,,"05000US09009","New Haven County, Connecticut",361884,330054,31830,"New Haven County, Connecticut",956,3472,3106
"G0900110","2012","CT",,,"Connecticut","09","New London County","011",,,,,,,,,,,,,,,,,,"05000US09011","New London County, Connecticut",120993,105801,15192,"New London County, Connecticut",429,2526,2511
"G0900130","2012","CT",,,"Connecticut","09","Tolland County","013",,,,,,,,,,,,,,,,,,"05000US09013","Tolland County, Connecticut",58268,54830,3438,"Tolland County, Connecticut",754,1379,1297
"G0900150","2012","CT",,,"Connecticut","09","Windham County","015",,,,,,,,,,,,,,,,,,"05000US09015","Windham County, Connecticut",49140,43167,5973,"Windham County, Connecticut",575,1526,1291
"G1000010","2012","DE",,,"Delaware","10","Kent County","001",,,,,,,,,,,,,,,,,,"05000US10001","Kent County, Delaware",66555,59499,7056,"Kent County, Delaware",368,1441,1397
"G1000030","2012","DE",,,"Delaware","10","New Castle County","003",,,,,,,,,,,,,,,,,,"05000US10003","New Castle County, Delaware",218053,202814,15239,"New Castle County, Delaware",502,1771,1825
"G1000050","2012","DE",,,"Delaware","10","Sussex County","005",,,,,,,,,,,,,,,,,,"05000US10005","Sussex County, Delaware",125700,77995,47705,"Sussex County, Delaware",347,2432,2434
"G1100010","2012","DC",,,"District Of Columbia","11","District of Columbia","001",,,,,,,,,,,,,,,,,,"05000US11001","District of Columbia, District of Columbia",300247,266662,33585,"District of Columbia, District of Columbia",68,3138,3138
