GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHNBE001,AHNBE002,AHNBE003,NAME_M,AHNBM001,AHNBM002,AHNBM003
"G1200010","2017","FL",,,"Florida","12","Alachua County","001",,,,,,,,,,,,,,,,,,"05000US12001","Alachua County, Florida",116975,97714,19261,"Alachua County, Florida",925,2507,2369
"G1200050","2017","FL",,,"Florida","12","Bay County","005",,,,,,,,,,,,,,,,,,"05000US12005","Bay County, Florida",102822,70600,32222,"Bay County, Florida",264,2581,2582
"G1200090","2017","FL",,,"Florida","12","Brevard County","009",,,,,,,,,,,,,,,,,,"05000US12009","Brevard County, Florida",278139,228385,49754,"Brevard County, Florida",456,4217,4218
"G1200110","2017","FL",,,"Florida","12","Broward County","011",,,,,,,,,,,,,,,,,,"05000US12011","Broward County, Florida",823622,685559,138063,"Broward County, Florida",985,5668,5622
"G1200150","2017","FL",,,"Florida","12","Charlotte County","015",,,,,,,,,,,,,,,,,,"05000US12015","Charlotte County, Florida",103986,76056,27930,"Charlotte County, Florida",409,2864,2819
"G1200170","2017","FL",,,"Florida","12","Citrus County","017",,,,,,,,,,,,,,,,,,"05000US12017","Citrus County, Florida",79496,61290,18206,"Citrus County, Florida",549,2602,2547
"G1200190","2017","FL",,,"Florida","12","Clay County","019",,,,,,,,,,,,,,,,,,"05000US12019","Clay County, Florida",80776,73136,7640,"Clay County, Florida",287,2128,2066
"G1200210","2017","FL",,,"Florida","12","Collier County","021",,,,,,,,,,,,,,,,,,"05000US12021","Collier County, Florida",214429,144354,70075,"Collier County, Florida",692,4069,4087
"G1200230","2017","FL",,,"Florida","12","Columbia County","023",,,,,,,,,,,,,,,,,,"05000US12023","Columbia County, Florida",28958,24335,4623,"Columbia County, Florida",346,1258,1204
"G1200310","2017","FL",,,"Florida","12","Duval County","031",,,,,,,,,,,,,,,,,,"05000US12031","Duval County, Florida",407446,359607,47839,"Duval County, Florida",811,3522,3431
"G1200330","2017","FL",,,"Florida","12","Escambia County","033",,,,,,,,,,,,,,,,,,"05000US12033","Escambia County, Florida",141696,122406,19290,"Escambia County, Florida",839,2545,2339
"G1200350","2017","FL",,,"Florida","12","Flagler County","035",,,,,,,,,,,,,,,,,,"05000US12035","Flagler County, Florida",51544,42370,9174,"Flagler County, Florida",154,1682,1691
"G1200530","2017","FL",,,"Florida","12","Hernando County","053",,,,,,,,,,,,,,,,,,"05000US12053","Hernando County, Florida",86721,74110,12611,"Hernando County, Florida",652,2274,2149
"G1200550","2017","FL",,,"Florida","12","Highlands County","055",,,,,,,,,,,,,,,,,,"05000US12055","Highlands County, Florida",55647,42948,12699,"Highlands County, Florida",449,2328,2243
"G1200570","2017","FL",,,"Florida","12","Hillsborough County","057",,,,,,,,,,,,,,,,,,"05000US12057","Hillsborough County, Florida",580367,521609,58758,"Hillsborough County, Florida",847,4747,4705
"G1200610","2017","FL",,,"Florida","12","Indian River County","061",,,,,,,,,,,,,,,,,,"05000US12061","Indian River County, Florida",80017,58044,21973,"Indian River County, Florida",204,2623,2624
"G1200690","2017","FL",,,"Florida","12","Lake County","069",,,,,,,,,,,,,,,,,,"05000US12069","Lake County, Florida",157233,136255,20978,"Lake County, Florida",383,2937,2912
