GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ACK3E001,ACK3E002,ACK3E003,ACK3E004,ACK3E005,ACK3E006,ACK3E007,ACK3E008,ACK3E009,ACK3E010,NAME_M,ACK3M001,ACK3M002,ACK3M003,ACK3M004,ACK3M005,ACK3M006,ACK3M007,ACK3M008,ACK3M009,ACK3M010
"G06013210","2015","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",85599,38503,4386,504,10959,146,22650,8451,2232,6219,"Chino city, California",36,3634,1080,367,2325,205,3691,1714,966,1417
"G06013214","2015","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",78313,37675,3221,719,26951,124,7052,2571,267,2304,"Chino Hills city, California",45,4649,1782,836,3616,214,3496,1075,335,1047
"G06013392","2015","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",265754,173466,13412,823,42433,1354,22689,11577,2571,9006,"Chula Vista city, California",41,7485,3697,556,5832,1159,5048,2423,1066,2255
"G06013588","2015","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",87053,74148,4782,109,2215,196,1613,3990,631,3359,"Citrus Heights city, California",31,3143,2489,134,1015,233,843,1274,376,1155
"G06014218","2015","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",104172,74136,2721,731,12745,0,9634,4205,959,3246,"Clovis city, California",39,4621,1801,756,3125,201,3292,1282,568,1119
"G06015044","2015","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",98448,52935,25938,269,1624,981,15257,1444,1202,242,"Compton city, California",60,5084,3922,289,1418,1535,3264,750,726,234
"G06016000","2015","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",128668,86429,5168,145,13828,936,15053,7109,2264,4845,"Concord city, California",33,5548,2965,156,3559,1198,4009,2362,1777,1552
"G06016350","2015","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",164242,112825,8235,571,18099,221,16866,7425,2232,5193,"Corona city, California",72,5302,2410,495,3532,210,4655,1775,1137,1644
"G06016532","2015","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",113186,84639,2688,1006,7676,1256,12782,3139,503,2636,"Costa Mesa city, California",65,4492,1625,632,1963,1374,3588,984,447,875
"G06017918","2015","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",106574,22619,4570,553,59688,2255,13342,3547,478,3069,"Daly City city, California",51,3475,1444,653,4921,1717,3603,1214,427,1141
"G06018100","2015","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",67656,43506,1374,97,14682,98,3061,4838,614,4224,"Davis city, California",40,2499,707,135,2133,150,1058,1399,491,1273
"G06019766","2015","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",114211,76069,4832,243,8782,101,21962,2222,1047,1175,"Downey city, California",38,5005,2172,235,2086,117,4616,1103,541,841
"G06020802","2015","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",119666,48057,363,451,945,0,68630,1220,937,283,"East Los Angeles CDP, California",8790,5926,341,350,622,201,7712,588,487,339
"G06021712","2015","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",103688,78399,5406,168,2707,912,9377,6719,1201,5518,"El Cajon city, California",42,3992,1843,183,936,943,3378,2055,942,1715
"G06022020","2015","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",166890,75674,16672,379,50282,3014,6338,14531,2689,11842,"Elk Grove city, California",98,5826,3888,258,6352,2159,2117,3418,1264,3563
"G06022230","2015","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",116745,63280,274,426,32881,130,18679,1075,446,629,"El Monte city, California",48,4621,198,345,3968,162,4367,539,330,427
"G06022804","2015","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",151458,116093,4333,1333,12671,393,10968,5667,1529,4138,"Escondido city, California",40,5150,1888,879,3642,424,2733,1918,960,1750
"G06023182","2015","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",112972,57900,15796,578,18386,1590,11433,7289,1062,6227,"Fairfield city, California",33,4498,2538,480,3328,740,3676,1803,542,1653
"G06024477","2015","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",,,,,,,,,,,"Florence-Graham CDP, California",,,,,,,,,,
"G06024638","2015","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",76368,53741,2973,311,13405,627,1271,4040,780,3260,"Folsom city, California",32,2978,899,199,2263,841,444,1456,510,1283
"G06024680","2015","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",207472,79854,14490,1206,12449,224,92082,7167,3347,3820,"Fontana city, California",61,8153,3568,838,3307,341,8250,2311,1986,1572
"G06026000","2015","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",232191,58670,6071,527,132865,3959,17885,12214,3342,8872,"Fremont city, California",58,5085,2380,317,5779,1766,5874,2460,1777,2098
"G06027000","2015","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",520072,311604,40021,5904,69359,1257,75090,16837,3127,13710,"Fresno city, California",85,9817,3012,1719,4938,678,7974,2965,1259,2581
"G06028000","2015","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",140849,85666,3174,197,30849,394,13746,6823,1201,5622,"Fullerton city, California",37,5973,1413,249,4634,436,4797,1769,584,1610
"G06029000","2015","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",175384,64048,1084,1148,70118,558,35306,3122,657,2465,"Garden Grove city, California",59,6144,748,819,5760,430,5558,973,405,863
"G06030000","2015","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",201025,142232,3539,167,38323,371,11122,5271,518,4753,"Glendale city, California",38,5581,1709,172,4568,343,2757,1474,318,1431
"G06032548","2015","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"16000US0632548","Hawthorne city, California",88444,22545,20617,339,7361,132,35878,1572,478,1094,"Hawthorne city, California",40,3667,3726,305,2185,167,4868,865,339,776
"G06033000","2015","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"16000US0633000","Hayward city, California",158300,67679,16822,941,41446,3388,18285,9739,2130,7609,"Hayward city, California",58,6303,2916,564,5060,1421,4388,2343,821,2302
"G06033182","2015","CA",,,"California","06",,,"Hemet city","33182",,,,,,,,,,,,,,,,"16000US0633182","Hemet city, California",83873,65152,6421,1181,3196,649,4284,2990,605,2385,"Hemet city, California",54,4012,2610,905,1764,803,2090,1167,530,959
"G06033434","2015","CA",,,"California","06",,,"Hesperia city","33434",,,,,,,,,,,,,,,,"16000US0633434","Hesperia city, California",93286,76974,4703,1490,1164,65,7102,1788,586,1202,"Hesperia city, California",41,3516,2139,1641,560,112,2235,824,395,720
"G06036000","2015","CA",,,"California","06",,,"Huntington Beach city","36000",,,,,,,,,,,,,,,,"16000US0636000","Huntington Beach city, California",201927,145828,2862,1358,22739,643,17321,11176,2559,8617,"Huntington Beach city, California",102,6502,1330,1232,3764,557,5789,2556,1595,2042
