GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,ANLTE001,ANLTE002,ANLTE003,ANLTE004,ANLTE005,ANLTE006,ANLTE007,ANLTE008,ANLTE009,ANLTE010,NAME_M,ANLTM001,ANLTM002,ANLTM003,ANLTM004,ANLTM005,ANLTM006,ANLTM007,ANLTM008,ANLTM009,ANLTM010
"G06016532","2021","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"1600000US0616532","0616532","Costa Mesa city, California",110750,53726,2574,767,11611,0,21042,21030,16576,4454,"Costa Mesa city, California",36,4676,2010,625,3254,218,4138,2949,2964,1395
"G06017918","2021","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"1600000US0617918","0617918","Daly City city, California",101221,17228,3156,909,59170,190,10351,10217,6798,3419,"Daly City city, California",68,3893,1804,774,5033,297,3647,3107,2850,1491
"G06018100","2021","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"1600000US0618100","0618100","Davis city, California",66798,36183,1611,882,17200,57,2215,8650,4778,3872,"Davis city, California",24,2667,792,1180,2194,99,986,1825,1699,1294
"G06019766","2021","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"1600000US0619766","0619766","Downey city, California",111637,23749,3828,2526,9907,519,34472,36636,33806,2830,"Downey city, California",40,4077,2008,1422,4635,824,5253,5470,5542,1235
"G06020018","2021","CA",,,"California","06",,,"Dublin city","20018",,,,,,,,,,,,,,,,"1600000US0620018","0620018","Dublin city, California",71680,19594,1524,395,40115,379,2168,7505,3056,4449,"Dublin city, California",35,3207,966,267,3695,464,1289,2787,1746,2270
"G06020802","2021","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"1600000US0620802","0620802","East Los Angeles CDP, California",115803,12998,295,4104,908,0,75588,21910,20829,1081,"East Los Angeles CDP, California",9115,4107,250,2487,495,218,7760,4661,4509,806
"G06021230","2021","CA",,,"California","06",,,"Eastvale city","21230",,,,,,,,,,,,,,,,"1600000US0621230","0621230","Eastvale city, California",71374,18662,6357,0,21632,337,16644,7742,6469,1273,"Eastvale city, California",28,5365,2420,218,4400,425,6830,3577,3496,758
"G06021712","2021","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"1600000US0621712","0621712","El Cajon city, California",105431,59909,10354,1133,4530,1454,14038,14013,8388,5625,"El Cajon city, California",34,5482,4513,1605,1964,1124,3504,3564,2770,2135
"G06022020","2021","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"1600000US0622020","0622020","Elk Grove city, California",178988,60458,21868,388,54442,1134,13120,27578,10483,17095,"Elk Grove city, California",54,6550,5050,329,6639,741,3633,4558,3002,3388
"G06022230","2021","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"1600000US0622230","0622230","El Monte city, California",106913,9976,429,4491,30312,0,40111,21594,20408,1186,"El Monte city, California",38,2688,332,2493,4147,218,5505,3766,3670,682
