GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,LJCE001,LJCE002,LJCE003,LJCE004,LJCE005,LJCE006,LJCE007,LJCE008,LJCE009,LJCE010,NAME_M,LJCM001,LJCM002,LJCM003,LJCM004,LJCM005,LJCM006,LJCM007,LJCM008,LJCM009,LJCM010
"G06036000","2011","CA",,,"California","06",,,"Huntington Beach city","36000",,,,,,,,,,,,,,,,"16000US0636000","Huntington Beach city, California",192868,148558,1615,1570,20876,293,14053,5903,1012,4891,"Huntington Beach city, California",80,5881,889,827,4149,223,4008,1507,846,1261
"G06036448","2011","CA",,,"California","06",,,"Indio city","36448",,,,,,,,,,,,,,,,"16000US0636448","Indio city, California",77789,46924,951,1380,1207,0,25574,1753,437,1316,"Indio city, California",44,5052,592,1538,748,208,5336,1026,397,832
"G06036546","2011","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"16000US0636546","Inglewood city, California",110463,34098,48324,548,2578,224,22237,2454,1000,1454,"Inglewood city, California",34,5304,4391,624,1307,237,4840,1157,800,798
"G06036770","2011","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"16000US0636770","Irvine city, California",215511,114571,3780,1305,79380,286,5214,10975,1151,9824,"Irvine city, California",64,7117,1853,801,8194,250,1912,2589,1056,2574
"G06039496","2011","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"16000US0639496","Lake Forest city, California",78460,48307,1401,130,15025,536,9981,3080,823,2257,"Lake Forest city, California",73,5013,680,163,3411,413,4024,982,644,797
"G06039892","2011","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"16000US0639892","Lakewood city, California",80648,40753,5783,374,12449,525,16276,4488,1791,2697,"Lakewood city, California",63,4033,1612,433,2636,349,4492,1253,974,949
"G06040130","2011","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"16000US0640130","Lancaster city, California",157698,100799,30153,855,6790,192,9786,9123,2060,7063,"Lancaster city, California",37,6578,5200,560,2579,166,3246,2580,1173,2490
"G06041992","2011","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"16000US0641992","Livermore city, California",82056,65197,1764,21,10502,131,1500,2941,215,2726,"Livermore city, California",59,3085,1031,49,3039,160,1327,1252,292,1241
"G06043000","2011","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"16000US0643000","Long Beach city, California",465584,243830,65958,2518,54359,4812,64219,29888,6651,23237,"Long Beach city, California",61,10075,7501,1049,5565,2434,8192,4559,2233,3645
"G06044000","2011","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"16000US0644000","Los Angeles city, California",3819708,2043821,353111,19263,442855,7091,829340,124227,38203,86024,"Los Angeles city, California",76,25468,12901,3186,14199,2318,24784,7348,4407,6661
"G06044574","2011","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"16000US0644574","Lynwood city, California",70259,22311,5295,428,520,0,40542,1163,835,328,"Lynwood city, California",28,4127,1667,501,316,208,4479,651,538,314
"G06045484","2011","CA",,,"California","06",,,"Manteca city","45484",,,,,,,,,,,,,,,,"16000US0645484","Manteca city, California",68254,49180,3183,352,4390,607,6403,4139,975,3164,"Manteca city, California",28,4769,1919,296,1845,848,3718,1575,489,1564
"G06046842","2011","CA",,,"California","06",,,"Menifee city","46842",,,,,,,,,,,,,,,,"16000US0646842","Menifee city, California",79321,62313,2907,306,7478,177,4083,2057,826,1231,"Menifee city, California",45,4335,1514,373,3674,286,2131,1464,1000,929
"G06046898","2011","CA",,,"California","06",,,"Merced city","46898",,,,,,,,,,,,,,,,"16000US0646898","Merced city, California",80234,50049,4980,778,10732,91,10780,2824,626,2198,"Merced city, California",32,3226,1503,821,2412,133,2672,1471,295,1336
"G06047766","2011","CA",,,"California","06",,,"Milpitas city","47766",,,,,,,,,,,,,,,,"16000US0647766","Milpitas city, California",67811,14596,2254,525,41309,655,5221,3251,1272,1979,"Milpitas city, California",29,2764,1226,753,3608,785,2066,1308,802,879
"G06048256","2011","CA",,,"California","06",,,"Mission Viejo city","48256",,,,,,,,,,,,,,,,"16000US0648256","Mission Viejo city, California",94714,77728,1166,202,7961,37,4823,2797,277,2520,"Mission Viejo city, California",38,4316,693,315,2626,63,3523,1048,286,1000
"G06048354","2011","CA",,,"California","06",,,"Modesto city","48354",,,,,,,,,,,,,,,,"16000US0648354","Modesto city, California",202761,151965,8486,2760,14102,1855,13935,9658,1905,7753,"Modesto city, California",53,5031,1987,1564,2562,923,3645,2722,1060,2417
"G06049270","2011","CA",,,"California","06",,,"Moreno Valley city","49270",,,,,,,,,,,,,,,,"16000US0649270","Moreno Valley city, California",197838,131461,36468,2957,9451,450,11842,5209,1417,3792,"Moreno Valley city, California",47,8303,7100,3110,3052,684,3074,1469,741,1298
