GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AKSME001,AKSME002,AKSME003,AKSME004,AKSME005,AKSME006,AKSME007,AKSME008,AKSME009,AKSME010,NAME_M,AKSMM001,AKSMM002,AKSMM003,AKSMM004,AKSMM005,AKSMM006,AKSMM007,AKSMM008,AKSMM009,AKSMM010
"G06003666","2019","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",75240,41140,497,933,15749,0,11439,5482,4853,629,"Baldwin Park city, California",50,4963,428,1243,3343,216,3211,2205,2117,486
"G06004982","2019","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",76445,23738,13179,62,6561,248,29889,2768,1420,1348,"Bellflower city, California",42,3718,3553,112,1785,395,4743,1269,1004,601
"G06006000","2019","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",121353,72845,7549,609,27183,345,3893,8929,828,8101,"Berkeley city, California",43,3278,2087,352,2699,409,1640,1655,524,1558
"G06008786","2019","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",81783,44145,865,48,27646,65,6614,2400,569,1831,"Buena Park city, California",37,4855,726,81,4397,115,3004,1044,465,918
"G06008954","2019","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",102508,73104,2998,747,14081,0,4702,6876,1164,5712,"Burbank city, California",32,3942,1146,568,3163,216,1418,2388,815,2209
"G06010046","2019","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",69887,54288,1397,558,7434,90,2491,3629,885,2744,"Camarillo city, California",29,3348,734,655,2414,147,1197,1332,715,1065
"G06011194","2019","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",115386,96652,441,50,12311,0,471,5461,485,4976,"Carlsbad city, California",37,3869,441,91,3203,216,411,1547,402,1500
"G06011390","2019","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",66800,54950,2412,254,2834,702,1126,4522,627,3895,"Carmichael CDP, California",6863,6479,1100,247,1088,684,564,1379,579,1254
"G06011530","2019","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",91407,20981,25604,184,25774,1258,12764,4842,1169,3673,"Carson city, California",48,4789,5291,306,4644,945,3549,2143,811,1996
"G06013014","2019","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",103315,84193,2672,479,4133,359,6821,4658,689,3969,"Chico city, California",54,3144,1089,510,1503,286,2432,1667,711,1547
"G06013210","2019","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",94352,63597,3722,289,14109,1088,7439,4108,1876,2232,"Chino city, California",75,3918,1135,242,2930,1100,2254,1357,1081,819
"G06013214","2019","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",83843,34500,1869,299,36200,189,6021,4765,852,3913,"Chino Hills city, California",46,4320,1746,467,4629,294,3642,1994,1098,1559
"G06013392","2019","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",274485,172080,14063,858,49733,1191,22798,13762,3098,10664,"Chula Vista city, California",52,10196,4586,430,8865,1142,6888,3373,1380,2957
"G06013588","2019","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",87792,72188,2965,1559,2958,0,2805,5317,838,4479,"Citrus Heights city, California",32,2822,1349,1208,917,216,1374,1561,596,1332
"G06014218","2019","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",114582,80183,3456,1986,11643,842,9531,6941,1904,5037,"Clovis city, California",34,4593,1955,1097,2639,697,3454,1972,843,1721
"G06015044","2019","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",95601,32503,21659,233,376,452,38307,2071,586,1485,"Compton city, California",36,5548,3832,209,296,664,5643,1569,513,1470
"G06016000","2019","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",129320,77326,5281,934,17729,104,17979,9967,2974,6993,"Concord city, California",90,6308,1942,638,4165,231,5570,2521,1755,1777
"G06016350","2019","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",169854,91545,8802,1014,22101,290,38837,7265,1977,5288,"Corona city, California",68,7045,3353,679,4557,314,6513,2063,893,1765
"G06016532","2019","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",113011,65384,1003,992,12279,549,27779,5025,918,4107,"Costa Mesa city, California",46,6126,673,1606,2827,838,5700,2143,536,2065
"G06017918","2019","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",106294,24409,2633,832,63816,568,10459,3577,890,2687,"Daly City city, California",52,4625,1014,799,4700,655,4786,1314,788,1066
"G06018100","2019","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",69420,42765,2207,1104,18858,379,1261,2846,613,2233,"Davis city, California",34,2362,1095,674,2150,415,618,1004,618,746
"G06019766","2019","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",111127,67098,2997,150,7128,162,29785,3807,1833,1974,"Downey city, California",26,5790,1699,239,3506,272,5593,1312,798,1077
"G06020802","2019","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",119890,68041,395,1437,1745,59,47096,1117,518,599,"East Los Angeles CDP, California",10492,8679,338,1107,922,101,8098,655,472,445
"G06021712","2019","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",102699,80533,5091,84,4052,357,8008,4574,1563,3011,"El Cajon city, California",36,4845,2944,122,2100,548,3524,1502,1089,1104
"G06022020","2019","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",174791,74606,16212,1186,59652,3418,7486,12231,1680,10551,"Elk Grove city, California",69,5379,3535,1068,5466,1943,2873,2814,726,2723
"G06022230","2019","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",115477,32272,736,1627,37395,1847,37111,4489,3529,960,"El Monte city, California",48,4770,773,1719,5512,1534,5990,2258,2158,693
"G06022804","2019","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",151619,118117,2429,526,8755,892,12819,8081,1172,6909,"Escondido city, California",42,4558,1001,361,2130,826,3096,2219,584,2096
"G06023182","2019","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",117136,60766,16993,366,18749,2361,7881,10020,515,9505,"Fairfield city, California",37,5021,3683,459,3717,1019,2562,2084,420,1999
"G06024477","2019","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",70149,38773,4583,1068,380,0,24081,1264,834,430,"Florence-Graham CDP, California",8060,6759,1837,1173,519,216,5230,805,762,329
"G06024638","2019","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",81324,55425,4451,0,16655,445,1843,2505,461,2044,"Folsom city, California",28,3804,1744,216,3763,544,1119,832,359,717
"G06024680","2019","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",214557,71848,17558,2627,13085,116,95133,14190,7159,7031,"Fontana city, California",57,6665,4523,1813,3406,203,9057,3869,2489,2807
"G06026000","2019","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",241117,57616,7428,1539,148114,1316,14403,10701,4380,6321,"Fremont city, California",43,5946,2159,691,6427,879,4300,2396,1250,1866
"G06027000","2019","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",531581,321138,37875,5317,73306,623,70030,23292,4665,18627,"Fresno city, California",59,8882,3393,2092,5684,533,7295,3314,1723,3454
"G06028000","2019","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",138638,88762,1882,619,32031,36,8474,6834,962,5872,"Fullerton city, California",44,5694,787,400,4810,61,3352,2308,609,2197
