GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,SBME001,SBME002,SBME003,SBME004,SBME005,SBME006,SBME007,SBME008,SBME009,SBME010,NAME_M,SBMM001,SBMM002,SBMM003,SBMM004,SBMM005,SBMM006,SBMM007,SBMM008,SBMM009,SBMM010
"G06029000","2013","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",175115,74672,1752,767,61583,1645,30235,4461,1347,3114,"Garden Grove city, California",91,6398,955,525,5833,1045,5815,1277,753,1054
"G06030000","2013","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",196000,141375,3339,475,31805,105,11058,7843,1480,6363,"Glendale city, California",81,5539,1389,408,4688,172,3589,1823,697,1725
"G06032548","2013","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"16000US0632548","Hawthorne city, California",86204,36391,18796,159,5637,931,13865,10425,616,9809,"Hawthorne city, California",42,4015,3026,264,2206,1312,3345,3093,581,3048
"G06033000","2013","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"16000US0633000","Hayward city, California",151582,55033,15394,1379,37828,4158,27073,10717,2732,7985,"Hayward city, California",48,5326,3325,1474,4395,1457,5092,2496,1450,2075
"G06033182","2013","CA",,,"California","06",,,"Hemet city","33182",,,,,,,,,,,,,,,,"16000US0633182","Hemet city, California",81734,58863,5150,525,1791,0,11554,3851,1484,2367,"Hemet city, California",59,3683,2115,410,959,203,3517,1449,877,1213
"G06033434","2013","CA",,,"California","06",,,"Hesperia city","33434",,,,,,,,,,,,,,,,"16000US0633434","Hesperia city, California",92159,76847,4217,478,809,138,5594,4076,1371,2705,"Hesperia city, California",52,3067,2423,375,583,163,1644,1521,848,1044
"G06036000","2013","CA",,,"California","06",,,"Huntington Beach city","36000",,,,,,,,,,,,,,,,"16000US0636000","Huntington Beach city, California",197577,155576,1808,224,23476,1065,8526,6902,707,6195,"Huntington Beach city, California",39,4623,880,156,3899,878,2665,1951,470,1910
"G06036448","2013","CA",,,"California","06",,,"Indio city","36448",,,,,,,,,,,,,,,,"16000US0636448","Indio city, California",83546,42321,1845,899,1635,777,34123,1946,497,1449,"Indio city, California",43,4912,1128,937,717,1236,4947,966,393,808
"G06036546","2013","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"16000US0636546","Inglewood city, California",111544,31645,45315,123,762,0,30942,2757,860,1897,"Inglewood city, California",29,5378,5127,132,439,203,5262,1083,658,853
"G06036770","2013","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"16000US0636770","Irvine city, California",236724,122292,3932,523,91945,15,7229,10788,1253,9535,"Irvine city, California",54,8989,1736,644,8438,28,2409,2684,533,2560
"G06037692","2013","CA",,,"California","06",,,"Jurupa Valley city","37692",,,,,,,,,,,,,,,,"16000US0637692","Jurupa Valley city, California",98036,55919,3602,980,873,364,32202,4096,1449,2647,"Jurupa Valley city, California",35,5124,1607,1051,447,434,5335,1946,1019,1659
"G06039496","2013","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"16000US0639496","Lake Forest city, California",79300,51266,2155,156,10850,366,11065,3442,466,2976,"Lake Forest city, California",49,4199,1344,262,2326,415,4355,1516,324,1462
"G06039892","2013","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"16000US0639892","Lakewood city, California",81136,44482,5632,620,13746,2874,7530,6252,1896,4356,"Lakewood city, California",60,3951,2020,435,2784,2255,2099,1774,886,1466
"G06040130","2013","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"16000US0640130","Lancaster city, California",159521,104446,31722,898,6161,284,9954,6056,352,5704,"Lancaster city, California",37,5249,4804,681,2075,301,2728,1812,233,1768
"G06041992","2013","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"16000US0641992","Livermore city, California",85169,68295,153,94,9706,0,2808,4113,543,3570,"Livermore city, California",54,3781,178,100,3264,203,1697,1647,497,1539
"G06043000","2013","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"16000US0643000","Long Beach city, California",469384,247260,64295,9999,58532,4057,62448,22793,6726,16067,"Long Beach city, California",143,9050,6073,3222,6414,1575,7248,3400,1964,2811
"G06044000","2013","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"16000US0644000","Los Angeles city, California",3884340,1994140,346154,25381,441638,8217,934798,134012,39091,94921,"Los Angeles city, California",142,27383,9710,4636,13779,2341,24759,8161,4463,6071
"G06044574","2013","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"16000US0644574","Lynwood city, California",71387,46707,5444,296,1076,42,15849,1973,1035,938,"Lynwood city, California",61,4838,1806,485,565,77,4367,1156,991,777
"G06045484","2013","CA",,,"California","06",,,"Manteca city","45484",,,,,,,,,,,,,,,,"16000US0645484","Manteca city, California",71949,50704,2489,337,6079,210,8753,3377,634,2743,"Manteca city, California",35,3983,1544,369,2205,252,3718,1221,560,1061
"G06046842","2013","CA",,,"California","06",,,"Menifee city","46842",,,,,,,,,,,,,,,,"16000US0646842","Menifee city, California",83459,59012,6051,324,4052,43,8097,5880,1331,4549,"Menifee city, California",52,3402,2190,383,1572,70,2599,1982,1058,1818
"G06046898","2013","CA",,,"California","06",,,"Merced city","46898",,,,,,,,,,,,,,,,"16000US0646898","Merced city, California",81089,37125,2956,526,11151,0,23506,5825,4049,1776,"Merced city, California",51,3977,1430,498,1932,203,3874,2443,2501,731
"G06047766","2013","CA",,,"California","06",,,"Milpitas city","47766",,,,,,,,,,,,,,,,"16000US0647766","Milpitas city, California",69796,13466,1762,539,46128,771,4438,2692,58,2634,"Milpitas city, California",49,3236,867,465,3564,1109,2034,1270,97,1254
"G06048256","2013","CA",,,"California","06",,,"Mission Viejo city","48256",,,,,,,,,,,,,,,,"16000US0648256","Mission Viejo city, California",96350,77505,2936,177,8646,75,2337,4674,255,4419,"Mission Viejo city, California",37,3136,1550,226,2156,129,1188,1577,251,1519
"G06048354","2013","CA",,,"California","06",,,"Modesto city","48354",,,,,,,,,,,,,,,,"16000US0648354","Modesto city, California",204925,136008,8420,1251,17706,784,28790,11966,2028,9938,"Modesto city, California",44,6513,2055,690,3215,585,5460,2630,1078,2227
"G06049270","2013","CA",,,"California","06",,,"Moreno Valley city","49270",,,,,,,,,,,,,,,,"16000US0649270","Moreno Valley city, California",201187,101184,33926,1850,10379,1097,45037,7714,3699,4015,"Moreno Valley city, California",57,7963,4765,1100,2727,924,7003,2014,1450,1422
"G06049670","2013","CA",,,"California","06",,,"Mountain View city","49670",,,,,,,,,,,,,,,,"16000US0649670","Mountain View city, California",77839,47399,1369,242,23796,0,1317,3716,282,3434,"Mountain View city, California",34,3697,663,205,3521,203,685,1135,296,1108
"G06050076","2013","CA",,,"California","06",,,"Murrieta city","50076",,,,,,,,,,,,,,,,"16000US0650076","Murrieta city, California",107457,71238,7976,279,7308,298,10708,9650,1797,7853,"Murrieta city, California",79,5440,3789,311,2576,400,4705,2777,1459,2329
"G06050258","2013","CA",,,"California","06",,,"Napa city","50258",,,,,,,,,,,,,,,,"16000US0650258","Napa city, California",79059,59156,1133,1065,1766,54,12797,3088,1148,1940,"Napa city, California",38,3409,737,876,1033,92,3507,1237,655,941
