GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AGXGE001,AGXGE002,AGXGE003,AGXGE004,AGXGE005,AGXGE006,AGXGE007,AGXGE008,AGXGE009,AGXGE010,NAME_M,AGXGM001,AGXGM002,AGXGM003,AGXGM004,AGXGM005,AGXGM006,AGXGM007,AGXGM008,AGXGM009,AGXGM010
"G06011964","2017","CA",,,"California","06",,,"Castro Valley CDP","11964",,,,,,,,,,,,,,,,"16000US0611964","Castro Valley CDP, California",62103,36970,6056,850,11831,254,2330,3812,129,3683,"Castro Valley CDP, California",4515,3694,3132,619,2542,211,1276,1432,150,1440
"G06013014","2017","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",93297,76299,2499,658,5603,37,4349,3852,696,3156,"Chico city, California",29,2554,797,424,1399,64,1505,1319,636,1124
"G06013210","2017","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",89798,44957,5569,518,11883,1093,21312,4466,1616,2850,"Chino city, California",39,5038,1255,571,2722,1072,4409,1015,581,797
"G06013214","2017","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",80400,41622,2157,346,27344,0,6239,2692,956,1736,"Chino Hills city, California",97,4507,1476,355,3869,210,3589,1098,677,829
"G06013392","2017","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",270450,176339,18102,2083,37656,2113,20379,13778,2873,10905,"Chula Vista city, California",88,9162,4833,1923,7867,1309,5116,2935,1173,2843
"G06013588","2017","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",87924,70644,3976,444,2556,100,5000,5204,891,4313,"Citrus Heights city, California",37,2934,1809,331,958,122,2260,1796,539,1623
"G06014218","2017","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",109700,80735,2310,670,11095,939,9033,4918,1878,3040,"Clovis city, California",47,4578,1565,508,2830,663,2719,1765,1308,1027
"G06015044","2017","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",97626,26264,29429,489,215,36,39738,1455,943,512,"Compton city, California",57,4739,4717,558,234,65,4507,1084,961,414
"G06016000","2017","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",129778,81463,4141,520,18456,0,18844,6354,651,5703,"Concord city, California",39,6222,2281,412,3611,210,4923,1590,424,1500
"G06016350","2017","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",167843,94255,13462,471,15363,616,35455,8221,3557,4664,"Corona city, California",48,5885,5064,287,3259,492,5627,2467,1561,1837
"G06016532","2017","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",113821,88167,1947,253,8762,1594,8852,4246,1017,3229,"Costa Mesa city, California",34,3767,1013,313,2064,1321,3141,1443,686,1187
"G06017918","2017","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",107091,19476,3727,578,61641,263,13791,7615,1738,5877,"Daly City city, California",58,4087,1657,460,4712,423,3918,2294,953,2245
"G06018100","2017","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",68985,44617,1702,416,13918,120,2202,6010,429,5581,"Davis city, California",23,2798,717,312,1928,159,933,1855,361,1803
"G06019766","2017","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",113089,63809,3376,187,6764,488,34438,4027,1711,2316,"Downey city, California",35,6520,1840,185,2363,598,6488,1676,1120,1357
"G06020802","2017","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",125542,60719,433,1950,1848,86,58541,1965,925,1040,"East Los Angeles CDP, California",10161,8640,331,1108,1028,141,6759,910,639,645
"G06021712","2017","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",103906,76897,6852,324,4629,342,8474,6388,1084,5304,"El Cajon city, California",47,4194,2352,317,1654,393,2923,1785,742,1735
"G06022020","2017","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",171831,82224,17204,754,47526,4009,6412,13702,2438,11264,"Elk Grove city, California",66,5387,3717,375,5135,1819,2321,2510,1134,2179
"G06022230","2017","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",116110,33074,418,285,33636,1446,45034,2217,500,1717,"El Monte city, California",38,5097,329,332,4740,1145,6255,1081,327,1023
"G06022804","2017","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",151979,98442,2727,742,7580,203,34749,7536,1742,5794,"Escondido city, California",43,6289,1067,651,2256,152,6197,2250,1025,2104
"G06023182","2017","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",116280,52035,19051,761,21796,2020,11166,9451,1999,7452,"Fairfield city, California",64,4515,3231,718,3707,1221,3836,2323,1195,2015
"G06024477","2017","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",,,,,,,,,,,"Florence-Graham CDP, California",,,,,,,,,,
"G06024638","2017","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",78038,53706,2124,204,14335,278,1620,5771,259,5512,"Folsom city, California",28,3154,818,263,2512,389,601,2036,300,2045
"G06024680","2017","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",211820,80867,19848,1860,10043,155,88001,11046,3999,7047,"Fontana city, California",42,7935,5465,1308,2642,243,9451,2825,1487,2332
"G06026000","2017","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",234954,52702,4687,1063,144089,859,18902,12652,3323,9329,"Fremont city, California",45,5643,2361,592,7259,585,5269,2548,1734,1779
"G06027000","2017","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",527422,318521,40511,5852,74388,378,63495,24277,5997,18280,"Fresno city, California",75,8478,3032,1924,4817,246,7852,3882,1690,3532
"G06028000","2017","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",140402,76933,3773,214,34268,514,17623,7077,1572,5505,"Fullerton city, California",52,6164,1166,265,3998,450,5062,2127,979,1918
"G06029000","2017","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",174228,68564,1675,493,77498,257,22121,3620,652,2968,"Garden Grove city, California",39,6634,955,618,5270,217,5833,1248,504,1129
"G06030000","2017","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",203066,156970,4640,411,26417,248,6839,7541,1368,6173,"Glendale city, California",53,5351,1836,421,4586,304,1879,2510,965,2151
"G06032548","2017","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"16000US0632548","Hawthorne city, California",87863,22725,23290,220,9894,330,28168,3236,782,2454,"Hawthorne city, California",44,3898,4184,360,2999,310,5191,1431,625,1526
"G06033000","2017","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"16000US0633000","Hayward city, California",160485,48180,14771,1022,42564,2870,38331,12747,2539,10208,"Hayward city, California",61,5169,3236,622,5064,1290,5048,3294,1349,3221
"G06033182","2017","CA",,,"California","06",,,"Hemet city","33182",,,,,,,,,,,,,,,,"16000US0633182","Hemet city, California",85153,60697,7500,1236,2755,18,8791,4156,1888,2268,"Hemet city, California",41,5050,3811,806,1144,38,2847,1568,1149,1125
"G06033434","2017","CA",,,"California","06",,,"Hesperia city","33434",,,,,,,,,,,,,,,,"16000US0633434","Hesperia city, California",94867,79894,3881,206,2780,0,5546,2560,1193,1367,"Hesperia city, California",39,3816,2482,278,1389,210,1789,1183,931,853
"G06036000","2017","CA",,,"California","06",,,"Huntington Beach city","36000",,,,,,,,,,,,,,,,"16000US0636000","Huntington Beach city, California",201882,148792,2786,1207,24391,357,14024,10325,1624,8701,"Huntington Beach city, California",52,5595,1709,885,3436,384,5395,2145,1048,1896
"G06036448","2017","CA",,,"California","06",,,"Indio city","36448",,,,,,,,,,,,,,,,"16000US0636448","Indio city, California",89784,56831,1843,220,1797,5,26716,2372,983,1389,"Indio city, California",36,4356,1000,326,1376,12,4248,1098,704,701
"G06036546","2017","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"16000US0636546","Inglewood city, California",110611,29996,44973,2076,2236,2292,26345,2693,544,2149,"Inglewood city, California",49,4685,5266,1503,1506,2843,4930,1023,314,994
"G06036770","2017","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"16000US0636770","Irvine city, California",277436,128892,5095,519,115202,838,12083,14807,2271,12536,"Irvine city, California",56,8321,2115,490,9201,903,5528,3491,1258,3300
"G06037692","2017","CA",,,"California","06",,,"Jurupa Valley city","37692",,,,,,,,,,,,,,,,"16000US0637692","Jurupa Valley city, California",106032,47876,5673,836,3361,218,43078,4990,2167,2823,"Jurupa Valley city, California",29,5675,2511,1029,1527,220,5579,2008,1396,1250
"G06039248","2017","CA",,,"California","06",,,"Laguna Niguel city","39248",,,,,,,,,,,,,,,,"16000US0639248","Laguna Niguel city, California",66346,48362,410,0,9148,118,3420,4888,423,4465,"Laguna Niguel city, California",47,3552,399,210,2317,192,2642,1522,449,1436
"G06039486","2017","CA",,,"California","06",,,"Lake Elsinore city","39486",,,,,,,,,,,,,,,,"16000US0639486","Lake Elsinore city, California",66412,24543,4369,193,6395,0,28498,2414,801,1613,"Lake Elsinore city, California",34,3939,2432,301,3038,210,5326,1353,665,1134
"G06039496","2017","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"16000US0639496","Lake Forest city, California",84308,53423,1378,2417,18601,0,4843,3646,414,3232,"Lake Forest city, California",60,3593,1297,1879,2923,210,2676,1152,352,1194
"G06039892","2017","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"16000US0639892","Lakewood city, California",80971,41190,7167,610,14937,275,11871,4921,1191,3730,"Lakewood city, California",37,4214,2493,616,4086,286,3106,1713,752,1501
"G06040130","2017","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"16000US0640130","Lancaster city, California",160323,106113,25151,1483,8771,273,11606,6926,1554,5372,"Lancaster city, California",38,6582,5165,785,2455,446,2867,1790,801,1567
"G06041992","2017","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"16000US0641992","Livermore city, California",90290,70091,1463,300,11672,567,1876,4321,733,3588,"Livermore city, California",32,3720,758,353,3129,477,1056,1732,772,1365
"G06042202","2017","CA",,,"California","06",,,"Lodi city","42202",,,,,,,,,,,,,,,,"16000US0642202","Lodi city, California",65891,39984,2108,574,5901,230,2708,14386,193,14193,"Lodi city, California",39,4018,2357,549,1681,292,1165,3534,224,3532
"G06043000","2017","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"16000US0643000","Long Beach city, California",469459,238911,59564,3116,63147,3307,84441,16973,3906,13067,"Long Beach city, California",61,10081,7000,1246,6972,1581,9196,2365,1072,2133
"G06044000","2017","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"16000US0644000","Los Angeles city, California",3999742,2033975,362079,24208,461936,6170,972167,139207,31465,107742,"Los Angeles city, California",78,25090,12120,4615,15188,2018,29928,9533,5415,7919
