GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AIUXE001,AIUXE002,AIUXE003,AIUXE004,AIUXE005,AIUXE006,AIUXE007,AIUXE008,AIUXE009,AIUXE010,NAME_M,AIUXM001,AIUXM002,AIUXM003,AIUXM004,AIUXM005,AIUXM006,AIUXM007,AIUXM008,AIUXM009,AIUXM010
"G06011390","2018","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",65328,51486,2655,320,3945,45,1125,5752,844,4908,"Carmichael CDP, California",5237,5155,1467,249,1407,76,716,2458,850,2404
"G06011530","2018","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",91899,26557,22829,486,17430,4238,16748,3611,789,2822,"Carson city, California",52,4187,4509,419,3258,2642,3794,1542,723,1364
"G06011964","2018","CA",,,"California","06",,,"Castro Valley CDP","11964",,,,,,,,,,,,,,,,"16000US0611964","Castro Valley CDP, California",63226,28939,4631,324,20682,101,2590,5959,426,5533,"Castro Valley CDP, California",5323,3983,1689,305,4111,117,1439,2980,433,2974
"G06013014","2018","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",94787,76007,2300,799,3986,280,6229,5186,281,4905,"Chico city, California",43,2881,849,582,1303,413,2098,1680,368,1656
"G06013210","2018","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",91589,50505,5588,487,15651,226,14038,5094,1136,3958,"Chino city, California",37,5551,1945,278,3598,392,4127,1514,542,1430
"G06013214","2018","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",83438,36626,4422,994,34081,0,3217,4098,404,3694,"Chino Hills city, California",45,5081,2206,1195,4557,211,2273,1705,341,1701
"G06013392","2018","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",271653,177460,9984,449,46536,1227,20417,15580,4610,10970,"Chula Vista city, California",36,9762,3351,293,7543,1147,4255,3403,1774,2941
"G06013588","2018","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",87916,71654,2362,633,3726,302,4493,4746,1007,3739,"Citrus Heights city, California",38,3379,1011,592,1997,268,2040,1356,766,1210
"G06014218","2018","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",112019,73710,5555,1737,11376,0,10953,8688,1915,6773,"Clovis city, California",36,4069,2781,1631,3140,211,3663,2141,1023,1936
"G06015044","2018","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",96616,24168,28974,203,611,108,41010,1542,662,880,"Compton city, California",36,4699,4487,303,597,131,5342,729,499,509
