GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,OJFE001,OJFE002,OJFE003,OJFE004,OJFE005,OJFE006,OJFE007,OJFE008,OJFE009,OJFE010,NAME_M,OJFM001,OJFM002,OJFM003,OJFM004,OJFM005,OJFM006,OJFM007,OJFM008,OJFM009,OJFM010
"G06010046","2012","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",65972,50220,2241,247,6307,81,2134,4742,253,4489,"Camarillo city, California",32,2994,1361,182,2276,162,1426,2036,311,2005
"G06011194","2012","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",109333,92829,1606,623,7703,0,3527,3045,377,2668,"Carlsbad city, California",61,3661,1413,588,2495,197,2412,1648,456,1588
"G06011530","2012","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",92992,29205,14637,863,22099,2638,6465,17085,648,16437,"Carson city, California",54,3895,3020,639,3292,1651,2241,3946,347,3877
"G06013014","2012","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",87712,74941,1628,387,3344,153,1549,5710,512,5198,"Chico city, California",30,1766,515,225,1142,223,788,1414,341,1381
"G06013210","2012","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",80181,45171,4067,1313,9021,122,16404,4083,910,3173,"Chino city, California",68,4320,1100,1038,2267,129,3333,1488,543,1446
"G06013214","2012","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",76462,41194,2372,192,25148,0,4666,2890,620,2270,"Chino Hills city, California",44,4378,1217,204,3418,197,2190,1134,604,875
"G06013392","2012","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",252424,173959,12625,878,35082,1765,15168,12947,3352,9595,"Chula Vista city, California",38,7701,3536,642,6562,1497,3284,3409,1193,3421
"G06013588","2012","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",84862,71151,2158,650,2333,0,5024,3546,556,2990,"Citrus Heights city, California",38,2906,917,484,921,197,2520,1239,485,1130
"G06014218","2012","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",98626,74354,1216,1309,9027,248,8820,3652,1268,2384,"Clovis city, California",41,4068,725,970,2512,322,2670,1525,1253,803
"G06015044","2012","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",97560,15913,30554,283,524,267,47693,2326,1297,1029,"Compton city, California",42,3037,3834,322,531,441,4612,1219,954,636
"G06016000","2012","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",124717,82972,8078,607,16254,1393,8817,6596,811,5785,"Concord city, California",37,5463,2981,712,3178,979,3440,2820,628,2771
"G06016350","2012","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",158388,113387,8748,1347,17969,605,8786,7546,3186,4360,"Corona city, California",47,5280,3346,649,2691,622,2232,1953,1447,1225
"G06016532","2012","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",111910,74348,1827,214,9704,140,21091,4586,1747,2839,"Costa Mesa city, California",38,4990,962,166,2461,217,5206,1284,916,969
"G06017918","2012","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",103677,20761,1954,346,64398,205,13623,2390,445,1945,"Daly City city, California",55,3073,1332,466,4305,333,3376,1108,397,1024
"G06018100","2012","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",66009,40897,2226,201,14662,84,3945,3994,603,3391,"Davis city, California",58,2637,1454,236,2024,103,1500,1201,460,1144
"G06019766","2012","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",112878,73025,4529,72,10239,67,20996,3950,1856,2094,"Downey city, California",32,5499,1834,118,2852,109,5233,1325,906,1032
"G06020802","2012","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",126918,70748,1029,553,1598,33,50648,2309,1764,545,"East Los Angeles CDP, California",9004,6176,981,449,1006,54,7322,1012,805,514
"G06021712","2012","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",101449,71529,6629,197,5325,2121,10961,4687,1472,3215,"El Cajon city, California",59,4464,1776,192,2160,1408,3807,1318,681,1132
"G06022020","2012","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",159064,71280,17192,630,44859,1592,6958,16553,2235,14318,"Elk Grove city, California",95,7459,5000,817,7485,1157,2590,4954,1149,4714
"G06022230","2012","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",115113,58308,429,422,33146,592,19983,2233,1410,823,"El Monte city, California",36,5017,243,251,4128,628,4845,1057,977,422
"G06022804","2012","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",147556,120409,2847,1541,9110,13,10200,3436,837,2599,"Escondido city, California",69,4095,1595,1179,2666,21,2902,1308,679,1160
"G06023182","2012","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",107676,51527,12926,662,20059,1096,13930,7476,1104,6372,"Fairfield city, California",39,4319,2406,424,3073,641,3551,1648,664,1612
"G06024477","2012","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",63284,35250,4885,978,68,8,20794,1301,1076,225,"Florence-Graham CDP, California",6564,5347,1472,1127,78,18,4891,853,798,269
"G06024638","2012","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",73381,53465,3466,627,9979,298,2409,3137,369,2768,"Folsom city, California",27,2708,765,499,2257,253,1204,1039,343,954
"G06024680","2012","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",201817,114607,18479,2977,10460,1070,46763,7461,1597,5864,"Fontana city, California",48,6896,3751,1786,3685,1388,7127,1959,786,1771
"G06026000","2012","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",222001,67213,8251,1534,115288,964,12958,15793,4046,11747,"Fremont city, California",65,5414,2947,606,6052,510,3932,3046,1677,2759
"G06027000","2012","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",505870,245070,43739,6128,68813,935,117736,23449,8418,15031,"Fresno city, California",71,9463,1920,2598,5068,443,7792,4420,2327,3223
"G06028000","2012","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",138589,75571,2632,400,39130,157,14034,6665,1495,5170,"Fullerton city, California",60,5481,1421,383,5350,211,4231,1812,963,1595
