GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA3AE001,AA3AE002,AA3AE003,AA3AE004,AA3AE005,AA3AE006,AA3AE007,AA3AE008,AA3AE009,AA3AE010,AA3AE011,AA3AE012,AA3AE013,AA3AE014,AA3AE015,AA3AE016,AA3AE017,AA3AE018,AA3AE019,AA3AE020,AA3AE021,AA3AE022,AA3AE023,AA3AE024,NAME_M,AA3AM001,AA3AM002,AA3AM003,AA3AM004,AA3AM005,AA3AM006,AA3AM007,AA3AM008,AA3AM009,AA3AM010,AA3AM011,AA3AM012,AA3AM013,AA3AM014,AA3AM015,AA3AM016,AA3AM017,AA3AM018,AA3AM019,AA3AM020,AA3AM021,AA3AM022,AA3AM023,AA3AM024
"G1800190","2014","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",13201,12668,0,122,462,409,500,147,480,874,634,1392,1164,1587,612,1302,672,1143,478,448,71,113,58,533,"Clark County, Indiana",1536,1551,187,164,423,225,404,124,344,440,308,590,525,729,300,455,364,602,396,335,87,99,98,382
"G1800350","2014","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",15722,14796,101,268,23,538,256,1056,806,1705,1603,1582,1676,1569,861,316,429,347,313,722,480,145,0,926,"Delaware County, Indiana",1386,1414,108,295,38,381,208,587,404,625,550,557,593,562,415,263,269,248,256,419,377,155,187,521
"G1800390","2014","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",22202,20471,372,372,85,300,440,636,859,1908,1300,1941,2006,2803,2450,1075,1600,1240,341,465,49,39,190,1731,"Elkhart County, Indiana",2051,2185,346,398,109,295,253,547,577,752,620,690,646,816,886,627,843,547,276,420,87,63,209,844
"G1800430","2014","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",8568,8267,231,265,261,89,286,28,586,559,702,185,919,802,1153,709,883,360,24,185,0,40,0,301,"Floyd County, Indiana",1003,1009,198,278,294,101,253,49,316,368,470,157,481,327,526,392,483,280,39,205,187,68,187,282
"G1800530","2014","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,"Grant County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,
"G1800570","2014","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",24861,24064,102,69,0,89,162,60,199,789,200,549,270,2087,1330,1463,1875,2915,3843,3684,1954,1857,567,797,"Hamilton County, Indiana",2388,2423,85,114,187,157,204,108,153,503,216,314,199,1122,714,671,660,948,1154,1031,807,832,439,464
"G1800590","2014","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,"Hancock County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,
"G1800630","2014","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,"Hendricks County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,
"G1800670","2014","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",11772,11271,943,207,119,228,219,363,306,1307,1007,1570,1344,1215,721,297,611,185,478,20,83,0,48,501,"Howard County, Indiana",1684,1652,432,269,222,306,231,223,358,615,551,612,543,559,382,209,474,129,526,44,132,187,81,302
"G1800810","2014","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",15209,14396,0,291,0,215,229,250,418,697,763,1843,994,1067,1553,2213,1011,1049,922,675,62,49,95,813,"Johnson County, Indiana",1845,1774,187,369,187,216,286,281,371,450,595,904,588,674,787,971,480,553,666,580,83,80,100,408
