GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S5EE001,S5EE002,S5EE003,S5EE004,S5EE005,S5EE006,S5EE007,S5EE008,S5EE009,S5EE010,S5EE011,S5EE012,S5EE013,S5EE014,S5EE015,S5EE016,S5EE017,S5EE018,S5EE019,S5EE020,S5EE021,S5EE022,S5EE023,S5EE024,NAME_M,S5EM001,S5EM002,S5EM003,S5EM004,S5EM005,S5EM006,S5EM007,S5EM008,S5EM009,S5EM010,S5EM011,S5EM012,S5EM013,S5EM014,S5EM015,S5EM016,S5EM017,S5EM018,S5EM019,S5EM020,S5EM021,S5EM022,S5EM023,S5EM024
"G3000290","2013","MT",,,"Montana","30","Flathead County","029",,,,,,,,,,,,,,,,,,"05000US30029","Flathead County, Montana",10808,10039,0,126,117,795,249,298,732,245,313,1051,347,648,704,508,761,860,495,928,521,218,123,769,"Flathead County, Montana",1508,1516,165,103,139,629,354,295,463,200,288,548,312,418,436,304,569,541,403,456,470,151,145,515
"G3000310","2013","MT",,,"Montana","30","Gallatin County","031",,,,,,,,,,,,,,,,,,"05000US30031","Gallatin County, Montana",14218,13749,195,0,0,110,76,771,303,517,438,829,1013,1436,1072,387,724,1284,950,1175,1744,515,210,469,"Gallatin County, Montana",1443,1458,184,165,165,131,124,497,270,276,295,375,389,588,638,241,374,704,425,661,702,342,214,232
"G3000490","2013","MT",,,"Montana","30","Lewis and Clark County","049",,,,,,,,,,,,,,,,,,"05000US30049","Lewis and Clark County, Montana",7866,7630,73,70,109,49,49,149,176,351,318,648,561,319,1033,446,328,758,877,975,275,66,0,236,"Lewis and Clark County, Montana",1185,1180,121,114,170,82,84,179,264,252,278,434,379,215,592,272,284,451,487,620,229,111,165,148
"G3000630","2013","MT",,,"Montana","30","Missoula County","063",,,,,,,,,,,,,,,,,,"05000US30063","Missoula County, Montana",19711,19074,88,304,124,43,366,461,998,800,943,852,1578,1104,1604,1250,1561,1640,1602,1854,1165,737,0,637,"Missoula County, Montana",1842,1717,148,373,115,75,391,452,611,349,568,478,716,513,748,549,776,691,602,816,683,523,165,454
"G3001110","2013","MT",,,"Montana","30","Yellowstone County","111",,,,,,,,,,,,,,,,,,"05000US30111","Yellowstone County, Montana",21583,21047,164,165,47,329,232,469,589,1354,1335,1830,2323,1751,1855,1518,739,1590,532,1779,642,630,1174,536,"Yellowstone County, Montana",1458,1503,145,240,92,258,231,328,402,616,587,626,623,637,787,616,478,827,364,644,408,371,640,269
"G3100550","2013","NE",,,"Nebraska","31","Douglas County","055",,,,,,,,,,,,,,,,,,"05000US31055","Douglas County, Nebraska",82558,80665,1058,503,308,1973,927,1575,1745,4903,5178,6911,7585,7366,8215,5397,5138,6305,4963,6102,2491,856,1166,1893,"Douglas County, Nebraska",2684,2587,497,307,192,789,370,578,676,1274,1188,1370,1379,1392,1428,1150,995,1089,812,1270,865,380,473,589
"G3101090","2013","NE",,,"Nebraska","31","Lancaster County","109",,,,,,,,,,,,,,,,,,"05000US31109","Lancaster County, Nebraska",45830,44827,44,202,0,773,744,1371,3546,3054,5048,3270,3617,3353,3014,2930,3125,3707,3486,1953,899,185,506,1003,"Lancaster County, Nebraska",2695,2687,73,192,157,378,390,540,956,735,1240,828,877,865,977,927,920,1059,1070,642,485,126,201,569
"G3101530","2013","NE",,,"Nebraska","31","Sarpy County","153",,,,,,,,,,,,,,,,,,"05000US31153","Sarpy County, Nebraska",18084,17903,214,161,57,134,83,321,236,103,505,857,1621,1712,2336,940,2184,1010,1218,2488,748,640,335,181,"Sarpy County, Nebraska",1700,1690,296,255,68,199,101,265,171,118,473,398,713,617,712,468,688,394,587,708,289,282,263,156
"G3200030","2013","NV",,,"Nevada","32","Clark County","003",,,,,,,,,,,,,,,,,,"05000US32003","Clark County, Nevada",343183,333382,920,1035,1903,1463,440,1825,2557,5082,9942,18829,14359,20308,20715,24334,24876,44517,36127,62767,22771,13633,4979,9801,"Clark County, Nevada",6088,6370,446,589,814,556,258,704,665,1111,1420,2415,1724,2245,2425,2132,3277,3535,3109,4285,2802,2168,1210,1550
"G3200310","2013","NV",,,"Nevada","32","Washoe County","031",,,,,,,,,,,,,,,,,,"05000US32031","Washoe County, Nevada",72406,70953,562,255,676,349,751,1337,891,2633,3513,3957,4809,4670,6606,4907,3436,6422,4039,10753,6247,3080,1060,1453,"Washoe County, Nevada",3305,3369,299,250,388,185,423,630,465,898,989,995,1200,1182,1415,1378,1092,906,892,1673,1473,958,598,478
