GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S5EE001,S5EE002,S5EE003,S5EE004,S5EE005,S5EE006,S5EE007,S5EE008,S5EE009,S5EE010,S5EE011,S5EE012,S5EE013,S5EE014,S5EE015,S5EE016,S5EE017,S5EE018,S5EE019,S5EE020,S5EE021,S5EE022,S5EE023,S5EE024,NAME_M,S5EM001,S5EM002,S5EM003,S5EM004,S5EM005,S5EM006,S5EM007,S5EM008,S5EM009,S5EM010,S5EM011,S5EM012,S5EM013,S5EM014,S5EM015,S5EM016,S5EM017,S5EM018,S5EM019,S5EM020,S5EM021,S5EM022,S5EM023,S5EM024
"G4200790","2013","PA",,,"Pennsylvania","42","Luzerne County","079",,,,,,,,,,,,,,,,,,"05000US42079","Luzerne County, Pennsylvania",40442,37360,777,178,765,2363,760,1859,2504,2846,3087,4487,4022,4044,2291,2116,558,1370,1352,752,227,924,78,3082,"Luzerne County, Pennsylvania",2282,2339,482,134,382,690,355,626,709,688,682,974,868,1170,705,664,245,592,562,325,341,514,95,788
"G4200810","2013","PA",,,"Pennsylvania","42","Lycoming County","081",,,,,,,,,,,,,,,,,,"05000US42081","Lycoming County, Pennsylvania",12483,11240,37,151,334,304,406,494,534,506,1076,1737,985,661,1296,443,275,553,315,827,73,185,48,1243,"Lycoming County, Pennsylvania",1406,1396,63,209,274,182,374,381,284,274,571,588,477,288,680,250,192,389,269,577,66,167,80,496
"G4200850","2013","PA",,,"Pennsylvania","42","Mercer County","085",,,,,,,,,,,,,,,,,,"05000US42085","Mercer County, Pennsylvania",12296,11132,540,103,249,497,423,864,772,1469,883,1102,1142,1014,666,642,231,412,19,104,0,0,0,1164,"Mercer County, Pennsylvania",1335,1273,387,79,197,260,327,397,408,589,383,473,538,418,417,370,198,259,31,100,172,172,172,398
"G4200890","2013","PA",,,"Pennsylvania","42","Monroe County","089",,,,,,,,,,,,,,,,,,"05000US42089","Monroe County, Pennsylvania",13364,12222,0,62,44,0,149,147,321,0,357,562,368,417,953,841,962,1256,761,4060,878,84,0,1142,"Monroe County, Pennsylvania",1651,1656,172,104,74,172,186,168,398,172,257,460,250,255,661,515,545,650,400,1132,710,136,172,630
"G4200910","2013","PA",,,"Pennsylvania","42","Montgomery County","091",,,,,,,,,,,,,,,,,,"05000US42091","Montgomery County, Pennsylvania",84165,80714,127,459,495,952,512,1132,310,1361,513,1988,2255,3008,2778,4330,3078,10752,9091,15873,9295,7298,5107,3451,"Montgomery County, Pennsylvania",3448,3231,90,324,310,374,341,756,202,680,349,644,741,724,684,1106,755,1463,1305,1866,1268,1281,1176,885
"G4200950","2013","PA",,,"Pennsylvania","42","Northampton County","095",,,,,,,,,,,,,,,,,,"05000US42095","Northampton County, Pennsylvania",32288,30142,261,382,283,825,593,581,660,615,381,1732,1421,1703,2524,1237,2095,5174,2386,3675,1835,1071,708,2146,"Northampton County, Pennsylvania",2130,2327,238,284,271,328,442,370,354,334,247,840,644,618,776,487,841,1267,762,959,813,553,348,860
"G4200970","2013","PA",,,"Pennsylvania","42","Northumberland County","097",,,,,,,,,,,,,,,,,,"05000US42097","Northumberland County, Pennsylvania",10971,9561,67,102,223,521,377,524,1069,1710,1208,1599,667,544,169,178,128,185,34,74,0,77,105,1410,"Northumberland County, Pennsylvania",1396,1353,112,110,222,346,204,277,451,622,584,695,287,305,122,226,145,221,37,104,172,91,166,391
"G4201010","2013","PA",,,"Pennsylvania","42","Philadelphia County","101",,,,,,,,,,,,,,,,,,"05000US42101","Philadelphia County, Pennsylvania",285430,271980,3756,2042,5782,9389,3117,5720,3673,7719,8843,14569,10000,18939,19822,24514,19859,34362,19849,23752,12655,15073,8545,13450,"Philadelphia County, Pennsylvania",7014,7153,966,589,1083,1437,921,1347,1021,1299,1469,2142,1784,2262,2690,2814,2540,3290,2520,2616,1804,1745,1503,2235
"G4201070","2013","PA",,,"Pennsylvania","42","Schuylkill County","107",,,,,,,,,,,,,,,,,,"05000US42107","Schuylkill County, Pennsylvania",16122,14696,171,95,209,690,1010,1159,1303,1654,1168,1741,1656,1185,737,499,493,283,93,153,213,44,140,1426,"Schuylkill County, Pennsylvania",1624,1513,181,109,136,359,479,464,576,485,482,642,550,615,384,314,407,213,97,153,163,73,201,395
"G4201110","2013","PA",,,"Pennsylvania","42","Somerset County","111",,,,,,,,,,,,,,,,,,"05000US42111","Somerset County, Pennsylvania",6850,5984,15,190,134,233,280,600,779,908,579,342,311,733,321,0,36,179,45,61,145,0,93,866,"Somerset County, Pennsylvania",897,850,25,125,96,118,165,254,238,367,359,254,200,459,206,172,60,117,70,72,219,172,125,269
"G4201250","2013","PA",,,"Pennsylvania","42","Washington County","125",,,,,,,,,,,,,,,,,,"05000US42125","Washington County, Pennsylvania",21912,19991,371,182,480,526,1324,822,1116,1579,2533,2352,1550,1800,729,673,363,669,986,992,0,59,885,1921,"Washington County, Pennsylvania",1936,1814,303,142,251,242,583,326,507,460,764,751,568,728,373,375,307,366,392,438,172,101,532,472
"G4201290","2013","PA",,,"Pennsylvania","42","Westmoreland County","129",,,,,,,,,,,,,,,,,,"05000US42129","Westmoreland County, Pennsylvania",33906,30915,708,502,779,1561,1293,1897,1680,3068,3402,3739,3577,2331,1357,2081,936,688,189,529,185,269,144,2991,"Westmoreland County, Pennsylvania",2142,2083,537,374,390,581,686,696,662,801,869,803,812,604,468,765,549,391,166,257,214,267,144,857
"G4201330","2013","PA",,,"Pennsylvania","42","York County","133",,,,,,,,,,,,,,,,,,"05000US42133","York County, Pennsylvania",44318,41787,272,413,201,1204,509,625,1193,1732,2299,3163,2535,5120,3184,3538,2881,5314,3664,2598,565,473,304,2531,"York County, Pennsylvania",3065,2946,235,226,217,574,327,372,573,548,805,940,766,1164,1103,948,895,1102,984,896,297,413,253,926
"G4400030","2013","RI",,,"Rhode Island","44","Kent County","003",,,,,,,,,,,,,,,,,,"05000US44003","Kent County, Rhode Island",18919,18291,0,140,94,755,192,126,1209,291,133,818,514,522,733,786,1376,2955,2085,2881,1841,390,450,628,"Kent County, Rhode Island",2195,2207,210,162,156,513,206,156,580,287,144,524,373,365,557,495,741,786,846,833,758,333,294,369
"G4400050","2013","RI",,,"Rhode Island","44","Newport County","005",,,,,,,,,,,,,,,,,,"05000US44005","Newport County, Rhode Island",12621,12294,177,178,205,805,197,137,52,147,0,263,135,886,273,445,155,808,1119,2131,1129,1732,1320,327,"Newport County, Rhode Island",1704,1670,205,218,145,502,206,152,63,160,210,231,168,584,187,301,147,524,502,777,480,786,710,180
"G4400070","2013","RI",,,"Rhode Island","44","Providence County","007",,,,,,,,,,,,,,,,,,"05000US44007","Providence County, Rhode Island",109645,106827,2005,1838,2202,5390,3077,2705,1786,1964,1612,3511,3940,8005,6911,8411,8676,15136,10896,10718,4502,2577,965,2818,"Providence County, Rhode Island",4293,4149,677,663,792,1236,872,844,670,812,541,1038,1424,1796,1407,1689,1507,2054,1900,1974,1013,722,558,885
"G4400090","2013","RI",,,"Rhode Island","44","Washington County","009",,,,,,,,,,,,,,,,,,"05000US44009","Washington County, Rhode Island",14436,13455,0,154,0,361,300,44,244,545,65,506,155,412,996,161,363,2149,2330,2498,406,1310,456,981,"Washington County, Rhode Island",2045,1904,210,134,210,367,329,73,208,395,110,361,193,358,776,187,255,902,1031,864,273,629,354,581
"G4500030","2013","SC",,,"South Carolina","45","Aiken County","003",,,,,,,,,,,,,,,,,,"05000US45003","Aiken County, South Carolina",16156,14718,0,233,498,589,536,705,1458,1777,681,1572,842,1476,1119,850,348,514,231,268,261,383,377,1438,"Aiken County, South Carolina",2252,2125,204,244,362,484,282,519,811,815,338,807,696,944,497,667,266,391,212,232,222,413,316,589
"G4500070","2013","SC",,,"South Carolina","45","Anderson County","007",,,,,,,,,,,,,,,,,,"05000US45007","Anderson County, South Carolina",20862,18382,770,178,455,117,578,1616,2747,1912,1830,1491,891,1401,761,1552,466,460,148,960,49,0,0,2480,"Anderson County, South Carolina",2380,2137,510,171,338,169,375,817,908,708,688,724,483,832,537,868,375,403,176,566,84,204,204,872
"G4500130","2013","SC",,,"South Carolina","45","Beaufort County","013",,,,,,,,,,,,,,,,,,"05000US45013","Beaufort County, South Carolina",19693,18283,0,132,24,0,142,315,592,456,352,942,701,554,575,949,921,2929,1965,3123,1195,1441,975,1410,"Beaufort County, South Carolina",2226,2114,204,180,40,204,167,453,602,375,288,633,592,387,356,419,716,1203,659,975,516,495,804,720
"G4500150","2013","SC",,,"South Carolina","45","Berkeley County","015",,,,,,,,,,,,,,,,,,"05000US45015","Berkeley County, South Carolina",22269,20419,0,490,133,142,0,638,223,826,525,1376,1320,1386,1437,637,974,2596,2423,2688,2045,242,318,1850,"Berkeley County, South Carolina",1783,1699,204,416,227,187,204,526,210,410,480,668,585,597,624,339,554,833,925,836,730,215,222,572
"G4500190","2013","SC",,,"South Carolina","45","Charleston County","019",,,,,,,,,,,,,,,,,,"05000US45019","Charleston County, South Carolina",59446,55403,463,708,1444,266,374,621,737,1062,1613,2388,3795,3866,3967,3092,3471,7865,4259,6686,3655,3869,1202,4043,"Charleston County, South Carolina",3792,3577,284,444,668,213,327,316,480,537,529,851,1076,991,1121,1080,1195,1727,1311,1486,1037,1134,468,1024
"G4500310","2013","SC",,,"South Carolina","45","Darlington County","031",,,,,,,,,,,,,,,,,,"05000US45031","Darlington County, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,"Darlington County, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,
"G4500350","2013","SC",,,"South Carolina","45","Dorchester County","035",,,,,,,,,,,,,,,,,,"05000US45035","Dorchester County, South Carolina",16209,15350,159,174,69,94,102,469,250,518,640,1251,1026,1430,1461,1409,490,1754,1809,1093,633,363,156,859,"Dorchester County, South Carolina",2096,2077,193,271,114,108,169,429,308,426,465,745,620,807,807,750,258,576,635,486,354,386,221,535
"G4500410","2013","SC",,,"South Carolina","45","Florence County","041",,,,,,,,,,,,,,,,,,"05000US45041","Florence County, South Carolina",18422,16535,311,194,690,758,452,1538,941,1260,1826,2112,1410,952,866,604,466,819,401,500,64,186,185,1887,"Florence County, South Carolina",1636,1703,304,191,375,450,374,725,449,529,733,765,765,694,633,436,366,528,277,428,106,200,140,585
"G4500450","2013","SC",,,"South Carolina","45","Greenville County","045",,,,,,,,,,,,,,,,,,"05000US45045","Greenville County, South Carolina",61321,57597,1214,864,744,599,865,2790,3164,3510,3812,6009,3084,6865,4847,3344,3524,4907,2353,2359,964,1188,591,3724,"Greenville County, South Carolina",2518,2570,623,454,453,366,464,769,840,978,1029,1361,788,1429,1132,1006,1041,1117,747,885,433,551,441,957
"G4500470","2013","SC",,,"South Carolina","45","Greenwood County","047",,,,,,,,,,,,,,,,,,"05000US45047","Greenwood County, South Carolina",9724,9136,92,144,538,256,173,1055,779,395,1417,1183,840,210,791,487,206,0,0,139,102,0,329,588,"Greenwood County, South Carolina",1226,1300,115,134,453,217,173,479,494,289,671,669,593,217,602,474,289,204,204,218,92,204,286,426
"G4500510","2013","SC",,,"South Carolina","45","Horry County","051",,,,,,,,,,,,,,,,,,"05000US45051","Horry County, South Carolina",34624,31259,312,476,541,211,362,911,368,1150,1428,2343,3155,3964,2591,2304,1762,3822,2232,1693,942,692,0,3365,"Horry County, South Carolina",2708,2492,329,452,370,232,276,512,320,557,604,661,884,950,963,845,720,1007,786,671,510,456,204,952
"G4500570","2013","SC",,,"South Carolina","45","Lancaster County","057",,,,,,,,,,,,,,,,,,"05000US45057","Lancaster County, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,"Lancaster County, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,
"G4500590","2013","SC",,,"South Carolina","45","Laurens County","059",,,,,,,,,,,,,,,,,,"05000US45059","Laurens County, South Carolina",7276,5931,0,368,335,326,456,660,555,652,350,642,453,237,725,0,44,43,0,0,0,0,85,1345,"Laurens County, South Carolina",1081,1042,204,379,334,268,390,399,431,394,199,414,392,225,553,204,74,78,204,204,204,204,133,590
"G4500630","2013","SC",,,"South Carolina","45","Lexington County","063",,,,,,,,,,,,,,,,,,"05000US45063","Lexington County, South Carolina",26689,23921,28,195,272,0,287,512,773,1698,1459,2169,1687,1562,2590,1755,1484,2107,1786,2130,336,543,548,2768,"Lexington County, South Carolina",1731,1952,47,195,191,204,268,384,405,630,580,734,773,683,841,644,690,689,744,714,315,396,261,826
"G4500730","2013","SC",,,"South Carolina","45","Oconee County","073",,,,,,,,,,,,,,,,,,"05000US45073","Oconee County, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,"Oconee County, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,
"G4500750","2013","SC",,,"South Carolina","45","Orangeburg County","075",,,,,,,,,,,,,,,,,,"05000US45075","Orangeburg County, South Carolina",11088,9260,380,454,933,394,548,757,700,1029,515,1191,285,1021,91,212,14,386,253,47,50,0,0,1828,"Orangeburg County, South Carolina",1462,1413,333,354,559,403,382,421,456,583,272,560,294,585,110,188,24,346,290,76,85,204,204,680
"G4500770","2013","SC",,,"South Carolina","45","Pickens County","077",,,,,,,,,,,,,,,,,,"05000US45077","Pickens County, South Carolina",13388,11350,147,40,366,291,51,949,349,764,926,1502,1210,1062,578,429,346,208,291,821,343,549,128,2038,"Pickens County, South Carolina",1700,1555,163,64,337,285,83,443,233,316,498,726,780,472,438,318,255,226,264,492,380,575,152,719
"G4500790","2013","SC",,,"South Carolina","45","Richland County","079",,,,,,,,,,,,,,,,,,"05000US45079","Richland County, South Carolina",57230,54878,1181,1268,244,861,969,551,2026,2170,2956,4071,3911,4353,5184,3443,4564,5876,3897,4128,1578,1294,353,2352,"Richland County, South Carolina",2759,2731,519,531,186,429,566,288,766,711,923,1079,922,1171,1074,890,1272,1444,1175,1597,784,676,282,829
"G4500830","2013","SC",,,"South Carolina","45","Spartanburg County","083",,,,,,,,,,,,,,,,,,"05000US45083","Spartanburg County, South Carolina",35328,31641,1152,409,1186,775,1162,1131,1247,2121,3919,3859,2734,2708,2488,1708,1530,1113,847,954,127,241,230,3687,"Spartanburg County, South Carolina",2166,2121,621,266,798,419,513,673,590,816,1212,1058,827,891,900,678,849,516,551,669,147,207,189,1009
"G4500850","2013","SC",,,"South Carolina","45","Sumter County","085",,,,,,,,,,,,,,,,,,"05000US45085","Sumter County, South Carolina",13949,13038,257,294,366,65,385,835,1120,549,1185,883,1989,223,1151,460,415,1081,179,1025,354,57,165,911,"Sumter County, South Carolina",1659,1589,240,273,285,86,300,445,534,545,657,430,823,216,651,410,272,553,160,628,285,95,193,472
"G4500910","2013","SC",,,"South Carolina","45","York County","091",,,,,,,,,,,,,,,,,,"05000US45091","York County, South Carolina",25345,24110,394,504,249,324,645,1414,1067,1611,1511,3087,1371,1746,1430,1499,970,1944,1386,859,573,609,917,1235,"York County, South Carolina",2292,2279,318,409,336,238,544,805,571,796,674,1012,495,714,746,698,584,763,668,469,604,622,594,518
"G4600990","2013","SD",,,"South Dakota","46","Minnehaha County","099",,,,,,,,,,,,,,,,,,"05000US46099","Minnehaha County, South Dakota",25670,25106,42,319,1057,959,312,471,835,1819,1425,1924,3632,2060,2297,1538,1404,2410,1327,954,136,47,138,564,"Minnehaha County, South Dakota",1906,1963,72,204,555,658,231,421,657,763,615,654,1217,679,669,576,697,882,512,533,164,78,167,371
"G4601030","2013","SD",,,"South Dakota","46","Pennington County","103",,,,,,,,,,,,,,,,,,"05000US46103","Pennington County, South Dakota",14451,13529,410,107,252,523,730,182,692,958,886,763,593,744,1120,1012,527,1399,994,887,442,243,65,922,"Pennington County, South Dakota",1546,1476,413,144,164,282,492,162,443,468,433,477,411,475,504,502,485,676,578,357,322,375,114,521
"G4700010","2013","TN",,,"Tennessee","47","Anderson County","001",,,,,,,,,,,,,,,,,,"05000US47001","Anderson County, Tennessee",9667,8558,180,99,132,759,326,98,217,858,823,1280,808,743,367,549,44,484,525,98,59,109,0,1109,"Anderson County, Tennessee",1422,1335,198,102,150,593,228,114,165,370,517,593,426,471,244,380,78,420,361,131,101,192,203,579
"G4700090","2013","TN",,,"Tennessee","47","Blount County","009",,,,,,,,,,,,,,,,,,"05000US47009","Blount County, Tennessee",14683,13678,0,44,219,489,142,789,1190,1099,931,1990,1081,923,1522,497,265,437,1048,739,0,86,187,1005,"Blount County, Tennessee",1815,1744,203,74,233,338,158,417,508,547,536,768,502,574,740,300,247,400,548,477,203,145,294,481
"G4700110","2013","TN",,,"Tennessee","47","Bradley County","011",,,,,,,,,,,,,,,,,,"05000US47011","Bradley County, Tennessee",12436,11069,95,207,292,575,119,409,1039,1164,1395,945,658,1193,837,597,518,344,0,518,164,0,0,1367,"Bradley County, Tennessee",1587,1492,130,167,263,313,146,320,503,612,672,423,378,535,546,527,448,273,203,372,213,203,203,752
"G4700370","2013","TN",,,"Tennessee","47","Davidson County","037",,,,,,,,,,,,,,,,,,"05000US47037","Davidson County, Tennessee",119095,115043,3062,863,168,2193,2260,1067,2013,2976,3989,7394,8526,10352,11768,7233,7495,13952,9080,11734,4587,3666,665,4052,"Davidson County, Tennessee",4096,4144,1075,524,157,750,746,466,821,883,1138,1487,1629,1694,1973,1294,1432,2115,1686,1860,1191,893,326,991
"G4700590","2013","TN",,,"Tennessee","47","Greene County","059",,,,,,,,,,,,,,,,,,"05000US47059","Greene County, Tennessee",6737,5320,0,172,357,460,263,902,713,669,333,529,259,299,77,259,0,0,0,0,0,28,0,1417,"Greene County, Tennessee",1259,1044,203,202,334,320,202,523,403,381,225,320,253,242,129,199,203,203,203,203,203,64,203,725
"G4700650","2013","TN",,,"Tennessee","47","Hamilton County","065",,,,,,,,,,,,,,,,,,"05000US47065","Hamilton County, Tennessee",46916,44199,1241,729,1053,1065,596,1885,1685,2908,3131,3781,4343,4134,3771,1747,1828,3814,2014,2322,753,567,832,2717,"Hamilton County, Tennessee",2737,2652,517,415,497,489,335,563,653,943,794,970,977,1109,1036,705,677,1127,704,818,467,347,469,644
"G4700930","2013","TN",,,"Tennessee","47","Knox County","093",,,,,,,,,,,,,,,,,,"05000US47093","Knox County, Tennessee",67138,61872,1428,1090,817,1803,703,1276,2057,3374,4351,4516,5870,4836,4927,4168,3411,5895,2732,5321,1388,1327,582,5266,"Knox County, Tennessee",3336,3330,543,615,555,838,416,646,747,1044,1103,1156,1449,1221,1177,1190,1075,1474,974,1355,690,713,357,1282
"G4701130","2013","TN",,,"Tennessee","47","Madison County","113",,,,,,,,,,,,,,,,,,"05000US47113","Madison County, Tennessee",12807,12110,438,700,446,473,535,779,972,1098,872,897,766,903,504,356,688,430,767,190,19,277,0,697,"Madison County, Tennessee",1533,1340,336,599,357,307,236,483,508,475,470,408,439,509,419,311,384,380,724,242,32,271,203,521
"G4701190","2013","TN",,,"Tennessee","47","Maury County","119",,,,,,,,,,,,,,,,,,"05000US47119","Maury County, Tennessee",10080,8794,89,183,326,0,304,483,284,1260,1186,1357,641,530,338,0,163,821,218,443,115,53,0,1286,"Maury County, Tennessee",1367,1209,123,166,383,203,313,389,317,712,614,602,389,420,254,203,139,523,270,310,143,97,203,583
"G4701250","2013","TN",,,"Tennessee","47","Montgomery County","125",,,,,,,,,,,,,,,,,,"05000US47125","Montgomery County, Tennessee",26661,24687,16,283,358,97,523,245,375,1159,1328,1528,1661,2177,2172,1812,1192,2196,2108,2814,1778,828,37,1974,"Montgomery County, Tennessee",2083,2008,29,380,304,118,447,224,272,566,595,623,646,645,832,737,530,671,823,753,676,476,62,804
"G4701410","2013","TN",,,"Tennessee","47","Putnam County","141",,,,,,,,,,,,,,,,,,"05000US47141","Putnam County, Tennessee",12288,11208,358,220,100,206,135,1161,716,1828,2237,915,605,1170,409,145,58,259,103,457,126,0,0,1080,"Putnam County, Tennessee",1245,1274,297,212,170,202,236,561,484,834,874,384,622,546,297,149,106,278,97,540,179,203,203,514
"G4701470","2013","TN",,,"Tennessee","47","Robertson County","147",,,,,,,,,,,,,,,,,,"05000US47147","Robertson County, Tennessee",5985,5326,0,68,25,0,527,168,39,311,376,597,655,802,296,203,362,456,250,191,0,0,0,659,"Robertson County, Tennessee",1047,962,203,115,44,203,393,185,48,244,285,411,468,466,179,168,313,357,272,233,203,203,203,336
"G4701490","2013","TN",,,"Tennessee","47","Rutherford County","149",,,,,,,,,,,,,,,,,,"05000US47149","Rutherford County, Tennessee",34476,32931,241,377,263,90,59,251,385,1658,1264,2174,2357,2720,2139,3049,3353,2189,3420,4164,1676,597,505,1545,"Rutherford County, Tennessee",2437,2488,396,324,223,108,96,351,270,869,751,843,816,825,1004,1110,1195,948,1106,1439,947,464,452,604
"G4701550","2013","TN",,,"Tennessee","47","Sevier County","155",,,,,,,,,,,,,,,,,,"05000US47155","Sevier County, Tennessee",12401,10844,0,0,131,149,229,792,406,784,1687,1056,1315,1617,182,668,87,141,447,609,174,0,370,1557,"Sevier County, Tennessee",1735,1633,203,203,148,177,275,571,413,583,900,501,752,813,166,441,101,129,413,563,286,203,370,819
"G4701570","2013","TN",,,"Tennessee","47","Shelby County","157",,,,,,,,,,,,,,,,,,"05000US47157","Shelby County, Tennessee",150502,143577,1265,987,1349,2838,2000,4441,5792,8724,8233,11663,11819,14963,10989,9215,8050,12968,7636,11651,4628,3073,1293,6925,"Shelby County, Tennessee",5025,5142,557,395,566,796,664,1031,1147,1844,1333,1962,2083,2259,2070,1575,1581,1827,1481,2064,1578,884,817,1397
"G4701630","2013","TN",,,"Tennessee","47","Sullivan County","163",,,,,,,,,,,,,,,,,,"05000US47163","Sullivan County, Tennessee",16521,14680,276,428,212,846,660,1722,1494,1199,1016,963,2047,579,1312,687,445,128,181,86,43,53,303,1841,"Sullivan County, Tennessee",1964,1815,313,281,161,397,386,632,516,503,455,383,908,307,615,385,295,100,157,108,70,94,449,716
"G4701650","2013","TN",,,"Tennessee","47","Sumner County","165",,,,,,,,,,,,,,,,,,"05000US47165","Sumner County, Tennessee",17475,15741,105,143,142,371,141,619,262,1125,244,372,708,2815,1491,919,1056,1916,1091,1133,434,408,246,1734,"Sumner County, Tennessee",1636,1610,134,174,174,287,187,391,207,614,250,259,425,1105,738,518,567,762,438,615,362,286,140,681
"G4701790","2013","TN",,,"Tennessee","47","Washington County","179",,,,,,,,,,,,,,,,,,"05000US47179","Washington County, Tennessee",17564,15789,815,75,319,553,483,926,1212,1597,1657,1702,637,1112,1132,421,741,762,103,1046,34,462,0,1775,"Washington County, Tennessee",2380,2264,598,66,285,376,329,630,678,830,795,724,382,531,524,326,403,529,164,672,56,329,203,823
"G4701870","2013","TN",,,"Tennessee","47","Williamson County","187",,,,,,,,,,,,,,,,,,"05000US47187","Williamson County, Tennessee",,,,,,,,,,,,,,,,,,,,,,,,,"Williamson County, Tennessee",,,,,,,,,,,,,,,,,,,,,,,,
"G4701890","2013","TN",,,"Tennessee","47","Wilson County","189",,,,,,,,,,,,,,,,,,"05000US47189","Wilson County, Tennessee",11061,10089,259,31,0,64,0,66,276,152,390,908,859,860,1067,742,643,600,938,1394,443,76,321,972,"Wilson County, Tennessee",1637,1631,410,55,203,115,203,76,361,154,279,673,497,439,657,441,438,354,616,885,334,126,218,482
"G4800050","2013","TX",,,"Texas","48","Angelina County","005",,,,,,,,,,,,,,,,,,"05000US48005","Angelina County, Texas",11024,10386,575,65,250,257,571,546,552,843,957,686,773,747,1098,375,605,778,247,244,0,217,0,638,"Angelina County, Texas",1405,1406,646,84,244,258,486,425,356,570,526,356,565,534,620,271,432,459,312,296,213,183,213,447
"G4800210","2013","TX",,,"Texas","48","Bastrop County","021",,,,,,,,,,,,,,,,,,"05000US48021","Bastrop County, Texas",,,,,,,,,,,,,,,,,,,,,,,,,"Bastrop County, Texas",,,,,,,,,,,,,,,,,,,,,,,,
"G4800270","2013","TX",,,"Texas","48","Bell County","027",,,,,,,,,,,,,,,,,,"05000US48027","Bell County, Texas",44168,41752,93,455,583,309,342,1049,1063,1948,3897,3849,3134,2753,3406,2387,2657,4688,2087,4024,1876,969,183,2416,"Bell County, Texas",3284,3209,108,355,399,173,250,671,476,703,1320,1122,928,820,1191,1063,935,1453,756,1273,919,468,153,787
"G4800290","2013","TX",,,"Texas","48","Bexar County","029",,,,,,,,,,,,,,,,,,"05000US48029","Bexar County, Texas",265548,254980,3610,2576,3157,3673,3859,4553,4085,8181,12637,16600,19491,22455,18159,16698,17746,30394,16473,26817,12113,7066,4637,10568,"Bexar County, Texas",6919,6719,1209,728,830,1012,1072,1127,1026,1661,2355,2216,2854,2539,2259,2305,2728,2917,2331,3042,2070,1502,1173,1586
"G4800370","2013","TX",,,"Texas","48","Bowie County","037",,,,,,,,,,,,,,,,,,"05000US48037","Bowie County, Texas",11331,10484,452,364,362,260,78,595,666,1010,866,1051,657,1194,108,591,244,553,274,441,323,328,67,847,"Bowie County, Texas",1586,1680,279,362,339,183,93,403,558,693,474,714,477,671,132,401,252,511,338,395,390,511,115,494
"G4800390","2013","TX",,,"Texas","48","Brazoria County","039",,,,,,,,,,,,,,,,,,"05000US48039","Brazoria County, Texas",27805,26083,16,400,278,485,275,457,429,2008,1904,1499,1792,1880,2140,2027,2358,2132,1427,1461,1185,1600,330,1722,"Brazoria County, Texas",2932,2798,27,408,333,513,243,327,270,1281,1029,658,704,754,930,923,1027,723,795,661,643,1031,290,764
"G4800410","2013","TX",,,"Texas","48","Brazos County","041",,,,,,,,,,,,,,,,,,"05000US48041","Brazos County, Texas",40266,39186,188,179,96,60,816,599,661,1424,2379,3758,3264,2845,3774,2321,2109,3674,2368,2931,2498,2477,765,1080,"Brazos County, Texas",2339,2216,191,183,150,101,398,544,387,682,909,1158,1063,697,980,1107,779,1022,919,1006,1058,1015,529,631
"G4800610","2013","TX",,,"Texas","48","Cameron County","061",,,,,,,,,,,,,,,,,,"05000US48061","Cameron County, Texas",37120,33244,975,2026,1054,828,1468,2926,2143,2686,2732,3516,2607,2653,2700,857,622,1239,303,1283,310,229,87,3876,"Cameron County, Texas",2632,2492,691,894,575,488,614,945,776,749,780,905,956,1021,1025,467,320,533,258,712,288,240,149,1130
"G4800850","2013","TX",,,"Texas","48","Collin County","085",,,,,,,,,,,,,,,,,,"05000US48085","Collin County, Texas",109977,106978,62,603,199,0,271,579,502,1205,1179,1519,3029,4483,5265,6068,7852,14604,13914,20457,11798,9262,4127,2999,"Collin County, Texas",4148,4205,96,423,198,213,346,476,396,559,750,679,1017,1133,1321,1575,1864,2054,2193,2585,1763,1582,1176,805
"G4800910","2013","TX",,,"Texas","48","Comal County","091",,,,,,,,,,,,,,,,,,"05000US48091","Comal County, Texas",,,,,,,,,,,,,,,,,,,,,,,,,"Comal County, Texas",,,,,,,,,,,,,,,,,,,,,,,,
"G4800990","2013","TX",,,"Texas","48","Coryell County","099",,,,,,,,,,,,,,,,,,"05000US48099","Coryell County, Texas",10131,8922,0,55,0,305,436,242,845,244,341,970,580,418,644,383,685,431,645,1096,381,221,0,1209,"Coryell County, Texas",1276,1273,213,93,213,272,391,201,522,196,247,536,372,330,427,357,403,341,499,427,319,247,213,484
"G4801130","2013","TX",,,"Texas","48","Dallas County","113",,,,,,,,,,,,,,,,,,"05000US48113","Dallas County, Texas",432884,423880,3976,2638,3225,4623,3205,3432,4079,12309,17175,30852,30012,39996,31938,33474,29901,49887,27522,47848,21237,16988,9563,9004,"Dallas County, Texas",7471,7296,967,1020,1133,1086,1008,1051,1124,1963,2212,3096,2771,3408,2904,3244,2733,3968,2702,3614,1957,2097,1433,1345
