GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJM5E001,AJM5E002,AJM5E003,AJM5E004,AJM5E005,AJM5E006,AJM5E007,AJM5E008,AJM5E009,AJM5E010,AJM5E011,AJM5E012,AJM5E013,AJM5E014,AJM5E015,AJM5E016,AJM5E017,AJM5E018,AJM5E019,AJM5E020,AJM5E021,AJM5E022,AJM5E023,AJM5E024,AJM5E025,AJM5E026,AJM5E027,NAME_M,AJM5M001,AJM5M002,AJM5M003,AJM5M004,AJM5M005,AJM5M006,AJM5M007,AJM5M008,AJM5M009,AJM5M010,AJM5M011,AJM5M012,AJM5M013,AJM5M014,AJM5M015,AJM5M016,AJM5M017,AJM5M018,AJM5M019,AJM5M020,AJM5M021,AJM5M022,AJM5M023,AJM5M024,AJM5M025,AJM5M026,AJM5M027
"G3600910","2018","NY",,,"New York","36","Saratoga County","091",,,,,,,,,,,,,,,,,,"05000US36091","Saratoga County, New York",26902,26480,86,16,579,237,0,195,116,408,411,756,212,868,978,1105,1693,3559,2175,4406,4048,2968,944,378,49,293,422,"Saratoga County, New York",2376,2326,141,26,363,184,201,220,114,370,286,446,247,485,545,564,639,1153,629,999,1404,794,539,257,81,352,332
"G3600930","2018","NY",,,"New York","36","Schenectady County","093",,,,,,,,,,,,,,,,,,"05000US36093","Schenectady County, New York",20588,19434,173,218,1259,537,368,146,36,183,344,479,730,795,738,1302,2318,2503,1829,3470,679,396,695,0,0,236,1154,"Schenectady County, New York",1652,1736,166,321,727,315,266,169,62,221,306,363,425,458,424,601,807,715,781,817,390,261,569,201,201,214,662
"G3601010","2018","NY",,,"New York","36","Steuben County","101",,,,,,,,,,,,,,,,,,"05000US36101","Steuben County, New York",10854,10243,12,72,309,532,301,946,562,792,814,1046,1079,824,325,520,152,247,603,604,410,35,45,0,13,0,611,"Steuben County, New York",1080,1037,20,96,211,297,217,514,378,415,382,473,467,378,189,291,129,163,350,287,329,66,71,201,22,201,209
"G3601030","2018","NY",,,"New York","36","Suffolk County","103",,,,,,,,,,,,,,,,,,"05000US36103","Suffolk County, New York",101823,98546,118,524,1234,2211,1155,926,535,1026,831,1508,813,717,711,883,538,2307,961,12648,11618,33939,15230,5682,1986,445,3277,"Suffolk County, New York",5284,5322,135,386,642,1013,613,582,372,489,729,826,610,491,556,515,406,1021,444,2647,2141,3134,2314,1506,1146,318,863
"G3601050","2018","NY",,,"New York","36","Sullivan County","105",,,,,,,,,,,,,,,,,,"05000US36105","Sullivan County, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sullivan County, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3601090","2018","NY",,,"New York","36","Tompkins County","109",,,,,,,,,,,,,,,,,,"05000US36109","Tompkins County, New York",17774,17332,0,39,0,217,216,193,406,122,193,258,589,531,429,636,431,1611,1697,3773,2694,2166,918,0,47,166,442,"Tompkins County, New York",1756,1747,201,67,201,230,266,245,375,123,155,241,502,331,316,377,261,921,740,793,791,771,530,201,92,146,292
"G3601110","2018","NY",,,"New York","36","Ulster County","111",,,,,,,,,,,,,,,,,,"05000US36111","Ulster County, New York",22663,21058,73,0,44,200,206,133,191,428,36,996,468,140,685,786,1027,2673,2525,5154,3322,1181,457,327,6,0,1605,"Ulster County, New York",1654,1775,135,201,74,197,150,131,201,287,58,523,302,125,311,615,482,879,741,1276,845,511,325,301,11,201,723
"G3601130","2018","NY",,,"New York","36","Warren County","113",,,,,,,,,,,,,,,,,,"05000US36113","Warren County, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warren County, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3601170","2018","NY",,,"New York","36","Wayne County","117",,,,,,,,,,,,,,,,,,"05000US36117","Wayne County, New York",6932,6557,301,151,152,144,127,321,130,640,278,269,695,613,797,307,458,671,103,134,57,119,90,0,0,0,375,"Wayne County, New York",1019,1013,399,184,171,119,154,283,118,371,230,172,364,352,494,228,286,436,124,141,97,138,163,201,201,201,260
"G3601190","2018","NY",,,"New York","36","Westchester County","119",,,,,,,,,,,,,,,,,,"05000US36119","Westchester County, New York",139048,134199,987,831,2068,2695,2090,986,1509,2191,682,2362,1240,1222,1279,1680,1893,5218,5266,22927,21065,29708,13065,6333,4428,2474,4849,"Westchester County, New York",4954,4761,565,461,809,813,899,459,653,814,344,975,740,689,648,757,699,1426,1320,3066,2503,3307,2262,1320,1179,735,1331
