GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFUEE001,AFUEE002,AFUEE003,AFUEE004,AFUEE005,AFUEE006,AFUEE007,AFUEE008,AFUEE009,AFUEE010,AFUEE011,AFUEE012,AFUEE013,AFUEE014,AFUEE015,AFUEE016,AFUEE017,AFUEE018,AFUEE019,AFUEE020,AFUEE021,AFUEE022,AFUEE023,AFUEE024,AFUEE025,AFUEE026,AFUEE027,NAME_M,AFUEM001,AFUEM002,AFUEM003,AFUEM004,AFUEM005,AFUEM006,AFUEM007,AFUEM008,AFUEM009,AFUEM010,AFUEM011,AFUEM012,AFUEM013,AFUEM014,AFUEM015,AFUEM016,AFUEM017,AFUEM018,AFUEM019,AFUEM020,AFUEM021,AFUEM022,AFUEM023,AFUEM024,AFUEM025,AFUEM026,AFUEM027
"G2200630","2016","LA",,,"Louisiana","22","Livingston Parish","063",,,,,,,,,,,,,,,,,,"05000US22063","Livingston Parish, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Livingston Parish, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2200710","2016","LA",,,"Louisiana","22","Orleans Parish","071",,,,,,,,,,,,,,,,,,"05000US22071","Orleans Parish, Louisiana",82837,79792,1169,2342,1863,2561,1498,1612,1569,1516,2014,2907,3140,7239,4126,4776,4069,9405,7316,8417,5201,4359,1823,264,275,331,3045,"Orleans Parish, Louisiana",2901,2981,576,553,657,659,577,568,613,617,699,702,761,1291,973,937,880,1483,1419,1290,917,810,529,205,305,182,615
"G2200730","2016","LA",,,"Louisiana","22","Ouachita Parish","073",,,,,,,,,,,,,,,,,,"05000US22073","Ouachita Parish, Louisiana",23444,21155,775,849,688,568,151,1655,871,1496,2314,2294,1739,1441,1683,1476,643,1306,481,519,59,147,0,0,0,0,2289,"Ouachita Parish, Louisiana",2144,2113,463,434,444,423,112,753,475,579,801,654,673,707,739,700,416,504,342,353,101,238,208,208,208,208,804
"G2200790","2016","LA",,,"Louisiana","22","Rapides Parish","079",,,,,,,,,,,,,,,,,,"05000US22079","Rapides Parish, Louisiana",19081,16514,86,214,996,375,456,1623,448,989,1114,1394,1639,1229,870,658,411,1754,741,814,336,367,0,0,0,0,2567,"Rapides Parish, Louisiana",1904,1878,142,193,576,273,340,837,312,606,471,618,789,712,450,390,439,751,386,436,289,413,208,208,208,208,792
"G2200970","2016","LA",,,"Louisiana","22","St. Landry Parish","097",,,,,,,,,,,,,,,,,,"05000US22097","St. Landry Parish, Louisiana",9780,7623,630,346,384,483,597,713,272,392,713,1164,336,691,266,222,0,414,0,0,0,0,0,0,0,0,2157,"St. Landry Parish, Louisiana",1425,1396,448,197,288,339,528,444,254,274,449,527,235,550,232,262,208,407,208,208,208,208,208,208,208,208,570
"G2201030","2016","LA",,,"Louisiana","22","St. Tammany Parish","103",,,,,,,,,,,,,,,,,,"05000US22103","St. Tammany Parish, Louisiana",19783,18147,0,559,92,0,124,286,315,166,543,1301,220,469,1525,1692,965,3004,1534,3390,1084,406,205,53,0,214,1636,"St. Tammany Parish, Louisiana",2277,2215,208,508,114,208,145,312,312,179,459,776,362,311,849,901,583,1295,556,1229,531,293,195,48,208,327,661
"G2201050","2016","LA",,,"Louisiana","22","Tangipahoa Parish","105",,,,,,,,,,,,,,,,,,"05000US22105","Tangipahoa Parish, Louisiana",16575,14751,236,73,278,333,0,155,406,1100,986,1589,1677,1654,996,1615,720,1056,901,907,20,49,0,0,0,0,1824,"Tangipahoa Parish, Louisiana",2181,2127,236,116,437,387,208,156,380,710,572,774,804,989,623,822,516,767,764,677,41,89,208,208,208,208,848
"G2201090","2016","LA",,,"Louisiana","22","Terrebonne Parish","109",,,,,,,,,,,,,,,,,,"05000US22109","Terrebonne Parish, Louisiana",11377,10156,245,0,0,191,0,555,461,38,307,1043,690,876,397,424,648,2259,534,914,406,168,0,0,0,0,1221,"Terrebonne Parish, Louisiana",1599,1445,303,208,208,255,208,436,445,69,382,731,499,566,333,337,516,923,399,541,362,199,208,208,208,208,765
"G2300010","2016","ME",,,"Maine","23","Androscoggin County","001",,,,,,,,,,,,,,,,,,"05000US23001","Androscoggin County, Maine",16693,16155,304,189,288,611,162,562,541,459,708,1028,1452,1606,1178,1036,1790,1233,1679,1286,0,43,0,0,0,0,538,"Androscoggin County, Maine",1736,1757,287,175,203,329,159,343,405,281,427,513,628,628,623,464,609,586,774,614,172,70,172,172,172,172,295
"G2300030","2016","ME",,,"Maine","23","Aroostook County","003",,,,,,,,,,,,,,,,,,"05000US23003","Aroostook County, Maine",7193,6184,276,60,506,346,477,443,541,289,279,553,98,559,515,570,101,280,89,84,79,39,0,0,0,0,1009,"Aroostook County, Maine",955,927,156,77,262,214,341,192,424,161,173,282,94,259,317,347,126,207,108,88,93,66,172,172,172,172,365
"G2300050","2016","ME",,,"Maine","23","Cumberland County","005",,,,,,,,,,,,,,,,,,"05000US23005","Cumberland County, Maine",39742,37932,36,486,828,1648,1058,220,201,802,1044,1628,569,1093,1335,1566,1221,3191,4343,9237,3711,2551,823,303,0,38,1810,"Cumberland County, Maine",2566,2495,58,516,626,633,461,187,202,434,711,793,303,591,814,720,493,932,1281,1619,974,697,381,403,172,63,597
"G2300110","2016","ME",,,"Maine","23","Kennebec County","011",,,,,,,,,,,,,,,,,,"05000US23011","Kennebec County, Maine",14101,13239,152,129,273,526,506,431,543,416,360,1059,1151,1973,1251,984,349,1235,810,939,55,0,0,61,36,0,862,"Kennebec County, Maine",1841,1696,154,188,191,295,461,341,391,326,275,410,443,851,648,488,304,536,491,572,95,172,172,101,61,172,490
"G2300190","2016","ME",,,"Maine","23","Penobscot County","019",,,,,,,,,,,,,,,,,,"05000US23019","Penobscot County, Maine",17200,16348,263,151,539,510,110,1013,349,732,376,1033,643,1397,1762,1696,907,1877,1005,934,698,81,0,49,135,88,852,"Penobscot County, Maine",1758,1693,303,167,352,406,123,682,341,375,276,521,326,663,662,799,456,604,574,392,354,86,172,91,180,150,426
"G2300310","2016","ME",,,"Maine","23","York County","031",,,,,,,,,,,,,,,,,,"05000US23031","York County, Maine",21646,20271,0,39,427,618,962,442,88,420,239,530,387,558,1384,1485,1202,3656,2203,3254,1295,472,541,69,0,0,1375,"York County, Maine",2401,2391,172,66,475,431,545,297,114,364,273,410,288,461,739,854,626,1120,680,1183,872,329,428,116,172,172,710
"G2400010","2016","MD",,,"Maryland","24","Allegany County","001",,,,,,,,,,,,,,,,,,"05000US24001","Allegany County, Maryland",8812,8259,243,38,135,268,277,314,528,899,317,689,912,646,253,347,81,777,314,482,277,308,93,17,44,0,553,"Allegany County, Maryland",1255,1157,237,66,174,241,221,219,323,442,183,331,531,322,227,230,81,644,274,403,289,242,94,30,72,198,315
"G2400030","2016","MD",,,"Maryland","24","Anne Arundel County","003",,,,,,,,,,,,,,,,,,"05000US24003","Anne Arundel County, Maryland",54125,52143,691,548,557,248,88,487,738,634,55,646,157,590,901,1083,471,1851,2381,9444,9235,13829,4319,2215,508,467,1982,"Anne Arundel County, Maryland",3523,3537,674,471,503,265,102,449,527,450,94,604,150,369,475,622,399,978,851,1882,1741,2282,1084,880,324,471,644
"G2400050","2016","MD",,,"Maryland","24","Baltimore County","005",,,,,,,,,,,,,,,,,,"05000US24005","Baltimore County, Maryland",111705,108258,800,769,1082,1647,235,968,716,687,249,1477,1073,1724,1906,2004,2633,9869,14316,30737,16927,12674,2585,1395,723,1062,3447,"Baltimore County, Maryland",3945,3925,533,397,560,573,189,588,467,339,216,625,479,668,686,611,898,1649,2202,2704,2348,1930,893,563,578,587,991
"G2400090","2016","MD",,,"Maryland","24","Calvert County","009",,,,,,,,,,,,,,,,,,"05000US24009","Calvert County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calvert County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2400130","2016","MD",,,"Maryland","24","Carroll County","013",,,,,,,,,,,,,,,,,,"05000US24013","Carroll County, Maryland",11292,10243,125,210,356,543,24,73,93,237,360,382,213,580,141,745,213,678,1343,1785,1381,616,55,90,0,0,1049,"Carroll County, Maryland",1695,1622,166,178,298,548,42,94,108,242,378,245,189,425,184,473,171,387,663,682,560,350,96,143,198,198,576
"G2400150","2016","MD",,,"Maryland","24","Cecil County","015",,,,,,,,,,,,,,,,,,"05000US24015","Cecil County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cecil County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2400170","2016","MD",,,"Maryland","24","Charles County","017",,,,,,,,,,,,,,,,,,"05000US24017","Charles County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charles County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2400210","2016","MD",,,"Maryland","24","Frederick County","021",,,,,,,,,,,,,,,,,,"05000US24021","Frederick County, Maryland",22824,21922,149,398,439,112,436,129,0,240,559,322,477,311,335,385,225,1188,2029,5383,3505,3683,823,320,427,47,902,"Frederick County, Maryland",1869,1857,167,324,410,121,377,131,198,217,601,249,363,294,247,376,182,584,797,1166,920,911,520,171,270,79,391
"G2400250","2016","MD",,,"Maryland","24","Harford County","025",,,,,,,,,,,,,,,,,,"05000US24025","Harford County, Maryland",19576,18683,381,897,346,407,165,491,44,276,265,672,181,464,370,436,572,1345,1619,4398,2233,2221,677,223,0,0,893,"Harford County, Maryland",2236,2090,398,513,288,277,193,416,73,244,294,476,155,296,278,338,381,617,624,1172,763,718,458,184,198,198,446
"G2400270","2016","MD",,,"Maryland","24","Howard County","027",,,,,,,,,,,,,,,,,,"05000US24027","Howard County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Howard County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2400310","2016","MD",,,"Maryland","24","Montgomery County","031",,,,,,,,,,,,,,,,,,"05000US24031","Montgomery County, Maryland",131611,127927,233,633,654,1076,609,790,1376,264,629,601,518,874,871,1480,502,1100,2261,19273,28857,39366,16895,5202,2792,1071,3684,"Montgomery County, Maryland",3916,3811,223,281,321,521,368,536,734,269,448,369,299,563,562,746,373,677,772,2490,3228,3427,2267,1324,780,422,941
"G2400330","2016","MD",,,"Maryland","24","Prince George's County","033",,,,,,,,,,,,,,,,,,"05000US24033","Prince George's County, Maryland",120949,118382,296,688,611,1091,321,1020,443,398,146,967,557,438,943,740,1287,4087,8433,36612,23859,28305,4780,1525,698,137,2567,"Prince George's County, Maryland",3979,4061,209,479,330,620,171,509,398,360,144,541,403,267,560,410,677,1066,1547,2931,2377,2702,1102,662,549,107,731
"G2400370","2016","MD",,,"Maryland","24","St. Mary's County","037",,,,,,,,,,,,,,,,,,"05000US24037","St. Mary's County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Mary's County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2400430","2016","MD",,,"Maryland","24","Washington County","043",,,,,,,,,,,,,,,,,,"05000US24043","Washington County, Maryland",18163,16510,223,534,322,234,136,115,325,358,665,1220,993,1066,1422,1267,728,1985,1165,2312,616,704,120,0,0,0,1653,"Washington County, Maryland",1693,1750,221,442,249,147,145,128,192,343,378,604,553,645,601,638,343,1061,439,796,322,601,145,198,198,198,728
