GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADC4E001,ADC4E002,ADC4E003,ADC4E004,ADC4E005,ADC4E006,ADC4E007,ADC4E008,ADC4E009,ADC4E010,ADC4E011,ADC4E012,ADC4E013,ADC4E014,ADC4E015,ADC4E016,ADC4E017,ADC4E018,ADC4E019,ADC4E020,ADC4E021,ADC4E022,ADC4E023,ADC4E024,ADC4E025,ADC4E026,ADC4E027,NAME_M,ADC4M001,ADC4M002,ADC4M003,ADC4M004,ADC4M005,ADC4M006,ADC4M007,ADC4M008,ADC4M009,ADC4M010,ADC4M011,ADC4M012,ADC4M013,ADC4M014,ADC4M015,ADC4M016,ADC4M017,ADC4M018,ADC4M019,ADC4M020,ADC4M021,ADC4M022,ADC4M023,ADC4M024,ADC4M025,ADC4M026,ADC4M027
"G1500090","2015","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",21557,19980,80,178,104,379,103,76,72,236,85,764,197,123,620,339,191,1564,877,3506,3695,3328,1915,1378,170,0,1577,"Maui County, Hawaii",1778,1816,112,143,156,321,126,122,106,280,112,450,232,123,348,227,248,638,437,1061,991,933,745,668,180,182,563
"G1600010","2015","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",52671,49584,208,109,91,767,357,543,1340,1094,1008,1529,2167,3768,5076,4195,4767,6249,6468,5728,2558,1103,241,93,125,0,3087,"Ada County, Idaho",3716,3467,345,162,116,541,242,510,1218,680,536,610,775,937,1358,1095,1173,1515,1604,1808,1132,598,394,156,109,193,1003
"G1600050","2015","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",11326,10883,0,0,256,98,35,512,606,1203,1464,1307,1552,701,769,366,531,527,373,141,442,0,0,0,0,0,443,"Bannock County, Idaho",1406,1386,193,193,170,97,56,391,399,574,500,456,547,359,426,305,312,290,386,144,344,193,193,193,193,193,289
"G1600190","2015","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",11839,11244,50,154,37,106,77,662,629,354,1010,583,622,795,1266,837,1193,977,61,1005,505,86,235,0,0,0,595,"Bonneville County, Idaho",1298,1283,83,183,61,129,133,484,400,297,414,315,419,462,679,347,585,545,75,573,424,100,244,193,193,193,410
"G1600270","2015","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",20809,19901,52,199,365,844,791,646,561,777,944,2375,1719,1472,1648,1273,1565,2512,1813,257,0,65,23,0,0,0,908,"Canyon County, Idaho",2342,2193,91,204,292,776,515,457,358,511,472,1021,676,650,652,667,748,897,690,206,193,111,38,193,193,193,623
"G1600550","2015","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",17683,16646,15,58,85,398,8,469,240,215,247,1123,1427,1225,1306,1270,1417,2784,1366,2086,567,180,126,34,0,0,1037,"Kootenai County, Idaho",2371,2301,19,98,116,287,14,437,259,312,218,535,772,636,721,694,714,1052,737,882,435,184,136,56,193,193,584
"G1600830","2015","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",9880,9134,75,80,0,49,0,251,171,306,705,1070,466,2034,1007,203,626,1151,671,86,0,13,0,0,170,0,746,"Twin Falls County, Idaho",1428,1395,135,135,193,82,193,216,209,299,403,533,371,981,520,171,502,633,558,137,193,23,193,193,156,193,401
"G1700010","2015","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",7759,7426,0,76,287,501,555,784,704,955,582,216,534,490,171,123,450,552,276,130,0,0,0,40,0,0,333,"Adams County, Illinois",1045,1032,182,92,345,328,400,388,441,508,360,166,451,272,175,138,396,300,220,150,182,182,182,61,182,182,250
"G1700190","2015","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",36717,36131,535,196,308,217,773,313,646,1029,1534,2053,2971,3391,3039,2244,2903,3180,2572,4274,1537,1510,501,314,91,0,586,"Champaign County, Illinois",2408,2383,376,200,240,208,454,214,377,589,629,676,828,893,877,722,793,829,749,1193,627,568,391,254,78,182,253
"G1700310","2015","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",866659,840367,8331,7087,16754,13584,7401,9763,6970,14061,10984,26179,21898,38524,41816,50818,45026,112756,87396,124505,70673,78064,28191,10428,5070,4088,26292,"Cook County, Illinois",9887,9461,1379,1311,1874,1859,1338,1970,1282,1979,1654,2702,2613,3279,2869,3379,3556,5812,4945,5880,3664,4703,2689,1753,1090,1480,2877
"G1700370","2015","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",16322,15801,203,0,76,103,42,179,170,411,202,827,1121,1200,833,1584,1969,1690,1222,3075,349,545,0,0,0,0,521,"DeKalb County, Illinois",1513,1551,243,182,124,115,55,155,265,302,158,366,673,484,421,699,740,739,544,1036,216,450,182,182,182,182,322
"G1700430","2015","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",92666,88821,441,165,834,90,694,297,409,431,80,733,275,1085,964,2671,2864,12473,12289,21939,14105,11520,2726,576,574,586,3845,"DuPage County, Illinois",3539,3392,375,164,458,105,326,154,402,251,94,389,242,552,440,975,916,1743,1840,1845,1931,1645,709,230,371,315,897
"G1700890","2015","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",51208,49649,354,550,618,408,496,224,347,507,881,1403,1977,1783,2418,2355,3292,8576,4977,7951,4364,4776,725,234,371,62,1559,"Kane County, Illinois",3051,3099,388,421,461,439,407,246,285,384,772,689,993,635,813,910,1096,1788,1194,1471,1274,1582,701,252,445,107,633
"G1700910","2015","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",12424,12045,159,125,200,279,237,240,432,241,561,477,884,1268,826,1839,1018,1947,282,558,367,0,35,0,0,70,379,"Kankakee County, Illinois",1412,1409,158,128,127,182,145,209,319,220,402,254,400,538,401,661,466,684,254,446,326,182,61,182,182,66,221
"G1700930","2015","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kendall County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1700970","2015","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",67827,64844,732,420,640,760,436,433,99,755,652,913,948,2792,3252,4883,3921,7758,5226,12608,6131,7463,1949,1512,311,250,2983,"Lake County, Illinois",3128,3130,467,386,329,427,280,260,102,357,348,484,454,836,859,1085,1113,1461,1159,1743,1129,1326,674,484,244,191,774
"G1700990","2015","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",13138,12214,204,221,59,57,377,218,784,1050,1407,737,1143,1208,1353,671,936,772,411,278,53,275,0,0,0,0,924,"LaSalle County, Illinois",1440,1396,159,320,70,73,390,148,340,504,592,300,511,489,635,431,488,457,309,300,76,262,182,182,182,182,435
"G1701110","2015","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",24068,23426,151,98,18,550,587,92,65,144,70,80,275,690,814,1111,1167,3461,2905,4809,3172,2748,110,115,194,0,642,"McHenry County, Illinois",2139,2218,189,132,30,469,395,112,108,116,116,95,270,431,470,551,581,942,934,1178,896,839,61,141,105,182,393
