GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AAS5E001,AAS5E002,AAS5E003,AAS5E004,AAS5E005,AAS5E006,AAS5E007,AAS5E008,AAS5E009,AAS5E010,AAS5E011,AAS5E012,AAS5E013,AAS5E014,AAS5E015,AAS5E016,AAS5E017,NAME_M,AAS5M001,AAS5M002,AAS5M003,AAS5M004,AAS5M005,AAS5M006,AAS5M007,AAS5M008,AAS5M009,AAS5M010,AAS5M011,AAS5M012,AAS5M013,AAS5M014,AAS5M015,AAS5M016,AAS5M017
"G06016000","2014","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",45111,1895,2199,1517,1745,1684,1847,1712,1804,2324,2788,4801,6033,5645,4119,2787,2211,"Concord city, California",2443,816,1016,697,758,819,627,598,678,837,857,920,1110,1181,1130,791,628
"G06016350","2014","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",50041,2099,2051,1615,2459,2236,2151,1489,1957,1520,3833,5410,6884,7328,2993,3164,2852,"Corona city, California",2145,841,720,600,789,744,717,551,783,741,1036,1247,1326,1215,791,709,708
"G06016532","2014","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",38510,1821,1140,1633,1461,2366,1233,1235,1606,1373,2923,4359,4862,4135,2392,2863,3108,"Costa Mesa city, California",2091,677,548,543,661,886,546,625,622,552,785,1023,895,918,661,824,875
"G06017918","2014","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",29834,1400,784,939,1182,858,738,878,1155,741,1902,3405,4571,4335,1932,3041,1973,"Daly City city, California",1730,609,437,578,572,495,378,435,456,499,702,946,965,963,674,724,637
"G06018100","2014","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",25702,3777,1203,964,1166,1039,996,801,1210,972,1510,1829,2424,2037,721,2358,2695,"Davis city, California",1381,782,500,623,450,460,496,461,546,431,557,627,685,558,312,587,566
"G06019766","2014","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",34629,1699,1609,468,1523,1569,1997,1812,2566,1554,2745,5673,5042,1872,1898,1333,1269,"Downey city, California",1839,609,631,254,556,488,736,712,818,613,917,1083,1180,666,591,500,491
"G06020802","2014","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",31598,2574,3375,2111,2741,1970,1694,1742,1717,1429,2947,3249,3332,953,794,756,214,"East Los Angeles CDP, California",1511,667,815,540,693,616,585,484,623,502,740,816,562,412,403,347,203
"G06021712","2014","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",31028,2252,1743,2826,1602,2311,1827,1236,1219,1254,2464,2737,4064,2161,1153,1348,831,"El Cajon city, California",1567,788,622,770,464,782,726,540,530,529,685,723,934,693,447,534,485
"G06022020","2014","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",50142,1752,2337,2078,1734,717,1476,1230,1367,1838,2321,5865,6944,6531,4998,5358,3596,"Elk Grove city, California",2067,748,834,743,663,405,647,477,568,955,595,1180,1386,1087,931,930,797
"G06022230","2014","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",30516,1484,2086,2994,2315,1307,2419,3209,1592,2060,2182,2411,2622,1630,1009,661,535,"El Monte city, California",1292,600,653,847,696,479,798,850,595,702,641,748,592,460,397,348,334
"G06022804","2014","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",44612,3517,2033,1420,2822,2629,3025,2847,1525,1859,3843,4715,4541,3577,1694,2777,1788,"Escondido city, California",1701,975,627,603,778,794,828,961,547,547,1010,1028,958,947,602,771,506
"G06023182","2014","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",35360,1627,1271,1061,1738,1094,846,1496,1219,1476,2705,4147,5368,3778,2761,2898,1875,"Fairfield city, California",1546,673,647,461,638,473,379,445,555,592,826,907,1129,888,770,859,685
"G06024638","2014","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",25980,705,941,417,518,996,422,550,809,1019,1378,1914,3228,3593,2646,3735,3109,"Folsom city, California",1456,316,648,270,286,442,250,296,428,494,643,638,768,710,659,863,757
"G06024680","2014","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",51347,3253,1868,2345,2650,2598,1647,2331,2126,1836,3813,5205,7686,6852,2020,3788,1329,"Fontana city, California",2194,1007,558,859,1152,945,535,764,846,663,1049,1155,1322,1302,578,1155,675
"G06026000","2014","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",73007,2284,1853,1395,1586,1457,2198,1154,1959,1814,2833,4770,9327,9966,8103,10148,12160,"Fremont city, California",1811,604,577,549,611,663,709,446,590,659,864,1036,1278,1312,1252,1601,1400
"G06027000","2014","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",163875,17863,14335,9959,10896,11289,9875,7867,7580,7656,10053,14691,16207,10092,5318,6786,3408,"Fresno city, California",3086,2074,2278,1503,1645,1670,1593,1446,1631,1437,1304,1897,1944,1617,957,1344,854
"G06028000","2014","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",44648,2944,2404,1558,2247,1079,1666,2402,2167,1977,3082,5683,4825,4242,2475,3122,2775,"Fullerton city, California",2008,888,920,628,842,574,712,860,696,721,852,1104,1092,1087,653,874,560
"G06029000","2014","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",46959,3587,1734,1816,3023,1453,2443,1791,1749,2210,4363,4354,7024,4268,2745,2904,1495,"Garden Grove city, California",1894,764,667,610,819,541,645,623,557,651,866,785,1135,764,641,548,446
"G06030000","2014","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",72163,3369,5212,6117,4949,3293,3336,3090,2542,3489,4770,5742,7785,5231,3789,4717,4732,"Glendale city, California",2684,968,1094,1074,1227,1020,1088,833,672,851,971,1112,1337,1138,882,1053,934
"G06032548","2014","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"16000US0632548","Hawthorne city, California",31391,1807,1434,1129,2007,2536,1554,2803,2654,1993,3291,2763,3383,2013,1024,518,482,"Hawthorne city, California",1699,778,633,488,791,718,653,819,862,858,918,875,851,530,494,268,272
"G06033000","2014","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"16000US0633000","Hayward city, California",49031,2478,1816,1603,2170,2403,2594,1847,1826,1910,3650,4843,6845,4866,3247,3965,2968,"Hayward city, California",1792,710,602,548,708,827,787,699,649,622,869,997,1185,987,813,1069,884
