GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AC2YE001,AC2YE002,AC2YE003,AC2YE004,AC2YE005,AC2YE006,AC2YE007,AC2YE008,AC2YE009,AC2YE010,AC2YE011,AC2YE012,AC2YE013,AC2YE014,AC2YE015,AC2YE016,AC2YE017,NAME_M,AC2YM001,AC2YM002,AC2YM003,AC2YM004,AC2YM005,AC2YM006,AC2YM007,AC2YM008,AC2YM009,AC2YM010,AC2YM011,AC2YM012,AC2YM013,AC2YM014,AC2YM015,AC2YM016,AC2YM017
"G06002553","2015","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",43562,4788,3962,1246,2975,2602,2365,1395,1910,1440,2953,3300,3665,4398,1682,2135,2746,"Arden-Arcade CDP, California",2136,1293,1069,533,1229,942,865,447,793,690,703,995,1005,1142,683,644,645
"G06003526","2015","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",114383,6735,5559,4399,6293,5218,5482,4342,4101,4726,9155,11671,15755,10604,5557,9189,5597,"Bakersfield city, California",3559,1507,1149,935,1249,1385,1271,1065,1228,1115,1624,1761,2154,1515,1241,1968,988
"G06003666","2015","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",18541,1439,994,1050,1403,1017,732,1175,1033,928,855,2144,2092,1249,1053,852,525,"Baldwin Park city, California",1178,529,498,481,499,473,405,536,383,352,387,570,562,427,356,444,345
"G06004982","2015","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",21729,1021,1577,986,1442,1340,729,1353,1100,1127,1761,2193,2559,1858,1019,707,957,"Bellflower city, California",1217,475,479,403,489,511,352,592,462,585,554,575,627,472,467,257,455
"G06006000","2015","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",46277,4591,2250,1255,1627,1176,1322,2085,1944,864,2487,3794,4733,4041,4032,3899,6177,"Berkeley city, California",2237,918,656,444,730,557,483,708,666,340,666,849,1038,668,807,824,853
"G06008786","2015","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",23264,1033,549,1263,1667,461,1611,545,384,797,2138,1678,4148,2737,1794,1408,1051,"Buena Park city, California",1221,573,442,511,678,304,696,399,276,471,812,581,988,866,659,643,469
"G06008954","2015","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",41633,3271,1520,2197,1133,1265,1771,916,1809,1549,3063,3440,5706,3428,2553,3821,4191,"Burbank city, California",1987,1093,650,797,435,529,684,366,616,609,907,990,1059,963,702,907,1044
"G06010046","2015","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",24247,1133,1065,872,1105,469,720,1089,921,691,1237,2003,2850,2336,1552,3571,2633,"Camarillo city, California",1367,624,508,538,473,272,397,505,538,375,541,495,676,682,524,849,783
"G06011194","2015","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",42216,1284,578,1048,660,539,1777,779,755,1482,2133,3770,6960,4913,2955,4736,7847,"Carlsbad city, California",1884,515,354,657,381,343,862,399,414,605,755,987,1409,1202,858,1036,1254
"G06011390","2015","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",25951,1626,1903,1526,1788,965,935,986,1269,1439,2024,2462,2535,2155,1440,1275,1623,"Carmichael CDP, California",1788,806,765,551,783,439,465,424,640,553,595,666,559,566,546,476,446
