GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHFCE001,AHFCE002,AHFCE003,AHFCE004,AHFCE005,AHFCE006,AHFCE007,AHFCE008,AHFCE009,AHFCE010,AHFCE011,AHFCE012,AHFCE013,AHFCE014,AHFCE015,AHFCE016,AHFCE017,NAME_M,AHFCM001,AHFCM002,AHFCM003,AHFCM004,AHFCM005,AHFCM006,AHFCM007,AHFCM008,AHFCM009,AHFCM010,AHFCM011,AHFCM012,AHFCM013,AHFCM014,AHFCM015,AHFCM016,AHFCM017
"G06003526","2017","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",118508,6156,6231,4494,5386,6018,6043,7813,5791,3872,9737,13359,15308,10786,5274,6596,5644,"Bakersfield city, California",2821,1276,1318,1119,1502,1599,1338,1797,1534,1058,1648,2150,2211,1762,1121,1549,1006
"G06003666","2017","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",17725,421,886,846,490,791,639,791,516,817,1192,3205,2741,1476,1165,1217,532,"Baldwin Park city, California",1006,282,435,399,258,407,316,474,293,430,534,783,669,521,422,441,229
"G06004982","2017","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",24796,677,1792,1066,1220,1375,1579,1316,645,952,1717,2909,3800,2380,1662,1095,611,"Bellflower city, California",1241,399,590,595,552,548,701,527,387,481,557,659,936,661,619,396,321
"G06006000","2017","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",43770,2593,1571,3091,1404,1461,1714,948,1025,716,1499,3293,4080,3776,2961,5467,8171,"Berkeley city, California",1567,745,549,995,649,664,613,579,545,365,493,763,858,833,779,1059,1072
"G06008786","2017","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",23627,1834,795,1042,385,1093,924,857,1225,822,1891,2299,2957,2734,1227,2603,939,"Buena Park city, California",1502,882,593,564,309,556,379,546,517,541,840,817,885,730,479,750,448
"G06008954","2017","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",40981,3169,2349,1016,1404,1185,933,979,2087,1416,2648,4320,4972,4656,2195,3358,4294,"Burbank city, California",1999,1046,915,516,541,478,506,567,769,589,735,1026,1127,1095,653,943,917
"G06010046","2017","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",25361,665,630,939,996,793,589,730,704,431,767,1536,3532,3530,2101,3045,4373,"Camarillo city, California",1403,320,464,486,428,321,334,362,382,331,380,647,923,952,646,704,979
"G06011194","2017","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",45588,1444,1241,869,1070,1267,1502,698,1385,1082,1954,3961,5361,4466,3211,6805,9272,"Carlsbad city, California",1917,652,619,542,622,544,534,410,732,385,874,1239,911,1082,963,1591,1557
"G06011390","2017","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",25537,1760,1297,547,1287,1206,668,937,1102,657,1769,2297,3722,2871,1667,1593,2157,"Carmichael CDP, California",1932,723,681,300,458,635,276,461,543,326,753,673,941,813,648,518,495
"G06011530","2017","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",26070,779,1046,745,1519,952,649,1029,1505,916,2551,2691,4669,2028,1507,1965,1519,"Carson city, California",1338,359,696,421,693,513,491,590,617,541,903,819,875,579,494,576,696
"G06011964","2017","CA",,,"California","06",,,"Castro Valley CDP","11964",,,,,,,,,,,,,,,,"16000US0611964","Castro Valley CDP, California",21977,379,164,329,1285,270,1241,466,362,456,1407,1181,2549,2282,2627,3292,3687,"Castro Valley CDP, California",1541,243,167,240,736,203,585,438,266,393,693,474,778,690,770,854,866
"G06013014","2017","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",37547,3125,3159,2247,2293,918,1816,1844,2009,1111,3210,3739,3443,3404,2017,1385,1827,"Chico city, California",1963,780,1226,786,775,466,608,741,781,534,1039,1035,920,794,759,481,802
"G06013210","2017","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",20484,751,620,523,1378,790,943,596,445,685,1556,2165,3227,2129,1128,2151,1397,"Chino city, California",1467,381,379,289,518,616,374,350,320,371,492,685,935,542,447,589,384
"G06013214","2017","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",23170,665,481,425,547,754,474,662,373,347,730,2708,3457,2914,1613,3667,3353,"Chino Hills city, California",1156,346,374,543,530,525,312,503,235,304,394,895,1177,792,499,856,862
"G06013392","2017","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",80417,3819,3444,1871,2714,2911,3462,3159,2862,3347,5003,6389,11794,10098,6880,7116,5548,"Chula Vista city, California",2948,878,1232,647,885,921,860,1151,1052,931,1241,1278,2020,1851,1702,1629,1700
"G06013588","2017","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",33598,636,1749,1006,1501,1663,1685,1903,1558,1962,3366,3496,4329,4085,2110,1490,1059,"Citrus Heights city, California",1595,282,642,511,598,511,643,640,484,809,884,747,1104,897,463,535,491
"G06014218","2017","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",35855,1764,722,1120,1366,1811,1423,1777,1460,1288,2127,2523,4972,4299,3185,3094,2924,"Clovis city, California",1812,621,412,448,550,763,560,670,514,521,741,747,1038,939,840,695,626
"G06015044","2017","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",23360,1603,1528,784,1305,1310,1501,1412,1257,813,1831,3046,3199,1799,761,623,588,"Compton city, California",1503,657,610,434,519,502,508,601,495,401,571,710,766,662,332,403,375
"G06016000","2017","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",45868,2303,1214,748,1022,1099,1497,1065,1586,1041,2867,4258,8465,6134,3775,4009,4785,"Concord city, California",2102,855,567,412,475,531,750,634,879,530,707,932,1503,1344,969,948,1029
"G06016350","2017","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",47942,1676,1306,2016,615,1044,2081,1623,2105,1134,3005,5259,6369,6364,4091,4883,4371,"Corona city, California",1795,633,612,738,353,416,809,567,718,473,797,1100,1200,1241,847,1071,956
"G06016532","2017","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",40927,1306,1069,1402,2292,1265,1370,1432,1164,1342,3181,3637,5205,5805,2439,3965,4053,"Costa Mesa city, California",1838,641,622,555,868,674,572,703,511,606,885,1190,1158,1055,760,853,710
"G06017918","2017","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",29162,649,656,724,620,448,1087,808,1457,556,1821,2898,4589,3679,2419,3277,3474,"Daly City city, California",1841,379,332,528,315,279,498,435,739,325,629,857,896,1087,731,773,782
"G06018100","2017","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",23271,2288,855,1086,1328,733,345,725,627,902,1454,1589,1660,1274,1784,2723,3898,"Davis city, California",1258,628,400,427,716,344,235,403,305,545,541,506,539,396,548,788,891
"G06019766","2017","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",33578,1040,1035,931,1048,725,1621,900,2183,892,3407,3459,5290,4655,1378,2824,2190,"Downey city, California",1943,492,524,489,570,431,665,419,799,439,1051,918,1166,1106,561,772,739
"G06020802","2017","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",31910,2249,2480,1448,2230,1766,2620,1757,2092,2086,2606,2826,4197,2068,504,807,174,"East Los Angeles CDP, California",2054,644,688,542,671,569,799,604,631,627,652,702,920,582,292,426,185
"G06021712","2017","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",33587,2537,1835,1422,1989,1767,2324,1459,896,2477,2038,2699,4833,2715,1287,1570,1739,"El Cajon city, California",1950,986,664,609,702,893,907,653,441,1098,715,878,1146,826,452,536,578
"G06022020","2017","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",53661,1661,1587,1631,1320,2869,1385,858,1567,1549,3525,4601,8541,6191,5419,5662,5295,"Elk Grove city, California",2046,704,645,643,633,1064,661,408,563,791,984,887,1450,1099,1128,1122,1046
"G06022230","2017","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",27987,1763,1332,1645,1904,1542,1299,1328,1203,1574,2648,3308,4067,1400,1590,1089,295,"El Monte city, California",1698,505,512,645,725,507,526,519,502,538,748,837,861,492,599,508,189
"G06022804","2017","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",46250,1444,1303,2159,2281,2425,2581,2449,2042,1836,3499,4540,6138,5421,3073,2807,2252,"Escondido city, California",2261,502,567,964,768,821,917,819,692,637,830,1142,1081,1261,824,765,622
"G06023182","2017","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",37324,1423,1102,870,1490,762,1377,1337,1973,1138,2531,3653,4320,5095,2942,3713,3598,"Fairfield city, California",1696,548,599,432,696,373,648,640,671,548,783,819,1032,1266,755,1052,942
"G06024477","2017","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",14918,1404,697,791,1465,655,769,890,918,872,1197,1905,1357,1256,448,184,110,"Florence-Graham CDP, California",1445,522,368,376,567,360,366,458,403,448,441,605,482,543,232,172,135
"G06024638","2017","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",28094,161,697,678,1030,532,908,381,1218,511,1139,2225,2921,2752,3069,4856,5016,"Folsom city, California",1582,170,450,405,574,402,611,260,498,324,441,656,830,769,833,1082,933
"G06024680","2017","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",52767,1880,1944,1640,2265,1932,1712,1773,1224,2615,5583,6379,6657,6669,3729,4162,2603,"Fontana city, California",1948,757,752,647,760,732,602,636,554,1097,1273,1338,1343,1561,876,1316,967
"G06026000","2017","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",72148,1837,836,1635,1149,1452,943,689,747,1105,2581,4018,7945,9856,8142,10541,18672,"Fremont city, California",2037,625,428,588,460,716,500,380,406,595,809,1115,1423,1382,1156,1336,2013
"G06027000","2017","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",169409,12976,12853,9694,11146,8039,8377,5920,10701,7306,14236,16532,19474,10279,7576,7854,6446,"Fresno city, California",3216,1905,1993,1596,1815,1594,1710,1020,1733,1667,2114,2102,2215,1528,1477,1413,1142
