GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,SUYE001,SUYE002,SUYE003,SUYE004,SUYE005,SUYE006,SUYE007,SUYE008,SUYE009,SUYE010,SUYE011,SUYE012,SUYE013,SUYE014,SUYE015,SUYE016,SUYE017,NAME_M,SUYM001,SUYM002,SUYM003,SUYM004,SUYM005,SUYM006,SUYM007,SUYM008,SUYM009,SUYM010,SUYM011,SUYM012,SUYM013,SUYM014,SUYM015,SUYM016,SUYM017
"G06003526","2013","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",111136,7129,7038,6200,5658,5417,5715,4742,4628,4494,8204,12224,14169,10786,5717,4208,4807,"Bakersfield city, California",2975,1503,1453,1369,1218,1242,1408,1319,1027,1220,1370,1986,1995,1803,1013,1135,1259
"G06003666","2013","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",17758,382,1033,649,1398,1048,1128,1141,724,1454,2259,1883,2140,1393,565,281,280,"Baldwin Park city, California",907,165,516,377,638,503,489,476,441,606,690,598,610,576,244,178,205
"G06004982","2013","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",22988,1136,1424,1079,1482,965,1449,1269,981,964,1627,2473,2313,2669,1332,768,1057,"Bellflower city, California",1382,514,511,483,531,458,621,703,398,379,573,723,641,886,469,361,469
"G06006000","2013","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",46030,6178,2710,1908,2065,1759,1248,1031,1355,1431,2796,3178,4467,3205,2904,3795,6000,"Berkeley city, California",1764,1160,844,478,736,670,459,402,532,564,648,820,856,876,734,671,991
"G06008786","2013","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",23151,1489,637,507,1973,477,1041,702,646,746,902,2166,3851,2754,1667,1950,1643,"Buena Park city, California",1293,739,356,351,797,262,375,449,266,465,363,754,1081,870,657,854,751
"G06008954","2013","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",42757,2818,1648,2108,1731,1615,2065,2348,2002,2420,2736,3100,6417,4135,1760,2861,2993,"Burbank city, California",2142,1071,671,869,648,846,824,966,945,924,738,888,1546,1040,619,820,860
"G06010046","2013","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",23370,541,499,444,750,601,945,642,951,957,1261,2128,2933,3607,2626,2110,2375,"Camarillo city, California",1496,286,412,297,583,334,491,378,430,512,471,690,826,905,783,562,669
"G06011194","2013","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",43572,3577,1020,1751,1107,1102,965,913,1322,1394,2722,4249,4353,5899,3158,3627,6413,"Carlsbad city, California",2152,1210,561,827,608,667,581,593,608,687,848,1149,1049,1201,984,864,1150
"G06011390","2013","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",26047,1589,777,1320,1756,1076,1044,1607,1082,1566,2088,2477,3974,1312,1444,1200,1735,"Carmichael CDP, California",1654,722,432,566,708,556,591,728,555,654,762,701,1034,607,478,397,497
"G06011530","2013","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",25239,996,869,1474,1251,403,882,1348,1336,766,1564,1964,4099,3304,2299,1749,935,"Carson city, California",1656,347,442,739,480,270,345,551,558,384,458,493,849,959,705,601,468
"G06013014","2013","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",35302,4145,2533,1950,1337,2630,2331,1658,1250,953,2633,3664,3850,2104,1364,1549,1351,"Chico city, California",1751,1012,675,605,494,854,689,655,620,474,701,975,1060,662,516,583,765
"G06013210","2013","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",19107,600,418,343,622,363,731,928,646,902,1817,2854,3228,1744,1680,1366,865,"Chino city, California",1173,413,295,201,389,263,351,416,368,402,602,758,873,505,569,419,355
"G06013214","2013","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",23398,351,197,275,626,370,693,1011,663,747,924,2679,3912,3940,1895,2084,3031,"Chino Hills city, California",1185,253,141,229,589,311,352,550,561,352,420,792,878,933,708,682,677
"G06013392","2013","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",76687,4134,4072,3884,4591,3211,3031,3906,2538,3154,5206,8274,9482,7761,5368,4820,3255,"Chula Vista city, California",2799,1329,1028,1316,1334,1293,1169,973,952,1008,1568,1456,1670,1686,1221,1112,966
"G06013588","2013","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",32916,1905,1927,2476,1407,1885,2043,2113,1558,1845,2200,4302,4457,2206,1168,941,483,"Citrus Heights city, California",1792,999,685,768,612,612,741,728,539,681,605,1111,834,710,404,495,258
"G06014218","2013","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",32778,1119,1543,1672,1501,1428,1502,1127,1621,1342,2647,3425,4232,3598,1895,1672,2454,"Clovis city, California",1435,572,566,653,553,566,696,430,608,618,694,803,854,729,476,408,596
"G06015044","2013","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",22811,2566,1759,1486,1629,1454,725,1306,807,937,2074,3061,2111,1590,625,499,182,"Compton city, California",1528,775,639,470,597,535,306,450,391,400,598,725,609,463,314,321,156
"G06016000","2013","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",45531,1919,2816,2392,1382,1556,1978,1982,2066,1099,3655,4681,5855,5128,3343,3161,2518,"Concord city, California",1721,747,858,747,697,641,880,842,799,519,1027,1164,1333,1023,827,1031,779
"G06016350","2013","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",48285,1735,2098,1894,2203,2516,3433,1438,1984,1265,3420,4981,6316,6071,3947,2781,2203,"Corona city, California",1773,617,654,682,821,785,908,605,693,492,920,824,1074,1257,865,649,615
"G06016532","2013","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",40177,1937,1666,2019,1233,1235,1645,1874,2232,1753,2861,3357,5093,4636,2296,2629,3711,"Costa Mesa city, California",1994,703,676,730,534,509,596,829,683,664,915,1009,1271,1135,778,860,949
"G06017918","2013","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",32096,1511,1419,778,1322,530,1159,1033,1769,1142,1609,3334,6046,3605,2505,2519,1815,"Daly City city, California",2235,581,835,451,733,304,534,479,654,762,739,1053,1174,874,918,738,702
"G06018100","2013","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",24871,3487,821,1816,886,910,952,618,728,810,1072,2851,2432,1726,1205,2531,2026,"Davis city, California",1199,952,329,687,404,515,465,347,349,331,382,809,770,577,423,679,496
"G06019766","2013","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",31998,955,1303,1032,1070,1650,1765,1324,1233,2024,2921,3702,5586,2768,1552,1414,1699,"Downey city, California",1929,457,719,575,450,551,764,541,487,663,842,1088,1149,731,498,415,633
"G06020802","2013","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",32464,2451,2901,2989,2980,1181,1972,1661,2235,1672,2916,2980,3311,1621,784,641,169,"East Los Angeles CDP, California",1806,777,801,763,900,519,676,654,638,599,803,751,773,534,409,305,140
"G06021712","2013","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",32581,2105,2828,2630,3135,1817,1929,1860,1347,1605,3048,2417,3108,1779,1009,1050,914,"El Cajon city, California",1523,716,963,901,940,729,715,684,590,483,958,659,975,641,423,380,455
"G06022020","2013","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",48838,1885,1256,1572,1738,1730,1844,1759,2291,1524,4343,5560,6776,6779,2528,4482,2771,"Elk Grove city, California",2100,887,573,706,693,740,753,694,877,531,1149,1025,1198,1251,577,1043,758
"G06022230","2013","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",31419,1087,2681,4870,3087,2671,2672,918,2117,1197,2038,2090,2657,1578,931,496,329,"El Monte city, California",1604,461,818,1033,870,839,744,385,707,474,567,715,652,465,436,298,230
"G06022804","2013","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",44668,5130,1683,2440,2142,2813,2701,1512,2317,1927,3586,4089,5137,3945,1546,2167,1533,"Escondido city, California",2151,1218,594,741,669,801,789,539,830,648,916,886,908,1003,484,701,543
"G06023182","2013","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",34112,1926,1635,1127,1167,1370,1482,1691,1325,1438,3364,2396,5167,3998,2408,2290,1328,"Fairfield city, California",1676,633,583,498,428,484,602,571,474,562,866,665,1156,909,777,711,478
"G06024638","2013","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",25789,879,522,535,712,527,720,844,659,958,1844,2013,3051,3897,1953,3979,2696,"Folsom city, California",1431,461,370,317,414,353,575,437,532,491,705,564,768,1039,575,884,663
"G06024680","2013","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",46968,2024,1928,1394,2017,1661,2085,2293,2421,2496,2841,5232,8980,4291,3199,2169,1937,"Fontana city, California",2021,619,567,497,701,558,681,822,624,765,826,1035,1607,888,974,688,871
"G06026000","2013","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",74204,1785,1937,1768,2126,1688,1386,1398,2379,1767,3231,5501,9958,8761,6827,9899,13793,"Fremont city, California",2088,665,825,729,955,755,572,670,904,660,933,1123,1399,1285,1140,1325,1723
"G06027000","2013","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",161474,17407,12628,11449,11583,10518,9808,7003,8331,5617,11963,15117,16792,9382,5467,4706,3703,"Fresno city, California",3304,2242,1693,1813,1685,1400,1790,1261,1570,1067,1898,2133,1971,1447,1277,990,978
"G06028000","2013","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",44304,2626,1708,1767,2816,1138,1813,1875,1489,1188,3937,4644,6202,3774,2764,3068,3495,"Fullerton city, California",2043,857,681,731,902,427,731,669,692,492,973,1105,1122,956,847,848,757
"G06029000","2013","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",46034,1539,2715,2180,2293,2032,2916,2150,1988,1998,3869,5189,6257,3984,1979,3013,1932,"Garden Grove city, California",2060,535,829,669,619,537,849,607,679,646,876,852,1002,922,578,667,615
