GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALAJE001,ALAJE002,ALAJE003,ALAJE004,ALAJE005,ALAJE006,ALAJE007,ALAJE008,ALAJE009,ALAJE010,ALAJE011,ALAJE012,ALAJE013,ALAJE014,ALAJE015,ALAJE016,ALAJE017,NAME_M,ALAJM001,ALAJM002,ALAJM003,ALAJM004,ALAJM005,ALAJM006,ALAJM007,ALAJM008,ALAJM009,ALAJM010,ALAJM011,ALAJM012,ALAJM013,ALAJM014,ALAJM015,ALAJM016,ALAJM017
"G06003526","2019","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",116558,5155,6136,4082,5855,4343,5760,4034,6281,4513,9034,12232,12379,12465,7146,8925,8218,"Bakersfield city, California",3205,1371,1631,1439,1496,1186,1467,1247,1863,1368,1777,1865,1824,2508,1454,1601,1631
"G06003666","2019","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",19350,757,870,1095,1082,474,372,1184,751,832,1079,2243,3793,1827,1119,1087,785,"Baldwin Park city, California",1139,515,525,566,513,292,223,567,387,406,425,769,895,527,479,552,386
"G06004982","2019","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",23369,1649,1081,833,932,327,757,1444,843,352,1856,2872,3844,2889,1453,1418,819,"Bellflower city, California",1432,610,539,522,495,237,406,723,570,248,598,782,1030,828,562,554,411
"G06006000","2019","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",44551,3633,2171,979,1374,1243,1107,746,1517,726,1932,3086,4364,4359,2133,5376,9805,"Berkeley city, California",2418,866,733,514,600,476,422,425,756,372,660,882,1086,1027,534,1004,1140
"G06008786","2019","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",25362,374,783,315,262,881,676,1099,1252,813,1050,2821,4581,3306,1932,2629,2588,"Buena Park city, California",1482,238,592,257,198,658,383,619,555,449,439,795,1138,1015,771,754,1003
"G06008954","2019","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",43167,2795,2466,1772,1052,1015,1471,1744,704,1356,2543,5226,6273,3998,2374,2705,5673,"Burbank city, California",2150,1081,1035,892,573,451,702,905,431,584,744,1372,1439,992,812,713,1050
"G06010046","2019","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",27274,1025,410,673,734,585,561,711,1113,370,1644,2343,5316,3571,2385,2713,3120,"Camarillo city, California",1488,669,365,420,518,454,429,422,783,265,698,936,1302,907,789,750,830
"G06011194","2019","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",44966,640,1026,284,1070,1489,1744,640,1408,857,1836,2824,4794,3983,4058,6405,11908,"Carlsbad city, California",1995,336,578,168,579,703,913,542,935,602,788,886,1133,1070,1015,1533,1651
"G06011390","2019","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",26577,931,1043,709,710,543,1277,1415,1175,854,2484,3863,3838,3042,1388,1579,1726,"Carmichael CDP, California",2018,592,632,441,439,471,528,780,574,445,697,1232,931,756,527,581,471
"G06011530","2019","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",25573,433,937,510,526,590,1030,764,1020,658,2015,2762,3704,2832,2176,2565,3051,"Carson city, California",1402,306,573,372,341,486,482,434,521,341,759,996,1215,812,819,784,1214
