GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFJ8E001,AFJ8E002,AFJ8E003,AFJ8E004,AFJ8E005,AFJ8E006,AFJ8E007,AFJ8E008,AFJ8E009,AFJ8E010,AFJ8E011,AFJ8E012,AFJ8E013,AFJ8E014,AFJ8E015,AFJ8E016,AFJ8E017,NAME_M,AFJ8M001,AFJ8M002,AFJ8M003,AFJ8M004,AFJ8M005,AFJ8M006,AFJ8M007,AFJ8M008,AFJ8M009,AFJ8M010,AFJ8M011,AFJ8M012,AFJ8M013,AFJ8M014,AFJ8M015,AFJ8M016,AFJ8M017
"G06015044","2016","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",22458,1373,1579,1691,1199,1058,1365,972,997,1233,1595,2619,3283,924,1003,1358,209,"Compton city, California",1205,481,583,596,491,522,549,490,439,448,533,627,652,365,408,532,206
"G06016000","2016","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",45848,1081,1547,884,1559,976,3032,1607,1884,1563,3417,4756,6779,6193,2918,3353,4299,"Concord city, California",2026,552,667,513,612,433,1042,808,777,720,892,1272,1234,1375,678,791,783
"G06016350","2016","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",50765,3121,1699,1209,1950,1362,1425,2082,2167,2422,3622,5111,6829,4629,4437,5042,3658,"Corona city, California",2089,890,607,455,614,524,616,751,956,752,1037,975,1252,911,932,972,804
"G06016532","2016","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",38127,1720,899,484,1266,798,1680,2006,1253,1436,2672,2914,6075,5062,2761,2894,4207,"Costa Mesa city, California",1877,650,465,267,522,445,670,823,469,645,821,886,1261,1106,861,729,915
"G06017918","2016","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",32969,427,1377,918,895,509,1430,717,924,809,2202,2902,5190,3892,2817,4016,3944,"Daly City city, California",1549,310,615,592,453,302,783,386,537,515,749,924,1396,816,762,806,839
"G06018100","2016","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",23542,3076,1209,917,448,1176,451,908,1219,579,867,1825,1965,2034,1520,1922,3426,"Davis city, California",1199,748,440,335,261,458,270,405,589,356,381,493,541,560,585,504,681
"G06019766","2016","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",32646,1292,1049,995,1226,779,2384,1487,1152,1487,3067,3608,4617,3032,2247,2574,1650,"Downey city, California",1610,670,481,492,600,474,928,698,517,618,921,902,995,680,742,892,477
"G06020802","2016","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",33058,1677,2085,1875,2084,2093,2191,2711,2576,2001,3363,2607,3783,1907,737,848,520,"East Los Angeles CDP, California",1989,537,559,516,612,689,804,735,741,526,816,647,875,741,414,435,273
"G06021712","2016","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",32447,1877,2479,2342,1978,2125,1877,1809,1570,1376,1494,4055,3556,2833,994,1355,727,"El Cajon city, California",1739,668,846,914,863,910,627,749,821,460,585,985,927,868,506,476,442
"G06022020","2016","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",51695,2146,834,1168,1541,970,1659,1458,904,1560,3146,5443,7952,6429,4501,6403,5581,"Elk Grove city, California",1918,905,561,506,615,488,622,628,390,656,847,1094,1391,1139,1075,822,1207
