GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,L33E001,L33E002,L33E003,L33E004,L33E005,L33E006,L33E007,L33E008,L33E009,L33E010,L33E011,L33E012,L33E013,L33E014,L33E015,L33E016,L33E017,NAME_M,L33M001,L33M002,L33M003,L33M004,L33M005,L33M006,L33M007,L33M008,L33M009,L33M010,L33M011,L33M012,L33M013,L33M014,L33M015,L33M016,L33M017
"G0500070","2011","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",82695,3136,2602,5423,4986,4300,4558,4484,5117,3884,8480,9236,8063,7493,3024,4978,2931,"Benton County, Arkansas",2830,1232,741,1355,1379,1444,1350,1177,1352,1321,1994,1988,1670,1904,956,1346,999
"G0500310","2011","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",37957,4344,3319,3325,2470,2946,1735,1262,1600,1458,3556,2492,4408,1453,1320,1320,949,"Craighead County, Arkansas",1008,1047,1240,923,1075,1002,705,531,689,607,949,851,1139,652,700,810,564
"G0500450","2011","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",43249,3985,1948,2260,3530,2261,1901,1624,2899,1250,3914,4710,6156,3188,1672,1154,797,"Faulkner County, Arkansas",1506,1025,770,830,963,872,689,699,1123,414,873,1040,1210,1033,754,538,364
"G0500510","2011","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",38087,4534,2820,2773,4187,2394,2733,1945,2206,1711,3213,2674,2707,1826,630,684,1050,"Garland County, Arkansas",1850,1192,913,887,1136,926,737,831,842,797,971,677,767,707,350,391,569
"G0500690","2011","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",28905,3940,2875,1720,1749,1506,1342,1617,1110,1204,3073,2923,3159,1078,511,830,268,"Jefferson County, Arkansas",948,822,731,486,576,529,451,602,386,398,781,770,746,491,265,444,246
"G0500850","2011","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",25583,1289,1448,1473,1246,1693,1544,1888,1551,1084,2322,3584,3206,1510,1085,525,135,"Lonoke County, Arkansas",910,550,472,538,644,653,686,766,568,492,667,1005,925,598,552,305,160
"G0501190","2011","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",152393,16461,9987,9762,11233,8555,7221,8167,6730,5974,13064,12582,15963,9108,7448,5404,4734,"Pulaski County, Arkansas",2633,2371,1526,1822,2123,1586,1326,1376,1546,1537,1662,1809,2399,1604,1397,1039,1194
"G0501250","2011","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",42447,1994,1712,1896,2775,2130,2490,2466,1996,2203,4082,4855,7372,3475,1835,743,423,"Saline County, Arkansas",952,740,736,718,977,744,743,774,586,789,1000,1099,1210,1068,647,332,251
"G0501310","2011","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",47119,4594,4290,3866,3789,3656,3002,2165,2687,1205,3983,3777,4452,1746,844,1394,1669,"Sebastian County, Arkansas",1842,1125,1089,1007,1059,815,860,598,819,509,989,1042,910,644,495,631,568
"G0501430","2011","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",80228,10019,5823,5682,4257,5352,5930,5271,3043,3507,4716,5897,7039,6217,3317,2343,1815,"Washington County, Arkansas",1775,1982,1276,1509,936,1397,1219,1450,1082,1024,1062,1111,1331,1204,1065,786,510
