GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,O34E001,O34E002,O34E003,O34E004,O34E005,O34E006,O34E007,O34E008,O34E009,O34E010,O34E011,O34E012,O34E013,O34E014,O34E015,O34E016,O34E017,NAME_M,O34M001,O34M002,O34M003,O34M004,O34M005,O34M006,O34M007,O34M008,O34M009,O34M010,O34M011,O34M012,O34M013,O34M014,O34M015,O34M016,O34M017
"G4601030","2012","SD",,,"South Dakota","46","Pennington County","103",,,,,,,,,,,,,,,,,,"05000US46103","Pennington County, South Dakota",40455,2716,1380,2401,2557,1808,1958,3149,2255,2156,3294,3921,5997,2967,1270,1407,1219,"Pennington County, South Dakota",1537,653,479,538,654,718,649,815,676,629,1004,996,1046,741,426,493,461
"G4700010","2012","TN",,,"Tennessee","47","Anderson County","001",,,,,,,,,,,,,,,,,,"05000US47001","Anderson County, Tennessee",31019,3285,2112,2237,2736,1647,2131,1968,2015,1474,2276,2236,2182,1658,1393,982,687,"Anderson County, Tennessee",1164,963,578,626,836,435,920,560,671,659,650,661,669,542,526,363,393
"G4700090","2012","TN",,,"Tennessee","47","Blount County","009",,,,,,,,,,,,,,,,,,"05000US47009","Blount County, Tennessee",48759,2953,4094,3066,2902,2927,2459,2977,2279,2914,3854,4783,6572,3332,1488,1542,617,"Blount County, Tennessee",1589,671,1117,774,833,951,722,854,844,937,867,1082,1217,1001,498,596,277
"G4700110","2012","TN",,,"Tennessee","47","Bradley County","011",,,,,,,,,,,,,,,,,,"05000US47011","Bradley County, Tennessee",38749,3291,3147,2966,3207,2910,2643,1781,2283,1850,2934,3403,3982,2426,876,850,200,"Bradley County, Tennessee",1002,865,1131,786,961,839,1009,686,795,650,786,913,976,943,400,429,190
"G4700370","2012","TN",,,"Tennessee","47","Davidson County","037",,,,,,,,,,,,,,,,,,"05000US47037","Davidson County, Tennessee",258465,22244,16879,15924,15322,17812,14902,14594,12341,11569,19611,25473,28959,15284,8742,9011,9798,"Davidson County, Tennessee",3259,2368,1945,1987,1864,2122,2045,2214,1604,1695,1803,2413,2824,1902,1603,1293,1401
"G4700590","2012","TN",,,"Tennessee","47","Greene County","059",,,,,,,,,,,,,,,,,,"05000US47059","Greene County, Tennessee",29562,2972,2432,2267,2573,2126,2663,2562,1561,1212,1930,2360,2794,1082,271,403,354,"Greene County, Tennessee",956,877,774,682,808,786,767,832,730,591,670,617,866,529,248,291,272
"G4700650","2012","TN",,,"Tennessee","47","Hamilton County","065",,,,,,,,,,,,,,,,,,"05000US47065","Hamilton County, Tennessee",135387,10618,9728,8614,6474,8557,8372,5954,6151,6409,11159,12746,16667,9281,5110,5147,4400,"Hamilton County, Tennessee",2567,1716,1395,1436,1285,1720,1511,1371,1246,1213,1612,1790,1724,1356,936,941,789
"G4700930","2012","TN",,,"Tennessee","47","Knox County","093",,,,,,,,,,,,,,,,,,"05000US47093","Knox County, Tennessee",182792,15954,10472,10933,13210,10027,12468,7647,8744,8840,14515,18519,20741,10113,7245,7071,6293,"Knox County, Tennessee",2161,1597,1573,1725,2052,1398,1987,1240,1653,1509,1513,2114,2032,1471,1284,1085,1037
"G4701130","2012","TN",,,"Tennessee","47","Madison County","113",,,,,,,,,,,,,,,,,,"05000US47113","Madison County, Tennessee",36572,3820,3154,2627,1920,2315,2292,1220,1489,1777,2177,4218,4402,2999,471,727,964,"Madison County, Tennessee",1211,873,709,865,651,785,675,559,604,552,667,1037,924,927,241,358,362
"G4701190","2012","TN",,,"Tennessee","47","Maury County","119",,,,,,,,,,,,,,,,,,"05000US47119","Maury County, Tennessee",31960,3273,2322,2457,2064,1819,2379,710,2421,1324,2840,3895,2674,1740,781,453,808,"Maury County, Tennessee",1127,849,716,655,647,629,839,405,725,693,862,811,783,625,404,298,400
"G4701250","2012","TN",,,"Tennessee","47","Montgomery County","125",,,,,,,,,,,,,,,,,,"05000US47125","Montgomery County, Tennessee",64699,4497,2900,3040,4406,3828,4344,3570,3921,3638,5098,9266,8366,3240,2326,1138,1121,"Montgomery County, Tennessee",2042,1116,960,847,1199,1268,1026,1026,985,1182,1032,1385,1249,736,760,517,469
"G4701410","2012","TN",,,"Tennessee","47","Putnam County","141",,,,,,,,,,,,,,,,,,"05000US47141","Putnam County, Tennessee",28700,4285,3256,1826,2651,1690,1657,1047,1198,951,1507,2657,2542,1291,762,909,471,"Putnam County, Tennessee",1138,727,923,641,839,605,637,392,467,372,501,713,694,464,422,390,258
"G4701470","2012","TN",,,"Tennessee","47","Robertson County","147",,,,,,,,,,,,,,,,,,"05000US47147","Robertson County, Tennessee",24247,970,1027,1172,1156,886,1638,1696,1109,930,2477,3659,2874,1890,1697,590,476,"Robertson County, Tennessee",796,388,430,501,472,365,601,725,414,425,681,838,658,576,717,292,273
"G4701490","2012","TN",,,"Tennessee","47","Rutherford County","149",,,,,,,,,,,,,,,,,,"05000US47149","Rutherford County, Tennessee",97326,5845,4258,3742,5408,4601,5963,5714,4620,5152,9606,11966,12846,7599,4151,3526,2329,"Rutherford County, Tennessee",1734,1366,1094,880,1624,1442,1200,1434,1103,1093,1646,1916,1749,1212,905,1190,761
"G4701550","2012","TN",,,"Tennessee","47","Sevier County","155",,,,,,,,,,,,,,,,,,"05000US47155","Sevier County, Tennessee",36334,2360,3015,2244,2342,2325,2348,1837,3168,1969,3756,2874,4173,1885,819,480,739,"Sevier County, Tennessee",2058,757,1169,702,835,813,886,692,915,827,868,838,1075,700,386,323,500
"G4701570","2012","TN",,,"Tennessee","47","Shelby County","157",,,,,,,,,,,,,,,,,,"05000US47157","Shelby County, Tennessee",344327,36313,23252,23588,21036,19348,20405,14447,14415,14340,29857,28638,37127,21645,14423,12472,13021,"Shelby County, Tennessee",3742,2768,2155,2378,2378,2153,2322,2240,1805,1896,2435,2894,2985,2387,2001,1518,1465
"G4701630","2012","TN",,,"Tennessee","47","Sullivan County","163",,,,,,,,,,,,,,,,,,"05000US47163","Sullivan County, Tennessee",65110,5719,5114,4660,5658,4226,4304,4161,3438,2415,5748,5971,5464,3839,1527,1444,1422,"Sullivan County, Tennessee",2036,1180,1050,993,1260,1120,925,800,881,937,983,1006,1022,926,445,555,508
"G4701650","2012","TN",,,"Tennessee","47","Sumner County","165",,,,,,,,,,,,,,,,,,"05000US47165","Sumner County, Tennessee",60232,1820,2558,2859,2913,3333,3433,3192,4067,3114,6855,6433,7500,4663,2814,1927,2751,"Sumner County, Tennessee",1474,699,697,715,854,854,879,833,892,902,1211,873,1046,1002,815,672,681
"G4701790","2012","TN",,,"Tennessee","47","Washington County","179",,,,,,,,,,,,,,,,,,"05000US47179","Washington County, Tennessee",52405,4282,4114,4605,2958,3237,2325,2760,3486,2810,5229,4876,4900,2452,1610,908,1853,"Washington County, Tennessee",1651,1025,993,1063,796,943,661,883,897,885,1194,1426,1110,685,617,407,691
"G4701870","2012","TN",,,"Tennessee","47","Williamson County","187",,,,,,,,,,,,,,,,,,"05000US47187","Williamson County, Tennessee",66726,1515,1868,1774,1907,1536,2262,1819,2208,1538,4558,5840,9180,8649,6194,5737,10141,"Williamson County, Tennessee",1435,529,1147,775,896,693,872,622,731,444,1426,1445,1502,1336,1358,1120,1538
"G4701890","2012","TN",,,"Tennessee","47","Wilson County","189",,,,,,,,,,,,,,,,,,"05000US47189","Wilson County, Tennessee",42559,2740,1236,1940,1344,2319,1517,2092,2344,2544,4291,4155,6519,3981,2185,2332,1020,"Wilson County, Tennessee",1163,802,488,781,576,656,602,779,807,608,1064,871,1028,860,677,731,446
"G4800050","2012","TX",,,"Texas","48","Angelina County","005",,,,,,,,,,,,,,,,,,"05000US48005","Angelina County, Texas",30199,2680,2563,2560,1800,2026,1943,1730,1955,1358,2893,2366,2834,1527,592,401,971,"Angelina County, Texas",1212,745,730,793,696,655,686,711,659,515,800,730,717,556,416,236,485
"G4800210","2012","TX",,,"Texas","48","Bastrop County","021",,,,,,,,,,,,,,,,,,"05000US48021","Bastrop County, Texas",24863,1117,1284,1291,2251,1255,1686,1314,1147,1251,2026,2390,2168,2642,850,1522,669,"Bastrop County, Texas",1448,573,574,638,809,665,667,824,579,524,816,709,758,927,485,635,539
"G4800270","2012","TX",,,"Texas","48","Bell County","027",,,,,,,,,,,,,,,,,,"05000US48027","Bell County, Texas",104604,8196,4970,3957,6314,6597,6209,6667,5818,4461,9718,12136,11759,7122,4613,3651,2416,"Bell County, Texas",2734,1455,1003,898,1240,1527,1259,1568,1217,1002,1749,1886,1706,1572,1001,1027,753
"G4800290","2012","TX",,,"Texas","48","Bexar County","029",,,,,,,,,,,,,,,,,,"05000US48029","Bexar County, Texas",607310,51348,29575,35335,36417,34183,29245,30899,29615,27661,48649,66719,71013,47403,25579,20972,22697,"Bexar County, Texas",4934,3405,2630,2666,3085,3110,2429,2587,2646,3065,3651,4358,4025,3127,2605,2183,2711
"G4800370","2012","TX",,,"Texas","48","Bowie County","037",,,,,,,,,,,,,,,,,,"05000US48037","Bowie County, Texas",36045,4258,2674,3450,2721,1706,1978,1547,2437,1992,2657,2550,3586,2196,1077,638,578,"Bowie County, Texas",1025,1040,875,1058,998,702,769,480,755,679,920,784,1030,785,418,328,333
"G4800390","2012","TX",,,"Texas","48","Brazoria County","039",,,,,,,,,,,,,,,,,,"05000US48039","Brazoria County, Texas",110093,5291,4288,4259,4572,4784,5796,4669,4286,4724,8962,11254,16038,12297,6468,6227,6178,"Brazoria County, Texas",2129,1363,984,987,1218,1521,1573,1442,1113,1440,1406,1918,2663,2251,1341,1461,1396
"G4800410","2012","TX",,,"Texas","48","Brazos County","041",,,,,,,,,,,,,,,,,,"05000US48041","Brazos County, Texas",70780,12073,4756,4013,3956,3676,3168,3805,2417,3249,5408,5709,7128,3974,2912,1954,2582,"Brazos County, Texas",2206,1745,1132,956,1194,1004,891,928,796,849,1348,1433,1362,859,808,697,576
"G4800610","2012","TX",,,"Texas","48","Cameron County","061",,,,,,,,,,,,,,,,,,"05000US48061","Cameron County, Texas",121179,19074,10651,10275,11480,7306,8018,5169,5497,4297,8665,10850,8523,5565,2071,1730,2008,"Cameron County, Texas",2246,2200,1180,1762,1571,1249,1463,932,1277,923,1580,1949,1549,1328,633,708,570
"G4800850","2012","TX",,,"Texas","48","Collin County","085",,,,,,,,,,,,,,,,,,"05000US48085","Collin County, Texas",294576,12116,5960,8254,7761,9956,11304,11992,10017,9827,20605,28636,38755,37285,23807,29102,29199,"Collin County, Texas",2627,2036,1340,1729,1367,1507,2337,2250,1816,2285,2575,2684,3688,3048,2830,2881,2272
"G4800910","2012","TX",,,"Texas","48","Comal County","091",,,,,,,,,,,,,,,,,,"05000US48091","Comal County, Texas",42690,2401,2660,1249,1518,1872,1943,1977,2932,1509,4061,3819,5413,3587,2370,3122,2257,"Comal County, Texas",1312,812,803,533,571,606,811,879,967,542,1048,951,1068,884,904,816,648
"G4800990","2012","TX",,,"Texas","48","Coryell County","099",,,,,,,,,,,,,,,,,,"05000US48099","Coryell County, Texas",22253,1551,1046,1591,1244,1505,834,1257,1426,1142,2333,1913,3229,1370,1094,348,370,"Coryell County, Texas",1204,563,421,702,458,574,366,490,480,408,576,626,829,500,492,236,247
"G4801130","2012","TX",,,"Texas","48","Dallas County","113",,,,,,,,,,,,,,,,,,"05000US48113","Dallas County, Texas",862007,66663,47739,46469,58332,48013,50437,46363,47469,36414,66351,87503,93993,57623,33689,36666,38283,"Dallas County, Texas",5565,4290,3400,3070,3704,3446,3751,3335,3192,3225,4249,4966,4963,3404,2688,2837,2691
"G4801210","2012","TX",,,"Texas","48","Denton County","121",,,,,,,,,,,,,,,,,,"05000US48121","Denton County, Texas",250239,11952,7163,7745,8675,9397,10052,10951,10187,9220,21305,25331,36226,26608,17115,20008,18304,"Denton County, Texas",2987,1630,1339,1361,1633,1304,1596,1634,2001,1571,2345,2696,2620,2480,2277,1890,1940
"G4801350","2012","TX",,,"Texas","48","Ector County","135",,,,,,,,,,,,,,,,,,"05000US48135","Ector County, Texas",49382,2948,2633,3536,2226,2424,3414,2039,2519,2243,3516,5604,7286,3867,1928,2297,902,"Ector County, Texas",1167,862,709,891,608,756,1036,719,794,882,905,1277,1161,842,674,782,393
"G4801390","2012","TX",,,"Texas","48","Ellis County","139",,,,,,,,,,,,,,,,,,"05000US48139","Ellis County, Texas",52925,2965,2037,2604,2646,1915,1768,2390,3244,2188,5624,6705,7556,5094,2625,1782,1782,"Ellis County, Texas",1002,914,712,811,705,654,548,639,1029,869,1062,1324,1521,1248,785,529,598
"G4801410","2012","TX",,,"Texas","48","El Paso County","141",,,,,,,,,,,,,,,,,,"05000US48141","El Paso County, Texas",260645,28575,19369,19211,16054,17961,15521,12389,12729,12725,22438,23738,25912,14912,6429,6878,5804,"El Paso County, Texas",2764,2567,1990,2232,2040,2392,2148,1763,1647,1630,2115,2462,2501,1961,1341,1244,1285
"G4801570","2012","TX",,,"Texas","48","Fort Bend County","157",,,,,,,,,,,,,,,,,,"05000US48157","Fort Bend County, Texas",197148,7149,5089,4594,5594,6587,6204,7801,5423,5830,13860,18558,27937,24806,15870,19400,22446,"Fort Bend County, Texas",2922,1723,1340,1313,1282,1425,1540,1660,1152,1294,2639,3066,3363,3033,2351,2426,2380
"G4801670","2012","TX",,,"Texas","48","Galveston County","167",,,,,,,,,,,,,,,,,,"05000US48167","Galveston County, Texas",111204,8645,4586,3690,4950,4382,3794,6118,6205,3989,8645,10849,14483,9943,6730,7602,6593,"Galveston County, Texas",2240,1628,895,998,1265,1057,876,1351,1426,1190,1418,1598,1828,1439,1290,1244,1202
"G4801810","2012","TX",,,"Texas","48","Grayson County","181",,,,,,,,,,,,,,,,,,"05000US48181","Grayson County, Texas",47770,3052,3913,2011,3225,3080,2865,2995,1767,2257,3973,4950,6325,2625,1828,1557,1347,"Grayson County, Texas",1337,770,836,738,815,732,694,821,517,577,823,951,1297,693,567,694,535
"G4801830","2012","TX",,,"Texas","48","Gregg County","183",,,,,,,,,,,,,,,,,,"05000US48183","Gregg County, Texas",43650,2922,2376,4173,2273,2628,3153,2743,2609,1772,3886,4354,3705,3156,1837,1333,730,"Gregg County, Texas",1632,929,708,985,663,830,945,926,937,643,1008,910,907,798,672,535,379
"G4801870","2012","TX",,,"Texas","48","Guadalupe County","187",,,,,,,,,,,,,,,,,,"05000US48187","Guadalupe County, Texas",46633,2610,1968,1766,2135,1463,2078,2263,2104,1993,3866,4874,7505,5036,2899,2660,1413,"Guadalupe County, Texas",1551,882,618,622,663,499,708,979,833,616,975,1137,1247,1127,802,786,493
"G4802010","2012","TX",,,"Texas","48","Harris County","201",,,,,,,,,,,,,,,,,,"05000US48201","Harris County, Texas",1443611,106560,75920,77182,84224,77125,81857,68949,67535,61311,114329,131879,155617,115341,67125,73149,85508,"Harris County, Texas",8222,5299,4883,4365,4636,4822,5083,4220,4267,5400,6044,5519,6355,5833,3962,4114,3735
"G4802030","2012","TX",,,"Texas","48","Harrison County","203",,,,,,,,,,,,,,,,,,"05000US48203","Harrison County, Texas",24368,1968,1875,2021,646,1584,1410,1777,1128,815,2733,2089,2963,1158,1251,577,373,"Harrison County, Texas",1104,707,582,769,370,496,681,692,436,432,862,721,790,495,653,429,219
"G4802090","2012","TX",,,"Texas","48","Hays County","209",,,,,,,,,,,,,,,,,,"05000US48209","Hays County, Texas",57395,3765,2663,3828,3144,3640,2277,2114,3071,2592,4829,4261,6348,5167,3386,3076,3234,"Hays County, Texas",2118,952,1061,1065,940,1283,851,812,1054,812,1243,957,1416,1133,958,845,1015
"G4802130","2012","TX",,,"Texas","48","Henderson County","213",,,,,,,,,,,,,,,,,,"05000US48213","Henderson County, Texas",29273,3560,2608,1876,2450,1697,1760,1456,1377,1266,2454,2322,2639,1552,966,891,399,"Henderson County, Texas",1568,971,611,557,939,577,616,490,557,486,763,644,824,617,449,567,227
"G4802150","2012","TX",,,"Texas","48","Hidalgo County","215",,,,,,,,,,,,,,,,,,"05000US48215","Hidalgo County, Texas",222849,31978,22906,17398,17392,12303,12879,11444,9727,10951,14495,17659,20719,10151,4817,3926,4104,"Hidalgo County, Texas",3129,2656,2392,2353,2601,1913,1840,1928,1962,1740,2093,2387,2769,1667,1140,1047,1065
"G4802310","2012","TX",,,"Texas","48","Hunt County","231",,,,,,,,,,,,,,,,,,"05000US48231","Hunt County, Texas",30491,3159,2175,2640,1390,1936,1693,1227,2024,1848,2291,2317,3046,2699,750,452,844,"Hunt County, Texas",1282,758,689,821,515,782,624,467,650,769,640,737,681,668,360,275,505
"G4802450","2012","TX",,,"Texas","48","Jefferson County","245",,,,,,,,,,,,,,,,,,"05000US48245","Jefferson County, Texas",93111,10408,7807,5624,7797,5107,4901,3966,5508,3712,7100,7130,9123,5511,3496,3420,2501,"Jefferson County, Texas",2030,1445,1454,1095,1143,1023,955,804,1296,874,1424,1141,1598,1178,930,747,753
"G4802510","2012","TX",,,"Texas","48","Johnson County","251",,,,,,,,,,,,,,,,,,"05000US48251","Johnson County, Texas",52680,3036,1758,2846,2265,1845,2840,2614,2284,2671,5102,5958,8271,6137,2478,1983,592,"Johnson County, Texas",1350,930,543,944,721,613,814,821,750,689,1074,1358,1498,1143,627,746,276
"G4802570","2012","TX",,,"Texas","48","Kaufman County","257",,,,,,,,,,,,,,,,,,"05000US48257","Kaufman County, Texas",35432,2422,1900,1514,1508,2251,1690,1396,1819,1417,3266,4409,3853,3576,1771,1744,896,"Kaufman County, Texas",969,804,645,464,473,714,681,486,835,533,1101,965,716,829,613,515,520
"G4802910","2012","TX",,,"Texas","48","Liberty County","291",,,,,,,,,,,,,,,,,,"05000US48291","Liberty County, Texas",25042,1838,1109,1856,1420,1444,1860,939,1044,1009,2428,2608,3070,1748,1169,737,763,"Liberty County, Texas",1470,768,435,642,628,661,706,494,448,526,854,766,914,556,430,420,402
"G4803030","2012","TX",,,"Texas","48","Lubbock County","303",,,,,,,,,,,,,,,,,,"05000US48303","Lubbock County, Texas",106257,10827,6786,6570,7735,7205,6083,5794,5013,4944,9272,8990,10681,6828,3283,3355,2891,"Lubbock County, Texas",2291,1619,1284,1121,1192,1203,1176,1352,1107,1384,1724,1383,1662,1176,898,1040,590
"G4803090","2012","TX",,,"Texas","48","McLennan County","309",,,,,,,,,,,,,,,,,,"05000US48309","McLennan County, Texas",85171,8434,5596,5814,5820,6193,6260,3948,3827,3180,6749,7729,8715,5873,2897,2547,1589,"McLennan County, Texas",1742,1156,1216,1248,1263,1209,1278,862,1180,929,1243,1380,1162,1126,790,666,640
"G4803290","2012","TX",,,"Texas","48","Midland County","329",,,,,,,,,,,,,,,,,,"05000US48329","Midland County, Texas",51216,1658,1788,2202,2714,2395,2744,2329,2923,2488,3563,5729,5846,5081,3076,2987,3693,"Midland County, Texas",1177,596,675,855,901,989,1052,797,866,877,977,1296,1189,1185,1067,795,752
"G4803390","2012","TX",,,"Texas","48","Montgomery County","339",,,,,,,,,,,,,,,,,,"05000US48339","Montgomery County, Texas",166278,7916,5772,7415,6849,6626,7847,6830,6359,6696,13235,18846,20297,15545,9768,13811,12466,"Montgomery County, Texas",3391,1797,1324,1509,1371,1732,1683,1436,1661,1624,2349,2779,3061,2499,1787,2250,1831
"G4803470","2012","TX",,,"Texas","48","Nacogdoches County","347",,,,,,,,,,,,,,,,,,"05000US48347","Nacogdoches County, Texas",24099,3239,2537,1624,1932,1687,1411,1577,853,568,1644,2673,1965,997,688,393,311,"Nacogdoches County, Texas",899,884,787,599,651,628,508,786,428,367,594,913,551,424,290,215,245
"G4803550","2012","TX",,,"Texas","48","Nueces County","355",,,,,,,,,,,,,,,,,,"05000US48355","Nueces County, Texas",123035,10422,7712,5940,6855,7927,6551,6629,5553,4789,9825,14203,13617,10659,4496,3927,3930,"Nueces County, Texas",2604,1650,1356,1236,1259,1573,1466,1282,1091,1120,1477,2190,1876,1743,857,980,1069
"G4803610","2012","TX",,,"Texas","48","Orange County","361",,,,,,,,,,,,,,,,,,"05000US48361","Orange County, Texas",30420,2240,1824,1965,1580,1514,1707,1187,1867,1088,2616,3855,3584,2239,1356,1051,747,"Orange County, Texas",1240,693,594,728,617,513,736,455,616,508,824,959,835,686,440,448,383
"G4803670","2012","TX",,,"Texas","48","Parker County","367",,,,,,,,,,,,,,,,,,"05000US48367","Parker County, Texas",42326,1742,1385,2065,1618,1969,2001,2726,1294,1694,2538,4875,6161,4205,2801,3144,2108,"Parker County, Texas",1394,719,486,775,479,725,763,1060,578,658,756,1128,1135,996,749,1033,671
"G4803750","2012","TX",,,"Texas","48","Potter County","375",,,,,,,,,,,,,,,,,,"05000US48375","Potter County, Texas",43376,5180,4014,2986,3884,2341,3094,2055,1934,2700,3634,3244,3251,1860,1337,1347,515,"Potter County, Texas",1015,801,845,606,883,571,669,621,612,687,787,797,764,491,520,509,250
"G4803810","2012","TX",,,"Texas","48","Randall County","381",,,,,,,,,,,,,,,,,,"05000US48381","Randall County, Texas",48295,2504,2697,2882,2181,2629,1915,1593,2488,2354,5336,4229,7279,4698,1974,1888,1648,"Randall County, Texas",1299,715,787,960,664,840,669,633,767,778,1175,821,1366,963,602,648,635
"G4803970","2012","TX",,,"Texas","48","Rockwall County","397",,,,,,,,,,,,,,,,,,"05000US48397","Rockwall County, Texas",27502,900,970,822,993,500,954,599,1163,576,2477,2446,3902,3569,1604,3611,2416,"Rockwall County, Texas",852,523,656,435,520,335,590,443,653,312,827,863,1098,919,675,982,637
"G4804090","2012","TX",,,"Texas","48","San Patricio County","409",,,,,,,,,,,,,,,,,,"05000US48409","San Patricio County, Texas",23040,924,1472,1114,1794,988,1141,1798,1036,1102,2521,2432,3082,1216,883,965,572,"San Patricio County, Texas",925,329,482,396,506,389,485,584,487,518,761,559,819,496,402,508,376
"G4804230","2012","TX",,,"Texas","48","Smith County","423",,,,,,,,,,,,,,,,,,"05000US48423","Smith County, Texas",78290,5723,5257,4407,4894,5182,5102,4316,3464,3425,7090,7065,9042,5576,2272,2190,3285,"Smith County, Texas",1895,1258,1257,810,1304,1175,1196,1074,933,843,1013,1312,1502,1043,834,757,1150
"G4804390","2012","TX",,,"Texas","48","Tarrant County","439",,,,,,,,,,,,,,,,,,"05000US48439","Tarrant County, Texas",665139,40384,32690,30662,37476,33087,35878,32783,31005,25362,52150,72114,88023,54897,33656,34760,30212,"Tarrant County, Texas",5462,2656,2625,2580,3350,2799,2982,2664,2882,2727,4104,4713,4372,3812,2724,2810,2428
"G4804410","2012","TX",,,"Texas","48","Taylor County","441",,,,,,,,,,,,,,,,,,"05000US48441","Taylor County, Texas",49548,4813,3303,3325,2562,3167,3005,2074,2997,2091,4699,5858,4701,2430,1117,2223,1183,"Taylor County, Texas",1477,1107,870,744,604,805,739,564,783,693,1010,1318,924,658,478,773,476
"G4804510","2012","TX",,,"Texas","48","Tom Green County","451",,,,,,,,,,,,,,,,,,"05000US48451","Tom Green County, Texas",42516,2396,4336,2646,1908,2925,2581,2085,2537,1649,3913,3792,5206,3103,2006,437,996,"Tom Green County, Texas",1559,730,991,753,702,1107,774,714,835,566,1097,1001,1162,795,751,265,472
"G4804530","2012","TX",,,"Texas","48","Travis County","453",,,,,,,,,,,,,,,,,,"05000US48453","Travis County, Texas",414318,30923,18091,18016,20624,21016,17998,21688,20414,16817,28593,40867,50704,36063,19521,23820,29163,"Travis County, Texas",4032,2666,1955,2135,2292,2463,2030,2352,2519,2508,2882,3364,3806,2886,2034,2397,2959
"G4804690","2012","TX",,,"Texas","48","Victoria County","469",,,,,,,,,,,,,,,,,,"05000US48469","Victoria County, Texas",31850,2498,1892,2321,1440,1572,1294,1534,2015,1337,2581,3937,3203,3109,1064,1288,765,"Victoria County, Texas",840,697,646,655,543,685,559,611,680,486,807,833,793,858,387,642,431
"G4804710","2012","TX",,,"Texas","48","Walker County","471",,,,,,,,,,,,,,,,,,"05000US48471","Walker County, Texas",20414,3126,896,980,1745,1767,1265,1065,773,701,1829,1294,2419,1670,444,143,297,"Walker County, Texas",2622,1039,462,494,847,1070,623,689,430,472,858,712,819,808,308,133,287
"G4804790","2012","TX",,,"Texas","48","Webb County","479",,,,,,,,,,,,,,,,,,"05000US48479","Webb County, Texas",68980,9934,5714,4690,4311,4940,3697,3116,2959,3028,5753,6543,6717,3514,1782,1508,774,"Webb County, Texas",1382,1437,894,1016,1011,900,859,775,731,839,1035,1335,1315,788,540,544,305
"G4804850","2012","TX",,,"Texas","48","Wichita County","485",,,,,,,,,,,,,,,,,,"05000US48485","Wichita County, Texas",48702,3794,3227,3430,2538,2780,2960,2893,2569,2157,3671,5612,5792,2621,2536,1074,1048,"Wichita County, Texas",1895,892,805,998,728,980,765,1052,860,653,1033,1090,952,674,738,418,445
"G4804910","2012","TX",,,"Texas","48","Williamson County","491",,,,,,,,,,,,,,,,,,"05000US48491","Williamson County, Texas",156215,5511,3176,5096,5596,5901,7862,7432,6794,6168,12490,17598,26562,18227,11649,10553,5600,"Williamson County, Texas",2011,1095,755,1293,1359,1057,1729,1569,1225,1180,1793,2133,2621,2017,1810,1559,972
"G4900050","2012","UT",,,"Utah","49","Cache County","005",,,,,,,,,,,,,,,,,,"05000US49005","Cache County, Utah",35537,2022,1971,2159,2772,1966,1894,2499,2094,1850,3195,4305,3314,2595,938,1079,884,"Cache County, Utah",817,561,555,636,722,534,567,674,592,592,695,698,624,536,323,367,314
"G4900110","2012","UT",,,"Utah","49","Davis County","011",,,,,,,,,,,,,,,,,,"05000US49011","Davis County, Utah",96886,4113,3006,3394,2727,3148,3156,3329,4200,5345,8358,12451,16805,10667,6869,5342,3976,"Davis County, Utah",955,913,918,984,902,788,945,936,995,1120,1449,1574,1628,1465,1270,939,874
"G4900350","2012","UT",,,"Utah","49","Salt Lake County","035",,,,,,,,,,,,,,,,,,"05000US49035","Salt Lake County, Utah",348561,18911,13583,15313,18782,14996,17810,16585,15511,14855,31030,42414,49416,30975,17713,16139,14528,"Salt Lake County, Utah",2708,2319,1439,1763,2259,1942,2191,1734,1594,1841,2396,3327,3238,2811,1803,1757,1807
"G4900490","2012","UT",,,"Utah","49","Utah County","049",,,,,,,,,,,,,,,,,,"05000US49049","Utah County, Utah",144466,6906,6126,7067,5943,6362,6586,6443,8206,7579,12414,18840,21126,13671,6426,6575,4196,"Utah County, Utah",1486,1258,1188,1038,943,1303,1113,994,1158,1257,1528,1974,1628,1455,880,1102,814
"G4900530","2012","UT",,,"Utah","49","Washington County","053",,,,,,,,,,,,,,,,,,"05000US49053","Washington County, Utah",48186,3517,3018,3126,3302,2735,2637,2977,3251,2356,4786,4862,4723,3155,1189,1513,1039,"Washington County, Utah",2125,896,1169,985,1039,806,769,977,1006,886,995,920,1092,906,534,594,373
"G4900570","2012","UT",,,"Utah","49","Weber County","057",,,,,,,,,,,,,,,,,,"05000US49057","Weber County, Utah",80232,4563,2692,3534,4395,4072,3765,4922,4321,4365,7928,11346,11435,5634,3987,1924,1349,"Weber County, Utah",1575,953,673,660,892,1049,1002,1127,1041,973,1098,1546,1328,1105,872,551,482
"G5000070","2012","VT",,,"Vermont","50","Chittenden County","007",,,,,,,,,,,,,,,,,,"05000US50007","Chittenden County, Vermont",63022,3730,3281,1816,2482,2612,2786,2238,3682,2176,4613,6918,10316,6532,3801,2799,3240,"Chittenden County, Vermont",1261,965,899,482,665,723,792,818,847,716,985,1077,1341,963,877,615,757
