GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,O34E001,O34E002,O34E003,O34E004,O34E005,O34E006,O34E007,O34E008,O34E009,O34E010,O34E011,O34E012,O34E013,O34E014,O34E015,O34E016,O34E017,NAME_M,O34M001,O34M002,O34M003,O34M004,O34M005,O34M006,O34M007,O34M008,O34M009,O34M010,O34M011,O34M012,O34M013,O34M014,O34M015,O34M016,O34M017
"G0500070","2012","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",84026,5335,3396,4047,4581,3987,4817,4419,4354,4278,8860,8995,10214,6926,3076,2786,3955,"Benton County, Arkansas",1474,1539,689,1050,928,1065,1061,1096,1030,968,1548,1344,1348,1081,864,766,817
"G0500310","2012","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",38421,3238,2151,2000,2832,2404,2046,2316,2472,1667,3546,3583,4404,2379,1588,508,1287,"Craighead County, Arkansas",1124,854,609,666,806,746,722,743,779,646,936,893,980,841,502,294,748
"G0500450","2012","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",43709,3024,3239,2373,2724,3002,1914,1378,2431,1821,3812,3974,5871,4178,2196,1047,725,"Faulkner County, Arkansas",1286,862,1036,744,821,941,648,490,880,672,919,762,1159,1032,654,375,468
"G0500510","2012","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",40656,3502,3754,1993,3570,3006,2264,1816,2099,2043,3350,3243,4216,2371,1449,669,1311,"Garland County, Arkansas",1805,981,893,552,1060,802,693,760,667,887,800,802,938,733,653,457,590
"G0500690","2012","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",28013,3900,2442,2632,1648,1713,1162,1716,1270,963,2894,2357,2348,1337,598,533,500,"Jefferson County, Arkansas",1218,885,660,805,607,627,446,654,494,362,799,681,585,486,342,371,336
"G0500850","2012","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",25384,1715,1277,1182,1655,1470,595,1330,1181,1490,3088,2924,3357,2415,701,730,274,"Lonoke County, Arkansas",797,585,509,491,602,663,312,550,487,569,1012,811,811,616,263,414,249
"G0501190","2012","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",155125,14433,10637,10385,9942,7125,10758,7107,7704,7900,12106,14471,16899,9355,5757,5242,5304,"Pulaski County, Arkansas",3040,2202,1518,1822,1684,1265,1849,1317,1443,1350,1967,1771,1860,1369,1361,966,960
"G0501250","2012","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",42534,1704,1885,1067,2446,2403,2317,1808,2293,1875,4491,5312,6829,3943,1761,1609,791,"Saline County, Arkansas",1217,662,635,423,824,674,701,597,698,617,996,1149,1162,970,588,685,484
"G0501310","2012","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",51394,4921,3964,4391,3192,4043,3815,2907,2482,2349,3607,5930,3629,2612,1438,1397,717,"Sebastian County, Arkansas",1342,1082,1087,1248,774,1119,1100,802,801,793,833,1345,930,809,663,452,473
"G0501430","2012","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",81423,8700,5559,4912,5384,4465,4888,5316,4690,3903,7071,7312,6414,5255,2518,2674,2362,"Washington County, Arkansas",2353,1575,1209,1200,1136,1231,1211,1287,1238,1062,1379,1504,1149,1142,762,851,663
"G0501450","2012","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",29089,2622,2518,2602,2053,1461,2266,1235,1586,813,2632,1885,3270,1869,1081,761,435,"White County, Arkansas",969,720,674,815,789,585,760,596,723,374,752,690,823,657,572,378,313
"G0600010","2012","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",548274,32158,27406,25516,23038,18818,18494,19010,19707,20504,36601,46962,64243,56200,35591,47755,56271,"Alameda County, California",3439,2518,2320,2473,2298,1674,1825,2143,2248,2034,2933,2805,3996,3404,2738,2742,2915
"G0600070","2012","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",85388,7356,5919,5532,6590,5369,6074,4874,3818,3551,7433,7881,8325,5298,2423,2838,2107,"Butte County, California",1774,1229,1009,912,1405,1236,1367,1075,914,859,1331,1356,1311,937,608,750,669
"G0600130","2012","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",380397,16447,14237,14209,13306,12266,14389,13336,14599,13235,28008,38009,43288,39663,28461,34758,42186,"Contra Costa County, California",3088,2004,2013,1870,2179,1940,1719,1870,2106,1902,2709,2775,3117,3010,2317,2636,2618
"G0600170","2012","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",65558,1722,2887,2291,2267,2690,3004,3178,3034,2416,4195,7990,8726,5972,5338,4977,4871,"El Dorado County, California",2265,584,872,763,616,868,777,935,865,673,1119,1585,1484,1201,876,873,996
"G0600190","2012","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",292280,26498,21112,22637,19334,19886,17066,14042,14628,11449,21388,28013,28863,19150,9020,10225,8969,"Fresno County, California",2681,2483,2328,2458,1924,1677,1751,1643,1675,1709,1971,2734,2439,2182,1325,1543,1176
"G0600230","2012","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",52241,5415,4738,3763,3053,2579,2866,3375,2300,2459,4932,3704,6401,3504,854,1285,1013,"Humboldt County, California",1821,1111,969,951,782,645,711,796,702,713,932,761,1059,839,394,447,433
"G0600250","2012","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",46747,5225,4618,3898,2942,2717,2346,1446,3554,2400,2947,3927,4143,2522,2225,1315,522,"Imperial County, California",1674,1028,1174,933,955,844,742,490,1205,758,815,805,1007,672,609,718,297
