GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALAJE001,ALAJE002,ALAJE003,ALAJE004,ALAJE005,ALAJE006,ALAJE007,ALAJE008,ALAJE009,ALAJE010,ALAJE011,ALAJE012,ALAJE013,ALAJE014,ALAJE015,ALAJE016,ALAJE017,NAME_M,ALAJM001,ALAJM002,ALAJM003,ALAJM004,ALAJM005,ALAJM006,ALAJM007,ALAJM008,ALAJM009,ALAJM010,ALAJM011,ALAJM012,ALAJM013,ALAJM014,ALAJM015,ALAJM016,ALAJM017
"G0600170","2019","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",74216,3289,3428,2688,1574,1756,2749,2249,2460,1799,4169,5960,8895,9233,5642,7741,10584,"El Dorado County, California",2393,866,1241,1111,597,705,985,972,908,635,1209,1268,1801,1450,1294,1333,1417
"G0600190","2019","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",315974,24453,16677,13819,16844,14620,17413,11864,14023,10431,21599,32239,39127,31666,13940,20352,16907,"Fresno County, California",2193,2933,1765,1897,2269,2307,2902,1986,2072,1660,2298,3025,3545,2541,2302,2404,1816
"G0600230","2019","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",55692,4253,6531,1938,1996,3099,1483,2807,2326,2755,4126,4410,6390,4474,2593,3084,3427,"Humboldt County, California",1614,921,1528,722,721,1134,618,841,842,1029,1004,1142,1089,1104,823,889,930
"G0600250","2019","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",48182,3293,5026,3371,2182,2678,1671,3008,1459,2545,2739,4289,6229,4353,1632,2276,1431,"Imperial County, California",1865,1137,1249,1177,768,994,741,1407,625,1085,919,1170,1609,1155,707,978,692
"G0600290","2019","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",272888,15195,17425,14352,17484,13968,13540,11318,13176,11867,19502,27606,28156,23947,13730,17576,14046,"Kern County, California",3419,2305,3125,2494,2975,2399,2312,2072,2372,2090,2324,3361,2923,2928,2295,2098,2330
"G0600310","2019","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",44761,2051,1117,3262,1812,2266,2708,1228,2784,2025,3534,6372,5707,3087,2306,2902,1600,"Kings County, California",1150,804,504,1240,643,999,1202,605,973,740,1138,1522,1249,826,762,1009,701
"G0600330","2019","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",25968,1410,2148,1083,1358,1554,1343,2027,1275,2166,1739,2098,2775,1643,1160,1239,950,"Lake County, California",1699,668,957,541,546,704,722,995,737,855,809,731,1006,705,632,703,549
"G0600370","2019","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",3328398,179792,143991,119611,129282,117396,125801,121267,117627,109798,225363,314373,411556,335632,222126,280131,374652,"Los Angeles County, California",9311,7020,6031,7113,6090,5825,5841,5685,5911,5502,7875,9887,9603,9122,7852,9181,8962
"G0600390","2019","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",44387,2666,759,1219,2004,2482,3763,1671,1188,2261,2433,4714,6278,4903,3278,2590,2178,"Madera County, California",1836,898,455,609,838,1054,1400,789,541,820,757,1286,1219,1239,1073,782,762
"G0600410","2019","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",105298,3559,2653,2354,2340,2729,2246,3466,3143,2686,4280,6855,11553,8381,8415,10574,30064,"Marin County, California",1492,790,895,951,838,1138,856,1165,1023,1097,1547,1332,1971,1612,1670,1471,2317
