GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AC2YE001,AC2YE002,AC2YE003,AC2YE004,AC2YE005,AC2YE006,AC2YE007,AC2YE008,AC2YE009,AC2YE010,AC2YE011,AC2YE012,AC2YE013,AC2YE014,AC2YE015,AC2YE016,AC2YE017,NAME_M,AC2YM001,AC2YM002,AC2YM003,AC2YM004,AC2YM005,AC2YM006,AC2YM007,AC2YM008,AC2YM009,AC2YM010,AC2YM011,AC2YM012,AC2YM013,AC2YM014,AC2YM015,AC2YM016,AC2YM017
"G0501190","2015","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",157401,15730,8515,7809,12606,8878,8119,7744,7511,7668,13006,13219,16159,10208,5622,6429,8178,"Pulaski County, Arkansas",3215,2332,1375,1802,1748,1478,1605,1257,1679,1605,2241,1601,2171,1593,1168,1221,1270
"G0501250","2015","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",43877,2020,2178,1365,3011,1685,1874,3138,2863,2125,3704,5426,5591,4620,1710,1220,1347,"Saline County, Arkansas",1045,698,925,523,989,644,614,925,962,769,1066,1066,1228,1170,625,392,625
"G0501310","2015","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",50203,4851,4931,3107,3891,3440,2689,1877,2523,1868,3996,5341,5723,2604,1371,610,1381,"Sebastian County, Arkansas",1445,1202,1088,1060,1045,1158,793,639,848,656,811,1053,993,822,472,424,586
"G0501430","2015","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",82905,7527,3317,3804,5423,5448,5110,4675,4739,4762,7850,7960,8680,5094,2408,2842,3266,"Washington County, Arkansas",1968,1432,780,992,1330,1235,1290,1281,1138,1285,1549,1349,1412,1035,695,735,775
"G0501450","2015","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",28895,3485,2261,2386,1239,1993,1782,1473,1065,1001,2365,2517,3930,1282,856,417,843,"White County, Arkansas",1311,1033,749,751,498,639,805,559,436,448,745,788,1073,568,373,310,474
"G0600010","2015","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",571828,25552,23936,18007,22217,17185,18592,17566,19651,18245,34322,48959,68207,58900,42596,61629,76264,"Alameda County, California",2806,2252,2034,1967,2121,2002,2112,1923,2301,1921,2480,2927,3546,3696,2706,3438,3096
"G0600070","2015","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",85289,7561,6550,5673,4804,3826,4521,4522,4409,5336,6588,6784,8826,6024,3997,3334,2534,"Butte County, California",2059,1452,1319,1178,930,849,877,1123,1156,1075,1175,1205,1404,1086,719,951,703
"G0600130","2015","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",391996,16838,12718,11044,13855,12975,11947,11911,11793,12590,24972,34276,50846,40996,29828,40319,55088,"Contra Costa County, California",2551,2161,1969,1707,2016,1773,1838,1947,1742,1909,2284,2770,3579,3467,2321,3190,3147
"G0600170","2015","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",67544,2812,2137,2803,3135,2036,2775,2442,1267,1872,3984,7201,9067,7536,5128,6257,7092,"El Dorado County, California",1992,816,666,970,976,714,780,806,511,799,975,1230,1504,1320,1039,1172,1185
"G0600190","2015","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",304209,21765,21120,22136,19323,19212,16016,12922,14369,11260,24849,30535,32265,21446,14234,12248,10509,"Fresno County, California",2978,2338,2134,2259,2047,2039,1857,1906,1745,1619,2627,2949,2348,2428,1810,1511,1483
"G0600230","2015","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",53553,5308,3289,2897,4007,3722,3466,3666,3378,3044,3214,4843,4860,2726,2339,1155,1639,"Humboldt County, California",1778,1061,811,720,1067,1052,912,1087,812,874,696,850,1027,715,565,459,446
"G0600250","2015","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",45158,4110,5585,2632,3108,2251,2823,1727,1852,1970,2709,3956,3979,4265,1701,1618,872,"Imperial County, California",1912,1054,1151,662,901,705,807,551,666,654,956,1071,923,982,649,629,424
"G0600290","2015","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",263273,17527,13985,15486,19204,15190,13118,10553,11561,11067,21414,25873,30738,22283,10514,15534,9226,"Kern County, California",3736,2470,2050,2060,2196,2187,1863,1631,1960,1728,2444,2701,3003,2001,1806,2316,1415
"G0600310","2015","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",42692,2751,2979,2186,2523,2266,3216,2509,2671,1301,2428,3761,6223,3289,1774,1478,1337,"Kings County, California",1224,827,801,790,866,848,824,848,852,508,662,897,1198,914,700,473,591
"G0600330","2015","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",26335,2652,1967,1291,2681,1692,2334,1048,1420,1431,1976,1902,3249,871,681,682,458,"Lake County, California",1332,840,872,461,779,739,804,581,498,561,691,883,1123,496,464,355,327
"G0600370","2015","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",3293095,208889,172789,156871,166849,141312,163805,143300,148479,126490,231713,310227,384833,289569,179629,213498,254842,"Los Angeles County, California",8551,6546,5825,5572,5997,5197,5247,5471,6242,5595,6983,8404,7473,7979,5525,5708,6461
"G0600390","2015","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",45224,3097,2953,1729,2879,2674,2128,2336,3168,2677,4510,3928,3906,3811,2329,1657,1442,"Madera County, California",1307,778,886,755,896,1127,810,774,1020,1098,1287,975,926,838,727,746,589
"G0600410","2015","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",105887,3721,3316,2376,3218,2637,4061,3047,2104,3594,6020,6482,11830,11044,7962,10996,23479,"Marin County, California",1549,913,865,902,937,846,1160,947,748,1302,1248,1106,1748,1379,1340,1514,1848
"G0600450","2015","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",35264,3333,2769,1658,3307,1343,2743,1873,1556,1159,2380,3798,4415,1926,1507,912,585,"Mendocino County, California",1059,940,866,580,1246,554,829,649,663,559,779,856,916,649,497,397,299
"G0600470","2015","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",79098,6553,6904,5153,4698,4719,4490,5490,3848,3643,5947,7659,7834,4761,2129,2712,2558,"Merced County, California",1205,1370,1424,1176,1124,904,1050,1249,968,972,1052,1612,1550,973,758,968,741
"G0600530","2015","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",126904,6191,4636,3871,5365,6090,6144,4919,6729,7323,11609,13159,16794,10543,8145,7880,7506,"Monterey County, California",1937,1210,920,695,963,1241,1274,840,1303,1477,1679,1600,1939,1352,1309,1123,1221
"G0600550","2015","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",49619,2255,1534,1473,2134,2073,1569,1715,2052,1693,2945,5175,6529,4327,3425,4879,5841,"Napa County, California",1123,663,609,583,758,764,519,552,602,522,622,949,1030,870,669,823,958
"G0600570","2015","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",41381,2891,2681,2192,1894,2168,1938,1692,2001,2006,2374,3680,6024,3236,2381,2661,1562,"Nevada County, California",1574,804,885,649,814,706,775,664,719,675,695,1017,1246,838,860,761,599
"G0600590","2015","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",1022542,49261,35995,33063,39115,34476,34741,33732,35957,36160,64921,90245,136763,101855,74337,96230,125691,"Orange County, California",5039,3702,3721,2603,3244,2773,2780,2803,3207,3056,3814,4346,5020,4684,3732,4387,4744
"G0600610","2015","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",137500,5253,5659,5297,4780,4699,4583,4970,4327,4259,10012,14222,16651,16031,11239,14165,11353,"Placer County, California",1850,964,1020,1027,991,912,1096,1070,1059,1076,1265,1813,1572,1753,1403,1844,1322
"G0600650","2015","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",714728,37832,33222,32985,36312,35781,37300,33243,32305,30570,54722,74887,96569,63248,38552,41977,35223,"Riverside County, California",5341,2833,3308,2934,3343,3202,3089,2944,2591,2813,3473,4480,4831,3794,2924,2814,2870
"G0600670","2015","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",530497,34952,28658,24226,29663,24545,23888,20159,22313,19693,40128,54789,68396,49584,29449,33540,26514,"Sacramento County, California",3836,2615,2533,2541,3330,2672,2243,2207,2139,1833,3095,3551,3859,3178,2780,2459,2172
