GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHFCE001,AHFCE002,AHFCE003,AHFCE004,AHFCE005,AHFCE006,AHFCE007,AHFCE008,AHFCE009,AHFCE010,AHFCE011,AHFCE012,AHFCE013,AHFCE014,AHFCE015,AHFCE016,AHFCE017,NAME_M,AHFCM001,AHFCM002,AHFCM003,AHFCM004,AHFCM005,AHFCM006,AHFCM007,AHFCM008,AHFCM009,AHFCM010,AHFCM011,AHFCM012,AHFCM013,AHFCM014,AHFCM015,AHFCM016,AHFCM017
"G0600230","2017","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",53446,4334,4305,2538,3701,2832,3792,2038,2760,1539,4446,5279,6124,3600,1705,2137,2316,"Humboldt County, California",1854,1314,1157,649,1073,843,1076,802,946,458,1151,1293,1106,837,702,819,866
"G0600250","2017","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",44478,3971,3017,3045,2933,1566,2252,2170,2649,1115,2933,4527,4563,3854,2135,2351,1397,"Imperial County, California",1682,1146,862,1050,916,730,737,765,956,518,860,1197,1052,922,695,917,483
"G0600290","2017","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",269147,17281,16659,13824,16872,14383,15753,16224,13686,10166,21055,28796,28453,22559,10406,13211,9819,"Kern County, California",3367,2232,2590,1877,2200,2092,2387,2434,2248,1938,2432,2759,2537,2516,1577,1970,1292
"G0600310","2017","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",43029,1876,2036,2764,1527,3115,1906,1822,1965,2217,2885,4132,7165,4975,2253,1356,1035,"Kings County, California",1015,670,759,816,590,979,701,608,880,714,663,798,1112,1154,704,475,408
"G0600330","2017","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",27399,2718,2793,1747,1248,535,1612,1040,762,1566,1869,3277,3165,2258,1237,961,611,"Lake County, California",1363,890,1027,583,530,351,665,543,456,731,744,899,1135,894,605,461,372
"G0600370","2017","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",3311231,194293,166332,136887,157270,125929,142140,130238,134542,117683,233670,317924,400830,306124,199910,245180,302279,"Los Angeles County, California",8549,6587,5720,5793,6278,6427,5782,5181,6489,5054,7145,9201,10303,8183,7694,6473,8050
"G0600390","2017","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",46282,2551,2656,2014,2880,2068,2403,2056,3402,2515,3342,5623,5468,3329,2992,1554,1429,"Madera County, California",1219,929,949,903,920,837,900,944,932,1011,990,1397,1405,942,1005,634,540
"G0600410","2017","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",104219,2655,2663,2537,4248,3052,2491,2350,2239,1856,5060,6772,10483,10278,8373,11346,27816,"Marin County, California",2062,888,1156,989,1131,826,806,718,737,682,1260,1466,1630,1512,1361,1524,2224
"G0600450","2017","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",32599,1768,2377,1650,1592,1281,1242,1786,2067,1765,2254,2660,4072,3436,1326,1494,1829,"Mendocino County, California",1509,748,881,709,602,568,515,729,824,537,813,694,1004,946,598,621,732
"G0600470","2017","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",80969,6451,4396,5200,4730,3776,4085,5078,4678,3870,5824,8536,9430,5609,2482,3298,3526,"Merced County, California",1208,1242,1086,1118,1165,1248,1054,1208,1066,958,1194,1480,1666,1204,793,923,915
"G0600530","2017","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",125518,4125,3546,4315,5942,4506,5208,4627,4754,5018,10889,13081,19608,11998,8819,10327,8755,"Monterey County, California",2011,879,928,991,1145,914,1240,1007,1078,1284,1540,1837,2279,1562,1450,1406,1261
"G0600550","2017","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",47848,1531,1419,803,1100,1357,1605,2261,2377,999,2918,4494,6299,5549,3486,5702,5948,"Napa County, California",1322,479,479,314,418,407,678,849,781,458,756,902,1013,877,828,958,946
"G0600570","2017","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",41638,1528,2795,955,2161,2299,1130,1852,2199,1109,3210,3838,4425,3957,2589,3031,4560,"Nevada County, California",1685,652,983,377,763,732,509,816,871,455,902,999,1212,889,651,797,1263
"G0600590","2017","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",1037312,43811,30226,30069,36605,29436,33863,30433,32107,29868,61286,95273,136537,116607,80253,106854,144084,"Orange County, California",5286,3445,2478,2646,3163,2402,3183,2761,2640,2843,3624,5251,6093,5109,4153,4706,5400
"G0600610","2017","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",143659,6904,4292,5067,4749,3924,4586,4147,3797,3966,9480,15437,19685,15662,12359,14442,15162,"Placer County, California",1895,1464,895,1242,1111,1055,1100,1021,855,981,1327,1866,2164,1763,1745,1653,1738
"G0600650","2017","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",718733,46337,29526,30000,30560,32732,32257,28563,32087,24680,49459,72174,89948,72916,47487,53137,46870,"Riverside County, California",5454,3702,2803,2691,2770,2760,3322,2655,2983,2209,3175,4316,4913,4381,3046,3575,3060
"G0600670","2017","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",543250,28632,26008,22228,22049,22509,23973,22661,24658,21552,44235,51985,70209,53918,34325,38735,35573,"Sacramento County, California",3675,2797,2651,2336,2329,2416,2680,2288,2399,2577,3150,3613,3896,3195,2398,2885,2419
"G0600710","2017","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",626223,31816,28975,27079,29445,28863,29435,26639,28284,26689,53330,68442,83672,59512,36249,38196,29597,"San Bernardino County, California",4247,3088,2541,2496,2987,2955,3181,2682,3245,2841,3732,4685,5074,3748,3251,3391,2512
