GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFJ8E001,AFJ8E002,AFJ8E003,AFJ8E004,AFJ8E005,AFJ8E006,AFJ8E007,AFJ8E008,AFJ8E009,AFJ8E010,AFJ8E011,AFJ8E012,AFJ8E013,AFJ8E014,AFJ8E015,AFJ8E016,AFJ8E017,NAME_M,AFJ8M001,AFJ8M002,AFJ8M003,AFJ8M004,AFJ8M005,AFJ8M006,AFJ8M007,AFJ8M008,AFJ8M009,AFJ8M010,AFJ8M011,AFJ8M012,AFJ8M013,AFJ8M014,AFJ8M015,AFJ8M016,AFJ8M017
"G2300310","2016","ME",,,"Maine","23","York County","031",,,,,,,,,,,,,,,,,,"05000US23031","York County, Maine",82469,2786,4681,3193,4285,4112,3487,4604,3940,3477,6045,9960,10997,8754,4634,3762,3752,"York County, Maine",2561,836,1101,844,1210,1058,851,1124,1089,1015,1205,1555,1845,1521,1083,829,1065
"G2400010","2016","MD",,,"Maryland","24","Allegany County","001",,,,,,,,,,,,,,,,,,"05000US24001","Allegany County, Maryland",27608,2476,1497,1921,1416,1833,1581,1210,1681,1602,2450,3633,3078,1641,601,699,289,"Allegany County, Maryland",1421,730,523,820,487,577,460,380,506,559,733,805,649,458,306,277,200
"G2400030","2016","MD",,,"Maryland","24","Anne Arundel County","003",,,,,,,,,,,,,,,,,,"05000US24003","Anne Arundel County, Maryland",206956,6612,3763,3971,5544,4667,6350,5558,6383,6360,12933,17592,27962,26135,20663,25016,27447,"Anne Arundel County, Maryland",2933,1565,907,1083,1466,1287,1404,1176,1202,1234,2374,2822,2393,2632,2342,2668,2328
"G2400050","2016","MD",,,"Maryland","24","Baltimore County","005",,,,,,,,,,,,,,,,,,"05000US24005","Baltimore County, Maryland",312921,15539,8357,10664,11296,10414,10079,12049,12125,12016,25022,32592,45991,33588,24052,26124,23013,"Baltimore County, Maryland",2473,2156,1448,1698,1674,1628,1461,1877,1585,1777,2542,2686,3213,3133,2378,2403,1984
"G2400090","2016","MD",,,"Maryland","24","Calvert County","009",,,,,,,,,,,,,,,,,,"05000US24009","Calvert County, Maryland",32434,491,394,491,431,844,954,725,1421,946,1949,2662,4945,4284,4746,3290,3861,"Calvert County, Maryland",912,282,275,346,287,586,455,413,600,506,700,595,1061,1054,982,821,698
"G2400130","2016","MD",,,"Maryland","24","Carroll County","013",,,,,,,,,,,,,,,,,,"05000US24013","Carroll County, Maryland",61661,1840,975,1488,1828,1048,1828,1731,2378,2235,3341,5958,9669,8245,6086,6998,6013,"Carroll County, Maryland",973,685,408,640,728,480,611,542,760,628,731,1050,1436,1283,1014,1095,1079
"G2400150","2016","MD",,,"Maryland","24","Cecil County","015",,,,,,,,,,,,,,,,,,"05000US24015","Cecil County, Maryland",37296,1583,233,1536,1370,1439,1589,1880,1708,1473,2483,3571,5481,4864,2550,3445,2091,"Cecil County, Maryland",1460,687,244,763,588,649,558,815,701,640,767,972,934,1061,811,934,543
"G2400170","2016","MD",,,"Maryland","24","Charles County","017",,,,,,,,,,,,,,,,,,"05000US24017","Charles County, Maryland",55929,2561,1236,1105,1584,1080,2309,1193,928,1298,3866,4191,8055,7293,5333,7864,6033,"Charles County, Maryland",1317,1087,614,522,713,470,932,519,441,743,878,928,1532,1060,1123,1241,985
"G2400210","2016","MD",,,"Maryland","24","Frederick County","021",,,,,,,,,,,,,,,,,,"05000US24021","Frederick County, Maryland",89800,3632,1898,2467,2716,1997,2257,2939,2126,2195,5978,8809,12230,11163,7997,11577,9819,"Frederick County, Maryland",1578,885,662,801,712,646,704,889,694,616,1233,1316,1410,1411,1005,1346,964
"G2400250","2016","MD",,,"Maryland","24","Harford County","025",,,,,,,,,,,,,,,,,,"05000US24025","Harford County, Maryland",91813,5243,2363,1905,2691,3617,1997,3590,2604,3028,5879,7545,13125,11794,8398,10911,7123,"Harford County, Maryland",2011,1206,724,764,820,935,603,856,774,998,1263,1271,1681,1567,1284,1209,1205
