GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJCTE001,AJCTE002,AJCTE003,AJCTE004,AJCTE005,AJCTE006,AJCTE007,AJCTE008,AJCTE009,AJCTE010,AJCTE011,AJCTE012,AJCTE013,AJCTE014,AJCTE015,AJCTE016,AJCTE017,NAME_M,AJCTM001,AJCTM002,AJCTM003,AJCTM004,AJCTM005,AJCTM006,AJCTM007,AJCTM008,AJCTM009,AJCTM010,AJCTM011,AJCTM012,AJCTM013,AJCTM014,AJCTM015,AJCTM016,AJCTM017
"G0501450","2018","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",29577,2667,1710,2232,2685,1513,1449,1600,1600,1185,2075,3249,3020,1370,826,872,1524,"White County, Arkansas",1291,1035,669,739,820,699,588,721,795,601,756,931,974,609,570,457,600
"G0600010","2018","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",575410,24297,17340,12900,18153,13106,14501,14051,14814,14228,31268,44476,60785,57444,46208,70522,121317,"Alameda County, California",4162,1850,1859,1767,2363,1811,1843,1812,1867,1964,3232,3386,3563,3484,3132,3974,4106
"G0600070","2018","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",88636,5928,5835,5559,4699,5461,4298,4195,3552,3606,5533,9065,9422,8521,3555,5213,4194,"Butte County, California",1728,1163,1144,1151,1125,1157,1041,1013,1134,971,1338,1576,1330,1377,867,1051,880
"G0600130","2018","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",396133,12542,11522,8235,11582,9282,9352,12582,10800,9811,18562,31182,47850,44367,32161,46167,80136,"Contra Costa County, California",3132,1676,1810,1602,2127,1631,1483,2121,1655,1497,1990,2633,2787,3506,2589,2781,4065
"G0600170","2018","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",72774,3406,2227,1878,2567,2276,2869,1805,1852,2435,4103,6745,10720,8202,4968,6568,10153,"El Dorado County, California",1878,926,875,647,749,771,807,631,607,655,983,1362,1771,1491,1005,1230,1351
"G0600190","2018","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",309519,20872,17485,15916,19993,14310,17425,13839,15528,12153,21308,32673,36306,25209,16722,15995,13785,"Fresno County, California",2529,2336,2273,2251,2259,2037,2110,1959,1919,1899,2424,2505,3005,2053,2127,2002,1993
"G0600230","2018","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",55773,3235,4191,3468,3616,3158,2902,3331,1726,2043,4631,7027,6152,5467,931,2285,1610,"Humboldt County, California",1388,1010,943,1052,1083,1007,822,855,587,780,1043,1424,1433,1087,487,640,606
"G0600250","2018","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",41764,3998,3311,2574,2350,2189,1123,1941,1651,1979,3540,3565,6605,3730,1220,1026,962,"Imperial County, California",2195,1195,1066,846,781,858,524,779,699,744,1173,878,1250,1118,788,593,443
"G0600290","2018","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",273167,21121,15671,14490,15119,15217,13901,11850,12903,11980,20844,26638,31857,21660,13498,14733,11685,"Kern County, California",3833,2489,2124,2240,2229,2210,2057,2056,2045,1992,2675,2828,2968,3074,1950,2083,1585
"G0600310","2018","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",43727,2901,1689,1395,1208,2193,1948,2302,1854,1515,4085,6153,5513,3634,3193,2601,1543,"Kings County, California",1039,897,639,486,570,743,680,784,569,661,1048,1385,1133,1150,872,790,562
