GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,SUYE001,SUYE002,SUYE003,SUYE004,SUYE005,SUYE006,SUYE007,SUYE008,SUYE009,SUYE010,SUYE011,SUYE012,SUYE013,SUYE014,SUYE015,SUYE016,SUYE017,NAME_M,SUYM001,SUYM002,SUYM003,SUYM004,SUYM005,SUYM006,SUYM007,SUYM008,SUYM009,SUYM010,SUYM011,SUYM012,SUYM013,SUYM014,SUYM015,SUYM016,SUYM017
"G0600470","2013","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",77651,5420,5420,5518,6007,5115,5582,5005,4439,3299,6768,7677,7306,3746,2369,2609,1371,"Merced County, California",1744,994,1064,1128,1007,1188,1418,1359,1194,948,1364,1628,1189,880,850,804,503
"G0600530","2013","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",125553,7723,5117,5029,6662,6273,6713,6358,6183,5630,9820,11765,17219,11171,6308,6785,6797,"Monterey County, California",1864,1511,980,1140,1272,1180,1114,1183,1311,1281,1578,1612,1836,1763,1112,1168,1349
"G0600550","2013","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",47482,1382,2377,1332,3129,1927,1825,1567,1996,1757,3523,4360,6424,5257,3485,2926,4215,"Napa County, California",1286,484,774,625,889,589,538,530,668,537,839,941,1022,970,799,699,833
"G0600570","2013","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",39115,1321,2608,1883,2514,2018,2458,1365,2094,1513,3197,4254,4241,4005,1839,2555,1250,"Nevada County, California",1869,709,898,655,903,832,982,594,739,594,899,925,982,1203,782,797,482
"G0600590","2013","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",1003790,46885,34468,37936,42009,35656,37617,35852,37010,36285,70903,91140,130543,104532,70288,86804,105862,"Orange County, California",4885,3090,3524,3362,3190,3517,3220,3461,2937,3404,4022,4971,5426,4970,4265,4462,4677
"G0600610","2013","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",134284,6347,4481,4838,4529,4326,6242,4405,5649,3794,10223,13985,18301,14484,10260,11888,10532,"Placer County, California",1821,1205,997,1093,838,914,1158,1080,1131,943,1465,1934,1994,2027,1193,1458,1516
"G0600650","2013","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",693585,40256,37530,36958,37831,32896,36148,33797,33852,29343,56501,73495,83485,62919,34662,35792,28120,"Riverside County, California",6252,3653,2502,2749,3321,3083,3218,3063,3587,2850,3509,4210,4410,3435,2994,3160,2467
"G0600670","2013","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",520580,36155,31208,26414,27278,25647,25057,26355,24700,22783,41739,52755,63526,45567,23241,27351,20804,"Sacramento County, California",4475,2845,2942,2777,3021,2808,2902,2422,2369,2445,3088,3352,3482,2650,2351,2640,2026
"G0600710","2013","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",604090,45831,32191,30834,30524,32127,27025,31703,29303,28934,48980,64543,74844,51860,28146,26381,20864,"San Bernardino County, California",5819,3480,2703,3131,2908,3320,2461,3180,3429,2994,3294,4060,5284,3605,2570,2569,2039
"G0600730","2013","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",1093386,71283,45103,46682,50454,48236,50132,45682,47731,44902,82924,105212,134155,102771,64493,74980,78646,"San Diego County, California",5511,4798,3476,3497,3935,3654,3883,3143,3837,3768,4573,4344,5722,5021,3975,4693,3868
"G0600750","2013","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",354651,25126,20908,12719,12537,12220,12330,10023,12217,9519,18323,25923,37285,33089,22581,31616,58235,"San Francisco County, California",3606,2277,2360,1882,1793,1756,1805,1615,1643,1541,2084,2501,3260,2536,2133,2815,3328
"G0600770","2013","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",216309,14785,14185,11205,13536,10259,9906,12019,8657,10018,17481,22753,25275,20273,9291,10905,5761,"San Joaquin County, California",2949,1968,1857,1595,1764,1511,1470,1564,1461,1487,1902,2358,2461,2020,1298,1714,1004
"G0600790","2013","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",104669,8525,5379,2646,4592,6452,4026,5261,3953,4314,8678,9212,13132,10131,5672,7534,5162,"San Luis Obispo County, California",2328,1665,1097,699,1140,1412,1123,1144,988,1269,1533,1405,1796,1761,1275,1322,1228
"G0600810","2013","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",258791,7750,6079,7638,8397,7832,8031,7455,9054,6814,15073,20927,35175,25709,21010,26575,45272,"San Mateo County, California",2229,1343,1187,1560,1349,1496,1433,1317,1533,1317,2176,2351,2705,2417,2140,2447,2514
"G0600830","2013","CA",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County, California",140665,7424,7320,7111,5449,5584,7107,7344,5468,5436,9025,14014,18866,11324,6949,11083,11161,"Santa Barbara County, California",2428,1496,1378,1420,1303,1217,1472,1451,1147,1117,1558,1895,2501,1612,1261,1480,1561
