GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AKSLE001,NAME_M,AKSLM001
"G1301170","2019","GA",,,"Georgia","13","Forsyth County","117",,,,,,,,,,,,,,,,,,"05000US13117","Forsyth County, Georgia",244252,"Forsyth County, Georgia",0
"G1301210","2019","GA",,,"Georgia","13","Fulton County","121",,,,,,,,,,,,,,,,,,"05000US13121","Fulton County, Georgia",1063937,"Fulton County, Georgia",0
"G1301270","2019","GA",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,"05000US13127","Glynn County, Georgia",85292,"Glynn County, Georgia",0
"G1301350","2019","GA",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,"05000US13135","Gwinnett County, Georgia",936250,"Gwinnett County, Georgia",0
"G1301390","2019","GA",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,"05000US13139","Hall County, Georgia",204441,"Hall County, Georgia",0
"G1301510","2019","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"05000US13151","Henry County, Georgia",234561,"Henry County, Georgia",0
"G1301530","2019","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"05000US13153","Houston County, Georgia",157863,"Houston County, Georgia",0
"G1301570","2019","GA",,,"Georgia","13","Jackson County","157",,,,,,,,,,,,,,,,,,"05000US13157","Jackson County, Georgia",72977,"Jackson County, Georgia",0
"G1301850","2019","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"05000US13185","Lowndes County, Georgia",117406,"Lowndes County, Georgia",0
"G1302150","2019","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",195769,"Muscogee County, Georgia",0
"G1302170","2019","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",111744,"Newton County, Georgia",0
"G1302230","2019","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",168667,"Paulding County, Georgia",0
"G1302450","2019","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",202518,"Richmond County, Georgia",0
"G1302470","2019","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",90896,"Rockdale County, Georgia",0
"G1302550","2019","GA",,,"Georgia","13","Spalding County","255",,,,,,,,,,,,,,,,,,"05000US13255","Spalding County, Georgia",66703,"Spalding County, Georgia",0
"G1302850","2019","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",69922,"Troup County, Georgia",0
"G1302950","2019","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",69761,"Walker County, Georgia",0
"G1302970","2019","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",94593,"Walton County, Georgia",0
"G1303130","2019","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",104628,"Whitfield County, Georgia",0
"G1500010","2019","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",201513,"Hawaii County, Hawaii",0
"G1500030","2019","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",974563,"Honolulu County, Hawaii",0
"G1500070","2019","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",72293,"Kauai County, Hawaii",0
"G1500090","2019","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",167488,"Maui County, Hawaii",20
"G1600010","2019","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",481587,"Ada County, Idaho",0
"G1600050","2019","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",87808,"Bannock County, Idaho",0
"G1600190","2019","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",119062,"Bonneville County, Idaho",0
"G1600270","2019","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",229849,"Canyon County, Idaho",0
"G1600550","2019","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",165697,"Kootenai County, Idaho",0
"G1600830","2019","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",86878,"Twin Falls County, Idaho",0
"G1700010","2019","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",65435,"Adams County, Illinois",0
"G1700190","2019","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",209689,"Champaign County, Illinois",0
"G1700310","2019","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",5150233,"Cook County, Illinois",0
"G1700370","2019","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",104897,"DeKalb County, Illinois",0
"G1700430","2019","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",922921,"DuPage County, Illinois",0
"G1700890","2019","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",532403,"Kane County, Illinois",0
"G1700910","2019","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",109862,"Kankakee County, Illinois",0
"G1700930","2019","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",128990,"Kendall County, Illinois",0
"G1700970","2019","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",696535,"Lake County, Illinois",0
"G1700990","2019","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",108669,"LaSalle County, Illinois",0
"G1701110","2019","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",307774,"McHenry County, Illinois",0
"G1701130","2019","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",171517,"McLean County, Illinois",0
"G1701150","2019","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",104009,"Macon County, Illinois",0
"G1701190","2019","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",262966,"Madison County, Illinois",0
"G1701430","2019","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",179179,"Peoria County, Illinois",0
"G1701610","2019","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",141879,"Rock Island County, Illinois",0
"G1701630","2019","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",259686,"St. Clair County, Illinois",0
"G1701670","2019","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",194672,"Sangamon County, Illinois",0
"G1701790","2019","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",131803,"Tazewell County, Illinois",0
"G1701830","2019","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",75758,"Vermilion County, Illinois",0
"G1701970","2019","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",690743,"Will County, Illinois",0
"G1701990","2019","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",66597,"Williamson County, Illinois",0
"G1702010","2019","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",282572,"Winnebago County, Illinois",0
"G1800030","2019","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",379299,"Allen County, Indiana",0
"G1800050","2019","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",83779,"Bartholomew County, Indiana",0
"G1800110","2019","IN",,,"Indiana","18","Boone County","011",,,,,,,,,,,,,,,,,,"05000US18011","Boone County, Indiana",67843,"Boone County, Indiana",0
"G1800190","2019","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",118302,"Clark County, Indiana",0
"G1800350","2019","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",114135,"Delaware County, Indiana",0
"G1800390","2019","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",206341,"Elkhart County, Indiana",0
"G1800430","2019","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",78522,"Floyd County, Indiana",0
"G1800530","2019","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",65769,"Grant County, Indiana",0
"G1800570","2019","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",338011,"Hamilton County, Indiana",0
"G1800590","2019","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",78168,"Hancock County, Indiana",0
"G1800630","2019","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",170311,"Hendricks County, Indiana",0
"G1800670","2019","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",82544,"Howard County, Indiana",0
"G1800810","2019","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",158167,"Johnson County, Indiana",0
"G1800850","2019","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",79456,"Kosciusko County, Indiana",0
"G1800890","2019","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",485493,"Lake County, Indiana",0
"G1800910","2019","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",109888,"LaPorte County, Indiana",0
"G1800950","2019","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",129569,"Madison County, Indiana",0
"G1800970","2019","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",964582,"Marion County, Indiana",0
"G1801050","2019","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",148431,"Monroe County, Indiana",0
"G1801090","2019","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",70489,"Morgan County, Indiana",0
"G1801270","2019","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",170389,"Porter County, Indiana",0
"G1801410","2019","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",271826,"St. Joseph County, Indiana",0
"G1801570","2019","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",195732,"Tippecanoe County, Indiana",0
"G1801630","2019","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",181451,"Vanderburgh County, Indiana",0
"G1801670","2019","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",107038,"Vigo County, Indiana",0
"G1801770","2019","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",65884,"Wayne County, Indiana",0
"G1900130","2019","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",131228,"Black Hawk County, Iowa",0
"G1900490","2019","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",93453,"Dallas County, Iowa",0
"G1900610","2019","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",97311,"Dubuque County, Iowa",0
"G1901030","2019","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",151140,"Johnson County, Iowa",0
"G1901130","2019","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",226706,"Linn County, Iowa",0
"G1901530","2019","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",490161,"Polk County, Iowa",0
"G1901550","2019","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",93206,"Pottawattamie County, Iowa",0
"G1901630","2019","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",172943,"Scott County, Iowa",0
"G1901690","2019","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",97117,"Story County, Iowa",0
"G1901930","2019","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",103107,"Woodbury County, Iowa",0
"G2000150","2019","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",66911,"Butler County, Kansas",0
"G2000450","2019","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",122259,"Douglas County, Kansas",0
"G2000910","2019","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",602401,"Johnson County, Kansas",0
"G2001030","2019","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",81758,"Leavenworth County, Kansas",0
"G2001610","2019","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",74232,"Riley County, Kansas",0
"G2001730","2019","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",516042,"Sedgwick County, Kansas",0
"G2001770","2019","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",176875,"Shawnee County, Kansas",0
"G2002090","2019","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",165429,"Wyandotte County, Kansas",0
"G2100150","2019","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",133581,"Boone County, Kentucky",0
"G2100290","2019","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",81676,"Bullitt County, Kentucky",0
"G2100370","2019","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",93584,"Campbell County, Kentucky",0
"G2100470","2019","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",70461,"Christian County, Kentucky",0
"G2100590","2019","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",101511,"Daviess County, Kentucky",0
"G2100670","2019","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",323152,"Fayette County, Kentucky",0
"G2100930","2019","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",110958,"Hardin County, Kentucky",0
"G2101110","2019","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",766757,"Jefferson County, Kentucky",0
"G2101170","2019","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",166998,"Kenton County, Kentucky",0
"G2101450","2019","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",65418,"McCracken County, Kentucky",0
"G2101510","2019","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",92987,"Madison County, Kentucky",0
"G2101850","2019","KY",,,"Kentucky","21","Oldham County","185",,,,,,,,,,,,,,,,,,"05000US21185","Oldham County, Kentucky",66799,"Oldham County, Kentucky",0
"G2102270","2019","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",132896,"Warren County, Kentucky",0
"G2200050","2019","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",126604,"Ascension Parish, Louisiana",0
"G2200150","2019","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",127039,"Bossier Parish, Louisiana",0
"G2200170","2019","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",240204,"Caddo Parish, Louisiana",0
"G2200190","2019","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",203436,"Calcasieu Parish, Louisiana",0
"G2200330","2019","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",440059,"East Baton Rouge Parish, Louisiana",0
"G2200450","2019","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",69830,"Iberia Parish, Louisiana",0
"G2200510","2019","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",432493,"Jefferson Parish, Louisiana",0
"G2200550","2019","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",244390,"Lafayette Parish, Louisiana",0
"G2200570","2019","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",97614,"Lafourche Parish, Louisiana",0
"G2200630","2019","LA",,,"Louisiana","22","Livingston Parish","063",,,,,,,,,,,,,,,,,,"05000US22063","Livingston Parish, Louisiana",140789,"Livingston Parish, Louisiana",0
"G2200710","2019","LA",,,"Louisiana","22","Orleans Parish","071",,,,,,,,,,,,,,,,,,"05000US22071","Orleans Parish, Louisiana",390144,"Orleans Parish, Louisiana",0
"G2200730","2019","LA",,,"Louisiana","22","Ouachita Parish","073",,,,,,,,,,,,,,,,,,"05000US22073","Ouachita Parish, Louisiana",153279,"Ouachita Parish, Louisiana",0
"G2200790","2019","LA",,,"Louisiana","22","Rapides Parish","079",,,,,,,,,,,,,,,,,,"05000US22079","Rapides Parish, Louisiana",129648,"Rapides Parish, Louisiana",0
"G2200970","2019","LA",,,"Louisiana","22","St. Landry Parish","097",,,,,,,,,,,,,,,,,,"05000US22097","St. Landry Parish, Louisiana",82124,"St. Landry Parish, Louisiana",0
"G2201030","2019","LA",,,"Louisiana","22","St. Tammany Parish","103",,,,,,,,,,,,,,,,,,"05000US22103","St. Tammany Parish, Louisiana",260419,"St. Tammany Parish, Louisiana",0
"G2201050","2019","LA",,,"Louisiana","22","Tangipahoa Parish","105",,,,,,,,,,,,,,,,,,"05000US22105","Tangipahoa Parish, Louisiana",134758,"Tangipahoa Parish, Louisiana",0
"G2201090","2019","LA",,,"Louisiana","22","Terrebonne Parish","109",,,,,,,,,,,,,,,,,,"05000US22109","Terrebonne Parish, Louisiana",110461,"Terrebonne Parish, Louisiana",0
"G2300010","2019","ME",,,"Maine","23","Androscoggin County","001",,,,,,,,,,,,,,,,,,"05000US23001","Androscoggin County, Maine",108277,"Androscoggin County, Maine",0
"G2300030","2019","ME",,,"Maine","23","Aroostook County","003",,,,,,,,,,,,,,,,,,"05000US23003","Aroostook County, Maine",67055,"Aroostook County, Maine",0
"G2300050","2019","ME",,,"Maine","23","Cumberland County","005",,,,,,,,,,,,,,,,,,"05000US23005","Cumberland County, Maine",295003,"Cumberland County, Maine",0
"G2300110","2019","ME",,,"Maine","23","Kennebec County","011",,,,,,,,,,,,,,,,,,"05000US23011","Kennebec County, Maine",122302,"Kennebec County, Maine",0
"G2300190","2019","ME",,,"Maine","23","Penobscot County","019",,,,,,,,,,,,,,,,,,"05000US23019","Penobscot County, Maine",152148,"Penobscot County, Maine",0
"G2300310","2019","ME",,,"Maine","23","York County","031",,,,,,,,,,,,,,,,,,"05000US23031","York County, Maine",207641,"York County, Maine",0
"G2400010","2019","MD",,,"Maryland","24","Allegany County","001",,,,,,,,,,,,,,,,,,"05000US24001","Allegany County, Maryland",70416,"Allegany County, Maryland",0
"G2400030","2019","MD",,,"Maryland","24","Anne Arundel County","003",,,,,,,,,,,,,,,,,,"05000US24003","Anne Arundel County, Maryland",579234,"Anne Arundel County, Maryland",0
"G2400050","2019","MD",,,"Maryland","24","Baltimore County","005",,,,,,,,,,,,,,,,,,"05000US24005","Baltimore County, Maryland",827370,"Baltimore County, Maryland",0
"G2400090","2019","MD",,,"Maryland","24","Calvert County","009",,,,,,,,,,,,,,,,,,"05000US24009","Calvert County, Maryland",92525,"Calvert County, Maryland",0
"G2400130","2019","MD",,,"Maryland","24","Carroll County","013",,,,,,,,,,,,,,,,,,"05000US24013","Carroll County, Maryland",168447,"Carroll County, Maryland",0
"G2400150","2019","MD",,,"Maryland","24","Cecil County","015",,,,,,,,,,,,,,,,,,"05000US24015","Cecil County, Maryland",102855,"Cecil County, Maryland",0
"G2400170","2019","MD",,,"Maryland","24","Charles County","017",,,,,,,,,,,,,,,,,,"05000US24017","Charles County, Maryland",163257,"Charles County, Maryland",0
"G2400210","2019","MD",,,"Maryland","24","Frederick County","021",,,,,,,,,,,,,,,,,,"05000US24021","Frederick County, Maryland",259547,"Frederick County, Maryland",0
"G2400250","2019","MD",,,"Maryland","24","Harford County","025",,,,,,,,,,,,,,,,,,"05000US24025","Harford County, Maryland",255441,"Harford County, Maryland",0
"G2400270","2019","MD",,,"Maryland","24","Howard County","027",,,,,,,,,,,,,,,,,,"05000US24027","Howard County, Maryland",325690,"Howard County, Maryland",0
"G2400310","2019","MD",,,"Maryland","24","Montgomery County","031",,,,,,,,,,,,,,,,,,"05000US24031","Montgomery County, Maryland",1050688,"Montgomery County, Maryland",0
"G2400330","2019","MD",,,"Maryland","24","Prince George's County","033",,,,,,,,,,,,,,,,,,"05000US24033","Prince George's County, Maryland",909327,"Prince George's County, Maryland",0
"G2400370","2019","MD",,,"Maryland","24","St. Mary's County","037",,,,,,,,,,,,,,,,,,"05000US24037","St. Mary's County, Maryland",113510,"St. Mary's County, Maryland",0
"G2400430","2019","MD",,,"Maryland","24","Washington County","043",,,,,,,,,,,,,,,,,,"05000US24043","Washington County, Maryland",151049,"Washington County, Maryland",0
"G2400450","2019","MD",,,"Maryland","24","Wicomico County","045",,,,,,,,,,,,,,,,,,"05000US24045","Wicomico County, Maryland",103609,"Wicomico County, Maryland",0
"G2405100","2019","MD",,,"Maryland","24","Baltimore city","510",,,,,,,,,,,,,,,,,,"05000US24510","Baltimore city, Maryland",593490,"Baltimore city, Maryland",0
"G2500010","2019","MA",,,"Massachusetts","25","Barnstable County","001",,,,,,,,,,,,,,,,,,"05000US25001","Barnstable County, Massachusetts",212990,"Barnstable County, Massachusetts",0
"G2500030","2019","MA",,,"Massachusetts","25","Berkshire County","003",,,,,,,,,,,,,,,,,,"05000US25003","Berkshire County, Massachusetts",124944,"Berkshire County, Massachusetts",0
"G2500050","2019","MA",,,"Massachusetts","25","Bristol County","005",,,,,,,,,,,,,,,,,,"05000US25005","Bristol County, Massachusetts",565217,"Bristol County, Massachusetts",0
"G2500090","2019","MA",,,"Massachusetts","25","Essex County","009",,,,,,,,,,,,,,,,,,"05000US25009","Essex County, Massachusetts",789034,"Essex County, Massachusetts",0
"G2500110","2019","MA",,,"Massachusetts","25","Franklin County","011",,,,,,,,,,,,,,,,,,"05000US25011","Franklin County, Massachusetts",70180,"Franklin County, Massachusetts",0
"G2500130","2019","MA",,,"Massachusetts","25","Hampden County","013",,,,,,,,,,,,,,,,,,"05000US25013","Hampden County, Massachusetts",466372,"Hampden County, Massachusetts",0
"G2500150","2019","MA",,,"Massachusetts","25","Hampshire County","015",,,,,,,,,,,,,,,,,,"05000US25015","Hampshire County, Massachusetts",160830,"Hampshire County, Massachusetts",0
"G2500170","2019","MA",,,"Massachusetts","25","Middlesex County","017",,,,,,,,,,,,,,,,,,"05000US25017","Middlesex County, Massachusetts",1611699,"Middlesex County, Massachusetts",0
"G2500210","2019","MA",,,"Massachusetts","25","Norfolk County","021",,,,,,,,,,,,,,,,,,"05000US25021","Norfolk County, Massachusetts",706775,"Norfolk County, Massachusetts",0
"G2500230","2019","MA",,,"Massachusetts","25","Plymouth County","023",,,,,,,,,,,,,,,,,,"05000US25023","Plymouth County, Massachusetts",521202,"Plymouth County, Massachusetts",0
"G2500250","2019","MA",,,"Massachusetts","25","Suffolk County","025",,,,,,,,,,,,,,,,,,"05000US25025","Suffolk County, Massachusetts",803907,"Suffolk County, Massachusetts",0
"G2500270","2019","MA",,,"Massachusetts","25","Worcester County","027",,,,,,,,,,,,,,,,,,"05000US25027","Worcester County, Massachusetts",830622,"Worcester County, Massachusetts",0
"G2600050","2019","MI",,,"Michigan","26","Allegan County","005",,,,,,,,,,,,,,,,,,"05000US26005","Allegan County, Michigan",118081,"Allegan County, Michigan",0
"G2600170","2019","MI",,,"Michigan","26","Bay County","017",,,,,,,,,,,,,,,,,,"05000US26017","Bay County, Michigan",103126,"Bay County, Michigan",0
"G2600210","2019","MI",,,"Michigan","26","Berrien County","021",,,,,,,,,,,,,,,,,,"05000US26021","Berrien County, Michigan",153401,"Berrien County, Michigan",0
