GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHP5E001,AHP5E002,AHP5E003,AHP5E004,AHP5E005,AHP5E006,AHP5E007,AHP5E008,AHP5E009,AHP5E010,AHP5E011,AHP5E012,AHP5E013,AHP5E014,AHP5E015,AHP5E016,AHP5E017,AHP5E018,AHP5E019,AHP5E020,AHP5E021,AHP5E022,AHP5E023,AHP5E024,AHP5E025,AHP5E026,AHP5E027,NAME_M,AHP5M001,AHP5M002,AHP5M003,AHP5M004,AHP5M005,AHP5M006,AHP5M007,AHP5M008,AHP5M009,AHP5M010,AHP5M011,AHP5M012,AHP5M013,AHP5M014,AHP5M015,AHP5M016,AHP5M017,AHP5M018,AHP5M019,AHP5M020,AHP5M021,AHP5M022,AHP5M023,AHP5M024,AHP5M025,AHP5M026,AHP5M027
"G06002000","2017","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",43552,56,77,49,121,164,249,126,81,166,298,103,318,173,78,481,102,0,658,495,4019,7135,22032,5070,1082,171,248,"Anaheim city, California",2765,92,90,57,141,137,202,206,116,138,312,121,235,182,92,429,101,210,375,335,1075,1042,2058,818,364,167,187
"G06002252","2017","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06002364","2017","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apple Valley town, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06002553","2017","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",16773,442,0,0,0,0,0,120,200,0,0,194,0,0,521,349,108,222,961,2072,4433,1982,3037,1169,757,206,0,"Arden-Arcade CDP, California",1791,417,210,210,210,210,210,143,192,210,210,316,210,210,426,209,85,161,444,619,1083,599,714,402,306,195,210
"G06003526","2017","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",66449,304,39,63,206,156,232,188,95,526,501,497,591,290,3351,2920,5560,6681,13897,13025,10441,3668,2176,353,464,125,100,"Bakersfield city, California",3151,248,67,108,171,181,237,195,122,387,341,344,334,194,1003,859,1284,1476,1921,2038,1707,736,705,218,331,199,84
"G06003666","2017","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06004982","2017","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bellflower city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06006000","2017","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Berkeley city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06008786","2017","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06008954","2017","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burbank city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06010046","2017","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Camarillo city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06011194","2017","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carlsbad city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06011390","2017","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carmichael CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06011530","2017","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carson city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06011964","2017","CA",,,"California","06",,,"Castro Valley CDP","11964",,,,,,,,,,,,,,,,"16000US0611964","Castro Valley CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Castro Valley CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06013014","2017","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chico city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06013210","2017","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06013214","2017","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06013392","2017","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",45564,284,414,48,643,70,328,80,485,91,590,126,219,52,154,0,102,211,914,967,5181,12093,19550,2389,389,74,110,"Chula Vista city, California",3082,200,302,80,390,115,197,130,229,151,351,131,232,86,181,210,119,195,540,484,1283,1820,2227,692,226,122,100
"G06013588","2017","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Citrus Heights city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06014218","2017","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clovis city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06015044","2017","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Compton city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06016000","2017","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Concord city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06016350","2017","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Corona city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06016532","2017","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06017918","2017","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Daly City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06018100","2017","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Davis city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06019766","2017","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Downey city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06020802","2017","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"East Los Angeles CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06021712","2017","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"El Cajon city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06022020","2017","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elk Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06022230","2017","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"El Monte city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06022804","2017","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Escondido city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06023182","2017","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",20495,195,0,0,65,0,174,0,44,0,252,0,245,267,251,168,195,92,1135,1828,4588,4777,5019,832,207,0,161,"Fairfield city, California",1900,150,210,210,108,210,141,210,74,210,297,210,257,243,183,140,143,110,448,553,970,878,1032,436,172,210,143
"G06024477","2017","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Florence-Graham CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06024638","2017","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Folsom city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06024680","2017","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fontana city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06026000","2017","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fremont city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06027000","2017","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",79723,323,343,448,637,460,149,179,685,366,704,508,1226,1127,4548,4074,7164,5955,15883,12103,12222,4583,3305,1271,801,109,550,"Fresno city, California",3181,226,261,236,409,418,155,174,584,263,346,325,485,457,759,852,1306,1235,2189,1503,1549,1010,956,480,552,131,380
"G06028000","2017","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fullerton city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
