GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PGYE001,PGYE002,PGYE003,PGYE004,PGYE005,PGYE006,PGYE007,PGYE008,PGYE009,PGYE010,PGYE011,PGYE012,PGYE013,PGYE014,PGYE015,PGYE016,PGYE017,PGYE018,PGYE019,PGYE020,PGYE021,PGYE022,PGYE023,PGYE024,PGYE025,NAME_M,PGYM001,PGYM002,PGYM003,PGYM004,PGYM005,PGYM006,PGYM007,PGYM008,PGYM009,PGYM010,PGYM011,PGYM012,PGYM013,PGYM014,PGYM015,PGYM016,PGYM017,PGYM018,PGYM019,PGYM020,PGYM021,PGYM022,PGYM023,PGYM024,PGYM025
"G12000410","2012","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,"Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,
"G12007300","2012","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",22807,0,0,0,44,38,0,0,132,217,0,178,312,572,631,616,1359,1354,2229,2067,3561,2537,3076,1942,1942,"Boca Raton city, Florida",1753,211,211,211,74,62,211,211,132,191,211,130,210,256,313,330,524,711,598,572,698,647,543,489,458
"G12007875","2012","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",18066,54,220,46,474,251,404,133,689,818,794,1588,966,1334,1840,1604,1851,1146,1731,713,697,47,629,0,37,"Boynton Beach city, Florida",2122,91,192,76,325,188,269,102,476,439,336,629,554,602,598,592,566,463,641,379,434,80,563,211,62
"G12008150","2012","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",21162,121,296,96,0,79,49,157,356,1201,670,606,1213,933,3810,3726,2463,1655,1767,851,768,192,79,74,0,"Brandon CDP, Florida",1635,123,188,162,211,128,84,255,227,680,287,322,619,353,903,749,723,629,678,343,405,154,93,119,211
"G12010275","2012","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",37481,186,77,203,183,157,155,37,377,820,1168,1962,3333,2915,5786,2865,4104,2451,3893,2070,2127,1029,995,341,247,"Cape Coral city, Florida",2511,163,94,188,171,156,134,62,267,333,491,866,979,1102,1208,743,861,772,922,608,617,489,421,249,196
"G12012875","2012","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",26405,355,263,213,209,323,125,21,925,993,816,1284,825,993,2525,3162,3352,1556,2634,1224,2319,614,921,328,425,"Clearwater city, Florida",1957,205,202,170,194,215,137,34,449,387,448,507,441,377,778,854,844,572,877,456,651,324,469,206,367
"G12014400","2012","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",25969,109,0,165,133,418,37,291,926,189,440,462,310,92,630,659,1410,1462,4003,4095,5955,2502,1183,287,211,"Coral Springs city, Florida",1869,128,211,163,133,312,60,334,499,165,347,259,186,108,307,380,597,563,793,1014,1207,830,547,372,183
"G12016475","2012","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",22710,404,230,538,434,175,79,186,695,846,467,575,1247,254,1897,961,1488,396,2146,2407,2925,1715,1854,722,69,"Davie town, Florida",1534,292,268,411,283,173,92,152,472,500,359,385,674,156,567,458,598,241,581,834,742,713,664,547,114
"G12016725","2012","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",21559,312,110,314,157,107,1069,228,2271,1265,1322,1303,1368,1540,1715,1021,1843,947,2028,1158,492,424,150,415,0,"Deerfield Beach city, Florida",1822,402,134,410,155,127,438,210,788,532,714,689,577,716,515,483,767,358,701,502,261,366,146,232,211
"G12017200","2012","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",23143,163,41,37,70,39,296,41,990,1406,1740,2693,2176,1946,3875,1828,2932,672,1206,834,158,0,0,0,0,"Deltona city, Florida",1929,197,70,60,115,65,379,68,440,558,524,837,669,725,1128,679,881,395,686,525,155,211,211,211,211
