GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALLGE001,ALLGE002,ALLGE003,ALLGE004,ALLGE005,ALLGE006,ALLGE007,ALLGE008,ALLGE009,ALLGE010,ALLGE011,ALLGE012,ALLGE013,ALLGE014,ALLGE015,ALLGE016,ALLGE017,ALLGE018,ALLGE019,ALLGE020,ALLGE021,ALLGE022,ALLGE023,ALLGE024,ALLGE025,ALLGE026,ALLGE027,NAME_M,ALLGM001,ALLGM002,ALLGM003,ALLGM004,ALLGM005,ALLGM006,ALLGM007,ALLGM008,ALLGM009,ALLGM010,ALLGM011,ALLGM012,ALLGM013,ALLGM014,ALLGM015,ALLGM016,ALLGM017,ALLGM018,ALLGM019,ALLGM020,ALLGM021,ALLGM022,ALLGM023,ALLGM024,ALLGM025,ALLGM026,ALLGM027
"G06002000","2019","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anaheim city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06002252","2019","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06002364","2019","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apple Valley town, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06002553","2019","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arden-Arcade CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06003526","2019","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",69256,306,507,73,273,441,53,0,450,382,450,121,199,322,2309,2561,3032,5475,14235,11891,16486,4974,3070,1410,123,63,50,"Bakersfield city, California",3778,203,442,86,200,367,90,216,345,309,354,202,198,299,837,1027,994,1401,2381,1952,2247,1203,1133,814,139,104,80
"G06003666","2019","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06004982","2019","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bellflower city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06006000","2019","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Berkeley city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06008786","2019","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06008954","2019","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burbank city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06010046","2019","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Camarillo city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06011194","2019","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carlsbad city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06011390","2019","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carmichael CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06011530","2019","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carson city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06013014","2019","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chico city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
