GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S50E001,S50E002,S50E003,S50E004,S50E005,S50E006,S50E007,S50E008,S50E009,S50E010,S50E011,S50E012,S50E013,S50E014,S50E015,S50E016,S50E017,S50E018,S50E019,S50E020,S50E021,S50E022,S50E023,S50E024,S50E025,NAME_M,S50M001,S50M002,S50M003,S50M004,S50M005,S50M006,S50M007,S50M008,S50M009,S50M010,S50M011,S50M012,S50M013,S50M014,S50M015,S50M016,S50M017,S50M018,S50M019,S50M020,S50M021,S50M022,S50M023,S50M024,S50M025
"G06002364","2013","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",16596,538,51,75,335,101,0,115,157,239,198,443,460,773,2508,1332,1591,1239,2095,1829,1393,865,259,0,0,"Apple Valley town, California",1678,346,85,126,254,120,203,137,186,231,159,404,322,588,803,593,652,514,639,678,576,509,204,203,203
"G06002553","2013","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",17034,413,0,74,75,79,46,0,0,0,42,83,125,127,653,731,1433,795,2689,1830,2731,1049,2753,539,767,"Arden-Arcade CDP, California",1428,252,203,125,123,129,76,203,203,203,70,94,118,155,400,360,616,344,872,615,769,370,606,283,301
"G06003526","2013","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",57750,1264,224,437,64,65,293,151,271,538,980,1172,1949,1640,4756,3641,7616,4862,10352,7148,6116,2566,1072,294,279,"Bakersfield city, California",3529,478,187,268,109,77,181,137,182,304,392,656,714,759,1162,962,1492,1135,1439,1331,1274,877,461,201,230
"G06003666","2013","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06004982","2013","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Bellflower city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06006000","2013","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Berkeley city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06008786","2013","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06008954","2013","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Burbank city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06010046","2013","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Camarillo city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06011194","2013","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Carlsbad city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06011390","2013","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",13365,293,0,134,0,99,49,0,38,44,45,46,136,50,293,343,637,901,2172,2213,2923,1334,1067,225,323,"Carmichael CDP, California",1217,241,203,104,203,119,81,203,63,72,74,76,161,81,277,208,297,395,688,716,683,381,359,167,209
"G06011530","2013","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",19075,624,44,0,44,126,109,0,390,40,394,493,207,48,470,162,258,542,1648,2185,6178,3613,1459,0,41,"Carson city, California",1745,257,73,203,73,122,158,203,371,64,245,385,202,77,251,162,184,405,697,648,1181,808,607,203,68
"G06013014","2013","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",15363,534,103,51,79,143,0,139,252,153,0,9,9,73,106,104,709,628,3519,2796,4022,1088,566,134,146,"Chico city, California",1474,313,101,84,133,113,203,163,182,123,203,18,15,116,98,126,371,294,881,662,1092,425,402,172,161
"G06013210","2013","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06013214","2013","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06013392","2013","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",44919,757,486,422,146,85,435,297,402,90,497,39,0,64,432,532,883,683,3192,4833,14535,9510,5467,819,313,"Chula Vista city, California",2738,355,333,365,119,100,204,238,334,90,369,66,203,77,353,278,414,336,1087,1116,1875,1545,1112,316,247
"G06013588","2013","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",17458,764,0,74,174,195,186,22,182,132,107,153,48,82,715,1672,2772,2415,3892,2409,1004,353,78,0,29,"Citrus Heights city, California",1562,296,203,92,171,147,145,39,240,131,128,129,78,98,378,645,792,814,731,626,470,406,131,203,50
"G06014218","2013","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",19740,452,43,210,87,0,33,0,42,0,0,111,78,294,371,1254,1563,1825,3469,4025,3729,1144,678,236,96,"Clovis city, California",1475,222,72,123,104,203,58,203,69,203,203,131,132,265,231,515,504,473,931,803,593,294,311,153,94
"G06015044","2013","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Compton city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06016000","2013","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",27781,510,48,0,386,159,173,70,496,126,41,124,44,261,343,421,732,506,1535,2928,7413,6024,4539,863,39,"Concord city, California",2141,316,79,203,390,187,168,114,523,153,67,148,73,313,317,277,529,240,638,805,1199,1032,951,487,65
"G06016350","2013","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",31035,669,170,141,363,200,175,84,152,229,365,0,81,146,592,343,735,346,3129,4058,9181,6276,2953,280,367,"Corona city, California",1812,298,277,234,311,169,247,98,178,248,262,203,134,189,330,346,324,273,694,791,1320,1151,757,221,248
"G06016532","2013","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06017918","2013","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Daly City city, California",,,,,,,,,,,,,,,,,,,,,,,,,
