GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFUZE001,AFUZE002,AFUZE003,AFUZE004,AFUZE005,AFUZE006,AFUZE007,AFUZE008,AFUZE009,AFUZE010,AFUZE011,AFUZE012,AFUZE013,AFUZE014,AFUZE015,AFUZE016,AFUZE017,AFUZE018,AFUZE019,AFUZE020,AFUZE021,AFUZE022,AFUZE023,AFUZE024,AFUZE025,AFUZE026,AFUZE027,NAME_M,AFUZM001,AFUZM002,AFUZM003,AFUZM004,AFUZM005,AFUZM006,AFUZM007,AFUZM008,AFUZM009,AFUZM010,AFUZM011,AFUZM012,AFUZM013,AFUZM014,AFUZM015,AFUZM016,AFUZM017,AFUZM018,AFUZM019,AFUZM020,AFUZM021,AFUZM022,AFUZM023,AFUZM024,AFUZM025,AFUZM026,AFUZM027
"G1701130","2016","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",42608,964,493,692,230,0,590,106,233,511,541,1228,1819,1577,3800,5352,5557,3657,5656,4556,3123,677,541,440,212,0,53,"McLean County, Illinois",1366,503,386,460,291,185,381,90,189,282,223,594,672,496,749,860,918,825,805,921,770,302,320,320,211,185,89
"G1701150","2016","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",29489,880,636,105,758,695,438,541,1114,1575,1879,2636,2102,1483,3755,2251,2266,887,2525,1298,1037,199,180,142,107,0,0,"Macon County, Illinois",1324,406,373,99,362,386,226,253,316,482,526,624,591,545,766,666,625,368,692,584,408,189,142,138,134,185,185
"G1701190","2016","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",75697,823,221,765,710,1049,699,374,1466,2835,3919,5551,3896,3285,8702,7004,7465,5054,8786,4804,5139,1783,1161,41,90,0,75,"Madison County, Illinois",2804,459,173,346,423,516,405,254,451,748,1032,1181,829,653,1352,1175,1345,1003,1242,952,772,608,609,67,94,185,120
"G1701430","2016","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",46443,431,434,381,399,515,620,471,1138,1584,1911,2962,3989,2488,4680,5490,5116,2818,2956,2879,2764,1038,1008,160,82,0,129,"Peoria County, Illinois",1758,290,271,273,218,290,286,230,488,699,628,739,776,725,763,920,948,616,721,784,664,474,442,207,96,185,121
"G1701610","2016","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",41893,856,306,291,385,115,228,350,1123,1553,1744,2680,3626,2689,7343,3647,4156,3214,3191,2422,971,260,432,174,24,0,113,"Rock Island County, Illinois",1648,405,215,217,450,132,125,232,404,494,581,687,846,803,1074,873,916,887,725,709,375,166,320,189,41,185,104
"G1701630","2016","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",66289,732,836,1030,521,1152,1217,1079,1816,3062,2244,4490,3433,3122,6977,4657,7120,3379,8869,4226,3633,1453,792,0,211,0,238,"St. Clair County, Illinois",2600,384,440,443,306,483,543,668,586,633,670,953,899,876,1293,991,1118,867,1226,765,865,502,424,185,223,185,196
"G1701670","2016","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",58409,941,751,115,251,556,376,343,1567,2115,2740,2500,2933,2816,6191,8186,6465,3741,6319,4573,2116,1587,943,202,82,0,0,"Sangamon County, Illinois",1937,414,551,76,181,335,209,312,580,681,736,588,541,732,1097,1386,1205,745,1049,833,668,582,403,157,121,185,185
"G1701790","2016","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",43056,690,157,82,188,281,467,221,622,639,1880,2557,2795,2369,4998,5470,5012,3657,4920,2337,2311,913,232,107,136,0,15,"Tazewell County, Illinois",1464,506,169,136,222,339,298,158,336,345,814,814,756,661,1188,802,1023,785,919,730,649,448,185,126,154,185,26
"G1701830","2016","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",23154,559,455,466,669,811,893,655,1460,2032,1942,1656,1689,1207,2192,2170,1668,825,871,159,443,123,147,62,0,0,0,"Vermilion County, Illinois",1154,238,222,279,375,319,321,281,436,643,515,374,478,425,557,552,500,291,387,122,244,96,129,102,185,185,185
"G1701970","2016","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",183930,469,547,567,1005,377,382,209,420,1649,1693,1898,3076,2981,10363,13093,19667,18801,30064,24552,27637,12954,8599,1595,747,362,223,"Will County, Illinois",3352,218,334,322,463,248,255,206,248,525,529,627,696,779,1547,1367,1823,1892,2327,2175,1902,1478,1073,536,382,248,215
