GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADDPE001,ADDPE002,ADDPE003,ADDPE004,ADDPE005,ADDPE006,ADDPE007,ADDPE008,ADDPE009,ADDPE010,ADDPE011,ADDPE012,ADDPE013,ADDPE014,ADDPE015,ADDPE016,ADDPE017,ADDPE018,ADDPE019,ADDPE020,ADDPE021,ADDPE022,ADDPE023,ADDPE024,ADDPE025,ADDPE026,ADDPE027,NAME_M,ADDPM001,ADDPM002,ADDPM003,ADDPM004,ADDPM005,ADDPM006,ADDPM007,ADDPM008,ADDPM009,ADDPM010,ADDPM011,ADDPM012,ADDPM013,ADDPM014,ADDPM015,ADDPM016,ADDPM017,ADDPM018,ADDPM019,ADDPM020,ADDPM021,ADDPM022,ADDPM023,ADDPM024,ADDPM025,ADDPM026,ADDPM027
"G0400210","2015","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",96142,1879,1147,972,1536,1133,1788,1060,1578,3300,4015,2815,3504,2484,8480,9043,12923,9411,10281,7068,5938,3526,1672,219,190,108,72,"Pinal County, Arizona",3235,653,432,629,514,444,646,457,521,957,934,824,884,714,1557,1351,1728,1563,1622,1467,895,890,680,193,181,136,92
"G0400250","2015","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",66820,880,358,481,600,141,648,188,745,1758,1007,1560,2040,1696,3060,3916,5355,5604,10342,6365,9498,4228,3459,1586,1039,224,42,"Yavapai County, Arizona",3222,547,270,374,551,163,406,168,384,711,473,493,747,667,967,965,1328,1313,1672,1187,1526,970,822,722,748,189,59
"G0400270","2015","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",46863,1620,359,700,569,795,661,521,752,1418,1889,1693,2866,3050,8412,5460,5148,3083,3184,1761,1951,361,284,173,114,0,39,"Yuma County, Arizona",2170,626,211,365,333,400,406,232,408,572,499,598,883,843,1380,1169,1375,835,820,609,595,234,206,124,122,201,63
"G0500070","2015","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",60968,538,451,154,326,141,162,375,596,1172,879,1606,3202,1924,8379,6608,6146,4380,6849,4696,5860,2308,3128,394,579,16,99,"Benton County, Arkansas",2237,349,298,170,340,120,132,258,386,417,395,541,874,646,1316,1035,1106,902,1206,965,902,796,1070,348,425,26,143
"G0500310","2015","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",23492,168,193,294,198,310,187,244,301,1025,1025,671,1378,2029,2650,3398,2472,1375,1706,1486,1203,219,395,135,208,150,72,"Craighead County, Arkansas",1772,160,157,205,157,247,135,268,180,481,464,303,613,1053,766,779,862,643,558,507,632,207,399,204,196,186,123
"G0500450","2015","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",27805,460,52,254,155,131,142,560,455,375,549,1121,856,774,3604,2554,4344,2052,2774,2482,2513,729,539,160,56,85,29,"Faulkner County, Arkansas",1683,300,67,203,123,134,169,364,277,318,284,414,366,459,881,749,996,607,818,861,771,498,333,202,90,140,48
"G0500510","2015","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",26398,300,381,93,238,536,934,494,1161,1314,591,1077,1171,822,3212,2308,2777,1876,2229,642,1159,1874,958,100,151,0,0,"Garland County, Arkansas",1756,226,267,110,223,418,595,436,462,604,296,475,510,482,1050,526,745,725,611,306,477,805,511,120,187,190,190
"G0500690","2015","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",16398,254,270,292,543,921,302,690,1293,959,1207,1442,1555,805,1168,1183,752,909,823,442,187,29,119,41,0,0,212,"Jefferson County, Arkansas",1204,212,227,211,430,466,205,437,500,347,455,512,549,467,403,482,296,545,405,256,187,51,155,66,190,190,207
"G0500850","2015","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",18510,277,114,286,51,307,56,200,325,321,181,816,986,478,2485,3470,2905,1844,1425,634,665,412,224,0,0,0,48,"Lonoke County, Arkansas",1327,317,117,317,61,218,68,219,213,230,130,419,399,285,788,992,803,660,673,337,314,287,185,190,190,190,83
"G0501190","2015","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",90532,1078,756,257,387,793,1007,845,2426,4663,2900,2297,5088,4247,8577,8807,8798,7504,9905,5347,6932,2864,2673,1206,581,442,152,"Pulaski County, Arkansas",3124,472,324,181,247,406,469,493,677,1025,859,662,1038,822,1270,1260,1309,1430,1324,1115,1328,721,791,485,354,391,154
"G0501250","2015","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",33203,495,436,84,440,335,587,262,409,1229,968,1151,1041,893,4390,4368,3856,3009,3895,2340,1408,497,518,117,475,0,0,"Saline County, Arkansas",1637,354,242,90,268,293,340,197,314,611,421,619,550,419,889,956,836,876,880,718,516,276,379,139,494,190,190
"G0501310","2015","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",29874,300,581,92,219,395,558,150,524,1709,1022,2090,2344,1555,4966,2797,2712,1557,2093,2496,532,537,584,61,0,0,0,"Sebastian County, Arkansas",1553,244,444,123,193,403,383,126,379,668,347,736,709,590,1129,701,821,611,650,918,278,317,320,83,190,190,190
