GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHP5E001,AHP5E002,AHP5E003,AHP5E004,AHP5E005,AHP5E006,AHP5E007,AHP5E008,AHP5E009,AHP5E010,AHP5E011,AHP5E012,AHP5E013,AHP5E014,AHP5E015,AHP5E016,AHP5E017,AHP5E018,AHP5E019,AHP5E020,AHP5E021,AHP5E022,AHP5E023,AHP5E024,AHP5E025,AHP5E026,AHP5E027,NAME_M,AHP5M001,AHP5M002,AHP5M003,AHP5M004,AHP5M005,AHP5M006,AHP5M007,AHP5M008,AHP5M009,AHP5M010,AHP5M011,AHP5M012,AHP5M013,AHP5M014,AHP5M015,AHP5M016,AHP5M017,AHP5M018,AHP5M019,AHP5M020,AHP5M021,AHP5M022,AHP5M023,AHP5M024,AHP5M025,AHP5M026,AHP5M027
"G0500850","2017","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",17995,442,189,207,417,199,57,0,361,368,325,1028,869,502,2646,1893,1751,1566,2883,996,823,182,167,50,48,0,26,"Lonoke County, Arkansas",1350,422,189,191,464,140,83,201,263,257,200,594,412,287,734,562,558,625,823,409,350,192,151,87,77,201,44
"G0501190","2017","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",91359,768,442,268,564,86,1058,1047,1653,2739,2772,4070,4376,2668,9252,11397,10026,6428,9708,6047,7894,2324,4047,1009,312,271,133,"Pulaski County, Arkansas",3504,371,303,238,372,88,593,558,653,824,858,1044,1025,795,1479,1863,1449,1076,1659,1311,1340,745,1000,452,254,254,114
"G0501250","2017","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",34955,207,253,349,309,57,85,97,315,623,1477,735,1241,916,4759,5372,4127,2871,3830,3572,2444,707,520,50,0,0,39,"Saline County, Arkansas",1652,172,263,269,277,103,139,132,219,331,639,395,556,489,1107,1155,1010,813,780,856,730,373,305,83,201,201,63
"G0501310","2017","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",29654,295,190,214,240,37,293,111,1230,527,989,3036,1782,2023,3911,2658,3799,1047,1826,2018,2251,491,200,0,458,28,0,"Sebastian County, Arkansas",1874,265,200,183,198,70,227,146,585,274,505,1232,788,695,1234,675,1068,492,697,830,1024,382,236,201,448,47,201
"G0501430","2017","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",47778,76,480,66,113,55,256,120,408,899,941,1283,1470,1670,5127,5402,6229,3705,5958,3715,5816,2112,1178,319,84,86,210,"Washington County, Arkansas",2454,90,435,102,138,89,205,127,344,509,552,499,653,743,1154,1260,1311,1241,1416,858,1172,780,640,191,136,146,233
"G0501450","2017","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",20551,308,657,254,353,255,363,296,560,899,1102,1040,1202,857,2890,2612,2136,1393,1966,539,215,148,88,264,154,0,0,"White County, Arkansas",1587,191,401,233,369,243,278,287,277,376,412,595,454,373,1002,955,670,637,747,326,187,149,122,203,202,201,201
"G0600010","2017","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",305888,1562,473,424,185,0,144,0,716,753,723,425,688,273,1908,503,1356,656,3805,2846,14648,23461,86990,83967,52908,15644,10830,"Alameda County, California",5264,415,337,458,130,210,122,210,354,409,370,248,348,162,678,277,436,335,938,662,1757,1977,4270,3841,2758,1649,1507
"G0600070","2017","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",51501,913,508,566,416,96,243,428,77,715,253,493,579,673,2953,1473,3935,3915,5570,5144,9815,6272,4450,961,587,88,378,"Butte County, California",2028,433,320,351,233,113,195,208,96,398,248,448,454,356,831,551,973,897,1019,943,1262,1134,1161,513,344,142,260
"G0600130","2017","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",265782,1013,40,298,434,292,438,170,674,810,1001,822,525,743,1175,899,1747,577,4107,8015,29195,37581,74389,43274,35814,13608,8141,"Contra Costa County, California",4855,490,67,253,300,250,213,252,363,389,541,641,519,405,491,427,621,326,930,1482,2617,2911,4110,2758,2325,1623,1206
"G0600170","2017","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",53847,280,0,280,428,70,242,67,124,309,88,144,117,0,679,42,661,561,1818,5168,8888,9646,16068,5660,1692,398,417,"El Dorado County, California",2097,208,210,459,319,116,374,110,196,297,146,162,135,210,348,69,464,486,675,1154,1251,1177,1621,1019,604,313,365
"G0600190","2017","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",163288,1020,658,636,1028,554,897,573,1397,775,1165,724,2138,2378,8536,7026,15219,11589,26015,24785,28747,12450,9035,3172,1632,202,937,"Fresno County, California",3812,430,309,308,469,424,549,358,761,356,520,375,653,706,1302,1086,2116,1672,2952,2245,2592,1648,1451,835,634,173,423
"G0600230","2017","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",31456,81,411,23,70,25,161,190,89,370,372,179,8,77,411,397,496,908,3466,5988,7950,4187,4107,615,367,424,84,"Humboldt County, California",1692,109,370,38,114,33,160,184,153,442,276,191,13,127,281,332,272,440,1046,1272,1273,832,850,416,283,377,109
"G0600250","2017","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",27319,530,401,273,223,181,30,60,306,377,53,212,349,246,2708,1201,3202,3231,5801,3276,3466,345,299,463,86,0,0,"Imperial County, California",1913,286,266,273,269,195,52,74,228,284,72,268,216,241,898,499,1074,839,1301,967,1038,243,229,444,146,210,210
"G0600290","2017","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",155714,1815,1002,571,826,988,943,476,826,2197,954,2927,3197,2232,12381,11650,17770,14271,24764,22628,19644,7570,3723,806,663,432,458,"Kern County, California",4603,620,630,341,421,509,463,334,356,918,455,885,926,862,1890,2119,2147,2238,2644,2617,2283,1151,882,413,327,312,298
"G0600310","2017","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",23807,212,107,30,48,97,16,19,273,20,72,109,406,761,1421,1490,1892,1701,6603,3788,3056,425,1003,18,128,0,112,"Kings County, California",1618,221,99,49,84,113,28,37,244,36,118,113,322,471,633,624,674,629,1221,940,855,349,390,31,133,210,162
"G0600330","2017","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",19867,815,162,49,52,101,858,419,471,311,522,184,618,408,799,1016,1068,1347,3486,2068,2600,946,1189,153,159,0,66,"Lake County, California",1292,710,148,86,92,166,649,252,409,320,329,180,328,295,447,455,638,619,926,689,759,469,553,183,202,210,111
"G0600370","2017","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",1510464,8675,2514,1735,2238,2131,2609,1655,3944,4903,4581,3565,3742,2767,7769,4304,8320,6920,37497,44222,173033,259161,476056,196855,125338,51522,74408,"Los Angeles County, California",12699,1167,723,727,637,578,795,534,742,1052,878,815,983,743,1203,1014,1165,1067,2457,2695,6217,7100,8035,6030,4890,3388,3827
"G0600390","2017","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",31813,283,157,40,0,94,629,90,0,322,321,355,421,74,733,2590,2531,2170,6249,4535,5943,1706,1317,678,206,139,230,"Madera County, California",1883,243,169,66,210,164,319,166,210,398,349,394,384,86,392,1105,1109,678,1494,1159,1388,599,601,452,175,227,235
"G0600410","2017","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marin County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0600450","2017","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mendocino County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
