GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PGYE001,PGYE002,PGYE003,PGYE004,PGYE005,PGYE006,PGYE007,PGYE008,PGYE009,PGYE010,PGYE011,PGYE012,PGYE013,PGYE014,PGYE015,PGYE016,PGYE017,PGYE018,PGYE019,PGYE020,PGYE021,PGYE022,PGYE023,PGYE024,PGYE025,NAME_M,PGYM001,PGYM002,PGYM003,PGYM004,PGYM005,PGYM006,PGYM007,PGYM008,PGYM009,PGYM010,PGYM011,PGYM012,PGYM013,PGYM014,PGYM015,PGYM016,PGYM017,PGYM018,PGYM019,PGYM020,PGYM021,PGYM022,PGYM023,PGYM024,PGYM025
"G0400210","2012","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",94604,2838,1321,1422,1786,794,1303,603,2940,3900,4465,5813,8792,6095,12971,9690,6089,4554,7135,3314,3751,2179,1953,124,772,"Pinal County, Arizona",3188,902,465,396,539,393,547,297,1027,1076,976,1233,1494,1380,1927,1708,1026,1535,1450,933,829,1049,811,108,658
"G0400250","2012","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",63539,1064,898,1405,1242,230,899,474,1039,929,1425,1745,2191,1525,6271,3369,6620,3831,6608,8219,6519,2915,2932,306,883,"Yavapai County, Arizona",2630,508,417,580,617,193,566,385,611,590,626,655,855,552,1142,974,1315,941,1462,1559,1061,964,736,208,457
"G0400270","2012","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",47949,1868,646,890,1063,313,744,670,921,1547,3032,3003,4335,1624,9031,4376,4698,2089,2790,1615,1287,533,322,281,271,"Yuma County, Arizona",2081,640,312,491,585,172,446,326,391,597,807,845,1171,606,1728,1091,1072,592,896,558,442,381,201,166,301
"G0500070","2012","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",56090,971,732,344,617,134,793,211,589,1150,1589,2099,3542,3059,6845,7306,6995,3602,4479,2437,3773,1680,2568,305,270,"Benton County, Arkansas",2012,584,400,203,284,125,417,248,333,440,508,715,1033,906,1089,1013,1214,852,996,649,739,530,770,230,206
"G0500310","2012","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",23772,197,416,618,156,286,280,657,477,508,1035,1504,1319,1937,2656,2456,2468,1535,2372,997,829,403,115,236,315,"Craighead County, Arkansas",1303,156,310,364,198,200,212,546,228,277,397,659,588,801,762,726,735,693,675,563,487,328,137,221,269
"G0500450","2012","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",26839,218,144,335,334,411,645,32,497,420,383,898,1294,1252,3560,3351,2575,2097,3245,2392,2191,158,233,10,164,"Faulkner County, Arkansas",1542,175,115,206,218,289,475,45,369,252,224,429,482,586,790,925,630,638,926,903,796,115,259,19,183
"G0500510","2012","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",27734,931,343,53,681,139,455,192,1140,564,1170,1449,1342,1406,1715,2969,2799,1217,3028,1672,1896,896,1205,374,98,"Garland County, Arkansas",1597,443,242,70,371,113,294,130,434,303,488,632,681,658,650,689,803,520,766,747,602,428,592,282,105
"G0500690","2012","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",17575,668,650,82,347,455,356,247,1505,1268,1483,1119,1114,1351,1461,1061,1574,631,1203,238,368,255,109,30,0,"Jefferson County, Arkansas",1015,362,313,100,208,290,269,151,577,385,485,482,400,585,466,370,491,366,368,223,308,229,135,52,184
"G0500850","2012","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",18478,74,159,43,433,28,333,144,657,567,1088,650,811,1238,3095,2061,2097,1836,824,1117,1041,124,58,0,0,"Lonoke County, Arkansas",1135,88,187,72,304,52,229,162,410,334,515,312,330,489,801,576,679,571,372,534,444,128,97,184,184
"G0501190","2012","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",93436,729,1565,649,346,723,1796,1019,2081,2988,4444,5033,5982,4762,10088,8718,10023,7414,7754,5985,5738,2058,2031,599,911,"Pulaski County, Arkansas",2912,407,520,411,270,352,811,472,608,846,1134,1158,1387,942,1611,1547,1410,1295,1427,995,1206,732,561,332,443
