GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA3VE001,AA3VE002,AA3VE003,AA3VE004,AA3VE005,AA3VE006,AA3VE007,AA3VE008,AA3VE009,AA3VE010,AA3VE011,AA3VE012,AA3VE013,AA3VE014,AA3VE015,AA3VE016,AA3VE017,AA3VE018,AA3VE019,AA3VE020,AA3VE021,AA3VE022,AA3VE023,AA3VE024,AA3VE025,NAME_M,AA3VM001,AA3VM002,AA3VM003,AA3VM004,AA3VM005,AA3VM006,AA3VM007,AA3VM008,AA3VM009,AA3VM010,AA3VM011,AA3VM012,AA3VM013,AA3VM014,AA3VM015,AA3VM016,AA3VM017,AA3VM018,AA3VM019,AA3VM020,AA3VM021,AA3VM022,AA3VM023,AA3VM024,AA3VM025
"G0400210","2014","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",88980,4012,897,1182,846,1232,1104,1277,3220,1972,2529,3046,2729,3417,7992,10783,11426,6081,9368,6121,4611,2242,1462,922,509,"Pinal County, Arizona",3616,963,357,395,330,440,461,631,817,635,685,675,737,743,1370,1698,1518,1194,1711,1179,955,643,585,504,436
"G0400250","2014","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",64645,1307,747,389,361,540,794,232,1531,1268,1531,1452,1514,924,5571,4246,6591,4696,6852,5713,8880,3165,3649,1410,1282,"Yavapai County, Arizona",2525,490,454,315,258,359,497,179,694,695,618,576,544,478,1415,1156,1218,1099,1411,1265,1489,856,906,679,553
"G0400270","2014","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",46670,2984,329,756,830,900,614,798,1049,1187,2451,2114,3932,2818,7191,3182,5200,1979,2897,2021,2077,518,473,122,248,"Yuma County, Arizona",1827,746,172,399,375,377,314,477,398,418,629,648,881,755,1122,850,1121,647,756,758,618,309,302,120,260
"G0500070","2014","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",57319,1235,575,181,505,180,430,169,533,924,1220,1427,2726,2452,7804,6331,6863,4649,6039,4795,3133,2238,1858,532,520,"Benton County, Arkansas",2286,504,264,146,366,151,223,155,256,363,445,568,648,844,1391,1052,1120,942,1179,1113,806,640,592,378,357
"G0500310","2014","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",22523,364,450,213,82,395,175,338,512,841,955,939,1000,1409,2195,3040,1854,2012,1367,1467,1254,597,524,140,400,"Craighead County, Arkansas",1964,266,307,209,102,325,200,238,286,349,558,423,412,595,936,847,663,863,622,593,603,436,317,128,259
"G0500450","2014","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",26783,634,74,323,482,266,297,22,576,497,670,432,769,1486,3508,3673,3886,1932,3007,2109,1319,535,168,72,46,"Faulkner County, Arkansas",1565,336,52,249,402,270,246,38,295,402,404,247,349,512,952,833,897,641,710,593,569,338,151,84,74
"G0500510","2014","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",26249,449,252,1030,473,264,612,305,656,907,1188,798,1833,1941,2436,2395,2545,1126,2345,1277,1264,640,899,257,357,"Garland County, Arkansas",1829,269,179,551,299,204,483,392,510,353,456,415,686,928,891,843,878,476,723,576,428,421,474,247,301
"G0500690","2014","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",18186,998,301,499,836,1181,527,418,945,1074,628,1203,1248,786,2124,1323,882,1281,927,525,269,79,29,103,0,"Jefferson County, Arkansas",1368,482,221,309,328,506,276,273,439,561,301,458,528,385,777,635,450,557,416,321,240,83,54,130,190
"G0500850","2014","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",18342,392,91,108,162,56,358,61,588,530,567,1255,797,725,3234,2711,1988,1103,2040,430,1062,62,22,0,0,"Lonoke County, Arkansas",1330,253,122,124,181,67,221,99,335,333,355,446,351,303,774,801,591,601,654,216,450,103,38,190,190
"G0501190","2014","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",88824,2543,957,763,897,690,718,730,2215,2309,4102,2750,6139,4939,9667,8227,10706,5358,8364,4861,6643,1940,2087,625,594,"Pulaski County, Arkansas",3738,759,363,359,545,323,414,325,678,745,1174,700,1242,1049,1818,1558,1515,1046,1313,910,1220,502,584,361,283
"G0501250","2014","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",30556,1091,498,159,476,442,396,370,790,660,853,922,910,2649,3173,3460,3016,2593,3165,1834,1922,550,431,106,90,"Saline County, Arkansas",1672,431,286,146,310,369,365,240,422,374,431,356,436,971,1029,1150,864,806,810,608,649,372,265,122,159
"G0501310","2014","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",31869,469,204,309,342,45,361,586,1230,1275,1491,1859,2999,2328,3896,3773,2529,1850,2091,1414,1299,682,321,204,312,"Sebastian County, Arkansas",1979,340,231,216,292,59,371,478,559,648,483,692,779,863,929,930,787,889,705,675,600,346,249,211,213
"G0501430","2014","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",44605,1194,606,27,357,152,250,386,562,562,448,1578,3281,1602,3835,5177,5854,4278,4058,3430,4074,953,1162,145,634,"Washington County, Arkansas",2413,482,539,44,268,143,209,329,394,287,236,623,1165,536,844,1041,1264,1190,907,949,932,438,590,163,450
"G0501450","2014","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",19812,537,1307,254,428,104,191,414,648,622,768,687,858,785,1906,1606,2860,1243,2208,1160,637,157,224,126,82,"White County, Arkansas",1253,327,662,160,227,86,188,310,375,440,356,423,455,347,581,602,873,578,712,661,367,200,232,149,130
"G0600010","2014","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",292164,4754,138,337,347,831,741,258,1367,459,1134,877,1145,895,2146,1881,3169,1688,7845,7717,33541,41716,94466,49422,35290,"Alameda County, California",4935,909,128,267,234,346,377,206,506,238,476,321,373,339,577,604,677,560,1186,1145,2580,3084,3737,2589,2105
"G0600070","2014","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",50643,1803,865,531,552,443,634,347,527,736,137,979,970,550,2809,1976,4022,3274,8206,6074,8461,4004,1538,965,240,"Butte County, California",1908,587,312,409,380,404,305,252,351,426,126,514,462,291,690,659,976,895,1279,1205,1324,1017,457,466,163
"G0600130","2014","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",246986,6100,381,292,559,737,887,358,224,1069,404,516,1101,712,2810,3376,5633,3878,15838,17860,35981,33461,48198,33483,33128,"Contra Costa County, California",4733,1103,251,236,331,499,434,190,189,446,270,324,519,451,796,961,1105,984,1919,1697,2278,2623,2684,2691,2241
"G0600170","2014","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",50682,1129,69,88,0,254,463,65,216,140,158,157,554,432,326,1033,1173,1500,3732,4886,11672,8100,10843,2295,1397,"El Dorado County, California",2268,433,116,148,200,315,364,109,204,143,179,176,337,370,203,548,646,604,882,888,1533,1295,1369,624,407
"G0600190","2014","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",152699,3936,1383,1761,890,1078,764,1284,1626,1260,2858,2856,3786,5205,10048,10053,15396,9958,23590,17803,19339,8493,6074,1521,1737,"Fresno County, California",4600,888,416,636,510,548,364,705,610,530,751,892,772,1070,1391,1327,1757,1404,2329,1912,1578,1116,1051,417,685
"G0600230","2014","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",28681,905,352,268,287,190,182,408,318,356,102,132,290,348,676,1028,936,809,4508,5066,5436,2856,2526,385,317,"Humboldt County, California",1717,382,383,240,217,188,167,264,193,241,92,136,200,204,335,535,357,498,912,791,966,784,666,212,160
"G0600250","2014","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",24760,765,0,432,312,137,152,218,230,531,207,646,719,1359,3018,2811,3523,2605,3268,2070,1246,6,367,72,66,"Imperial County, California",1914,314,200,316,190,185,157,173,167,287,192,352,306,504,914,777,916,779,915,704,531,11,267,101,113
"G0600290","2014","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",147728,3879,1238,1202,847,1657,1297,718,1652,2854,2918,3774,4252,3423,14453,10748,15503,10621,21971,15333,16567,6590,4383,1303,545,"Kern County, California",4468,937,589,485,373,629,562,465,723,775,857,1066,933,897,1958,1703,2033,1674,2454,1991,1978,1280,950,531,268
"G0600310","2014","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",21384,757,31,34,89,306,74,191,161,684,787,658,203,497,2291,1688,2912,1278,4700,1363,1503,749,276,0,152,"Kings County, California",1667,450,56,60,152,252,126,199,151,510,415,311,190,387,692,619,897,512,1149,465,457,481,178,200,158
"G0600330","2014","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",17872,671,81,0,399,384,545,370,782,459,306,447,423,830,1653,666,2472,740,2122,1116,1771,307,903,285,140,"Lake County, California",1313,383,98,200,295,314,446,260,420,262,252,309,332,422,555,428,658,375,676,525,605,211,416,198,167
"G0600370","2014","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",1486800,30528,2504,3010,2639,3383,4759,4945,7626,6711,4239,4879,4779,4516,13395,11979,23156,20477,69944,86993,274805,245608,342922,138783,174220,"Los Angeles County, California",12895,2262,666,916,576,596,928,1016,1097,1180,841,791,1008,773,1513,1468,2005,2209,3570,3599,6669,6544,7710,4799,5315
"G0600390","2014","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",26312,487,120,360,365,65,106,0,342,190,555,527,543,565,2902,1919,2299,1729,3834,2316,4129,1644,524,365,426,"Madera County, California",1788,327,140,293,277,108,125,200,253,211,379,343,341,377,1009,704,772,547,1006,634,1022,639,281,378,314
"G0600410","2014","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Marin County, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G0600450","2014","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",19242,977,114,216,451,312,43,236,35,38,505,135,108,44,506,226,724,379,1623,2207,3957,2138,2108,1277,883,"Mendocino County, California",1497,499,116,185,277,296,59,245,62,41,337,203,116,64,417,156,398,253,585,724,727,512,699,524,440
