GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJNQE001,AJNQE002,AJNQE003,AJNQE004,AJNQE005,AJNQE006,AJNQE007,AJNQE008,AJNQE009,AJNQE010,AJNQE011,AJNQE012,AJNQE013,AJNQE014,AJNQE015,AJNQE016,AJNQE017,AJNQE018,AJNQE019,AJNQE020,AJNQE021,AJNQE022,AJNQE023,AJNQE024,AJNQE025,AJNQE026,AJNQE027,NAME_M,AJNQM001,AJNQM002,AJNQM003,AJNQM004,AJNQM005,AJNQM006,AJNQM007,AJNQM008,AJNQM009,AJNQM010,AJNQM011,AJNQM012,AJNQM013,AJNQM014,AJNQM015,AJNQM016,AJNQM017,AJNQM018,AJNQM019,AJNQM020,AJNQM021,AJNQM022,AJNQM023,AJNQM024,AJNQM025,AJNQM026,AJNQM027
"G1901030","2018","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",35303,1594,290,428,144,328,176,61,166,219,130,89,110,447,852,2143,3123,3191,5734,4747,5499,2959,1937,452,450,0,34,"Johnson County, Iowa",1696,918,261,342,195,239,155,102,214,227,149,110,128,304,380,600,808,807,1109,1049,1252,660,593,318,392,163,57
"G1901130","2018","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",68715,1351,352,357,255,451,436,197,842,340,845,1495,2435,1655,8687,12199,8500,4051,8944,5417,6286,1828,1174,347,211,40,20,"Linn County, Iowa",1778,719,307,228,254,344,376,219,524,204,434,533,783,564,1245,1486,1221,789,1194,945,1256,553,382,264,170,66,34
"G1901530","2018","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",128598,1292,707,191,632,161,198,320,1017,1524,2323,2283,3113,4079,11222,13001,15609,11706,21842,10683,16506,4802,3970,957,266,7,187,"Polk County, Iowa",3533,673,347,175,410,173,194,235,510,696,739,672,813,810,1462,2221,1776,1928,2546,1688,2263,990,860,516,224,13,184
"G1901550","2018","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",24257,598,65,78,102,166,135,92,238,602,790,803,1530,1621,3447,2789,2458,1575,2403,1981,1329,820,404,92,114,11,14,"Pottawattamie County, Iowa",1127,505,81,100,104,139,139,154,158,328,362,434,430,508,716,613,634,498,437,499,434,335,243,108,118,19,15
"G1901630","2018","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",45153,528,397,477,442,176,221,106,451,607,1155,1326,1721,1610,4283,4049,5896,3065,4462,4405,6033,2652,687,224,180,0,0,"Scott County, Iowa",1964,354,356,381,300,140,193,115,311,367,398,531,465,533,815,778,998,806,850,892,1030,671,348,198,172,163,163
"G1901690","2018","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",20584,138,70,183,217,107,49,224,119,21,381,274,692,249,1463,1823,2791,2285,3201,2271,2658,903,206,259,0,0,0,"Story County, Iowa",1175,172,109,206,236,102,68,254,153,21,251,168,332,203,463,407,744,659,873,802,877,474,268,244,163,163,163
"G1901930","2018","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",25817,96,297,169,34,73,63,159,811,687,622,1092,2329,1742,4390,2801,2507,1293,2794,1730,1471,548,67,42,0,0,0,"Woodbury County, Iowa",1395,107,246,258,44,86,58,185,358,390,336,509,823,493,1040,657,672,509,733,432,402,351,112,70,163,163,163
"G2000150","2018","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",18964,222,160,187,17,202,172,312,573,349,729,1647,994,906,1623,1499,1878,1585,1910,1537,1366,775,231,71,0,0,19,"Butler County, Kansas",1254,177,169,182,23,200,128,381,268,252,395,621,425,464,636,529,520,472,592,561,510,449,173,75,177,177,35
"G2000450","2018","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",25899,188,0,149,79,0,198,0,61,59,266,38,362,1015,1298,2494,3320,2694,4514,2873,3463,1593,537,376,219,0,103,"Douglas County, Kansas",1917,247,177,163,135,177,208,177,103,102,217,69,305,515,411,931,987,767,1015,867,916,665,284,261,280,177,134
"G2000910","2018","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",158768,1035,250,302,347,389,175,361,240,88,258,494,568,478,4434,7562,11255,13673,25031,22826,32210,16263,12992,4554,1610,406,967,"Johnson County, Kansas",2999,386,198,205,284,223,149,395,239,102,218,281,261,245,913,1256,1444,2084,1878,1871,2191,1731,1578,939,435,263,379
