GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHPKE001,AHPKE002,AHPKE003,AHPKE004,AHPKE005,AHPKE006,AHPKE007,AHPKE008,AHPKE009,AHPKE010,AHPKE011,AHPKE012,AHPKE013,AHPKE014,AHPKE015,AHPKE016,AHPKE017,AHPKE018,AHPKE019,AHPKE020,AHPKE021,AHPKE022,AHPKE023,AHPKE024,AHPKE025,AHPKE026,AHPKE027,NAME_M,AHPKM001,AHPKM002,AHPKM003,AHPKM004,AHPKM005,AHPKM006,AHPKM007,AHPKM008,AHPKM009,AHPKM010,AHPKM011,AHPKM012,AHPKM013,AHPKM014,AHPKM015,AHPKM016,AHPKM017,AHPKM018,AHPKM019,AHPKM020,AHPKM021,AHPKM022,AHPKM023,AHPKM024,AHPKM025,AHPKM026,AHPKM027
"G06013014","2017","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",21244,20769,63,101,0,41,470,332,314,98,273,570,484,1056,797,1905,1537,2727,2371,3516,2025,1519,570,0,0,0,475,"Chico city, California",1749,1761,93,106,210,68,433,313,422,117,361,481,316,561,369,739,757,806,830,1043,808,629,392,210,210,210,309
"G06013210","2017","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06013214","2017","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06013392","2017","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",34853,34313,116,0,211,245,260,110,112,54,146,112,0,294,290,449,195,1118,1559,5507,5981,9759,4821,1236,1525,213,540,"Chula Vista city, California",3207,3102,141,210,333,154,191,86,135,88,149,119,210,328,302,325,163,448,661,1175,1358,1820,1594,758,821,254,358
"G06013588","2017","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Citrus Heights city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06014218","2017","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",13312,12889,0,0,180,0,0,141,312,0,101,63,0,271,912,868,275,1944,2111,2272,1220,1952,267,0,0,0,423,"Clovis city, California",1531,1537,210,210,227,210,210,119,299,210,109,107,210,211,619,530,204,678,725,764,541,732,195,210,210,210,314
"G06015044","2017","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",11151,10835,103,0,233,193,0,68,162,148,0,264,126,116,0,621,40,1355,1189,2484,1162,1991,424,156,0,0,316,"Compton city, California",1317,1304,169,210,261,193,210,60,142,182,210,223,207,99,210,329,68,557,511,818,486,669,392,258,210,210,251
"G06016000","2017","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Concord city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06016350","2017","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Corona city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06016532","2017","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
