GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S5EE001,S5EE002,S5EE003,S5EE004,S5EE005,S5EE006,S5EE007,S5EE008,S5EE009,S5EE010,S5EE011,S5EE012,S5EE013,S5EE014,S5EE015,S5EE016,S5EE017,S5EE018,S5EE019,S5EE020,S5EE021,S5EE022,S5EE023,S5EE024,NAME_M,S5EM001,S5EM002,S5EM003,S5EM004,S5EM005,S5EM006,S5EM007,S5EM008,S5EM009,S5EM010,S5EM011,S5EM012,S5EM013,S5EM014,S5EM015,S5EM016,S5EM017,S5EM018,S5EM019,S5EM020,S5EM021,S5EM022,S5EM023,S5EM024
"G06002364","2013","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",,,,,,,,,,,,,,,,,,,,,,,,,"Apple Valley town, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06002553","2013","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",23156,22692,69,0,0,192,83,142,0,84,316,1120,2105,2622,2087,2275,1443,2648,1944,2342,1288,971,961,464,"Arden-Arcade CDP, California",1976,1979,114,203,203,169,136,234,203,137,209,693,851,874,697,662,664,861,724,958,679,579,819,286
"G06003526","2013","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",53386,52265,176,104,672,176,336,145,400,1258,1548,2175,2641,4384,3723,3502,4073,6133,3234,9517,3505,3451,1112,1121,"Bakersfield city, California",3519,3542,238,124,470,132,171,187,359,667,721,873,856,1201,1180,1010,1131,1663,999,1970,1137,1238,513,546
"G06003666","2013","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06004982","2013","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Bellflower city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06006000","2013","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",27117,26411,183,0,295,1172,250,159,253,151,130,345,495,751,143,675,301,1363,1939,4367,3374,6190,3875,706,"Berkeley city, California",1662,1685,179,203,229,647,272,134,332,143,101,230,323,406,135,403,223,507,681,828,883,1272,918,378
"G06008786","2013","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06008954","2013","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",26252,25837,0,0,0,402,147,316,230,258,0,36,265,479,0,304,269,1521,1431,6677,4844,5369,3289,415,"Burbank city, California",2087,2042,203,203,203,292,241,422,176,421,203,59,338,461,203,250,191,762,547,1441,1158,1254,1017,299
"G06010046","2013","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Camarillo city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06011194","2013","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Carlsbad city, California",,,,,,,,,,,,,,,,,,,,,,,,
