GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADC4E001,ADC4E002,ADC4E003,ADC4E004,ADC4E005,ADC4E006,ADC4E007,ADC4E008,ADC4E009,ADC4E010,ADC4E011,ADC4E012,ADC4E013,ADC4E014,ADC4E015,ADC4E016,ADC4E017,ADC4E018,ADC4E019,ADC4E020,ADC4E021,ADC4E022,ADC4E023,ADC4E024,ADC4E025,ADC4E026,ADC4E027,NAME_M,ADC4M001,ADC4M002,ADC4M003,ADC4M004,ADC4M005,ADC4M006,ADC4M007,ADC4M008,ADC4M009,ADC4M010,ADC4M011,ADC4M012,ADC4M013,ADC4M014,ADC4M015,ADC4M016,ADC4M017,ADC4M018,ADC4M019,ADC4M020,ADC4M021,ADC4M022,ADC4M023,ADC4M024,ADC4M025,ADC4M026,ADC4M027
"G06003526","2015","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",48298,47253,164,206,521,206,591,427,349,714,763,1596,1938,3525,3783,3615,3521,4902,4002,7689,3370,4149,545,311,277,89,1045,"Bakersfield city, California",3118,3154,197,241,404,196,470,294,373,460,394,610,632,943,1021,1047,938,1386,1086,1478,1071,1449,309,273,241,106,492
"G06003666","2015","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06004982","2015","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bellflower city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06006000","2015","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",25643,24874,196,0,0,537,271,186,0,181,371,140,447,516,802,535,314,898,756,2630,5276,5352,2816,1438,784,428,769,"Berkeley city, California",2288,2261,206,201,201,302,198,152,201,224,293,132,354,294,397,293,410,408,321,692,1253,849,803,523,401,204,420
"G06008786","2015","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06008954","2015","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",25580,25114,0,0,239,107,111,77,107,335,67,65,0,317,39,218,560,507,2064,4401,5708,6363,2111,1305,178,235,466,"Burbank city, California",1787,1740,201,201,331,130,183,89,125,293,112,108,201,285,63,188,367,290,571,943,1153,1283,727,664,175,273,268
"G06010046","2015","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Camarillo city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06011194","2015","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carlsbad city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06011390","2015","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carmichael CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06011530","2015","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carson city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06013014","2015","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",19551,19281,107,45,141,116,77,151,233,323,163,609,925,974,1096,1264,925,3092,1941,3771,1804,1149,340,35,0,0,270,"Chico city, California",1682,1670,170,74,173,124,75,149,289,303,222,379,451,593,433,474,353,883,763,961,686,573,324,59,201,201,222
"G06013210","2015","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06013214","2015","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06013392","2015","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",32816,31235,165,104,157,661,147,172,101,194,87,134,85,313,269,450,619,1896,2778,6302,5228,7502,2573,1089,209,0,1581,"Chula Vista city, California",2656,2437,236,171,187,453,110,158,126,216,103,221,113,198,341,361,440,619,775,1498,1039,1424,861,700,204,201,1154
