GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFUEE001,AFUEE002,AFUEE003,AFUEE004,AFUEE005,AFUEE006,AFUEE007,AFUEE008,AFUEE009,AFUEE010,AFUEE011,AFUEE012,AFUEE013,AFUEE014,AFUEE015,AFUEE016,AFUEE017,AFUEE018,AFUEE019,AFUEE020,AFUEE021,AFUEE022,AFUEE023,AFUEE024,AFUEE025,AFUEE026,AFUEE027,NAME_M,AFUEM001,AFUEM002,AFUEM003,AFUEM004,AFUEM005,AFUEM006,AFUEM007,AFUEM008,AFUEM009,AFUEM010,AFUEM011,AFUEM012,AFUEM013,AFUEM014,AFUEM015,AFUEM016,AFUEM017,AFUEM018,AFUEM019,AFUEM020,AFUEM021,AFUEM022,AFUEM023,AFUEM024,AFUEM025,AFUEM026,AFUEM027
"G06011964","2016","CA",,,"California","06",,,"Castro Valley CDP","11964",,,,,,,,,,,,,,,,"16000US0611964","Castro Valley CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Castro Valley CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06013014","2016","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chico city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06013210","2016","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06013214","2016","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06013392","2016","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",34710,33114,0,0,0,554,440,135,118,140,0,183,545,165,74,657,414,3149,2780,6101,3567,8793,4350,608,341,0,1596,"Chula Vista city, California",2527,2474,206,206,206,321,320,134,114,195,206,184,517,172,125,405,319,961,719,1591,1178,1467,1290,408,354,206,678
"G06013588","2016","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Citrus Heights city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06014218","2016","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",14700,14191,0,0,0,124,285,101,194,0,0,44,136,630,798,763,1380,1684,1759,2710,1836,1001,685,0,0,61,509,"Clovis city, California",1345,1355,206,206,206,205,285,171,247,206,206,73,132,578,440,541,675,624,781,779,641,408,389,206,206,72,321
"G06015044","2016","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",10476,10205,383,0,120,46,199,0,107,406,0,284,0,305,160,126,235,865,1538,2747,1344,963,298,79,0,0,271,"Compton city, California",1045,1058,358,206,194,76,203,206,91,324,206,240,206,223,158,210,234,355,489,646,474,429,270,93,206,206,235
"G06016000","2016","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Concord city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06016350","2016","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Corona city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06016532","2016","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06017918","2016","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Daly City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06018100","2016","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Davis city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06019766","2016","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Downey city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06020802","2016","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",22560,21740,158,173,46,46,364,0,295,169,157,381,237,456,345,919,920,3035,3346,6112,2668,1547,366,0,0,0,820,"East Los Angeles CDP, California",1664,1579,199,221,76,77,218,206,233,234,202,212,257,288,235,453,439,801,833,935,721,631,317,206,206,206,397
"G06021712","2016","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"El Cajon city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06022020","2016","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elk Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06022230","2016","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",16337,15728,0,0,36,214,24,89,52,162,67,386,83,317,173,402,384,1589,1745,4653,3257,1747,270,78,0,0,609,"El Monte city, California",1300,1306,206,206,60,148,40,88,60,146,112,224,70,243,203,304,251,523,568,928,631,524,186,130,206,206,321
"G06022804","2016","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Escondido city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06023182","2016","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairfield city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06024477","2016","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Florence-Graham CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06024638","2016","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Folsom city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
