GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA3AE001,AA3AE002,AA3AE003,AA3AE004,AA3AE005,AA3AE006,AA3AE007,AA3AE008,AA3AE009,AA3AE010,AA3AE011,AA3AE012,AA3AE013,AA3AE014,AA3AE015,AA3AE016,AA3AE017,AA3AE018,AA3AE019,AA3AE020,AA3AE021,AA3AE022,AA3AE023,AA3AE024,NAME_M,AA3AM001,AA3AM002,AA3AM003,AA3AM004,AA3AM005,AA3AM006,AA3AM007,AA3AM008,AA3AM009,AA3AM010,AA3AM011,AA3AM012,AA3AM013,AA3AM014,AA3AM015,AA3AM016,AA3AM017,AA3AM018,AA3AM019,AA3AM020,AA3AM021,AA3AM022,AA3AM023,AA3AM024
"G06002364","2014","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",,,,,,,,,,,,,,,,,,,,,,,,,"Apple Valley town, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06002553","2014","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",21476,21173,123,42,274,89,38,74,0,222,124,487,1240,1714,2252,2810,2969,2004,2666,2058,1421,566,0,303,"Arden-Arcade CDP, California",2267,2259,147,69,278,104,63,122,200,195,148,323,583,581,756,1038,925,676,926,829,560,370,200,235
"G06003526","2014","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",50119,48795,287,0,138,503,333,217,657,780,988,2311,2128,3477,4793,3047,2799,5584,4146,8378,4800,2454,975,1324,"Bakersfield city, California",3089,3011,274,200,142,371,291,140,434,500,492,882,719,1058,1136,956,740,1141,1030,1734,1290,942,529,547
"G06003666","2014","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06004982","2014","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Bellflower city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06006000","2014","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",25659,25285,120,160,22,294,271,159,39,41,196,348,550,487,288,580,173,1551,1387,5240,4199,5077,4103,374,"Berkeley city, California",1716,1732,144,162,37,204,187,167,66,67,215,279,352,312,183,430,153,652,530,1202,752,945,860,254
"G06008786","2014","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06008954","2014","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",25396,25050,131,0,96,393,178,109,65,248,81,278,0,204,39,811,441,1168,2423,4706,4980,5060,3639,346,"Burbank city, California",1923,1905,165,200,160,393,213,132,107,246,135,265,200,201,65,585,373,511,760,1128,1077,1292,1052,243
"G06010046","2014","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Camarillo city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06011194","2014","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Carlsbad city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06011390","2014","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",12330,12065,50,0,135,79,198,64,82,0,0,336,537,255,906,1656,1273,1984,1304,1465,764,395,582,265,"Carmichael CDP, California",1797,1718,83,200,224,132,322,106,67,200,200,293,483,346,464,795,653,729,728,688,445,243,446,325
"G06011530","2014","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Carson city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06013014","2014","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",19280,18936,26,0,139,249,146,252,309,459,619,597,1158,1064,1694,738,1661,2248,1649,3788,1457,532,151,344,"Chico city, California",1799,1821,45,200,155,169,179,174,301,668,367,484,619,420,853,381,599,929,573,1003,703,338,132,229
