GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PF8E001,PF8E002,PF8E003,PF8E004,PF8E005,PF8E006,PF8E007,PF8E008,PF8E009,PF8E010,PF8E011,PF8E012,PF8E013,PF8E014,PF8E015,PF8E016,PF8E017,PF8E018,PF8E019,PF8E020,PF8E021,PF8E022,PF8E023,PF8E024,NAME_M,PF8M001,PF8M002,PF8M003,PF8M004,PF8M005,PF8M006,PF8M007,PF8M008,PF8M009,PF8M010,PF8M011,PF8M012,PF8M013,PF8M014,PF8M015,PF8M016,PF8M017,PF8M018,PF8M019,PF8M020,PF8M021,PF8M022,PF8M023,PF8M024
"G06021712","2012","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",21334,21152,41,119,65,143,127,196,39,168,239,122,38,141,395,1064,1021,3825,2630,5610,2829,1501,839,182,"El Cajon city, California",1756,1763,67,143,106,141,208,168,65,144,178,114,62,193,327,686,510,943,837,1257,770,630,532,176
"G06022020","2012","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Elk Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06022230","2012","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",17472,17091,0,0,149,95,0,0,161,101,148,90,187,441,823,1146,659,2700,2596,3777,1497,2339,182,381,"El Monte city, California",1471,1457,197,197,188,124,197,197,190,135,127,89,149,276,371,506,414,721,700,875,547,700,157,193
"G06022804","2012","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",23790,23278,32,105,424,236,102,128,114,109,470,429,351,108,390,199,1177,2653,2786,6525,2815,3030,1095,512,"Escondido city, California",1804,1867,52,127,448,190,150,162,187,132,384,380,352,105,311,192,465,706,864,1299,730,818,655,283
"G06023182","2012","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",14544,13834,0,70,188,315,153,80,0,22,97,98,122,0,312,337,704,1548,1059,3287,1894,2763,785,710,"Fairfield city, California",1459,1423,197,115,223,255,116,134,197,36,165,159,172,197,238,172,363,491,496,715,725,740,411,446
"G06024477","2012","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,"Florence-Graham CDP, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06024638","2012","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Folsom city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06024680","2012","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Fontana city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06026000","2012","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Fremont city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06027000","2012","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",88074,86270,1746,892,685,1310,1454,1498,1686,2025,2689,3981,4753,6449,6955,6856,5628,9634,8511,13191,3242,1649,1436,1804,"Fresno city, California",3352,3371,764,490,371,504,596,538,595,692,832,1022,1028,1251,1323,1257,1184,1495,1659,2307,1037,719,623,534
"G06028000","2012","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Fullerton city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06029000","2012","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",22828,22363,163,41,121,629,0,149,118,260,174,498,37,341,135,36,286,1148,1914,6484,4270,4342,1217,465,"Garden Grove city, California",1725,1749,192,66,148,346,197,151,96,238,175,310,61,279,171,59,200,492,661,1103,866,947,579,298
"G06030000","2012","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",43132,42193,37,0,485,743,382,156,207,256,74,252,181,482,684,467,939,3301,4546,11818,9570,4985,2628,939,"Glendale city, California",2466,2456,60,197,360,408,286,255,226,236,87,200,134,304,484,340,387,948,1029,1712,1183,965,800,519
"G06032548","2012","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"16000US0632548","Hawthorne city, California",21511,21276,215,0,72,153,111,134,0,234,0,123,40,560,358,867,1426,5470,2826,5423,2014,1039,211,235,"Hawthorne city, California",1686,1694,170,197,118,151,183,215,197,298,197,153,67,363,237,552,579,1121,701,1015,658,455,160,282
