GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S25E001,S25E002,S25E003,NAME_M,S25M001,S25M002,S25M003
"G06029000","2013","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",46952,46034,918,"Garden Grove city, California",2090,2060,462
"G06030000","2013","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",74822,70660,4162,"Glendale city, California",2152,2268,1268
"G06032548","2013","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"16000US0632548","Hawthorne city, California",31130,29038,2092,"Hawthorne city, California",2120,1893,747
"G06033000","2013","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"16000US0633000","Hayward city, California",49037,46879,2158,"Hayward city, California",2119,2060,752
"G06033182","2013","CA",,,"California","06",,,"Hemet city","33182",,,,,,,,,,,,,,,,"16000US0633182","Hemet city, California",35775,30364,5411,"Hemet city, California",2418,1874,1294
"G06033434","2013","CA",,,"California","06",,,"Hesperia city","33434",,,,,,,,,,,,,,,,"16000US0633434","Hesperia city, California",28414,25290,3124,"Hesperia city, California",1774,1306,1134
"G06036000","2013","CA",,,"California","06",,,"Huntington Beach city","36000",,,,,,,,,,,,,,,,"16000US0636000","Huntington Beach city, California",78155,74461,3694,"Huntington Beach city, California",2455,2082,1138
"G06036448","2013","CA",,,"California","06",,,"Indio city","36448",,,,,,,,,,,,,,,,"16000US0636448","Indio city, California",33384,26368,7016,"Indio city, California",1797,1487,1200
"G06036546","2013","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"16000US0636546","Inglewood city, California",38888,36681,2207,"Inglewood city, California",2277,2135,668
"G06036770","2013","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"16000US0636770","Irvine city, California",88669,84808,3861,"Irvine city, California",2889,2619,1523
"G06037692","2013","CA",,,"California","06",,,"Jurupa Valley city","37692",,,,,,,,,,,,,,,,"16000US0637692","Jurupa Valley city, California",26750,24998,1752,"Jurupa Valley city, California",1593,1362,649
"G06039496","2013","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"16000US0639496","Lake Forest city, California",27329,26534,795,"Lake Forest city, California",1620,1474,653
"G06039892","2013","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"16000US0639892","Lakewood city, California",26532,25341,1191,"Lakewood city, California",1438,1189,706
"G06040130","2013","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"16000US0640130","Lancaster city, California",56176,50583,5593,"Lancaster city, California",2610,2294,1367
"G06041992","2013","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"16000US0641992","Livermore city, California",31276,29509,1767,"Livermore city, California",1907,1650,741
"G06043000","2013","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"16000US0643000","Long Beach city, California",175205,165125,10080,"Long Beach city, California",4769,4560,1804
"G06044000","2013","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"16000US0644000","Los Angeles city, California",1406849,1320167,86682,"Los Angeles city, California",10218,9304,4503
"G06044574","2013","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"16000US0644574","Lynwood city, California",15820,15031,789,"Lynwood city, California",1191,1006,491
"G06045484","2013","CA",,,"California","06",,,"Manteca city","45484",,,,,,,,,,,,,,,,"16000US0645484","Manteca city, California",23719,21845,1874,"Manteca city, California",1624,1236,985
"G06046842","2013","CA",,,"California","06",,,"Menifee city","46842",,,,,,,,,,,,,,,,"16000US0646842","Menifee city, California",29875,27774,2101,"Menifee city, California",1532,1266,802
"G06046898","2013","CA",,,"California","06",,,"Merced city","46898",,,,,,,,,,,,,,,,"16000US0646898","Merced city, California",27423,24848,2575,"Merced city, California",1391,1326,1047
"G06047766","2013","CA",,,"California","06",,,"Milpitas city","47766",,,,,,,,,,,,,,,,"16000US0647766","Milpitas city, California",20969,20668,301,"Milpitas city, California",1010,981,324
"G06048256","2013","CA",,,"California","06",,,"Mission Viejo city","48256",,,,,,,,,,,,,,,,"16000US0648256","Mission Viejo city, California",36040,34809,1231,"Mission Viejo city, California",1685,1769,657
"G06048354","2013","CA",,,"California","06",,,"Modesto city","48354",,,,,,,,,,,,,,,,"16000US0648354","Modesto city, California",74585,69496,5089,"Modesto city, California",2254,2224,1302
"G06049270","2013","CA",,,"California","06",,,"Moreno Valley city","49270",,,,,,,,,,,,,,,,"16000US0649270","Moreno Valley city, California",52683,50253,2430,"Moreno Valley city, California",2093,1973,814
"G06049670","2013","CA",,,"California","06",,,"Mountain View city","49670",,,,,,,,,,,,,,,,"16000US0649670","Mountain View city, California",33608,32824,784,"Mountain View city, California",1819,1776,544
"G06050076","2013","CA",,,"California","06",,,"Murrieta city","50076",,,,,,,,,,,,,,,,"16000US0650076","Murrieta city, California",35201,33271,1930,"Murrieta city, California",1679,1657,787
"G06050258","2013","CA",,,"California","06",,,"Napa city","50258",,,,,,,,,,,,,,,,"16000US0650258","Napa city, California",30232,27476,2756,"Napa city, California",1188,1273,903
"G06051182","2013","CA",,,"California","06",,,"Newport Beach city","51182",,,,,,,,,,,,,,,,"16000US0651182","Newport Beach city, California",42996,37332,5664,"Newport Beach city, California",2196,1561,1560
"G06052526","2013","CA",,,"California","06",,,"Norwalk city","52526",,,,,,,,,,,,,,,,"16000US0652526","Norwalk city, California",28525,27085,1440,"Norwalk city, California",1561,1451,737
"G06053000","2013","CA",,,"California","06",,,"Oakland city","53000",,,,,,,,,,,,,,,,"16000US0653000","Oakland city, California",165962,154214,11748,"Oakland city, California",3693,3611,1703
"G06053322","2013","CA",,,"California","06",,,"Oceanside city","53322",,,,,,,,,,,,,,,,"16000US0653322","Oceanside city, California",67878,63130,4748,"Oceanside city, California",2944,2523,1213
"G06053896","2013","CA",,,"California","06",,,"Ontario city","53896",,,,,,,,,,,,,,,,"16000US0653896","Ontario city, California",52719,47233,5486,"Ontario city, California",2272,1941,1242
"G06053980","2013","CA",,,"California","06",,,"Orange city","53980",,,,,,,,,,,,,,,,"16000US0653980","Orange city, California",43664,41979,1685,"Orange city, California",2261,2155,716
"G06054652","2013","CA",,,"California","06",,,"Oxnard city","54652",,,,,,,,,,,,,,,,"16000US0654652","Oxnard city, California",54020,50820,3200,"Oxnard city, California",2033,1973,1006
"G06055156","2013","CA",,,"California","06",,,"Palmdale city","55156",,,,,,,,,,,,,,,,"16000US0655156","Palmdale city, California",49884,44467,5417,"Palmdale city, California",2243,1883,1347
"G06055282","2013","CA",,,"California","06",,,"Palo Alto city","55282",,,,,,,,,,,,,,,,"16000US0655282","Palo Alto city, California",27573,26315,1258,"Palo Alto city, California",1436,1183,774
"G06056000","2013","CA",,,"California","06",,,"Pasadena city","56000",,,,,,,,,,,,,,,,"16000US0656000","Pasadena city, California",58592,54352,4240,"Pasadena city, California",2526,2069,1184
"G06056700","2013","CA",,,"California","06",,,"Perris city","56700",,,,,,,,,,,,,,,,"16000US0656700","Perris city, California",17521,16881,640,"Perris city, California",1343,1292,560
"G06057456","2013","CA",,,"California","06",,,"Pittsburg city","57456",,,,,,,,,,,,,,,,"16000US0657456","Pittsburg city, California",22445,21368,1077,"Pittsburg city, California",1771,1630,604
"G06057792","2013","CA",,,"California","06",,,"Pleasanton city","57792",,,,,,,,,,,,,,,,"16000US0657792","Pleasanton city, California",27814,26500,1314,"Pleasanton city, California",1347,1192,796
"G06058072","2013","CA",,,"California","06",,,"Pomona city","58072",,,,,,,,,,,,,,,,"16000US0658072","Pomona city, California",41074,39470,1604,"Pomona city, California",1866,1707,599
"G06059444","2013","CA",,,"California","06",,,"Rancho Cordova city","59444",,,,,,,,,,,,,,,,"16000US0659444","Rancho Cordova city, California",25231,24032,1199,"Rancho Cordova city, California",1391,1085,671
"G06059451","2013","CA",,,"California","06",,,"Rancho Cucamonga city","59451",,,,,,,,,,,,,,,,"16000US0659451","Rancho Cucamonga city, California",57012,54674,2338,"Rancho Cucamonga city, California",2599,2526,997
"G06059920","2013","CA",,,"California","06",,,"Redding city","59920",,,,,,,,,,,,,,,,"16000US0659920","Redding city, California",37973,35087,2886,"Redding city, California",1528,1731,984
"G06059962","2013","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"16000US0659962","Redlands city, California",26921,23956,2965,"Redlands city, California",2022,1629,1108
"G06060018","2013","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"16000US0660018","Redondo Beach city, California",30930,28521,2409,"Redondo Beach city, California",1918,1576,1031
"G06060102","2013","CA",,,"California","06",,,"Redwood City city","60102",,,,,,,,,,,,,,,,"16000US0660102","Redwood City city, California",28823,28091,732,"Redwood City city, California",1650,1584,515
"G06060466","2013","CA",,,"California","06",,,"Rialto city","60466",,,,,,,,,,,,,,,,"16000US0660466","Rialto city, California",27156,25482,1674,"Rialto city, California",1340,1223,583
"G06060620","2013","CA",,,"California","06",,,"Richmond city","60620",,,,,,,,,,,,,,,,"16000US0660620","Richmond city, California",39292,36004,3288,"Richmond city, California",1933,1849,904
"G06062000","2013","CA",,,"California","06",,,"Riverside city","62000",,,,,,,,,,,,,,,,"16000US0662000","Riverside city, California",95994,89596,6398,"Riverside city, California",3462,3089,1556
