GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADAVE001,ADAVE002,ADAVE003,NAME_M,ADAVM001,ADAVM002,ADAVM003
"G06022230","2015","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",32889,31474,1415,"El Monte city, California",1527,1430,558
"G06022804","2015","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",47488,45676,1812,"Escondido city, California",2197,2136,721
"G06023182","2015","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",37200,35392,1808,"Fairfield city, California",1479,1280,859
"G06024477","2015","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",15285,14511,774,"Florence-Graham CDP, California",1215,1130,397
"G06024638","2015","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",27938,27044,894,"Folsom city, California",1389,1256,600
"G06024680","2015","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",51580,49811,1769,"Fontana city, California",1805,1624,722
"G06026000","2015","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",76416,73846,2570,"Fremont city, California",2519,2353,1037
"G06027000","2015","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",173504,163473,10031,"Fresno city, California",2940,3309,1907
"G06028000","2015","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",48991,46220,2771,"Fullerton city, California",2317,1916,1150
"G06029000","2015","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",48934,47381,1553,"Garden Grove city, California",1911,1829,556
"G06030000","2015","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",78270,74215,4055,"Glendale city, California",2821,2512,1172
"G06032548","2015","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"16000US0632548","Hawthorne city, California",30751,29545,1206,"Hawthorne city, California",1848,1663,604
"G06033000","2015","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"16000US0633000","Hayward city, California",48140,46909,1231,"Hayward city, California",1977,1921,623
"G06033182","2015","CA",,,"California","06",,,"Hemet city","33182",,,,,,,,,,,,,,,,"16000US0633182","Hemet city, California",31989,27881,4108,"Hemet city, California",1905,1747,1149
"G06033434","2015","CA",,,"California","06",,,"Hesperia city","33434",,,,,,,,,,,,,,,,"16000US0633434","Hesperia city, California",28635,26458,2177,"Hesperia city, California",1775,1524,896
"G06036000","2015","CA",,,"California","06",,,"Huntington Beach city","36000",,,,,,,,,,,,,,,,"16000US0636000","Huntington Beach city, California",78798,75158,3640,"Huntington Beach city, California",2575,2318,1058
"G06036448","2015","CA",,,"California","06",,,"Indio city","36448",,,,,,,,,,,,,,,,"16000US0636448","Indio city, California",33718,28165,5553,"Indio city, California",2202,1970,1158
"G06036546","2015","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"16000US0636546","Inglewood city, California",36931,35250,1681,"Inglewood city, California",2115,2069,647
"G06036770","2015","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"16000US0636770","Irvine city, California",96305,91186,5119,"Irvine city, California",3321,2604,1992
"G06037692","2015","CA",,,"California","06",,,"Jurupa Valley city","37692",,,,,,,,,,,,,,,,"16000US0637692","Jurupa Valley city, California",26902,25741,1161,"Jurupa Valley city, California",1433,1369,547
"G06039248","2015","CA",,,"California","06",,,"Laguna Niguel city","39248",,,,,,,,,,,,,,,,"16000US0639248","Laguna Niguel city, California",28172,25350,2822,"Laguna Niguel city, California",1760,1629,1109
"G06039496","2015","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"16000US0639496","Lake Forest city, California",31778,29726,2052,"Lake Forest city, California",1695,1464,976
"G06039892","2015","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"16000US0639892","Lakewood city, California",27816,26001,1815,"Lakewood city, California",1480,1214,687
"G06040130","2015","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"16000US0640130","Lancaster city, California",51823,47372,4451,"Lancaster city, California",2407,2142,1048
"G06041992","2015","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"16000US0641992","Livermore city, California",31153,30146,1007,"Livermore city, California",1874,1611,703
"G06043000","2015","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"16000US0643000","Long Beach city, California",177343,167660,9683,"Long Beach city, California",4275,3962,1620
"G06044000","2015","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"16000US0644000","Los Angeles city, California",1451722,1360164,91558,"Los Angeles city, California",8928,8307,4677
"G06044574","2015","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"16000US0644574","Lynwood city, California",15910,15616,294,"Lynwood city, California",1121,1094,233
"G06045484","2015","CA",,,"California","06",,,"Manteca city","45484",,,,,,,,,,,,,,,,"16000US0645484","Manteca city, California",23916,23005,911,"Manteca city, California",1508,1425,568
"G06046842","2015","CA",,,"California","06",,,"Menifee city","46842",,,,,,,,,,,,,,,,"16000US0646842","Menifee city, California",30173,28384,1789,"Menifee city, California",1637,1446,869
"G06046898","2015","CA",,,"California","06",,,"Merced city","46898",,,,,,,,,,,,,,,,"16000US0646898","Merced city, California",26856,25848,1008,"Merced city, California",1626,1533,441
"G06047766","2015","CA",,,"California","06",,,"Milpitas city","47766",,,,,,,,,,,,,,,,"16000US0647766","Milpitas city, California",23515,22756,759,"Milpitas city, California",1374,1297,542
"G06048256","2015","CA",,,"California","06",,,"Mission Viejo city","48256",,,,,,,,,,,,,,,,"16000US0648256","Mission Viejo city, California",34947,33575,1372,"Mission Viejo city, California",1800,1667,844
"G06048354","2015","CA",,,"California","06",,,"Modesto city","48354",,,,,,,,,,,,,,,,"16000US0648354","Modesto city, California",73951,70114,3837,"Modesto city, California",2311,2173,1200
"G06049270","2015","CA",,,"California","06",,,"Moreno Valley city","49270",,,,,,,,,,,,,,,,"16000US0649270","Moreno Valley city, California",56480,52091,4389,"Moreno Valley city, California",1941,1784,1223
"G06049670","2015","CA",,,"California","06",,,"Mountain View city","49670",,,,,,,,,,,,,,,,"16000US0649670","Mountain View city, California",33965,32514,1451,"Mountain View city, California",1773,1827,781
"G06050076","2015","CA",,,"California","06",,,"Murrieta city","50076",,,,,,,,,,,,,,,,"16000US0650076","Murrieta city, California",33864,33068,796,"Murrieta city, California",1968,1746,637
"G06050258","2015","CA",,,"California","06",,,"Napa city","50258",,,,,,,,,,,,,,,,"16000US0650258","Napa city, California",29839,27905,1934,"Napa city, California",1089,1013,742
"G06051182","2015","CA",,,"California","06",,,"Newport Beach city","51182",,,,,,,,,,,,,,,,"16000US0651182","Newport Beach city, California",42116,36146,5970,"Newport Beach city, California",2298,1811,1280
"G06052526","2015","CA",,,"California","06",,,"Norwalk city","52526",,,,,,,,,,,,,,,,"16000US0652526","Norwalk city, California",27967,27139,828,"Norwalk city, California",1472,1366,517
"G06053000","2015","CA",,,"California","06",,,"Oakland city","53000",,,,,,,,,,,,,,,,"16000US0653000","Oakland city, California",169213,161104,8109,"Oakland city, California",3328,3269,1265
"G06053322","2015","CA",,,"California","06",,,"Oceanside city","53322",,,,,,,,,,,,,,,,"16000US0653322","Oceanside city, California",68948,64200,4748,"Oceanside city, California",2891,2712,1149
"G06053896","2015","CA",,,"California","06",,,"Ontario city","53896",,,,,,,,,,,,,,,,"16000US0653896","Ontario city, California",50314,48463,1851,"Ontario city, California",1999,1934,706
"G06053980","2015","CA",,,"California","06",,,"Orange city","53980",,,,,,,,,,,,,,,,"16000US0653980","Orange city, California",43910,42686,1224,"Orange city, California",2039,1962,615
"G06054652","2015","CA",,,"California","06",,,"Oxnard city","54652",,,,,,,,,,,,,,,,"16000US0654652","Oxnard city, California",54039,50396,3643,"Oxnard city, California",2028,1931,1068
"G06055156","2015","CA",,,"California","06",,,"Palmdale city","55156",,,,,,,,,,,,,,,,"16000US0655156","Palmdale city, California",48427,44629,3798,"Palmdale city, California",2276,1896,1151
"G06055282","2015","CA",,,"California","06",,,"Palo Alto city","55282",,,,,,,,,,,,,,,,"16000US0655282","Palo Alto city, California",27411,26030,1381,"Palo Alto city, California",1407,1281,717
"G06056000","2015","CA",,,"California","06",,,"Pasadena city","56000",,,,,,,,,,,,,,,,"16000US0656000","Pasadena city, California",58670,52636,6034,"Pasadena city, California",2404,2123,1187
"G06056700","2015","CA",,,"California","06",,,"Perris city","56700",,,,,,,,,,,,,,,,"16000US0656700","Perris city, California",16603,15614,989,"Perris city, California",1237,1031,633
"G06057456","2015","CA",,,"California","06",,,"Pittsburg city","57456",,,,,,,,,,,,,,,,"16000US0657456","Pittsburg city, California",22835,21934,901,"Pittsburg city, California",1191,1161,468
"G06057792","2015","CA",,,"California","06",,,"Pleasanton city","57792",,,,,,,,,,,,,,,,"16000US0657792","Pleasanton city, California",28245,27610,635,"Pleasanton city, California",1111,1007,514
"G06058072","2015","CA",,,"California","06",,,"Pomona city","58072",,,,,,,,,,,,,,,,"16000US0658072","Pomona city, California",42586,40843,1743,"Pomona city, California",1874,1828,648
"G06059444","2015","CA",,,"California","06",,,"Rancho Cordova city","59444",,,,,,,,,,,,,,,,"16000US0659444","Rancho Cordova city, California",25820,24656,1164,"Rancho Cordova city, California",1372,1238,578
"G06059451","2015","CA",,,"California","06",,,"Rancho Cucamonga city","59451",,,,,,,,,,,,,,,,"16000US0659451","Rancho Cucamonga city, California",56687,54106,2581,"Rancho Cucamonga city, California",2435,2122,1199
"G06059920","2015","CA",,,"California","06",,,"Redding city","59920",,,,,,,,,,,,,,,,"16000US0659920","Redding city, California",39787,36937,2850,"Redding city, California",1814,1694,928
"G06059962","2015","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"16000US0659962","Redlands city, California",25958,24203,1755,"Redlands city, California",1651,1404,871
