GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PDHE001,PDHE002,PDHE003,NAME_M,PDHM001,PDHM002,PDHM003
"G06016000","2012","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",47884,44634,3250,"Concord city, California",2140,2116,1079
"G06016350","2012","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",47648,44677,2971,"Corona city, California",2314,2004,940
"G06016532","2012","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",43846,41997,1849,"Costa Mesa city, California",1896,1676,732
"G06017918","2012","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",31812,29976,1836,"Daly City city, California",1636,1601,807
"G06018100","2012","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",25381,24361,1020,"Davis city, California",1391,1418,597
"G06019766","2012","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",34133,33310,823,"Downey city, California",1770,1665,521
"G06020802","2012","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",32245,30707,1538,"East Los Angeles CDP, California",1492,1553,567
"G06021712","2012","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",35871,33891,1980,"El Cajon city, California",2210,2037,715
"G06022020","2012","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",49783,47747,2036,"Elk Grove city, California",2648,2555,902
"G06022230","2012","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",31611,29423,2188,"El Monte city, California",1396,1264,612
"G06022804","2012","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",47366,44909,2457,"Escondido city, California",2146,2009,863
"G06023182","2012","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",36554,34238,2316,"Fairfield city, California",1396,1314,684
"G06024477","2012","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",14259,13733,526,"Florence-Graham CDP, California",1186,1232,280
"G06024638","2012","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",26569,24967,1602,"Folsom city, California",1461,1579,800
"G06024680","2012","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",51476,48641,2835,"Fontana city, California",1762,1732,1132
"G06026000","2012","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",72669,69398,3271,"Fremont city, California",2244,2158,1122
"G06027000","2012","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",175406,162149,13257,"Fresno city, California",3314,3174,1819
"G06028000","2012","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",47499,44685,2814,"Fullerton city, California",2102,1732,1004
"G06029000","2012","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",49829,48514,1315,"Garden Grove city, California",1830,1768,539
"G06030000","2012","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",72428,68952,3476,"Glendale city, California",2387,2159,995
"G06032548","2012","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"16000US0632548","Hawthorne city, California",30095,28649,1446,"Hawthorne city, California",1845,1714,562
"G06033000","2012","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"16000US0633000","Hayward city, California",47725,45451,2274,"Hayward city, California",1901,1709,784
"G06033182","2012","CA",,,"California","06",,,"Hemet city","33182",,,,,,,,,,,,,,,,"16000US0633182","Hemet city, California",31845,28354,3491,"Hemet city, California",2002,1592,1231
"G06033434","2012","CA",,,"California","06",,,"Hesperia city","33434",,,,,,,,,,,,,,,,"16000US0633434","Hesperia city, California",29815,27082,2733,"Hesperia city, California",1886,1587,1010
"G06036000","2012","CA",,,"California","06",,,"Huntington Beach city","36000",,,,,,,,,,,,,,,,"16000US0636000","Huntington Beach city, California",73182,70689,2493,"Huntington Beach city, California",2315,2205,837
"G06036448","2012","CA",,,"California","06",,,"Indio city","36448",,,,,,,,,,,,,,,,"16000US0636448","Indio city, California",27779,22504,5275,"Indio city, California",1751,1477,1089
"G06036546","2012","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"16000US0636546","Inglewood city, California",38636,36292,2344,"Inglewood city, California",1759,1613,751
"G06036770","2012","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"16000US0636770","Irvine city, California",87930,82613,5317,"Irvine city, California",3345,2984,1563
"G06037692","2012","CA",,,"California","06",,,"Jurupa Valley city","37692",,,,,,,,,,,,,,,,"16000US0637692","Jurupa Valley city, California",25668,23813,1855,"Jurupa Valley city, California",1593,1382,885
"G06039496","2012","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"16000US0639496","Lake Forest city, California",27814,26688,1126,"Lake Forest city, California",1570,1427,610
"G06039892","2012","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"16000US0639892","Lakewood city, California",28280,27003,1277,"Lakewood city, California",1266,1172,618
"G06040130","2012","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"16000US0640130","Lancaster city, California",49442,46483,2959,"Lancaster city, California",2205,1977,874
"G06041992","2012","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"16000US0641992","Livermore city, California",30691,29482,1209,"Livermore city, California",1527,1417,682
"G06043000","2012","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"16000US0643000","Long Beach city, California",173345,164220,9125,"Long Beach city, California",4391,3709,1769
"G06044000","2012","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"16000US0644000","Los Angeles city, California",1429433,1332587,96846,"Los Angeles city, California",8470,8853,4669
"G06044574","2012","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"16000US0644574","Lynwood city, California",15575,14759,816,"Lynwood city, California",984,879,429
"G06045484","2012","CA",,,"California","06",,,"Manteca city","45484",,,,,,,,,,,,,,,,"16000US0645484","Manteca city, California",24731,23010,1721,"Manteca city, California",1458,1244,816
"G06046842","2012","CA",,,"California","06",,,"Menifee city","46842",,,,,,,,,,,,,,,,"16000US0646842","Menifee city, California",30185,27132,3053,"Menifee city, California",2040,1674,1131
"G06046898","2012","CA",,,"California","06",,,"Merced city","46898",,,,,,,,,,,,,,,,"16000US0646898","Merced city, California",27686,25497,2189,"Merced city, California",1407,1357,732
"G06047766","2012","CA",,,"California","06",,,"Milpitas city","47766",,,,,,,,,,,,,,,,"16000US0647766","Milpitas city, California",20201,19646,555,"Milpitas city, California",1372,1306,467
"G06048256","2012","CA",,,"California","06",,,"Mission Viejo city","48256",,,,,,,,,,,,,,,,"16000US0648256","Mission Viejo city, California",33708,33343,365,"Mission Viejo city, California",1727,1615,394
"G06048354","2012","CA",,,"California","06",,,"Modesto city","48354",,,,,,,,,,,,,,,,"16000US0648354","Modesto city, California",74178,69451,4727,"Modesto city, California",2293,2274,1249
