GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALIME001,ALIME002,ALIME003,NAME_M,ALIMM001,ALIMM002,ALIMM003
"G06024477","2019","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",15687,14973,714,"Florence-Graham CDP, California",1372,1377,400
"G06024638","2019","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",28225,27286,939,"Folsom city, California",1630,1383,709
"G06024680","2019","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",57905,56457,1448,"Fontana city, California",2149,2175,633
"G06026000","2019","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",81652,77848,3804,"Fremont city, California",2045,1935,1240
"G06027000","2019","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",180639,172815,7824,"Fresno city, California",3010,3237,1474
"G06028000","2019","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",46039,44365,1674,"Fullerton city, California",2358,2177,908
"G06029000","2019","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",49069,47378,1691,"Garden Grove city, California",2267,2207,786
"G06030000","2019","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",80104,74197,5907,"Glendale city, California",3090,2614,1553
"G06032548","2019","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"16000US0632548","Hawthorne city, California",28410,27489,921,"Hawthorne city, California",1933,1801,454
"G06033000","2019","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"16000US0633000","Hayward city, California",51060,47826,3234,"Hayward city, California",2200,1949,1089
"G06033182","2019","CA",,,"California","06",,,"Hemet city","33182",,,,,,,,,,,,,,,,"16000US0633182","Hemet city, California",31952,28412,3540,"Hemet city, California",2464,2040,1303
"G06033434","2019","CA",,,"California","06",,,"Hesperia city","33434",,,,,,,,,,,,,,,,"16000US0633434","Hesperia city, California",29136,27185,1951,"Hesperia city, California",1641,1550,906
"G06036000","2019","CA",,,"California","06",,,"Huntington Beach city","36000",,,,,,,,,,,,,,,,"16000US0636000","Huntington Beach city, California",81414,75273,6141,"Huntington Beach city, California",3054,2717,1669
"G06036448","2019","CA",,,"California","06",,,"Indio city","36448",,,,,,,,,,,,,,,,"16000US0636448","Indio city, California",39359,31760,7599,"Indio city, California",2805,2298,1553
"G06036546","2019","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"16000US0636546","Inglewood city, California",37193,34440,2753,"Inglewood city, California",2370,2141,890
"G06036770","2019","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"16000US0636770","Irvine city, California",114217,104524,9693,"Irvine city, California",4276,3414,2704
"G06037692","2019","CA",,,"California","06",,,"Jurupa Valley city","37692",,,,,,,,,,,,,,,,"16000US0637692","Jurupa Valley city, California",25705,24548,1157,"Jurupa Valley city, California",1585,1555,694
