GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA02E001,AA02E002,AA02E003,NAME_M,AA02M001,AA02M002,AA02M003
"G06057792","2014","CA",,,"California","06",,,"Pleasanton city","57792",,,,,,,,,,,,,,,,"16000US0657792","Pleasanton city, California",27313,26340,973,"Pleasanton city, California",1553,1311,589
"G06058072","2014","CA",,,"California","06",,,"Pomona city","58072",,,,,,,,,,,,,,,,"16000US0658072","Pomona city, California",41589,39439,2150,"Pomona city, California",1762,1537,742
"G06059444","2014","CA",,,"California","06",,,"Rancho Cordova city","59444",,,,,,,,,,,,,,,,"16000US0659444","Rancho Cordova city, California",26103,24395,1708,"Rancho Cordova city, California",1412,1252,762
"G06059451","2014","CA",,,"California","06",,,"Rancho Cucamonga city","59451",,,,,,,,,,,,,,,,"16000US0659451","Rancho Cucamonga city, California",60846,58305,2541,"Rancho Cucamonga city, California",2759,2607,1109
"G06059920","2014","CA",,,"California","06",,,"Redding city","59920",,,,,,,,,,,,,,,,"16000US0659920","Redding city, California",37365,33424,3941,"Redding city, California",1278,1368,1157
"G06059962","2014","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"16000US0659962","Redlands city, California",24371,21806,2565,"Redlands city, California",2137,1555,1245
"G06060018","2014","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"16000US0660018","Redondo Beach city, California",27575,26069,1506,"Redondo Beach city, California",1703,1556,872
"G06060102","2014","CA",,,"California","06",,,"Redwood City city","60102",,,,,,,,,,,,,,,,"16000US0660102","Redwood City city, California",30158,29245,913,"Redwood City city, California",1575,1662,530
"G06060466","2014","CA",,,"California","06",,,"Rialto city","60466",,,,,,,,,,,,,,,,"16000US0660466","Rialto city, California",26822,25834,988,"Rialto city, California",1503,1344,505
"G06060620","2014","CA",,,"California","06",,,"Richmond city","60620",,,,,,,,,,,,,,,,"16000US0660620","Richmond city, California",42271,39235,3036,"Richmond city, California",2081,1931,779
"G06062000","2014","CA",,,"California","06",,,"Riverside city","62000",,,,,,,,,,,,,,,,"16000US0662000","Riverside city, California",97175,90204,6971,"Riverside city, California",3144,2910,1442
"G06062938","2014","CA",,,"California","06",,,"Roseville city","62938",,,,,,,,,,,,,,,,"16000US0662938","Roseville city, California",50395,48152,2243,"Roseville city, California",1630,1593,872
"G06064000","2014","CA",,,"California","06",,,"Sacramento city","64000",,,,,,,,,,,,,,,,"16000US0664000","Sacramento city, California",193062,177553,15509,"Sacramento city, California",4154,3506,2516
"G06064224","2014","CA",,,"California","06",,,"Salinas city","64224",,,,,,,,,,,,,,,,"16000US0664224","Salinas city, California",41083,39390,1693,"Salinas city, California",1568,1478,672
"G06065000","2014","CA",,,"California","06",,,"San Bernardino city","65000",,,,,,,,,,,,,,,,"16000US0665000","San Bernardino city, California",59698,54615,5083,"San Bernardino city, California",2579,2403,1242
"G06065042","2014","CA",,,"California","06",,,"San Buenaventura (Ventura) city","65042",,,,,,,,,,,,,,,,"16000US0665042","San Buenaventura (Ventura) city, California",45041,42233,2808,"San Buenaventura (Ventura) city, California",1964,2064,1062
"G06065084","2014","CA",,,"California","06",,,"San Clemente city","65084",,,,,,,,,,,,,,,,"16000US0665084","San Clemente city, California",27104,24678,2426,"San Clemente city, California",1448,1334,969
"G06066000","2014","CA",,,"California","06",,,"San Diego city","66000",,,,,,,,,,,,,,,,"16000US0666000","San Diego city, California",530490,493446,37044,"San Diego city, California",5949,5867,4057
"G06067000","2014","CA",,,"California","06",,,"San Francisco city","67000",,,,,,,,,,,,,,,,"16000US0667000","San Francisco city, California",386610,353406,33204,"San Francisco city, California",1302,4278,4246
"G06068000","2014","CA",,,"California","06",,,"San Jose city","68000",,,,,,,,,,,,,,,,"16000US0668000","San Jose city, California",323195,312227,10968,"San Jose city, California",4056,4034,2015
"G06068084","2014","CA",,,"California","06",,,"San Leandro city","68084",,,,,,,,,,,,,,,,"16000US0668084","San Leandro city, California",34625,33134,1491,"San Leandro city, California",1684,1549,768
"G06068196","2014","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"16000US0668196","San Marcos city, California",29691,28337,1354,"San Marcos city, California",2035,1734,951
"G06068252","2014","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"16000US0668252","San Mateo city, California",42578,39763,2815,"San Mateo city, California",2116,1870,1093
"G06068378","2014","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"16000US0668378","San Ramon city, California",25046,24199,847,"San Ramon city, California",1052,916,635
"G06069000","2014","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"16000US0669000","Santa Ana city, California",79902,78068,1834,"Santa Ana city, California",2354,2241,774
"G06069070","2014","CA",,,"California","06",,,"Santa Barbara city","69070",,,,,,,,,,,,,,,,"16000US0669070","Santa Barbara city, California",38806,35786,3020,"Santa Barbara city, California",2280,2175,1082
"G06069084","2014","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"16000US0669084","Santa Clara city, California",46705,44068,2637,"Santa Clara city, California",2135,1949,1125
"G06069088","2014","CA",,,"California","06",,,"Santa Clarita city","69088",,,,,,,,,,,,,,,,"16000US0669088","Santa Clarita city, California",59991,58505,1486,"Santa Clarita city, California",1728,1683,578
"G06069196","2014","CA",,,"California","06",,,"Santa Maria city","69196",,,,,,,,,,,,,,,,"16000US0669196","Santa Maria city, California",28634,26846,1788,"Santa Maria city, California",1732,1458,838
